removal_date,installed,locked,temporary,place_id,install_date,terminal_name,common_name
,true,false,false,BikePoints_12,1278340620000,000980,"Malet Street, Bloomsbury"
,true,false,false,BikePoints_13,1278340800000,000970,"Scala Street, Fitzrovia"
,true,false,false,BikePoints_14,1278341040000,001011,"Belgrove Street , King's Cross"
,true,false,false,BikePoints_15,1278341220000,000988,"Great Russell Street, Bloomsbury"
,true,false,false,BikePoints_16,1278341400000,001010,"Cartwright Gardens , Bloomsbury"
,true,false,false,BikePoints_17,1278423720000,001008,"Hatton Wall, Holborn"
,true,false,false,BikePoints_18,1278426300000,001007,"Drury Lane, Covent Garden"
,true,false,false,BikePoints_19,1278426720000,001009,"Taviton Street, Bloomsbury"
,true,false,false,BikePoints_20,1544659200000,000993,"Drummond Street , Euston"
,true,false,false,BikePoints_21,1278427740000,003426,"Lansdowne Drive, Hackney Central"
,true,false,false,BikePoints_22,1278428880000,003425,"Northington Street , Holborn"
,true,false,false,BikePoints_23,1278429300000,003421,"Red Lion Square, Holborn"
,true,false,false,BikePoints_24,1278430140000,000981,"British Museum, Bloomsbury"
,true,false,false,BikePoints_25,1278433200000,001004,"Doric Way , Somers Town"
,true,false,false,BikePoints_26,1278434160000,001019,"Ampton Street , Clerkenwell"
,true,false,false,BikePoints_27,1278500160000,001021,"Bouverie Street, Temple"
,true,false,false,BikePoints_28,1278500460000,001025,"Bolsover Street, Fitzrovia"
,true,false,false,BikePoints_29,1278501180000,001016,"Hereford Road, Bayswater"
,true,false,false,BikePoints_30,1278501420000,001029,"Windsor Terrace, Hoxton"
,true,false,false,BikePoints_31,1278501600000,003427,"Fanshaw Street, Hoxton"
,true,false,false,BikePoints_32,1278506700000,001020,"Leonard Circus , Shoreditch"
,true,false,false,BikePoints_33,1278506940000,003430,"Central House, Aldgate"
,true,false,false,BikePoints_34,1278507060000,003428,"Pancras Road, King's Cross"
,true,false,false,BikePoints_36,1278519900000,003446,"De Vere Gardens, Kensington"
,true,false,false,BikePoints_37,1278520020000,003444,"Penywern Road, Earl's Court"
,true,false,false,BikePoints_38,1278584880000,003442,"Abingdon Villas, Kensington"
,true,false,false,BikePoints_39,1278601740000,003445,"Shoreditch High Street, Shoreditch"
,true,false,false,BikePoints_40,1278601980000,001083,"Commercial Street, Shoreditch"
,true,false,false,BikePoints_41,1278602280000,001084,"Pindar Street, Liverpool Street"
,true,false,false,BikePoints_42,1278602700000,000979,"Wenlock Road , Hoxton"
,true,false,false,BikePoints_43,1278687720000,001036,"Crawford Street, Marylebone"
,true,false,false,BikePoints_44,1278687900000,001034,"Bruton Street, Mayfair"
,true,false,false,BikePoints_45,1278691320000,001035,"Boston Place, Marylebone"
,true,false,false,BikePoints_46,1278691800000,001031,"Nesham Street, Wapping"
,true,false,false,BikePoints_47,1278749160000,001027,"Warwick Avenue Station, Maida Vale"
,true,false,false,BikePoints_48,1278749460000,000971,"Godliman Street, St. Paul's"
,true,false,false,BikePoints_49,1278749940000,003437,"Curzon Street, Mayfair"
,true,false,false,BikePoints_50,1278750240000,001054,"East Road, Hoxton"
,true,false,false,BikePoints_51,1278750540000,000986,"Finsbury Library , Finsbury"
,true,false,false,BikePoints_52,1278750840000,001026,"Roscoe Street, St. Luke's"
,true,false,false,BikePoints_53,1278752580000,003431,"Grafton Street, Mayfair"
,true,false,false,BikePoints_54,1278766740000,000967,"Golden Lane, Barbican"
,true,false,false,BikePoints_55,1278766980000,000984,"Finsbury Circus, Liverpool Street"
,true,false,false,BikePoints_56,1278767220000,001033,"Paddington Street, Marylebone"
,true,false,false,BikePoints_57,1278767460000,000974,"Guilford Street , Bloomsbury"
,true,false,false,BikePoints_58,1278767700000,001032,"New Inn Yard, Shoreditch"
,true,false,false,BikePoints_60,1278769140000,001030,"Lisson Grove, St. John's Wood"
,true,false,false,BikePoints_61,1278773820000,001017,"Great Dover Street, The Borough"
,true,false,false,BikePoints_62,1278773940000,000990,"Cotton Garden Estate, Kennington"
,true,false,false,BikePoints_63,1278774120000,000989,"Murray Grove , Hoxton"
,true,false,false,BikePoints_64,1278774300000,001028,"William IV Street, Strand"
,true,false,false,BikePoints_66,1278845280000,000982,"Holborn Circus, Holborn"
,true,false,false,BikePoints_67,1278847440000,000985,"Hatton Garden, Holborn"
,true,false,false,BikePoints_68,1278857040000,000975,"Theobald's Road , Holborn"
,true,false,false,BikePoints_69,1278861540000,000983,"Euston Road, Euston"
,true,false,false,BikePoints_70,1278863340000,001066,"Calshot Street , King's Cross"
,true,false,false,BikePoints_71,1278924900000,001074,"Newgate Street , St. Paul's"
,true,false,false,BikePoints_72,1276948860000,003432,"Farringdon Lane, Clerkenwell"
,true,false,false,BikePoints_73,1278941040000,001064,"Old Street Station, St. Luke's"
,true,false,false,BikePoints_74,1278941160000,001000,"Vauxhall Cross, Vauxhall"
,true,false,false,BikePoints_75,1278945180000,001060,"Torrens Street, Angel"
,true,false,false,BikePoints_76,1278946560000,000976,"Longford Street, The Regent's Park"
,true,false,false,BikePoints_77,1278946860000,000978,"Russell Square Station, Bloomsbury"
,true,false,false,BikePoints_78,1278948480000,003433,"Sadlers Sports Centre, Finsbury"
,true,false,false,BikePoints_79,1509018360000,003455,"Arundel Street, Temple"
,true,false,false,BikePoints_80,1278952440000,003448,"Webber Street , Southwark"
,true,false,false,BikePoints_81,1279012980000,003450,"Great Titchfield Street, Fitzrovia"
,true,false,false,BikePoints_82,1279015680000,003453,"Chancery Lane, Holborn"
,true,false,false,BikePoints_83,1279015800000,003452,"Panton Street, West End"
,true,false,false,BikePoints_84,1279020240000,003449,"Breams Buildings, Holborn"
,true,false,false,BikePoints_340,1280248620000,001201,"Bank of England Museum, Bank"
,true,false,false,BikePoints_341,1280222160000,001160,"Craven Street, Strand"
,true,false,false,BikePoints_343,1280224260000,001188,"London Zoo Car Park, The Regent's Park"
,true,false,false,BikePoints_344,1280226120000,001222,"Goswell Road (City Uni), Finsbury"
,true,false,false,BikePoints_345,1280229720000,001218,"Flood Street, Chelsea"
,true,false,false,BikePoints_347,1283762460000,001219,"Lower Marsh, Waterloo"
,true,false,false,BikePoints_348,1284540540000,010627,"Grosvenor Square, Mayfair"
,true,false,false,BikePoints_349,1284543120000,001221,"St. George Street, Mayfair"
,true,false,false,BikePoints_350,1285756260000,001231,"Queen's Gate, Kensington Gardens"
,true,false,false,BikePoints_351,1286790480000,001226,"Macclesfield Rd, St Lukes"
,true,false,false,BikePoints_352,1286796360000,001224,"Vauxhall Street, Vauxhall"
,true,false,false,BikePoints_353,1287652080000,010623,"Greycoat Street , Westminster"
,true,false,false,BikePoints_354,,001097,"Northumberland Avenue, Strand"
,true,false,false,BikePoints_355,1287752460000,002694,"Clapham Common Station, Clapham Common"
,true,false,false,BikePoints_356,1288009080000,002685,"South Kensington Station, South Kensington"
,true,false,false,BikePoints_357,1288092420000,002691,"Howland Street, Fitzrovia"
,true,false,false,BikePoints_358,1290079860000,001229,"High Holborn , Covent Garden"
,true,false,false,BikePoints_359,1288950960000,002662,"Butler Place, Westminster"
,true,false,false,BikePoints_360,1288958160000,002666,"Howick Place, Westminster"
,true,false,false,BikePoints_361,1291902600000,002692,"Waterloo Station 2, Waterloo"
,true,false,false,BikePoints_362,1290080220000,002686,"Royal College Street, Camden Town"
,true,false,false,BikePoints_363,1289911800000,002665,"Lord's, St. John's Wood"
,true,false,false,BikePoints_364,1290080640000,003507,"Store Street, Bloomsbury"
,true,false,false,BikePoints_365,1290603600000,002690,"City Road, Angel"
,true,false,false,BikePoints_366,1290686880000,001230,"Millennium Hotel, Mayfair"
,true,false,false,BikePoints_367,,002680,"Harrowby Street, Marylebone"
,true,false,false,BikePoints_368,1291201680000,002681,"Harriet Street, Knightsbridge"
,true,false,false,BikePoints_370,1291647300000,002670,"Paddington Green, Paddington"
,true,false,false,BikePoints_371,1291712820000,002639,"King Edward Walk, Waterloo"
,true,false,false,BikePoints_372,1291713000000,002649,"Sardinia Street, Holborn"
,true,false,false,BikePoints_373,1295428320000,003499,"Prince Consort Road, Knightsbridge"
,true,false,false,BikePoints_374,1291725720000,002696,"Waterloo Station 1, Waterloo"
,true,false,false,BikePoints_375,1291805820000,010632,"Kensington Town Hall, Kensington"
,true,false,false,BikePoints_376,1294660980000,002683,"Millbank Tower, Pimlico"
,true,false,false,BikePoints_377,1295265420000,002648,"Waterloo Bridge, South Bank"
,true,false,false,BikePoints_378,1296121500000,002677,"Natural History Museum, South Kensington"
,true,false,false,BikePoints_379,1296121680000,002682,"Turquoise Island, Notting Hill"
,true,false,false,BikePoints_380,1296125400000,003506,"Stanhope Gate, Mayfair"
