terminal_name,locked,installed,install_date,temporary,place_id,common_name,removal_date
300088,false,true,1385472900000,false,BikePoints_736,"Queensdale Road, Shepherd's Bush",
300086,false,true,1385554620000,false,BikePoints_737,"Fulham Broadway, Walham Green",
300087,false,true,1385563380000,false,BikePoints_738,"Imperial Road, Sands End",
300091,false,true,1385631000000,false,BikePoints_739,"Hortensia Road, West Brompton",
300084,false,true,1385635440000,false,BikePoints_740,"Sirdar Road, Avondale",
300085,false,true,1385640120000,false,BikePoints_741,"Freston Road, Avondale",
300090,false,true,1385649540000,false,BikePoints_742,"Blenheim Crescent, Ladbroke Grove",
300078,false,true,1385723700000,false,BikePoints_743,"Oxford Road, Putney",
300077,false,true,1385729760000,false,BikePoints_744,"Ingrave Street, Clapham Junction",
300075,false,true,1385740020000,false,BikePoints_745,"Upcerne Road, West Chelsea",
300076,false,true,1385985720000,false,BikePoints_746,"Lots Road, West Chelsea",
300089,false,true,1385997240000,false,BikePoints_747,"Ormonde Gate, Chelsea",
300092,false,true,1386159900000,false,BikePoints_748,"Hertford Road, De Beauvoir Town",
300081,false,true,1386172440000,false,BikePoints_749,"Haggerston Road, Haggerston",
300080,false,true,1386240360000,false,BikePoints_750,"Culvert Road, Battersea",
300074,false,true,1386250800000,false,BikePoints_751,"Newton Street, Covent Garden",
300079,false,true,1650364320000,false,BikePoints_752,"London Street, Paddington",
300067,false,true,1389003540000,false,BikePoints_754,"Grenfell Road, Avondale",
300058,false,true,1389008580000,false,BikePoints_755,"The Vale, Chelsea",
300073,false,true,1390223040000,false,BikePoints_756,"Prince of Wales Drive, Battersea Park",
300069,false,true,1389094260000,false,BikePoints_757,"Harcourt Terrace, West Brompton",
300057,false,true,1389178020000,false,BikePoints_758,"Westbourne Park Road, Portobello",
300072,false,true,1389627480000,false,BikePoints_759,"Broadley Terrace, Marylebone",
300068,false,true,1389781800000,false,BikePoints_761,"Humbolt Road, Fulham",
200202,false,true,1392039000000,false,BikePoints_762,"Storey's Gate, Westminster",
300027,false,true,1392043020000,false,BikePoints_763,"Mile End Park Leisure Centre, Mile End",
200185,false,true,1392633480000,false,BikePoints_764,"St. John's Road, Clapham Junction",
300064,false,true,1392986940000,false,BikePoints_765,"Ranelagh Gardens, Fulham",
200079,false,true,1392894840000,false,BikePoints_766,"Ram Street, Wandsworth",
200177,false,true,1393406280000,false,BikePoints_767,"Santos Road, Wandsworth",
300065,false,true,1393494060000,false,BikePoints_768,"Clapham Common North Side, Clapham Common",
300001,false,true,1393939560000,false,BikePoints_769,"Sandilands Road, Walham Green",
300097,false,true,1394099280000,false,BikePoints_770,"Gwendwr Road, West Kensington",
300007,false,true,1394018400000,false,BikePoints_771,"Rifle Place, Avondale",
300015,false,true,1396442100000,false,BikePoints_772,"Binfield Road, Stockwell",
300096,false,true,1396262520000,false,BikePoints_773,"Tallis Street, Temple",
300098,false,true,1396265880000,false,BikePoints_774,"Hurlingham Park, Parsons Green",
300101,false,true,1396270320000,false,BikePoints_775,"Little Brook Green, Brook Green",
300099,false,true,1396273320000,false,BikePoints_776,"Abyssinia Close, Clapham Junction",
300100,false,true,1406282940000,false,BikePoints_777,"Limburg Road, Clapham Junction",
200072,false,true,1435313700000,false,BikePoints_779,"Houndsditch, Aldgate",
300070,false,true,1439455200000,false,BikePoints_780,"Imperial Wharf Station, Sands End",
300032,false,true,1446485340000,false,BikePoints_781,"Victoria & Albert Museum, South Kensington",
000994,false,true,1279026060000,false,BikePoints_85,"Tanner Street, Bermondsey",
003434,false,true,1279027140000,false,BikePoints_86,"Sancroft Street, Vauxhall",
003438,false,true,1279027680000,false,BikePoints_87,"Devonshire Square, Liverpool Street",
001006,false,true,1279028280000,false,BikePoints_88,"Bayley Street , Bloomsbury",
003439,false,true,1279029360000,false,BikePoints_89,"Tavistock Place, Bloomsbury",
001038,false,true,1279030020000,false,BikePoints_90,"Harrington Square 1, Camden Town",
001076,false,true,1279036740000,false,BikePoints_91,"Walnut Tree Walk, Vauxhall",
001082,false,true,1279037040000,false,BikePoints_92,"Borough Road, Elephant & Castle",
002586,false,true,1279037760000,false,BikePoints_93,"Cloudesley Road, Angel",
001070,false,true,1279038420000,false,BikePoints_94,"Bricklayers Arms, Borough",
001065,false,true,1279096560000,false,BikePoints_95,"Aldersgate Street, Barbican",
001047,false,true,1279096980000,false,BikePoints_96,"Falkirk Street, Hoxton",
003447,false,true,1279097580000,false,BikePoints_97,"Gloucester Road (North), Kensington",
000972,false,true,1279099080000,false,BikePoints_98,"Hampstead Road, Euston",
001085,false,true,1279099680000,false,BikePoints_99,"Old Quebec Street, Marylebone",
001059,false,true,1279099860000,false,BikePoints_100,"Albert Embankment, Vauxhall",
000999,false,true,1279102680000,false,BikePoints_101,"Queen Street 1, Bank",
001045,false,true,1279102860000,false,BikePoints_102,"Jewry Street, Aldgate",
