installed,terminal_name,removal_date,install_date,locked,temporary,place_id,common_name
true,300240,,1467640800000,false,false,BikePoints_809,"Lincoln's Inn Fields, Holborn"
true,300237,,1464943200000,false,false,BikePoints_810,"Tate Modern, Bankside"
true,300228,,1469538960000,false,false,BikePoints_811,"Westferry Circus, Canary Wharf"
true,300217,,1469005200000,false,false,BikePoints_812,"Here East North, Queen Elizabeth Olympic Park"
true,300224,,1467627120000,false,false,BikePoints_813,"New Spring Gardens Walk, Vauxhall"
true,300245,,1464870060000,false,false,BikePoints_814,"Clapham Road, Lingham Street, Stockwell"
true,300231,,1462357680000,false,false,BikePoints_815,"Lambeth Palace Road, Waterloo"
true,300219,,1489065360000,false,false,BikePoints_816,"Here East South, Queen Elizabeth Olympic Park"
true,300232,,1464949140000,false,false,BikePoints_817,"Riverlight South, Nine Elms"
true,300249,,1563958740000,false,false,BikePoints_818,"Westminster Pier, Westminster"
true,300246,,1476360120000,false,false,BikePoints_819,"Belvedere Road 2, South Bank"
true,300239,,1481807940000,false,false,BikePoints_820,"Victory Place, Walworth"
true,300221,,1487335920000,false,false,BikePoints_821,"Battersea Power Station, Battersea Park"
true,300242,,1500554880000,false,false,BikePoints_826,"Allington Street, Victoria"
true,300247,,1517788800000,false,false,BikePoints_827,"Cranmer Road, Stockwell"
true,300225,,1517788800000,false,false,BikePoints_828,"Normandy Road, Stockwell"
true,300230,,1517443200000,false,false,BikePoints_829,"Wynne Road, Stockwell"
true,300229,,1517961600000,false,false,BikePoints_830,"Sidney Road, Stockwell"
true,300215,,1517961600000,false,false,BikePoints_831,"St John's Crescent, Brixton"
true,200240,,1517961600000,false,false,BikePoints_832,"Ferndale Road, Brixton"
true,300206,,1517875200000,false,false,BikePoints_833,"Saltoun Road, Brixton"
true,300216,,1529449200000,false,false,BikePoints_834,"Gas Holders, Battersea Park"
true,300220,,,false,false,BikePoints_835,"Farringdon Street, Holborn"
true,300235,,,false,false,BikePoints_836,"York Way, Kings Cross"
true,300222,,1539254700000,false,false,BikePoints_838,"Fore Street Avenue, Guildhall"
true,200144,,1544611140000,false,false,BikePoints_839,"Sea Containers, South Bank"
true,002679,,1599752640000,false,false,BikePoints_840,"George Row, Bermondsey"
true,002667,,,false,false,BikePoints_841,"Tower Wharf, Bermondsey"
true,300252,,1608298140000,false,false,BikePoints_844,"Canada Water Station, Rotherhithe"
true,300253,,1608303660000,false,false,BikePoints_845,"Bermondsey Station, Bermondsey"
true,001023,,1278947280000,false,false,BikePoints_1,"River Street , Clerkenwell"
true,001018,,1278585780000,false,false,BikePoints_2,"Phillimore Gardens, Kensington"
true,001012,,1278240360000,false,false,BikePoints_3,"Christopher Street, Liverpool Street"
true,001013,,1278241080000,false,false,BikePoints_4,"St. Chad's Street, King's Cross"
true,003420,,1278241440000,false,false,BikePoints_5,"Sedding Street, Sloane Square"
true,003424,,1278241680000,false,false,BikePoints_6,"Broadcasting House, Marylebone"
true,003422,,1278241800000,false,false,BikePoints_7,"Charlbert Street, St. John's Wood"
true,003423,,1540984560000,false,false,BikePoints_8,"Maida Vale, Maida Vale"
true,001015,,1278242340000,false,false,BikePoints_9,"New Globe Walk, Bankside"
true,001024,,1278242460000,false,false,BikePoints_10,"Park Street, Bankside"
true,001022,,1278340440000,false,false,BikePoints_11,"Brunswick Square, Bloomsbury"
true,000980,,1278340620000,false,false,BikePoints_12,"Malet Street, Bloomsbury"
true,000970,,1278340800000,false,false,BikePoints_13,"Scala Street, Fitzrovia"
true,001011,,1278341040000,false,false,BikePoints_14,"Belgrove Street , King's Cross"
true,000988,,1278341220000,false,false,BikePoints_15,"Great Russell Street, Bloomsbury"
true,001010,,1278341400000,false,false,BikePoints_16,"Cartwright Gardens , Bloomsbury"
true,001008,,1278423720000,false,false,BikePoints_17,"Hatton Wall, Holborn"
true,001007,,1278426300000,false,false,BikePoints_18,"Drury Lane, Covent Garden"
true,001009,,1278426720000,false,false,BikePoints_19,"Taviton Street, Bloomsbury"
true,000993,,1544659200000,false,false,BikePoints_20,"Drummond Street , Euston"
true,003426,,1278427740000,false,false,BikePoints_21,"Lansdowne Drive, Hackney Central"
true,003425,,1278428880000,false,false,BikePoints_22,"Northington Street , Holborn"
true,003421,,1278429300000,false,false,BikePoints_23,"Red Lion Square, Holborn"
true,000981,,1278430140000,false,false,BikePoints_24,"British Museum, Bloomsbury"
true,001004,,1278433200000,false,false,BikePoints_25,"Doric Way , Somers Town"
true,001019,,1278434160000,false,false,BikePoints_26,"Ampton Street , Clerkenwell"
true,001021,,1278500160000,false,false,BikePoints_27,"Bouverie Street, Temple"
true,001025,,1278500460000,false,false,BikePoints_28,"Bolsover Street, Fitzrovia"
true,001016,,1278501180000,false,false,BikePoints_29,"Hereford Road, Bayswater"
true,001029,,1278501420000,false,false,BikePoints_30,"Windsor Terrace, Hoxton"
true,003427,,1278501600000,false,false,BikePoints_31,"Fanshaw Street, Hoxton"
