terminal_name,locked,temporary,install_date,removal_date,place_id,common_name,installed
010630,false,false,1299593640000,,BikePoints_403,"George Place Mews, Marylebone",true
001110,false,false,1299669180000,,BikePoints_404,"Palace Gate, Kensington Gardens",true
001107,false,false,1299669300000,,BikePoints_405,"Gloucester Road Station, South Kensington",true
001129,false,false,,,BikePoints_408,"Sun Street, Liverpool Street",true
010624,false,false,,,BikePoints_409,"Strata, Elephant & Castle",true
001058,false,false,,,BikePoints_410,"Edgware Road Station, Marylebone",true
010629,false,false,,,BikePoints_411,"Rotherhithe Roundabout, Rotherhithe",true
010628,false,false,1302006180000,,BikePoints_412,"Cleaver Street, Kennington",true
022160,false,false,1308735300000,,BikePoints_419,"Chelsea Bridge, Pimlico",true
022162,false,false,1309258380000,,BikePoints_420,"Southwark Station 1, Southwark",true
022163,false,false,1309258440000,,BikePoints_421,"Southwark Station 2, Southwark",true
022164,false,false,1309860240000,,BikePoints_423,"Eaton Square (South), Belgravia",true
022159,false,false,1324551120000,,BikePoints_424,"Ebury Bridge, Pimlico",true
022161,false,false,1310463720000,,BikePoints_426,"Vincent Street, Pimlico",true
022180,false,false,1310725680000,,BikePoints_427,"Cheapside, Bank",true
022179,false,false,1318496100000,,BikePoints_428,"Exhibition Road, Knightsbridge",true
022182,false,false,1324549980000,,BikePoints_430,"South Parade, Chelsea",true
022183,false,false,1323355020000,,BikePoints_431,"Crinan Street, King's Cross",true
200129,false,false,1384251120000,,BikePoints_697,"Charlotte Terrace, Angel",true
200121,false,false,1384254300000,,BikePoints_698,"Shoreditch Court, Haggerston",true
200057,false,false,1384256040000,,BikePoints_699,"Belford House, Haggerston",true
200201,false,false,1384343280000,,BikePoints_700,"Battersea Church Road, Battersea",true
200077,false,false,1384345080000,,BikePoints_701,"Vicarage Crescent, Battersea",true
200213,false,false,1384345860000,,BikePoints_702,"Durant Street, Bethnal Green",true
200094,false,false,1384357800000,,BikePoints_703,"St. Bride Street, Holborn",true
200063,false,false,1384443480000,,BikePoints_704,"Mexfield Road, East Putney",true
300042,false,true,1384453020000,1539845700000,BikePoints_705,"Upper Richmond Road, Putney",true
200193,false,false,1384420920000,,BikePoints_706,"Snowsfields, London Bridge",true
200197,false,false,1384435680000,,BikePoints_707,"Barons Court Station, West Kensington",true
200217,false,false,1384530180000,,BikePoints_708,"Disraeli Road, Putney",true
200205,false,false,1384510140000,,BikePoints_709,"Montserrat Road , Putney",true
300045,false,false,1384520580000,,BikePoints_710,"Albert Bridge Road, Battersea Park",true
300028,false,false,1384791540000,,BikePoints_711,"Everington Street, Fulham",true
300056,false,false,1384797120000,,BikePoints_712,"Mile End Stadium, Mile End",true
200122,false,false,1384774620000,,BikePoints_713,"Hawley Crescent, Camden Town",true
300055,false,false,1384865400000,,BikePoints_714,"Stewart's Road, Wandsworth Road",true
300049,false,false,1384868460000,,BikePoints_715,"Aylward Street, Stepney",true
300024,false,false,1384952400000,,BikePoints_717,"Dunston Road , Haggerston",true
300040,false,false,1384962840000,,BikePoints_718,"Ada Street, Hackney Central",true
300011,false,false,1384968480000,,BikePoints_719,"Victoria Park Road, Hackney Central",true
300038,false,false,1385025840000,,BikePoints_720,"Star Road, West Kensington",true
300039,false,false,1385028480000,,BikePoints_721,"Wendon Street, Old Ford",true
300041,false,false,1385028600000,,BikePoints_722,"Finnis Street, Bethnal Green",true
300053,false,false,1385035380000,,BikePoints_723,"Stephendale Road, Sands End",true
300046,false,false,1385125380000,,BikePoints_724,"Alma Road, Wandsworth",true
300050,false,false,1563352500000,,BikePoints_725,"Walworth Square, Walworth",true
300047,false,false,1385128740000,,BikePoints_726,"Alfreda Street, Battersea Park",true
300054,false,false,1385132160000,,BikePoints_727,"Chesilton Road, Fulham",true
300044,false,false,1385466780000,,BikePoints_728,"Putney Bridge Road, East Putney",true
300043,false,false,1385391300000,,BikePoints_729,"St. Peter's Terrace, Fulham",true
300082,false,false,1385132580000,,BikePoints_730,"Bridge Avenue, Hammersmith",true
300095,false,false,1385394720000,,BikePoints_731,"Michael Road, Walham Green",true
300083,false,false,1385458020000,,BikePoints_732,"Duke Street Hill, London Bridge",true
300093,false,false,1385460840000,,BikePoints_733,"Park Lane, Mayfair",true
300094,false,false,1385464500000,,BikePoints_734,"Plough Terrace, Clapham Junction",true
200120,false,false,1385383080000,,BikePoints_735,"Grant Road East, Clapham Junction",true
300088,false,false,1385472900000,,BikePoints_736,"Queensdale Road, Shepherd's Bush",true
300086,false,false,1385554620000,,BikePoints_737,"Fulham Broadway, Walham Green",true
300087,false,false,1385563380000,,BikePoints_738,"Imperial Road, Sands End",true
300091,false,false,1385631000000,,BikePoints_739,"Hortensia Road, West Brompton",true
300084,false,false,1385635440000,,BikePoints_740,"Sirdar Road, Avondale",true
300085,false,false,1385640120000,,BikePoints_741,"Freston Road, Avondale",true
300090,false,false,1385649540000,,BikePoints_742,"Blenheim Crescent, Ladbroke Grove",true
300078,false,false,1385723700000,,BikePoints_743,"Oxford Road, Putney",true
300077,false,false,1385729760000,,BikePoints_744,"Ingrave Street, Clapham Junction",true
300075,false,false,1385740020000,,BikePoints_745,"Upcerne Road, West Chelsea",true
300076,false,false,1385985720000,,BikePoints_746,"Lots Road, West Chelsea",true
300089,false,false,1385997240000,,BikePoints_747,"Ormonde Gate, Chelsea",true
300092,false,false,1386159900000,,BikePoints_748,"Hertford Road, De Beauvoir Town",true
300081,false,false,1386172440000,,BikePoints_749,"Haggerston Road, Haggerston",true
