locked,common_name,installed,removal_date,temporary,terminal_name,install_date,place_id
false,"The Vale, Chelsea",true,,false,300058,1389008580000,BikePoints_755
false,"Prince of Wales Drive, Battersea Park",true,,false,300073,1390223040000,BikePoints_756
false,"Harcourt Terrace, West Brompton",true,,false,300069,1389094260000,BikePoints_757
false,"Westbourne Park Road, Portobello",true,,false,300057,1389178020000,BikePoints_758
false,"Broadley Terrace, Marylebone",true,,false,300072,1389627480000,BikePoints_759
false,"Humbolt Road, Fulham",true,,false,300068,1389781800000,BikePoints_761
false,"Storey's Gate, Westminster",true,,false,200202,1392039000000,BikePoints_762
false,"Mile End Park Leisure Centre, Mile End",true,,false,300027,1392043020000,BikePoints_763
false,"St. John's Road, Clapham Junction",true,,false,200185,1392633480000,BikePoints_764
false,"Ranelagh Gardens, Fulham",true,,false,300064,1392986940000,BikePoints_765
false,"Ram Street, Wandsworth",true,,false,200079,1392894840000,BikePoints_766
false,"Santos Road, Wandsworth",true,,false,200177,1393406280000,BikePoints_767
false,"Clapham Common North Side, Clapham Common",true,,false,300065,1393494060000,BikePoints_768
false,"Sandilands Road, Walham Green",true,,false,300001,1393939560000,BikePoints_769
false,"Gwendwr Road, West Kensington",true,,false,300097,1394099280000,BikePoints_770
false,"Rifle Place, Avondale",true,,false,300007,1394018400000,BikePoints_771
false,"Binfield Road, Stockwell",true,,false,300015,1396442100000,BikePoints_772
false,"Tallis Street, Temple",true,,false,300096,1396262520000,BikePoints_773
false,"Hurlingham Park, Parsons Green",true,,false,300098,1396265880000,BikePoints_774
false,"Little Brook Green, Brook Green",true,,false,300101,1396270320000,BikePoints_775
false,"Abyssinia Close, Clapham Junction",true,,false,300099,1396273320000,BikePoints_776
false,"Limburg Road, Clapham Junction",true,,false,300100,1406282940000,BikePoints_777
false,"Houndsditch, Aldgate",true,,false,200072,1435313700000,BikePoints_779
false,"Imperial Wharf Station, Sands End",true,,false,300070,1439455200000,BikePoints_780
false,"Tanner Street, Bermondsey",true,,false,000994,1279026060000,BikePoints_85
false,"Sancroft Street, Vauxhall",true,,false,003434,1279027140000,BikePoints_86
false,"Devonshire Square, Liverpool Street",true,,false,003438,1279027680000,BikePoints_87
false,"Bayley Street , Bloomsbury",true,,false,001006,1279028280000,BikePoints_88
false,"Tavistock Place, Bloomsbury",true,,false,003439,1279029360000,BikePoints_89
false,"Harrington Square 1, Camden Town",true,,false,001038,1279030020000,BikePoints_90
false,"Walnut Tree Walk, Vauxhall",true,,false,001076,1279036740000,BikePoints_91
false,"Borough Road, Elephant & Castle",true,,false,001082,1279037040000,BikePoints_92
false,"Cloudesley Road, Angel",true,,false,002586,1279037760000,BikePoints_93
false,"Bricklayers Arms, Borough",true,,false,001070,1279038420000,BikePoints_94
false,"Aldersgate Street, Barbican",true,,false,001065,1279096560000,BikePoints_95
false,"Falkirk Street, Hoxton",true,,false,001047,1279096980000,BikePoints_96
false,"Gloucester Road (North), Kensington",true,,false,003447,1279097580000,BikePoints_97
false,"Hampstead Road, Euston",true,,false,000972,1279099080000,BikePoints_98
false,"Old Quebec Street, Marylebone",true,,false,001085,1279099680000,BikePoints_99
false,"Albert Embankment, Vauxhall",true,,false,001059,1279099860000,BikePoints_100
false,"Queen Street 1, Bank",true,,false,000999,1279102680000,BikePoints_101
false,"Jewry Street, Aldgate",true,,false,001045,1279102860000,BikePoints_102
false,"Vicarage Gate, Kensington",true,,false,003441,1279103520000,BikePoints_103
false,"Crosswall, Tower",true,,false,000991,1279103760000,BikePoints_104
false,"Westbourne Grove, Bayswater",true,,false,001041,1279105320000,BikePoints_105
false,"Woodstock Street, Mayfair",true,,false,001042,1279106880000,BikePoints_106
false,"Finsbury Leisure Centre, St. Luke's",true,,false,001049,1279107480000,BikePoints_107
false,"Abbey Orchard Street, Westminster",true,,false,003429,1279107720000,BikePoints_108
false,"Soho Square , Soho",true,,false,001052,1279108320000,BikePoints_109
false,"Wellington Road, St. John's Wood",true,,false,001055,1279108920000,BikePoints_110
false,"Park Lane , Hyde Park",true,,false,001037,1279109160000,BikePoints_111
false,"Stonecutter Street, Holborn",true,,false,001061,1279115460000,BikePoints_112
false,"Gloucester Road (Central), South Kensington",true,,false,003435,1279116600000,BikePoints_113
false,"Park Road (Baker Street), The Regent's Park",true,,false,001050,1279119900000,BikePoints_114
false,"Braham Street, Aldgate",true,,false,001062,1279120680000,BikePoints_115
false,"Little Argyll Street, West End",true,,false,000995,1279122360000,BikePoints_116
false,"Lollard Street, Vauxhall",true,,false,000998,1279124220000,BikePoints_117
false,"Rochester Row, Westminster",true,,false,003457,1279124520000,BikePoints_118
false,"Bath Street, St. Luke's",true,,false,000964,1279124760000,BikePoints_119
false,"The Guildhall, Guildhall",true,,false,001044,1279187040000,BikePoints_120
false,"Baker Street, Marylebone",true,,false,001086,1279189200000,BikePoints_121
false,"Norton Folgate, Liverpool Street",true,,false,001068,1279190040000,BikePoints_122
false,"St. John Street, Finsbury",true,,false,000992,1279191300000,BikePoints_123
false,"Eaton Square, Belgravia",true,,false,001069,1279191540000,BikePoints_124
false,"Borough High Street, The Borough",true,,false,000996,1279192200000,BikePoints_125
false,"Museum of London, Barbican",true,,false,001043,1279193340000,BikePoints_126
false,"Wood Street, Guildhall",true,,false,001063,1279193520000,BikePoints_127
false,"Emperor's Gate, South Kensington",true,,false,001116,1279194060000,BikePoints_128
false,"Golden Square, Soho",true,,false,003451,1279198500000,BikePoints_129
false,"Tower Gardens , Tower",true,,false,001071,1279198800000,BikePoints_130
false,"Eversholt Street , Camden Town",true,,false,001005,1279199280000,BikePoints_131
false,"Bethnal Green Road, Shoreditch",true,,false,000973,1279199520000,BikePoints_132
