terminal_name,install_date,temporary,place_id,common_name,locked,installed,removal_date
200018,1326963780000,false,BikePoints_477,"Spindrift Avenue, Millwall",false,true,
200012,1326965580000,false,BikePoints_478,"Stepney Green Station, Stepney",false,true,
200156,1326966240000,false,BikePoints_479,"Pott Street, Bethnal Green",false,true,
200115,1326975420000,false,BikePoints_480,"Flamborough Street, Limehouse",false,true,
200022,1326996480000,false,BikePoints_481,"Saunders Ness Road, Cubitt Town",false,true,
200052,1326996720000,false,BikePoints_482,"Exhibition Road Museums 2, South Kensington",false,true,
022166,1327088280000,false,BikePoints_483,"Albert Gardens, Stepney",false,true,
022172,1327339740000,false,BikePoints_484,"Bromley High Street, Bow",false,true,
022173,1327255440000,false,BikePoints_485,"Old Ford Road, Bethnal Green",false,true,
022174,1327338660000,false,BikePoints_486,"Granby Street, Shoreditch",false,true,
022175,1327936860000,false,BikePoints_487,"Canton Street, Poplar",false,true,
022176,1327254960000,false,BikePoints_488,"Reardon Street, Wapping",false,true,
200090,,false,BikePoints_490,"Pennington Street, Wapping",false,true,
200249,1327256220000,false,BikePoints_491,"Queen Mary's, Mile End",false,true,
200230,1327256520000,false,BikePoints_492,"Maplin Street, Mile End",false,true,
200233,1327433220000,false,BikePoints_494,"South Quay East, Canary Wharf",false,true,
200252,1327340460000,false,BikePoints_495,"Bow Church Station, Bow",false,true,
200255,1327400820000,false,BikePoints_496,"Devons Road, Bow",false,true,
200242,1327398420000,false,BikePoints_497,"Merchant Street, Bow",false,true,
200251,1327398660000,false,BikePoints_498,"Bow Road Station, Bow",false,true,
200011,1327407960000,false,BikePoints_499,"Furze Green, Bow",false,true,
200148,1327430040000,false,BikePoints_500,"Ansell House, Stepney",false,true,
200073,1327430220000,false,BikePoints_501,"Cephas Street, Bethnal Green",false,true,
200241,1563957840000,false,BikePoints_502,"Bonner Gate, Victoria Park",false,true,
200250,1327492920000,false,BikePoints_503,"Cleveland Way, Stepney",false,true,
200243,1327937820000,false,BikePoints_504,"St. John's Park, Cubitt Town",false,true,
200038,1327937460000,false,BikePoints_505,"Ackroyd Drive, Bow",false,true,
200036,1327938660000,false,BikePoints_506,"Bell Lane, Liverpool Street",false,true,
200131,1327938420000,false,BikePoints_507,"Clarkson Street, Bethnal Green",false,true,
200157,1327938180000,false,BikePoints_508,"Fournier Street, Whitechapel",false,true,
200253,1327938120000,false,BikePoints_509,"Fore Street, Guildhall",false,true,
200238,,false,BikePoints_510,"Westferry DLR, Limehouse",false,true,
200256,1327937940000,false,BikePoints_511,"Sutton Street, Shadwell",false,true,
200083,1328112600000,false,BikePoints_512,"Pritchard's Road, Bethnal Green",false,true,
200162,,false,BikePoints_513,"Watney Market, Stepney",false,true,
200008,1328201520000,false,BikePoints_514,"Portman Square, Marylebone",false,true,
200080,,false,BikePoints_515,"Russell Gardens, Olympia",false,true,
200089,1328202420000,false,BikePoints_516,"Chrisp Street Market, Poplar",false,true,
200027,1326790860000,false,BikePoints_517,"Ford Road, Old Ford",false,true,
200072,1435313700000,false,BikePoints_779,"Houndsditch, Aldgate",false,true,
300070,1439455200000,false,BikePoints_780,"Imperial Wharf Station, Sands End",false,true,
300032,1446485340000,false,BikePoints_781,"Victoria & Albert Museum, South Kensington",false,true,
300210,1446485820000,false,BikePoints_782,"Halford Road, West Kensington",false,true,
300213,1448529660000,false,BikePoints_783,"Monier Road, Hackney Wick",false,true,
300200,1452789240000,false,BikePoints_784,"East Village, Queen Elizabeth Olympic Park",false,true,
300233,1451908440000,false,BikePoints_785,"Aquatic Centre, Queen Elizabeth Olympic Park",false,true,
300227,1451900700000,false,BikePoints_787,"Timber Lodge, Queen Elizabeth Olympic Park",false,true,
300226,1451906880000,false,BikePoints_788,"Copper Box Arena, Queen Elizabeth Olympic Park",false,true,
300021,1452507000000,false,BikePoints_789,"Podium, Queen Elizabeth Olympic Park",false,true,
300234,1452687420000,false,BikePoints_790,"Stratford Station, Stratford",false,true,
300214,1454926380000,false,BikePoints_792,"Blackfriars Road, Southwark",false,true,
300205,1459424760000,false,BikePoints_793,"Cromer Street, Bloomsbury",false,true,
300204,1456404240000,false,BikePoints_794,"Victoria Rise, Clapham Common",false,true,
300203,1456744740000,false,BikePoints_795,"Euston Square Gardens, Euston",false,true,
300201,1456746420000,false,BikePoints_796,"Coram Street, Bloomsbury",false,true,
300211,1456839540000,false,BikePoints_797,"Ossulston Street, Somers Town",false,true,
300212,1464787980000,false,BikePoints_798,"Birkenhead Street, King's Cross",false,true,
300202,1464876480000,false,BikePoints_799,"Kings Gate House, Westminster",false,true,
300248,1457107140000,false,BikePoints_800,"Sopwith Way, Battersea Park",false,true,
300208,1458824640000,false,BikePoints_801,"Lavington Street, Bankside",false,true,
300209,1464865500000,false,BikePoints_802,"Albert Square, Stockwell",false,true,
300238,1464787860000,false,BikePoints_803,"Southwark Street, Bankside",false,true,
300243,1459410960000,false,BikePoints_804,"Good's Way, King's Cross",false,true,
300244,1467626400000,false,BikePoints_805,"The Metropolitan, Portobello",false,true,
300241,1472723460000,false,BikePoints_806,"Handyside Street, King's Cross",false,true,
300236,1466715600000,false,BikePoints_807,"Bevington Road West, North Kensington",false,true,
300207,1461753540000,false,BikePoints_808,"Gauden Road, Clapham",false,true,
300240,1467640800000,false,BikePoints_809,"Lincoln's Inn Fields, Holborn",false,true,
300237,1464943200000,false,BikePoints_810,"Tate Modern, Bankside",false,true,
300228,1469538960000,false,BikePoints_811,"Westferry Circus, Canary Wharf",false,true,
300217,1469005200000,false,BikePoints_812,"Here East North, Queen Elizabeth Olympic Park",false,true,
300224,1467627120000,false,BikePoints_813,"New Spring Gardens Walk, Vauxhall",false,true,
300245,1464870060000,false,BikePoints_814,"Clapham Road, Lingham Street, Stockwell",false,true,
300231,1462357680000,false,BikePoints_815,"Lambeth Palace Road, Waterloo",false,true,
300219,1489065360000,false,BikePoints_816,"Here East South, Queen Elizabeth Olympic Park",false,true,
300232,1464949140000,false,BikePoints_817,"Riverlight South, Nine Elms",false,true,
300249,1563958740000,false,BikePoints_818,"Westminster Pier, Westminster",false,true,
300246,1476360120000,false,BikePoints_819,"Belvedere Road 2, South Bank",false,true,
300239,1481807940000,false,BikePoints_820,"Victory Place, Walworth",false,true,
300221,1487335920000,false,BikePoints_821,"Battersea Power Station, Battersea Park",false,true,
300242,1500554880000,false,BikePoints_826,"Allington Street, Victoria",false,true,
300247,1517788800000,false,BikePoints_827,"Cranmer Road, Stockwell",false,true,
300225,1517788800000,false,BikePoints_828,"Normandy Road, Stockwell",false,true,
300230,1517443200000,false,BikePoints_829,"Wynne Road, Stockwell",false,true,
300229,1517961600000,false,BikePoints_830,"Sidney Road, Stockwell",false,true,
300215,1517961600000,false,BikePoints_831,"St John's Crescent, Brixton",false,true,
200240,1517961600000,false,BikePoints_832,"Ferndale Road, Brixton",false,true,
300206,1517875200000,false,BikePoints_833,"Saltoun Road, Brixton",false,true,
300216,1529449200000,false,BikePoints_834,"Gas Holders, Battersea Park",false,true,
300220,,false,BikePoints_835,"Farringdon Street, Holborn",false,true,
300235,,false,BikePoints_836,"York Way, Kings Cross",false,true,
300222,1539254700000,false,BikePoints_838,"Fore Street Avenue, Guildhall",false,true,
200144,1544611140000,false,BikePoints_839,"Sea Containers, South Bank",false,true,
002679,1599752640000,false,BikePoints_840,"George Row, Bermondsey",false,true,
002667,,false,BikePoints_841,"Tower Wharf, Bermondsey",false,true,
