removal_date,common_name,install_date,temporary,place_id,installed,locked,terminal_name
,"Harriet Street, Knightsbridge",1291201680000,false,BikePoints_368,true,false,002681
,"Paddington Green, Paddington",1291647300000,false,BikePoints_370,true,false,002670
,"King Edward Walk, Waterloo",1291712820000,false,BikePoints_371,true,false,002639
,"Sardinia Street, Holborn",1291713000000,false,BikePoints_372,true,false,002649
,"Prince Consort Road, Knightsbridge",1295428320000,false,BikePoints_373,true,false,003499
,"Waterloo Station 1, Waterloo",1291725720000,false,BikePoints_374,true,false,002696
,"Kensington Town Hall, Kensington",1291805820000,false,BikePoints_375,true,false,010632
,"Millbank Tower, Pimlico",1294660980000,false,BikePoints_376,true,false,002683
,"Waterloo Bridge, South Bank",1295265420000,false,BikePoints_377,true,false,002648
,"Natural History Museum, South Kensington",1296121500000,false,BikePoints_378,true,false,002677
,"Turquoise Island, Notting Hill",1296121680000,false,BikePoints_379,true,false,002682
,"Stanhope Gate, Mayfair",1296125400000,false,BikePoints_380,true,false,003506
,"Charlotte Street, Fitzrovia",1296203760000,false,BikePoints_381,true,false,002669
,"Farm Street, Mayfair",1297159320000,false,BikePoints_382,true,false,002678
,"Frith Street, Soho",1296649200000,false,BikePoints_383,true,false,002660
,"Marloes Road, Kensington",1296731880000,false,BikePoints_384,true,false,003505
,"Moor Street, Soho",1296732540000,false,BikePoints_386,true,false,003504
,"Fire Brigade Pier, Vauxhall",1297077540000,false,BikePoints_387,true,false,002703
,"Southampton Street, Strand",1297182180000,false,BikePoints_388,true,false,001228
,"Upper Grosvenor Street, Mayfair",1297347960000,false,BikePoints_389,true,false,010621
,"Buxton Street 1, Shoreditch",1297764360000,false,BikePoints_390,true,false,001223
1539846000000,"Clifford Street, Mayfair",1297956480000,false,BikePoints_391,true,false,002688
,"Imperial College, Knightsbridge",1297958700000,false,BikePoints_392,true,false,001220
,"Snow Hill, Farringdon",1298545440000,false,BikePoints_393,true,false,002699
,"Aberdeen Place, St. John's Wood",,false,BikePoints_394,true,false,002698
,"Cadogan Gardens, Chelsea",1298908800000,false,BikePoints_395,true,false,002695
,"Shouldham Street, Marylebone",1299075120000,false,BikePoints_396,true,false,002693
,"Devonshire Terrace, Bayswater",1299075900000,false,BikePoints_397,true,false,001227
,"Holland Park, Kensington",1299076440000,false,BikePoints_398,true,false,010631
,"Brick Lane Market, Shoreditch",1299582900000,false,BikePoints_399,true,false,002687
,"George Street, Marylebone",1299583260000,false,BikePoints_400,true,false,001225
,"Columbia Road, Shoreditch",1299592500000,false,BikePoints_401,true,false,002701
,"Penfold Street, Marylebone",1299592860000,false,BikePoints_402,true,false,010625
,"George Place Mews, Marylebone",1299593640000,false,BikePoints_403,true,false,010630
,"Palace Gate, Kensington Gardens",1299669180000,false,BikePoints_404,true,false,001110
,"Gloucester Road Station, South Kensington",1299669300000,false,BikePoints_405,true,false,001107
,"Sun Street, Liverpool Street",,false,BikePoints_408,true,false,001129
,"Strata, Elephant & Castle",,false,BikePoints_409,true,false,010624
,"Edgware Road Station, Marylebone",,false,BikePoints_410,true,false,001058
,"Rotherhithe Roundabout, Rotherhithe",,false,BikePoints_411,true,false,010629
,"Cleaver Street, Kennington",1302006180000,false,BikePoints_412,true,false,010628
,"Chelsea Bridge, Pimlico",1308735300000,false,BikePoints_419,true,false,022160
,"Southwark Station 1, Southwark",1309258380000,false,BikePoints_420,true,false,022162
,"Southwark Station 2, Southwark",1309258440000,false,BikePoints_421,true,false,022163
,"Eaton Square (South), Belgravia",1309860240000,false,BikePoints_423,true,false,022164
,"Ebury Bridge, Pimlico",1324551120000,false,BikePoints_424,true,false,022159
,"Vincent Street, Pimlico",1310463720000,false,BikePoints_426,true,false,022161
,"Cheapside, Bank",1310725680000,false,BikePoints_427,true,false,022180
,"Exhibition Road, Knightsbridge",1318496100000,false,BikePoints_428,true,false,022179
,"South Parade, Chelsea",1324549980000,false,BikePoints_430,true,false,022182
,"Crinan Street, King's Cross",1323355020000,false,BikePoints_431,true,false,022183
,"Charlotte Terrace, Angel",1384251120000,false,BikePoints_697,true,false,200129
,"Shoreditch Court, Haggerston",1384254300000,false,BikePoints_698,true,false,200121
,"Belford House, Haggerston",1384256040000,false,BikePoints_699,true,false,200057
,"Battersea Church Road, Battersea",1384343280000,false,BikePoints_700,true,false,200201
,"Vicarage Crescent, Battersea",1384345080000,false,BikePoints_701,true,false,200077
,"Durant Street, Bethnal Green",1384345860000,false,BikePoints_702,true,false,200213
,"St. Bride Street, Holborn",1384357800000,false,BikePoints_703,true,false,200094
,"Mexfield Road, East Putney",1384443480000,false,BikePoints_704,true,false,200063
1539845700000,"Upper Richmond Road, Putney",1384453020000,true,BikePoints_705,true,false,300042
,"Snowsfields, London Bridge",1384420920000,false,BikePoints_706,true,false,200193
,"Barons Court Station, West Kensington",1384435680000,false,BikePoints_707,true,false,200197
,"Disraeli Road, Putney",1384530180000,false,BikePoints_708,true,false,200217
,"Montserrat Road , Putney",1384510140000,false,BikePoints_709,true,false,200205
,"Albert Bridge Road, Battersea Park",1384520580000,false,BikePoints_710,true,false,300045
,"Everington Street, Fulham",1384791540000,false,BikePoints_711,true,false,300028
,"Mile End Stadium, Mile End",1384797120000,false,BikePoints_712,true,false,300056
,"Hawley Crescent, Camden Town",1384774620000,false,BikePoints_713,true,false,200122
,"Stewart's Road, Wandsworth Road",1384865400000,false,BikePoints_714,true,false,300055
,"Aylward Street, Stepney",1384868460000,false,BikePoints_715,true,false,300049
,"Dunston Road , Haggerston",1384952400000,false,BikePoints_717,true,false,300024
,"Ada Street, Hackney Central",1384962840000,false,BikePoints_718,true,false,300040
,"Victoria Park Road, Hackney Central",1384968480000,false,BikePoints_719,true,false,300011
,"Star Road, West Kensington",1385025840000,false,BikePoints_720,true,false,300038
,"Wendon Street, Old Ford",1385028480000,false,BikePoints_721,true,false,300039
,"Finnis Street, Bethnal Green",1385028600000,false,BikePoints_722,true,false,300041
,"Stephendale Road, Sands End",1385035380000,false,BikePoints_723,true,false,300053
,"Alma Road, Wandsworth",1385125380000,false,BikePoints_724,true,false,300046
,"Walworth Square, Walworth",1563352500000,false,BikePoints_725,true,false,300050
,"Alfreda Street, Battersea Park",1385128740000,false,BikePoints_726,true,false,300047
,"Chesilton Road, Fulham",1385132160000,false,BikePoints_727,true,false,300054
,"Putney Bridge Road, East Putney",1385466780000,false,BikePoints_728,true,false,300044
