locked,install_date,terminal_name,removal_date,place_id,temporary,common_name,installed
false,1326284820000,200123,,BikePoints_460,false,"Burdett Road, Mile End",true
false,1326293640000,200013,,BikePoints_461,true,"Aston Street, Stepney",true
false,1326294600000,200105,,BikePoints_462,false,"Bonny Street, Camden Town",true
false,,200093,,BikePoints_463,false,"Thurtle Road, Haggerston",true
false,1326304980000,200082,,BikePoints_464,false,"St. Mary & St. Michael Church, Stepney",true
false,1333613280000,200152,,BikePoints_465,false,"Pitfield Street North,Hoxton",true
false,1326360000000,200158,,BikePoints_466,false,"Whiston Road, Haggerston",true
false,1326374040000,200168,,BikePoints_467,false,"Southern Grove, Bow",true
false,1326375720000,200150,,BikePoints_468,false,"Cantrell Road, Bow",true
false,1326381060000,022178,,BikePoints_469,false,"Lindfield Street, Poplar",true
false,1326790620000,200174,,BikePoints_470,false,"Mostyn Grove, Bow",true
false,1326790860000,200006,,BikePoints_471,false,"Hewison Street, Old Ford",true
false,1326791160000,200019,,BikePoints_472,false,"Malmesbury Road, Bow",true
false,1326816540000,022167,,BikePoints_473,false,"Millharbour, Millwall",true
false,1326822960000,200155,,BikePoints_474,false,"Gascoyne Road, Victoria Park",true
false,1326825480000,200004,,BikePoints_475,false,"Lightermans Road, Millwall",true
false,1326962100000,200009,,BikePoints_476,false,"Stebondale Street, Cubitt Town",true
false,1326963780000,200018,,BikePoints_477,false,"Spindrift Avenue, Millwall",true
false,1326965580000,200012,,BikePoints_478,false,"Stepney Green Station, Stepney",true
false,1326966240000,200156,,BikePoints_479,false,"Pott Street, Bethnal Green",true
false,1326975420000,200115,,BikePoints_480,false,"Flamborough Street, Limehouse",true
false,1326996480000,200022,,BikePoints_481,false,"Saunders Ness Road, Cubitt Town",true
false,1326996720000,200052,,BikePoints_482,false,"Exhibition Road Museums 2, South Kensington",true
false,1327088280000,022166,,BikePoints_483,false,"Albert Gardens, Stepney",true
false,1327339740000,022172,,BikePoints_484,false,"Bromley High Street, Bow",true
false,1327255440000,022173,,BikePoints_485,false,"Old Ford Road, Bethnal Green",true
false,1327338660000,022174,,BikePoints_486,false,"Granby Street, Shoreditch",true
false,1327936860000,022175,,BikePoints_487,false,"Canton Street, Poplar",true
false,1327254960000,022176,,BikePoints_488,false,"Reardon Street, Wapping",true
false,,200090,,BikePoints_490,false,"Pennington Street, Wapping",true
false,1327256220000,200249,,BikePoints_491,false,"Queen Mary's, Mile End",true
false,1327256520000,200230,,BikePoints_492,false,"Maplin Street, Mile End",true
false,1327433220000,200233,,BikePoints_494,false,"South Quay East, Canary Wharf",true
false,1327340460000,200252,,BikePoints_495,false,"Bow Church Station, Bow",true
false,1327400820000,200255,,BikePoints_496,false,"Devons Road, Bow",true
false,1327398420000,200242,,BikePoints_497,false,"Merchant Street, Bow",true
false,1327398660000,200251,,BikePoints_498,false,"Bow Road Station, Bow",true
false,1327407960000,200011,,BikePoints_499,false,"Furze Green, Bow",true
false,1327430040000,200148,,BikePoints_500,false,"Ansell House, Stepney",true
false,1327430220000,200073,,BikePoints_501,false,"Cephas Street, Bethnal Green",true
false,1563957840000,200241,,BikePoints_502,false,"Bonner Gate, Victoria Park",true
false,1327492920000,200250,,BikePoints_503,false,"Cleveland Way, Stepney",true
false,1327937820000,200243,,BikePoints_504,false,"St. John's Park, Cubitt Town",true
false,1327937460000,200038,,BikePoints_505,false,"Ackroyd Drive, Bow",true
false,1327938660000,200036,,BikePoints_506,false,"Bell Lane, Liverpool Street",true
false,1327938420000,200131,,BikePoints_507,false,"Clarkson Street, Bethnal Green",true
false,1327938180000,200157,,BikePoints_508,false,"Fournier Street, Whitechapel",true
false,1327938120000,200253,,BikePoints_509,false,"Fore Street, Guildhall",true
false,,200238,,BikePoints_510,false,"Westferry DLR, Limehouse",true
false,1327937940000,200256,,BikePoints_511,false,"Sutton Street, Shadwell",true
false,1328112600000,200083,,BikePoints_512,false,"Pritchard's Road, Bethnal Green",true
false,,200162,,BikePoints_513,false,"Watney Market, Stepney",true
false,1328201520000,200008,,BikePoints_514,false,"Portman Square, Marylebone",true
false,,200080,,BikePoints_515,false,"Russell Gardens, Olympia",true
false,1328202420000,200089,,BikePoints_516,false,"Chrisp Street Market, Poplar",true
false,1326790860000,200027,,BikePoints_517,false,"Ford Road, Old Ford",true
false,1435313700000,200072,,BikePoints_779,false,"Houndsditch, Aldgate",true
false,1439455200000,300070,,BikePoints_780,false,"Imperial Wharf Station, Sands End",true
false,1446485340000,300032,,BikePoints_781,false,"Victoria & Albert Museum, South Kensington",true
false,1446485820000,300210,,BikePoints_782,false,"Halford Road, West Kensington",true
false,1448529660000,300213,,BikePoints_783,false,"Monier Road, Hackney Wick",true
false,1452789240000,300200,,BikePoints_784,false,"East Village, Queen Elizabeth Olympic Park",true
false,1451908440000,300233,,BikePoints_785,false,"Aquatic Centre, Queen Elizabeth Olympic Park",true
false,1451900700000,300227,,BikePoints_787,false,"Timber Lodge, Queen Elizabeth Olympic Park",true
false,1451906880000,300226,,BikePoints_788,false,"Copper Box Arena, Queen Elizabeth Olympic Park",true
false,1452507000000,300021,,BikePoints_789,false,"Podium, Queen Elizabeth Olympic Park",true
false,1452687420000,300234,,BikePoints_790,false,"Stratford Station, Stratford",true
false,1454926380000,300214,,BikePoints_792,false,"Blackfriars Road, Southwark",true
false,1459424760000,300205,,BikePoints_793,false,"Cromer Street, Bloomsbury",true
false,1456404240000,300204,,BikePoints_794,false,"Victoria Rise, Clapham Common",true
false,1456744740000,300203,,BikePoints_795,false,"Euston Square Gardens, Euston",true
false,1456746420000,300201,,BikePoints_796,false,"Coram Street, Bloomsbury",true
false,1456839540000,300211,,BikePoints_797,false,"Ossulston Street, Somers Town",true
false,1464787980000,300212,,BikePoints_798,false,"Birkenhead Street, King's Cross",true
false,1464876480000,300202,,BikePoints_799,false,"Kings Gate House, Westminster",true
false,1457107140000,300248,,BikePoints_800,false,"Sopwith Way, Battersea Park",true
false,1458824640000,300208,,BikePoints_801,false,"Lavington Street, Bankside",true
false,1464865500000,300209,,BikePoints_802,false,"Albert Square, Stockwell",true
false,1464787860000,300238,,BikePoints_803,false,"Southwark Street, Bankside",true
false,1459410960000,300243,,BikePoints_804,false,"Good's Way, King's Cross",true
false,1467626400000,300244,,BikePoints_805,false,"The Metropolitan, Portobello",true
false,1472723460000,300241,,BikePoints_806,false,"Handyside Street, King's Cross",true
false,1466715600000,300236,,BikePoints_807,false,"Bevington Road West, North Kensington",true
false,1461753540000,300207,,BikePoints_808,false,"Gauden Road, Clapham",true
false,1467640800000,300240,,BikePoints_809,false,"Lincoln's Inn Fields, Holborn",true
false,1464943200000,300237,,BikePoints_810,false,"Tate Modern, Bankside",true
false,1469538960000,300228,,BikePoints_811,false,"Westferry Circus, Canary Wharf",true
false,1469005200000,300217,,BikePoints_812,false,"Here East North, Queen Elizabeth Olympic Park",true
false,1467627120000,300224,,BikePoints_813,false,"New Spring Gardens Walk, Vauxhall",true
false,1464870060000,300245,,BikePoints_814,false,"Clapham Road, Lingham Street, Stockwell",true
false,1462357680000,300231,,BikePoints_815,false,"Lambeth Palace Road, Waterloo",true
false,1489065360000,300219,,BikePoints_816,false,"Here East South, Queen Elizabeth Olympic Park",true
