place_id,installed,temporary,terminal_name,removal_date,install_date,locked,common_name
BikePoints_39,true,false,003445,,1278601740000,false,"Shoreditch High Street, Shoreditch"
BikePoints_41,true,false,001084,,1278602280000,false,"Pindar Street, Liverpool Street"
BikePoints_43,true,false,001036,,1278687720000,false,"Crawford Street, Marylebone"
BikePoints_44,true,false,001034,,1278687900000,false,"Bruton Street, Mayfair"
BikePoints_45,true,false,001035,,1278691320000,false,"Boston Place, Marylebone"
BikePoints_46,true,false,001031,,1278691800000,false,"Nesham Street, Wapping"
BikePoints_47,true,false,001027,,1278749160000,false,"Warwick Avenue Station, Maida Vale"
BikePoints_48,true,false,000971,,1278749460000,false,"Godliman Street, St. Paul's"
BikePoints_49,true,false,003437,,1278749940000,false,"Curzon Street, Mayfair"
BikePoints_50,true,false,001054,,1278750240000,false,"East Road, Hoxton"
BikePoints_52,true,false,001026,,1278750840000,false,"Roscoe Street, St. Luke's"
BikePoints_53,true,false,003431,,1278752580000,false,"Grafton Street, Mayfair"
BikePoints_55,true,false,000984,,1278766980000,false,"Finsbury Circus, Liverpool Street"
BikePoints_56,true,false,001033,,1278767220000,false,"Paddington Street, Marylebone"
BikePoints_58,true,false,001032,,1278767700000,false,"New Inn Yard, Shoreditch"
BikePoints_60,true,false,001030,,1278769140000,false,"Lisson Grove, St. John's Wood"
BikePoints_64,true,false,001028,,1278774300000,false,"William IV Street, Strand"
BikePoints_66,true,false,000982,,1278845280000,false,"Holborn Circus, Holborn"
BikePoints_68,true,false,000975,,1278857040000,false,"Theobald's Road , Holborn"
BikePoints_71,true,false,001074,,1278924900000,false,"Newgate Street , St. Paul's"
BikePoints_72,true,false,003432,,1276948860000,false,"Farringdon Lane, Clerkenwell"
BikePoints_73,true,false,001064,,1278941040000,false,"Old Street Station, St. Luke's"
BikePoints_77,true,false,000978,,1278946860000,false,"Russell Square Station, Bloomsbury"
BikePoints_78,true,false,003433,,1278948480000,false,"Sadlers Sports Centre, Finsbury"
BikePoints_79,true,false,003455,,1509018360000,false,"Arundel Street, Temple"
BikePoints_80,true,false,003448,,1278952440000,false,"Webber Street , Southwark"
BikePoints_81,true,false,003450,,1279012980000,false,"Great Titchfield Street, Fitzrovia"
BikePoints_82,true,false,003453,,1279015680000,false,"Chancery Lane, Holborn"
BikePoints_83,true,false,003452,,1279015800000,false,"Panton Street, West End"
BikePoints_84,true,false,003449,,1279020240000,false,"Breams Buildings, Holborn"
BikePoints_261,true,false,003491,,1279711200000,false,"Princes Square, Bayswater"
BikePoints_264,true,false,001146,,1279712520000,false,"Tysoe Street, Clerkenwell"
BikePoints_265,true,false,003490,,1279714320000,false,"Southwick Street, Paddington"
BikePoints_267,true,false,001155,,1279714740000,false,"Regency Street, Westminster"
BikePoints_269,true,false,001209,,1279715100000,false,"Empire Square, The Borough"
BikePoints_271,true,false,001136,,1279720920000,false,"London Zoo,  The Regent's Park"
BikePoints_274,true,false,001134,,1279721580000,false,"Warwick Road, Olympia"
BikePoints_276,true,false,001098,,1279723200000,false,"Lower Thames Street, Monument"
BikePoints_277,true,false,001143,,1279723320000,false,"Kensington Church Street, Kensington"
BikePoints_279,true,false,001108,,1279723740000,false,"North Wharf Road, Paddington"
BikePoints_280,true,false,003462,,1279726440000,false,"Royal Avenue 2, Chelsea"
BikePoints_281,true,false,003480,,1279726620000,false,"Smith Square, Westminster"
BikePoints_283,true,false,001141,,1279727220000,false,"Kingsway, Covent Garden"
BikePoints_284,true,false,001117,,1279727580000,false,"Lambeth North Station, Waterloo"
BikePoints_287,true,false,001156,,1279728060000,false,"Bedford Way, Bloomsbury"
BikePoints_288,true,false,001138,,1279793820000,false,"Elizabeth Bridge, Victoria"
BikePoints_289,true,false,003493,,1279794060000,false,"South Audley Street, Mayfair"
BikePoints_291,true,false,001135,,1279800420000,false,"Claverton Street, Pimlico"
BikePoints_293,true,false,001214,,1279800780000,false,"Kensington Olympia Station, Olympia"
BikePoints_295,true,false,001216,,1279801080000,false,"Swan Street, The Borough"
BikePoints_296,true,false,200069,,1377258960000,false,"Knaresborough Place, Earl's Court"
BikePoints_297,true,false,003498,,1279801560000,false,"Geraldine Street, Elephant & Castle"
BikePoints_298,true,false,001213,,1279805640000,false,"Curlew Street, Shad Thames"
BikePoints_301,true,false,001152,,1279809000000,false,"Marylebone Lane, Marylebone"
BikePoints_302,true,false,003492,,1279812360000,false,"Putney Pier, Wandsworth"
BikePoints_306,true,false,003497,,1279816260000,false,"Rathbone Street, Fitzrovia"
BikePoints_311,true,false,003494,,1279880100000,false,"Foley Street, Fitzrovia"
BikePoints_312,true,false,001130,,1279880340000,false,"Grove End Road, St. John's Wood"
BikePoints_313,true,false,003495,,1279880520000,false,"Wells Street, Fitzrovia"
BikePoints_314,true,false,003485,,1279884480000,false,"Tyers Gate, Bermondsey"
BikePoints_317,true,false,001208,,1279885080000,false,"Dickens Square, Borough"
BikePoints_319,true,false,003500,,1279890360000,false,"Baldwin Street, St. Luke's"
BikePoints_320,true,false,001148,,1279890840000,false,"Queen Mother Sports Centre, Victoria"
BikePoints_321,true,false,002637,,1279891020000,false,"Bermondsey Street, Bermondsey"
BikePoints_322,true,false,003502,,1279891920000,false,"Palissy Street, Shoreditch"
BikePoints_323,true,false,003501,,1279892040000,false,"Clifton Street, Shoreditch"
BikePoints_326,true,false,001131,,1279896840000,false,"Graham Street, Angel"
BikePoints_327,true,false,001128,,1280133420000,false,"New North Road 1, Hoxton"
BikePoints_328,true,false,002641,,1280133540000,false,"New North Road 2, Hoxton"
BikePoints_329,true,false,002636,,1280133720000,false,"Prince Albert Road, The Regent's Park"
BikePoints_331,true,false,001211,,1280141460000,false,"Bunhill Row, Moorgate"
BikePoints_332,true,false,001210,,1280142360000,false,"Nevern Place, Earl's Court"
BikePoints_337,true,false,002589,,1280153100000,false,"Pembridge Villas, Notting Hill"
BikePoints_339,true,false,001127,,1280160600000,false,"Risinghill Street, Angel"
BikePoints_344,true,false,001222,,1280226120000,false,"Goswell Road (City Uni), Finsbury"
BikePoints_345,true,false,001218,,1280229720000,false,"Flood Street, Chelsea"
BikePoints_347,true,false,001219,,1283762460000,false,"Lower Marsh, Waterloo"
BikePoints_348,true,false,010627,,1284540540000,false,"Grosvenor Square, Mayfair"
BikePoints_350,true,false,001231,,1285756260000,false,"Queen's Gate, Kensington Gardens"
BikePoints_351,true,false,001226,,1286790480000,false,"Macclesfield Rd, St Lukes"
BikePoints_352,true,false,001224,,1286796360000,false,"Vauxhall Street, Vauxhall"
BikePoints_353,true,false,010623,,1287652080000,false,"Greycoat Street , Westminster"
BikePoints_358,true,false,001229,,1290079860000,false,"High Holborn , Covent Garden"
BikePoints_647,true,false,200181,,1382347140000,false,"Richmond Way, Shepherd's Bush"
BikePoints_648,true,false,200171,,1382352840000,false,"Peterborough Road, Sands End"
BikePoints_649,true,false,300009,,1382348400000,false,"World's End Place, West Chelsea"
BikePoints_650,true,false,300034,,1382438520000,false,"St. Mark's Road, North Kensington"
BikePoints_651,true,false,300030,,1382441580000,false,"Thorndike Close, West Chelsea"
BikePoints_652,true,false,300022,,1381848540000,false,"Evesham Street, Avondale"
BikePoints_653,true,false,200196,,1382539860000,false,"Simpson Street, Clapham Junction"
BikePoints_654,true,false,200223,,1382520000000,false,"Ashmole Estate, Oval"
BikePoints_655,true,false,200221,,1382611200000,false,"Crabtree Lane, Fulham"
BikePoints_656,true,false,200040,,1382614560000,false,"Broomhouse Lane, Parsons Green"
BikePoints_657,true,false,200220,,1382621400000,false,"Blythe Road West, Shepherd's Bush"
BikePoints_658,true,false,300005,,1383731100000,false,"Ethelburga Estate, Battersea Park"
BikePoints_659,true,false,200212,,1382697060000,false,"Blackfriars Station, St. Paul's"
