terminal_name,temporary,common_name,locked,removal_date,installed,install_date,place_id
002682,false,"Turquoise Island, Notting Hill",false,,true,1296121680000,BikePoints_379
003506,false,"Stanhope Gate, Mayfair",false,,true,1296125400000,BikePoints_380
002669,false,"Charlotte Street, Fitzrovia",false,,true,1296203760000,BikePoints_381
002678,false,"Farm Street, Mayfair",false,,true,1297159320000,BikePoints_382
002660,false,"Frith Street, Soho",false,,true,1296649200000,BikePoints_383
003505,false,"Marloes Road, Kensington",false,,true,1296731880000,BikePoints_384
003504,false,"Moor Street, Soho",false,,true,1296732540000,BikePoints_386
002703,false,"Fire Brigade Pier, Vauxhall",false,,true,1297077540000,BikePoints_387
001228,false,"Southampton Street, Strand",false,,true,1297182180000,BikePoints_388
010621,false,"Upper Grosvenor Street, Mayfair",false,,true,1297347960000,BikePoints_389
001223,false,"Buxton Street 1, Shoreditch",false,,true,1297764360000,BikePoints_390
002688,false,"Clifford Street, Mayfair",false,1539846000000,true,1297956480000,BikePoints_391
001220,false,"Imperial College, Knightsbridge",false,,true,1297958700000,BikePoints_392
002699,false,"Snow Hill, Farringdon",false,,true,1298545440000,BikePoints_393
002698,false,"Aberdeen Place, St. John's Wood",false,,true,,BikePoints_394
002695,false,"Cadogan Gardens, Chelsea",false,,true,1298908800000,BikePoints_395
002693,false,"Shouldham Street, Marylebone",false,,true,1299075120000,BikePoints_396
001227,false,"Devonshire Terrace, Bayswater",false,,true,1299075900000,BikePoints_397
010631,false,"Holland Park, Kensington",false,,true,1299076440000,BikePoints_398
002687,false,"Brick Lane Market, Shoreditch",false,,true,1299582900000,BikePoints_399
001225,false,"George Street, Marylebone",false,,true,1299583260000,BikePoints_400
002701,false,"Columbia Road, Shoreditch",false,,true,1299592500000,BikePoints_401
010625,false,"Penfold Street, Marylebone",false,,true,1299592860000,BikePoints_402
010630,false,"George Place Mews, Marylebone",false,,true,1299593640000,BikePoints_403
001110,false,"Palace Gate, Kensington Gardens",false,,true,1299669180000,BikePoints_404
001107,false,"Gloucester Road Station, South Kensington",false,,true,1299669300000,BikePoints_405
001129,false,"Sun Street, Liverpool Street",false,,true,,BikePoints_408
010624,false,"Strata, Elephant & Castle",false,,true,,BikePoints_409
001058,false,"Edgware Road Station, Marylebone",false,,true,,BikePoints_410
010629,false,"Rotherhithe Roundabout, Rotherhithe",false,,true,,BikePoints_411
010628,false,"Cleaver Street, Kennington",false,,true,1302006180000,BikePoints_412
022160,false,"Chelsea Bridge, Pimlico",false,,true,1308735300000,BikePoints_419
022162,false,"Southwark Station 1, Southwark",false,,true,1309258380000,BikePoints_420
022163,false,"Southwark Station 2, Southwark",false,,true,1309258440000,BikePoints_421
022164,false,"Eaton Square (South), Belgravia",false,,true,1309860240000,BikePoints_423
022159,false,"Ebury Bridge, Pimlico",false,,true,1324551120000,BikePoints_424
022161,false,"Vincent Street, Pimlico",false,,true,1310463720000,BikePoints_426
022180,false,"Cheapside, Bank",false,,true,1310725680000,BikePoints_427
022179,false,"Exhibition Road, Knightsbridge",false,,true,1318496100000,BikePoints_428
022182,false,"South Parade, Chelsea",false,,true,1324549980000,BikePoints_430
022183,false,"Crinan Street, King's Cross",false,,true,1323355020000,BikePoints_431
022158,false,"Exhibition Road Museums 1, South Kensington",false,,true,1319448720000,BikePoints_432
022169,false,"Wren Street, Holborn",false,,true,1323361560000,BikePoints_433
022170,false,"Kennington Station, Kennington",false,,true,1323346020000,BikePoints_435
200121,false,"Shoreditch Court, Haggerston",false,,true,1384254300000,BikePoints_698
200057,false,"Belford House, Haggerston",false,,true,1384256040000,BikePoints_699
200201,false,"Battersea Church Road, Battersea",false,,true,1384343280000,BikePoints_700
200077,false,"Vicarage Crescent, Battersea",false,,true,1384345080000,BikePoints_701
200213,false,"Durant Street, Bethnal Green",false,,true,1384345860000,BikePoints_702
200094,false,"St. Bride Street, Holborn",false,,true,1384357800000,BikePoints_703
200063,false,"Mexfield Road, East Putney",false,,true,1384443480000,BikePoints_704
300042,true,"Upper Richmond Road, Putney",false,1539845700000,true,1384453020000,BikePoints_705
200193,false,"Snowsfields, London Bridge",false,,true,1384420920000,BikePoints_706
200197,false,"Barons Court Station, West Kensington",false,,true,1384435680000,BikePoints_707
200217,false,"Disraeli Road, Putney",false,,true,1384530180000,BikePoints_708
200205,false,"Montserrat Road , Putney",false,,true,1384510140000,BikePoints_709
300045,false,"Albert Bridge Road, Battersea Park",false,,true,1384520580000,BikePoints_710
300028,false,"Everington Street, Fulham",false,,true,1384791540000,BikePoints_711
300056,false,"Mile End Stadium, Mile End",false,,true,1384797120000,BikePoints_712
200122,false,"Hawley Crescent, Camden Town",false,,true,1384774620000,BikePoints_713
300055,false,"Stewart's Road, Wandsworth Road",false,,true,1384865400000,BikePoints_714
300049,false,"Aylward Street, Stepney",false,,true,1384868460000,BikePoints_715
300024,false,"Dunston Road , Haggerston",false,,true,1384952400000,BikePoints_717
300040,false,"Ada Street, Hackney Central",false,,true,1384962840000,BikePoints_718
300011,false,"Victoria Park Road, Hackney Central",false,,true,1384968480000,BikePoints_719
300038,false,"Star Road, West Kensington",false,,true,1385025840000,BikePoints_720
300039,false,"Wendon Street, Old Ford",false,,true,1385028480000,BikePoints_721
300041,false,"Finnis Street, Bethnal Green",false,,true,1385028600000,BikePoints_722
300053,false,"Stephendale Road, Sands End",false,,true,1385035380000,BikePoints_723
300046,false,"Alma Road, Wandsworth",false,,true,1385125380000,BikePoints_724
300050,false,"Walworth Square, Walworth",false,,true,1563352500000,BikePoints_725
300047,false,"Alfreda Street, Battersea Park",false,,true,1385128740000,BikePoints_726
300054,false,"Chesilton Road, Fulham",false,,true,1385132160000,BikePoints_727
300044,false,"Putney Bridge Road, East Putney",false,,true,1385466780000,BikePoints_728
300043,false,"St. Peter's Terrace, Fulham",false,,true,1385391300000,BikePoints_729
300082,false,"Bridge Avenue, Hammersmith",false,,true,1385132580000,BikePoints_730
300095,false,"Michael Road, Walham Green",false,,true,1385394720000,BikePoints_731
300083,false,"Duke Street Hill, London Bridge",false,,true,1385458020000,BikePoints_732
300093,false,"Park Lane, Mayfair",false,,true,1385460840000,BikePoints_733
300094,false,"Plough Terrace, Clapham Junction",false,,true,1385464500000,BikePoints_734
200120,false,"Grant Road East, Clapham Junction",false,,true,1385383080000,BikePoints_735
300088,false,"Queensdale Road, Shepherd's Bush",false,,true,1385472900000,BikePoints_736
300086,false,"Fulham Broadway, Walham Green",false,,true,1385554620000,BikePoints_737
300087,false,"Imperial Road, Sands End",false,,true,1385563380000,BikePoints_738
300091,false,"Hortensia Road, West Brompton",false,,true,1385631000000,BikePoints_739
300084,false,"Sirdar Road, Avondale",false,,true,1385635440000,BikePoints_740
300085,false,"Freston Road, Avondale",false,,true,1385640120000,BikePoints_741
300090,false,"Blenheim Crescent, Ladbroke Grove",false,,true,1385649540000,BikePoints_742
300078,false,"Oxford Road, Putney",false,,true,1385723700000,BikePoints_743
300077,false,"Ingrave Street, Clapham Junction",false,,true,1385729760000,BikePoints_744
300075,false,"Upcerne Road, West Chelsea",false,,true,1385740020000,BikePoints_745
300076,false,"Lots Road, West Chelsea",false,,true,1385985720000,BikePoints_746
300089,false,"Ormonde Gate, Chelsea",false,,true,1385997240000,BikePoints_747
