common_name,terminal_name,installed,install_date,locked,place_id,temporary,removal_date
"Cephas Street, Bethnal Green",200073,true,1327430220000,false,BikePoints_501,false,
"Bonner Gate, Victoria Park",200241,true,1563957840000,false,BikePoints_502,false,
"Cleveland Way, Stepney",200250,true,1327492920000,false,BikePoints_503,false,
"St. John's Park, Cubitt Town",200243,true,1327937820000,false,BikePoints_504,false,
"Ackroyd Drive, Bow",200038,true,1327937460000,false,BikePoints_505,false,
"Bell Lane, Liverpool Street",200036,true,1327938660000,false,BikePoints_506,false,
"Clarkson Street, Bethnal Green",200131,true,1327938420000,false,BikePoints_507,false,
"Fournier Street, Whitechapel",200157,true,1327938180000,false,BikePoints_508,false,
"Fore Street, Guildhall",200253,true,1327938120000,false,BikePoints_509,false,
"Westferry DLR, Limehouse",200238,true,,false,BikePoints_510,false,
"Sutton Street, Shadwell",200256,true,1327937940000,false,BikePoints_511,false,
"Pritchard's Road, Bethnal Green",200083,true,1328112600000,false,BikePoints_512,false,
"Watney Market, Stepney",200162,true,,false,BikePoints_513,false,
"Portman Square, Marylebone",200008,true,1328201520000,false,BikePoints_514,false,
"Russell Gardens, Olympia",200080,true,,false,BikePoints_515,false,
"Chrisp Street Market, Poplar",200089,true,1328202420000,false,BikePoints_516,false,
"Ford Road, Old Ford",200027,true,1326790860000,false,BikePoints_517,false,
"Antill Road, Mile End",200041,true,,false,BikePoints_518,false,
"Teviot Street, Poplar",200254,true,,false,BikePoints_519,false,
"Bancroft Road, Bethnal Green",200234,true,,false,BikePoints_520,false,
"Victoria & Albert Museum, South Kensington",300032,true,1446485340000,false,BikePoints_781,false,
"Halford Road, West Kensington",300210,true,1446485820000,false,BikePoints_782,false,
"Monier Road, Hackney Wick",300213,true,1448529660000,false,BikePoints_783,false,
"East Village, Queen Elizabeth Olympic Park",300200,true,1452789240000,false,BikePoints_784,false,
"Aquatic Centre, Queen Elizabeth Olympic Park",300233,true,1451908440000,false,BikePoints_785,false,
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",300029,true,1451918160000,false,BikePoints_786,false,
"Timber Lodge, Queen Elizabeth Olympic Park",300227,true,1451900700000,false,BikePoints_787,false,
"Copper Box Arena, Queen Elizabeth Olympic Park",300226,true,1451906880000,false,BikePoints_788,false,
"Podium, Queen Elizabeth Olympic Park",300021,true,1452507000000,false,BikePoints_789,false,
"Stratford Station, Stratford",300234,true,1452687420000,false,BikePoints_790,false,
"Blackfriars Road, Southwark",300214,true,1454926380000,false,BikePoints_792,false,
"Cromer Street, Bloomsbury",300205,true,1459424760000,false,BikePoints_793,false,
"Victoria Rise, Clapham Common",300204,true,1456404240000,false,BikePoints_794,false,
"Euston Square Gardens, Euston",300203,true,1456744740000,false,BikePoints_795,false,
"Coram Street, Bloomsbury",300201,true,1456746420000,false,BikePoints_796,false,
"Ossulston Street, Somers Town",300211,true,1456839540000,false,BikePoints_797,false,
"Birkenhead Street, King's Cross",300212,true,1464787980000,false,BikePoints_798,false,
"Kings Gate House, Westminster",300202,true,1464876480000,false,BikePoints_799,false,
"Sopwith Way, Battersea Park",300248,true,1457107140000,false,BikePoints_800,false,
"Lavington Street, Bankside",300208,true,1458824640000,false,BikePoints_801,false,
"Albert Square, Stockwell",300209,true,1464865500000,false,BikePoints_802,false,
"Southwark Street, Bankside",300238,true,1464787860000,false,BikePoints_803,false,
"Good's Way, King's Cross",300243,true,1459410960000,false,BikePoints_804,false,
"The Metropolitan, Portobello",300244,true,1467626400000,false,BikePoints_805,false,
"Handyside Street, King's Cross",300241,true,1472723460000,false,BikePoints_806,false,
"Bevington Road West, North Kensington",300236,true,1466715600000,false,BikePoints_807,false,
