temporary,install_date,terminal_name,locked,common_name,installed,place_id,removal_date
false,1291725720000,002696,false,"Waterloo Station 1, Waterloo",true,BikePoints_374,
false,1291805820000,010632,false,"Kensington Town Hall, Kensington",true,BikePoints_375,
false,1294660980000,002683,false,"Millbank Tower, Pimlico",true,BikePoints_376,
false,1295265420000,002648,false,"Waterloo Bridge, South Bank",true,BikePoints_377,
false,1296121500000,002677,false,"Natural History Museum, South Kensington",true,BikePoints_378,
false,1296121680000,002682,false,"Turquoise Island, Notting Hill",true,BikePoints_379,
false,1296125400000,003506,false,"Stanhope Gate, Mayfair",true,BikePoints_380,
false,1296203760000,002669,false,"Charlotte Street, Fitzrovia",true,BikePoints_381,
false,1297159320000,002678,false,"Farm Street, Mayfair",true,BikePoints_382,
false,1296649200000,002660,false,"Frith Street, Soho",true,BikePoints_383,
false,1296731880000,003505,false,"Marloes Road, Kensington",true,BikePoints_384,
false,1296732540000,003504,false,"Moor Street, Soho",true,BikePoints_386,
false,1297077540000,002703,false,"Fire Brigade Pier, Vauxhall",true,BikePoints_387,
false,1297182180000,001228,false,"Southampton Street, Strand",true,BikePoints_388,
false,1297347960000,010621,false,"Upper Grosvenor Street, Mayfair",true,BikePoints_389,
false,1297764360000,001223,false,"Buxton Street 1, Shoreditch",true,BikePoints_390,
false,1297956480000,002688,false,"Clifford Street, Mayfair",true,BikePoints_391,1539846000000
false,1297958700000,001220,false,"Imperial College, Knightsbridge",true,BikePoints_392,
false,1298545440000,002699,false,"Snow Hill, Farringdon",true,BikePoints_393,
false,,002698,false,"Aberdeen Place, St. John's Wood",true,BikePoints_394,
false,1298908800000,002695,false,"Cadogan Gardens, Chelsea",true,BikePoints_395,
false,1299075120000,002693,false,"Shouldham Street, Marylebone",true,BikePoints_396,
false,1299075900000,001227,false,"Devonshire Terrace, Bayswater",true,BikePoints_397,
false,1299076440000,010631,false,"Holland Park, Kensington",true,BikePoints_398,
false,1299582900000,002687,false,"Brick Lane Market, Shoreditch",true,BikePoints_399,
false,1299583260000,001225,false,"George Street, Marylebone",true,BikePoints_400,
false,1299592500000,002701,false,"Columbia Road, Shoreditch",true,BikePoints_401,
false,1299592860000,010625,false,"Penfold Street, Marylebone",true,BikePoints_402,
false,1299593640000,010630,false,"George Place Mews, Marylebone",true,BikePoints_403,
false,1299669180000,001110,false,"Palace Gate, Kensington Gardens",true,BikePoints_404,
false,1299669300000,001107,false,"Gloucester Road Station, South Kensington",true,BikePoints_405,
false,,001129,false,"Sun Street, Liverpool Street",true,BikePoints_408,
false,,010624,false,"Strata, Elephant & Castle",true,BikePoints_409,
false,,001058,false,"Edgware Road Station, Marylebone",true,BikePoints_410,
false,,010629,false,"Rotherhithe Roundabout, Rotherhithe",true,BikePoints_411,
false,1302006180000,010628,false,"Cleaver Street, Kennington",true,BikePoints_412,
false,1308735300000,022160,false,"Chelsea Bridge, Pimlico",true,BikePoints_419,
false,1309258380000,022162,false,"Southwark Station 1, Southwark",true,BikePoints_420,
false,1309258440000,022163,false,"Southwark Station 2, Southwark",true,BikePoints_421,
false,1309860240000,022164,false,"Eaton Square (South), Belgravia",true,BikePoints_423,
false,1324551120000,022159,false,"Ebury Bridge, Pimlico",true,BikePoints_424,
false,1310463720000,022161,false,"Vincent Street, Pimlico",true,BikePoints_426,
false,1310725680000,022180,false,"Cheapside, Bank",true,BikePoints_427,
false,1318496100000,022179,false,"Exhibition Road, Knightsbridge",true,BikePoints_428,
false,1324549980000,022182,false,"South Parade, Chelsea",true,BikePoints_430,
false,1323355020000,022183,false,"Crinan Street, King's Cross",true,BikePoints_431,
false,1319448720000,022158,false,"Exhibition Road Museums 1, South Kensington",true,BikePoints_432,
false,1323361560000,022169,false,"Wren Street, Holborn",true,BikePoints_433,
false,1323346020000,022170,false,"Kennington Station, Kennington",true,BikePoints_435,
false,1384254300000,200121,false,"Shoreditch Court, Haggerston",true,BikePoints_698,
false,1384256040000,200057,false,"Belford House, Haggerston",true,BikePoints_699,
false,1384343280000,200201,false,"Battersea Church Road, Battersea",true,BikePoints_700,
false,1384345080000,200077,false,"Vicarage Crescent, Battersea",true,BikePoints_701,
false,1384345860000,200213,false,"Durant Street, Bethnal Green",true,BikePoints_702,
false,1384357800000,200094,false,"St. Bride Street, Holborn",true,BikePoints_703,
false,1384443480000,200063,false,"Mexfield Road, East Putney",true,BikePoints_704,
true,1384453020000,300042,false,"Upper Richmond Road, Putney",true,BikePoints_705,1539845700000
false,1384420920000,200193,false,"Snowsfields, London Bridge",true,BikePoints_706,
false,1384435680000,200197,false,"Barons Court Station, West Kensington",true,BikePoints_707,
false,1384530180000,200217,false,"Disraeli Road, Putney",true,BikePoints_708,
false,1384510140000,200205,false,"Montserrat Road , Putney",true,BikePoints_709,
false,1384520580000,300045,false,"Albert Bridge Road, Battersea Park",true,BikePoints_710,
false,1384791540000,300028,false,"Everington Street, Fulham",true,BikePoints_711,
false,1384797120000,300056,false,"Mile End Stadium, Mile End",true,BikePoints_712,
false,1384774620000,200122,false,"Hawley Crescent, Camden Town",true,BikePoints_713,
false,1384865400000,300055,false,"Stewart's Road, Wandsworth Road",true,BikePoints_714,
false,1384868460000,300049,false,"Aylward Street, Stepney",true,BikePoints_715,
false,1384952400000,300024,false,"Dunston Road , Haggerston",true,BikePoints_717,
false,1384962840000,300040,false,"Ada Street, Hackney Central",true,BikePoints_718,
false,1384968480000,300011,false,"Victoria Park Road, Hackney Central",true,BikePoints_719,
false,1385025840000,300038,false,"Star Road, West Kensington",true,BikePoints_720,
false,1385028480000,300039,false,"Wendon Street, Old Ford",true,BikePoints_721,
false,1385028600000,300041,false,"Finnis Street, Bethnal Green",true,BikePoints_722,
false,1385035380000,300053,false,"Stephendale Road, Sands End",true,BikePoints_723,
