installed,temporary,place_id,terminal_name,common_name,removal_date,locked,install_date
true,false,BikePoints_657,200220,"Blythe Road West, Shepherd's Bush",,false,1382621400000
true,false,BikePoints_658,300005,"Ethelburga Estate, Battersea Park",,false,1383731100000
true,false,BikePoints_659,200212,"Blackfriars Station, St. Paul's",,false,1382697060000
true,false,BikePoints_660,300020,"West Kensington Station, West Kensington",,false,1382705340000
true,false,BikePoints_661,300023,"All Saints Church, Portobello",,false,1382887680000
true,false,BikePoints_662,200189,"Phene Street, Chelsea",,false,1382866680000
true,false,BikePoints_663,200124,"Clarendon Road, Avondale",,false,1382870040000
true,false,BikePoints_664,300013,"Austin Road, Battersea Park",,false,1382964300000
true,false,BikePoints_665,200113,"Smugglers Way, Wandsworth",,false,1382975700000
true,false,BikePoints_667,200209,"Shepherd's Bush Road North, Shepherd's Bush",,false,1383136140000
true,false,BikePoints_668,300037,"Ravenscourt Park Station, Hammersmith",,false,1383143160000
true,false,BikePoints_669,300036,"Teversham Lane, Stockwell",,false,1383147660000
true,false,BikePoints_670,200169,"Ashley Crescent, Battersea",,false,1383212640000
true,false,BikePoints_671,300052,"Parsons Green Station, Parsons Green",,false,1383217920000
true,false,BikePoints_673,300051,"Hibbert Street, Battersea",,false,1383319500000
true,false,BikePoints_674,300035,"Carnegie Street, King's Cross",,false,
true,false,BikePoints_675,200126,"Usk Road, Clapham Junction",,false,1383322320000
true,false,BikePoints_676,200207,"Hartington Road, Stockwell",,false,1383584400000
true,false,BikePoints_677,200023,"Heath Road, Battersea",,false,1383476160000
true,false,BikePoints_678,200170,"Esmond Street, Putney",,false,1383653580000
true,false,BikePoints_679,200114,"Orbel Street, Battersea",,false,1383661200000
true,false,BikePoints_680,200210,"Westbridge Road, Battersea",,false,1383657480000
true,false,BikePoints_681,200043,"Bishop's Avenue, Fulham",,false,1383733440000
true,false,BikePoints_682,200059,"Crisp Road, Hammersmith",,false,1383738240000
true,false,BikePoints_683,200119,"Dorothy Road, Clapham Junction",,false,1383750420000
true,false,BikePoints_684,200188,"Neville Gill Close, Wandsworth",,false,1383823380000
true,false,BikePoints_685,200219,"Osiers Road, Wandsworth",,false,1383827400000
true,false,BikePoints_686,200097,"Beryl Road, Hammersmith",,false,1383835560000
