install_date,locked,installed,place_id,removal_date,terminal_name,temporary,common_name
1299075120000,false,true,BikePoints_396,,002693,false,"Shouldham Street, Marylebone"
1299075900000,false,true,BikePoints_397,,001227,false,"Devonshire Terrace, Bayswater"
1299076440000,false,true,BikePoints_398,,010631,false,"Holland Park, Kensington"
1299582900000,false,true,BikePoints_399,,002687,false,"Brick Lane Market, Shoreditch"
1299583260000,false,true,BikePoints_400,,001225,false,"George Street, Marylebone"
1299592500000,false,true,BikePoints_401,,002701,false,"Columbia Road, Shoreditch"
1299592860000,false,true,BikePoints_402,,010625,false,"Penfold Street, Marylebone"
1299593640000,false,true,BikePoints_403,,010630,false,"George Place Mews, Marylebone"
1299669180000,false,true,BikePoints_404,,001110,false,"Palace Gate, Kensington Gardens"
1299669300000,false,true,BikePoints_405,,001107,false,"Gloucester Road Station, South Kensington"
,false,true,BikePoints_408,,001129,false,"Sun Street, Liverpool Street"
,false,true,BikePoints_409,,010624,false,"Strata, Elephant & Castle"
,false,true,BikePoints_410,,001058,false,"Edgware Road Station, Marylebone"
,false,true,BikePoints_411,,010629,false,"Rotherhithe Roundabout, Rotherhithe"
1302006180000,false,true,BikePoints_412,,010628,false,"Cleaver Street, Kennington"
1308735300000,false,true,BikePoints_419,,022160,false,"Chelsea Bridge, Pimlico"
1309258380000,false,true,BikePoints_420,,022162,false,"Southwark Station 1, Southwark"
1309258440000,false,true,BikePoints_421,,022163,false,"Southwark Station 2, Southwark"
1309860240000,false,true,BikePoints_423,,022164,false,"Eaton Square (South), Belgravia"
1324551120000,false,true,BikePoints_424,,022159,false,"Ebury Bridge, Pimlico"
1310463720000,false,true,BikePoints_426,,022161,false,"Vincent Street, Pimlico"
1310725680000,false,true,BikePoints_427,,022180,false,"Cheapside, Bank"
1318496100000,false,true,BikePoints_428,,022179,false,"Exhibition Road, Knightsbridge"
1324549980000,false,true,BikePoints_430,,022182,false,"South Parade, Chelsea"
1323355020000,false,true,BikePoints_431,,022183,false,"Crinan Street, King's Cross"
1319448720000,false,true,BikePoints_432,,022158,false,"Exhibition Road Museums 1, South Kensington"
1384254300000,false,true,BikePoints_698,,200121,false,"Shoreditch Court, Haggerston"
1384256040000,false,true,BikePoints_699,,200057,false,"Belford House, Haggerston"
1384343280000,false,true,BikePoints_700,,200201,false,"Battersea Church Road, Battersea"
1384345080000,false,true,BikePoints_701,,200077,false,"Vicarage Crescent, Battersea"
1384345860000,false,true,BikePoints_702,,200213,false,"Durant Street, Bethnal Green"
1384357800000,false,true,BikePoints_703,,200094,false,"St. Bride Street, Holborn"
1384443480000,false,true,BikePoints_704,,200063,false,"Mexfield Road, East Putney"
1384453020000,false,true,BikePoints_705,1539845700000,300042,true,"Upper Richmond Road, Putney"
1384420920000,false,true,BikePoints_706,,200193,false,"Snowsfields, London Bridge"
1384435680000,false,true,BikePoints_707,,200197,false,"Barons Court Station, West Kensington"
1384530180000,false,true,BikePoints_708,,200217,false,"Disraeli Road, Putney"
1384510140000,false,true,BikePoints_709,,200205,false,"Montserrat Road , Putney"
1384520580000,false,true,BikePoints_710,,300045,false,"Albert Bridge Road, Battersea Park"
1384791540000,false,true,BikePoints_711,,300028,false,"Everington Street, Fulham"
1384797120000,false,true,BikePoints_712,,300056,false,"Mile End Stadium, Mile End"
1384774620000,false,true,BikePoints_713,,200122,false,"Hawley Crescent, Camden Town"
1384865400000,false,true,BikePoints_714,,300055,false,"Stewart's Road, Wandsworth Road"
1384868460000,false,true,BikePoints_715,,300049,false,"Aylward Street, Stepney"
1384873500000,false,true,BikePoints_716,,300048,false,"Stainsby Road , Poplar"
1384952400000,false,true,BikePoints_717,,300024,false,"Dunston Road , Haggerston"
1384962840000,false,true,BikePoints_718,,300040,false,"Ada Street, Hackney Central"
1384968480000,false,true,BikePoints_719,,300011,false,"Victoria Park Road, Hackney Central"
1385025840000,false,true,BikePoints_720,,300038,false,"Star Road, West Kensington"
1385028480000,false,true,BikePoints_721,,300039,false,"Wendon Street, Old Ford"
1385028600000,false,true,BikePoints_722,,300041,false,"Finnis Street, Bethnal Green"
1385035380000,false,true,BikePoints_723,,300053,false,"Stephendale Road, Sands End"
1385125380000,false,true,BikePoints_724,,300046,false,"Alma Road, Wandsworth"
1563352500000,false,true,BikePoints_725,,300050,false,"Walworth Square, Walworth"
