removal_date,locked,install_date,place_id,temporary,common_name,installed,terminal_name
,false,1472723460000,BikePoints_806,false,"Handyside Street, King's Cross",true,300241
,false,1466715600000,BikePoints_807,false,"Bevington Road West, North Kensington",true,300236
,false,1461753540000,BikePoints_808,false,"Gauden Road, Clapham",true,300207
,false,1467640800000,BikePoints_809,false,"Lincoln's Inn Fields, Holborn",true,300240
,false,1464943200000,BikePoints_810,false,"Tate Modern, Bankside",true,300237
,false,1469538960000,BikePoints_811,false,"Westferry Circus, Canary Wharf",true,300228
,false,1469005200000,BikePoints_812,false,"Here East North, Queen Elizabeth Olympic Park",true,300217
,false,1467627120000,BikePoints_813,false,"New Spring Gardens Walk, Vauxhall",true,300224
,false,1464870060000,BikePoints_814,false,"Clapham Road, Lingham Street, Stockwell",true,300245
,false,1462357680000,BikePoints_815,false,"Lambeth Palace Road, Waterloo",true,300231
,false,1489065360000,BikePoints_816,false,"Here East South, Queen Elizabeth Olympic Park",true,300219
,false,1464949140000,BikePoints_817,false,"Riverlight South, Nine Elms",true,300232
,false,1563958740000,BikePoints_818,false,"Westminster Pier, Westminster",true,300249
,false,1476360120000,BikePoints_819,false,"Belvedere Road 2, South Bank",true,300246
,false,1481807940000,BikePoints_820,false,"Victory Place, Walworth",true,300239
,false,1487335920000,BikePoints_821,false,"Battersea Power Station, Battersea Park",true,300221
,false,1500554880000,BikePoints_826,false,"Allington Street, Victoria",true,300242
,false,1517788800000,BikePoints_827,false,"Cranmer Road, Stockwell",true,300247
,false,1517788800000,BikePoints_828,false,"Normandy Road, Stockwell",true,300225
,false,1517443200000,BikePoints_829,false,"Wynne Road, Stockwell",true,300230
,false,1517961600000,BikePoints_830,false,"Sidney Road, Stockwell",true,300229
,false,1517961600000,BikePoints_831,false,"St John's Crescent, Brixton",true,300215
,false,1517961600000,BikePoints_832,false,"Ferndale Road, Brixton",true,200240
,false,1517875200000,BikePoints_833,false,"Saltoun Road, Brixton",true,300206
,false,1529449200000,BikePoints_834,false,"Gas Holders, Battersea Park",true,300216
,false,,BikePoints_835,false,"Farringdon Street, Holborn",true,300220
,false,,BikePoints_836,false,"York Way, Kings Cross",true,300235
,false,1539254700000,BikePoints_838,false,"Fore Street Avenue, Guildhall",true,300222
,false,1544611140000,BikePoints_839,false,"Sea Containers, South Bank",true,200144
,false,1599752640000,BikePoints_840,false,"George Row, Bermondsey",true,002679
,false,,BikePoints_841,false,"Tower Wharf, Bermondsey",true,002667
,false,1600856400000,BikePoints_842,false,"Temple Gardens, Temple",true,300250
,false,1608298140000,BikePoints_844,false,"Canada Water Station, Rotherhithe",true,300252
,false,1608303660000,BikePoints_845,false,"Bermondsey Station, Bermondsey",true,300253
,false,1278947280000,BikePoints_1,false,"River Street , Clerkenwell",true,001023
,false,1278585780000,BikePoints_2,false,"Phillimore Gardens, Kensington",true,001018
,false,1278240360000,BikePoints_3,false,"Christopher Street, Liverpool Street",true,001012
,false,1278241080000,BikePoints_4,false,"St. Chad's Street, King's Cross",true,001013
,false,1278241440000,BikePoints_5,false,"Sedding Street, Sloane Square",true,003420
,false,1278241680000,BikePoints_6,false,"Broadcasting House, Marylebone",true,003424
,false,1278241800000,BikePoints_7,false,"Charlbert Street, St. John's Wood",true,003422
,false,1540984560000,BikePoints_8,false,"Maida Vale, Maida Vale",true,003423
,false,1278242340000,BikePoints_9,false,"New Globe Walk, Bankside",true,001015
,false,1278242460000,BikePoints_10,false,"Park Street, Bankside",true,001024
,false,1278340440000,BikePoints_11,false,"Brunswick Square, Bloomsbury",true,001022
,false,1278340620000,BikePoints_12,false,"Malet Street, Bloomsbury",true,000980
,false,1278340800000,BikePoints_13,false,"Scala Street, Fitzrovia",true,000970
,false,1278341040000,BikePoints_14,false,"Belgrove Street , King's Cross",true,001011
,false,1278341220000,BikePoints_15,false,"Great Russell Street, Bloomsbury",true,000988
,false,1278341400000,BikePoints_16,false,"Cartwright Gardens , Bloomsbury",true,001010
,false,1278423720000,BikePoints_17,false,"Hatton Wall, Holborn",true,001008
,false,1278426300000,BikePoints_18,false,"Drury Lane, Covent Garden",true,001007
,false,1278426720000,BikePoints_19,false,"Taviton Street, Bloomsbury",true,001009
,false,1544659200000,BikePoints_20,false,"Drummond Street , Euston",true,000993
,false,1278427740000,BikePoints_21,false,"Lansdowne Drive, Hackney Central",true,003426
,false,1278428880000,BikePoints_22,false,"Northington Street , Holborn",true,003425
,false,1278429300000,BikePoints_23,false,"Red Lion Square, Holborn",true,003421
,false,1278430140000,BikePoints_24,false,"British Museum, Bloomsbury",true,000981
,false,1278433200000,BikePoints_25,false,"Doric Way , Somers Town",true,001004
,false,1278434160000,BikePoints_26,false,"Ampton Street , Clerkenwell",true,001019
,false,1278500160000,BikePoints_27,false,"Bouverie Street, Temple",true,001021
,false,1278500460000,BikePoints_28,false,"Bolsover Street, Fitzrovia",true,001025
,false,1278501180000,BikePoints_29,false,"Hereford Road, Bayswater",true,001016
,false,1278501420000,BikePoints_30,false,"Windsor Terrace, Hoxton",true,001029
,false,1278501600000,BikePoints_31,false,"Fanshaw Street, Hoxton",true,003427
,false,1278506700000,BikePoints_32,false,"Leonard Circus , Shoreditch",true,001020
