install_date,locked,installed,common_name,terminal_name,removal_date,temporary,place_id
1466715600000,false,true,"Bevington Road West, North Kensington",300236,,false,BikePoints_807
1461753540000,false,true,"Gauden Road, Clapham",300207,,false,BikePoints_808
1467640800000,false,true,"Lincoln's Inn Fields, Holborn",300240,,false,BikePoints_809
1464943200000,false,true,"Tate Modern, Bankside",300237,,false,BikePoints_810
1469538960000,false,true,"Westferry Circus, Canary Wharf",300228,,false,BikePoints_811
1469005200000,false,true,"Here East North, Queen Elizabeth Olympic Park",300217,,false,BikePoints_812
1467627120000,false,true,"New Spring Gardens Walk, Vauxhall",300224,,false,BikePoints_813
1464870060000,false,true,"Clapham Road, Lingham Street, Stockwell",300245,,false,BikePoints_814
1462357680000,false,true,"Lambeth Palace Road, Waterloo",300231,,false,BikePoints_815
1489065360000,false,true,"Here East South, Queen Elizabeth Olympic Park",300219,,false,BikePoints_816
1464949140000,false,true,"Riverlight South, Nine Elms",300232,,false,BikePoints_817
1563958740000,false,true,"Westminster Pier, Westminster",300249,,false,BikePoints_818
1476360120000,false,true,"Belvedere Road 2, South Bank",300246,,false,BikePoints_819
1481807940000,false,true,"Victory Place, Walworth",300239,,false,BikePoints_820
1487335920000,false,true,"Battersea Power Station, Battersea Park",300221,,false,BikePoints_821
1500554880000,false,true,"Allington Street, Victoria",300242,,false,BikePoints_826
1517788800000,false,true,"Cranmer Road, Stockwell",300247,,false,BikePoints_827
1517788800000,false,true,"Normandy Road, Stockwell",300225,,false,BikePoints_828
1517443200000,false,true,"Wynne Road, Stockwell",300230,,false,BikePoints_829
1517961600000,false,true,"Sidney Road, Stockwell",300229,,false,BikePoints_830
1517961600000,false,true,"St John's Crescent, Brixton",300215,,false,BikePoints_831
1517961600000,false,true,"Ferndale Road, Brixton",200240,,false,BikePoints_832
1517875200000,false,true,"Saltoun Road, Brixton",300206,,false,BikePoints_833
1529449200000,false,true,"Gas Holders, Battersea Park",300216,,false,BikePoints_834
,false,true,"Farringdon Street, Holborn",300220,,false,BikePoints_835
,false,true,"York Way, Kings Cross",300235,,false,BikePoints_836
1539254700000,false,true,"Fore Street Avenue, Guildhall",300222,,false,BikePoints_838
1544611140000,false,true,"Sea Containers, South Bank",200144,,false,BikePoints_839
1599752640000,false,true,"George Row, Bermondsey",002679,,false,BikePoints_840
,false,true,"Tower Wharf, Bermondsey",002667,,false,BikePoints_841
1608298140000,false,true,"Canada Water Station, Rotherhithe",300252,,false,BikePoints_844
1608303660000,false,true,"Bermondsey Station, Bermondsey",300253,,false,BikePoints_845
1278947280000,false,true,"River Street , Clerkenwell",001023,,false,BikePoints_1
1278585780000,false,true,"Phillimore Gardens, Kensington",001018,,false,BikePoints_2
1278240360000,false,true,"Christopher Street, Liverpool Street",001012,,false,BikePoints_3
1278241080000,false,true,"St. Chad's Street, King's Cross",001013,,false,BikePoints_4
1278241440000,false,true,"Sedding Street, Sloane Square",003420,,false,BikePoints_5
1278241680000,false,true,"Broadcasting House, Marylebone",003424,,false,BikePoints_6
1278241800000,false,true,"Charlbert Street, St. John's Wood",003422,,false,BikePoints_7
1540984560000,false,true,"Maida Vale, Maida Vale",003423,,false,BikePoints_8
1278242340000,false,true,"New Globe Walk, Bankside",001015,,false,BikePoints_9
1278242460000,false,true,"Park Street, Bankside",001024,,false,BikePoints_10
1278340440000,false,true,"Brunswick Square, Bloomsbury",001022,,false,BikePoints_11
1278340620000,false,true,"Malet Street, Bloomsbury",000980,,false,BikePoints_12
1278340800000,false,true,"Scala Street, Fitzrovia",000970,,false,BikePoints_13
1278341040000,false,true,"Belgrove Street , King's Cross",001011,,false,BikePoints_14
1278341220000,false,true,"Great Russell Street, Bloomsbury",000988,,false,BikePoints_15
1278341400000,false,true,"Cartwright Gardens , Bloomsbury",001010,,false,BikePoints_16
1278423720000,false,true,"Hatton Wall, Holborn",001008,,false,BikePoints_17
1278426300000,false,true,"Drury Lane, Covent Garden",001007,,false,BikePoints_18
1278426720000,false,true,"Taviton Street, Bloomsbury",001009,,false,BikePoints_19
1544659200000,false,true,"Drummond Street , Euston",000993,,false,BikePoints_20
1278427740000,false,true,"Lansdowne Drive, Hackney Central",003426,,false,BikePoints_21
1278428880000,false,true,"Northington Street , Holborn",003425,,false,BikePoints_22
1278429300000,false,true,"Red Lion Square, Holborn",003421,,false,BikePoints_23
1278430140000,false,true,"British Museum, Bloomsbury",000981,,false,BikePoints_24
1278433200000,false,true,"Doric Way , Somers Town",001004,,false,BikePoints_25
1278434160000,false,true,"Ampton Street , Clerkenwell",001019,,false,BikePoints_26
1278500160000,false,true,"Bouverie Street, Temple",001021,,false,BikePoints_27
1278500460000,false,true,"Bolsover Street, Fitzrovia",001025,,false,BikePoints_28
1278501180000,false,true,"Hereford Road, Bayswater",001016,,false,BikePoints_29
1278501420000,false,true,"Windsor Terrace, Hoxton",001029,,false,BikePoints_30
1278501600000,false,true,"Fanshaw Street, Hoxton",003427,,false,BikePoints_31
1278506700000,false,true,"Leonard Circus , Shoreditch",001020,,false,BikePoints_32
1278506940000,false,true,"Central House, Aldgate",003430,,false,BikePoints_33
1278507060000,false,true,"Pancras Road, King's Cross",003428,,false,BikePoints_34
1278519900000,false,true,"De Vere Gardens, Kensington",003446,,false,BikePoints_36
1278520020000,false,true,"Penywern Road, Earl's Court",003444,,false,BikePoints_37
1278584880000,false,true,"Abingdon Villas, Kensington",003442,,false,BikePoints_38
