locked,terminal_name,removal_date,installed,temporary,place_id,common_name,install_date
false,022161,,true,false,BikePoints_426,"Vincent Street, Pimlico",1310463720000
false,022180,,true,false,BikePoints_427,"Cheapside, Bank",1310725680000
false,022179,,true,false,BikePoints_428,"Exhibition Road, Knightsbridge",1318496100000
false,022182,,true,false,BikePoints_430,"South Parade, Chelsea",1324549980000
false,022183,,true,false,BikePoints_431,"Crinan Street, King's Cross",1323355020000
false,200129,,true,false,BikePoints_697,"Charlotte Terrace, Angel",1384251120000
false,200121,,true,false,BikePoints_698,"Shoreditch Court, Haggerston",1384254300000
false,200057,,true,false,BikePoints_699,"Belford House, Haggerston",1384256040000
false,200201,,true,false,BikePoints_700,"Battersea Church Road, Battersea",1384343280000
false,200077,,true,false,BikePoints_701,"Vicarage Crescent, Battersea",1384345080000
false,200213,,true,false,BikePoints_702,"Durant Street, Bethnal Green",1384345860000
false,200094,,true,false,BikePoints_703,"St. Bride Street, Holborn",1384357800000
false,200063,,true,false,BikePoints_704,"Mexfield Road, East Putney",1384443480000
false,300042,1539845700000,true,true,BikePoints_705,"Upper Richmond Road, Putney",1384453020000
false,200193,,true,false,BikePoints_706,"Snowsfields, London Bridge",1384420920000
false,200197,,true,false,BikePoints_707,"Barons Court Station, West Kensington",1384435680000
false,200217,,true,false,BikePoints_708,"Disraeli Road, Putney",1384530180000
false,200205,,true,false,BikePoints_709,"Montserrat Road , Putney",1384510140000
false,300045,,true,false,BikePoints_710,"Albert Bridge Road, Battersea Park",1384520580000
false,300028,,true,false,BikePoints_711,"Everington Street, Fulham",1384791540000
false,300056,,true,false,BikePoints_712,"Mile End Stadium, Mile End",1384797120000
false,300055,,true,false,BikePoints_714,"Stewart's Road, Wandsworth Road",1384865400000
false,300049,,true,false,BikePoints_715,"Aylward Street, Stepney",1384868460000
false,300024,,true,false,BikePoints_717,"Dunston Road , Haggerston",1384952400000
false,300040,,true,false,BikePoints_718,"Ada Street, Hackney Central",1384962840000
false,300011,,true,false,BikePoints_719,"Victoria Park Road, Hackney Central",1384968480000
false,300038,,true,false,BikePoints_720,"Star Road, West Kensington",1385025840000
false,300039,,true,false,BikePoints_721,"Wendon Street, Old Ford",1385028480000
false,300041,,true,false,BikePoints_722,"Finnis Street, Bethnal Green",1385028600000
false,300053,,true,false,BikePoints_723,"Stephendale Road, Sands End",1385035380000
false,300046,,true,false,BikePoints_724,"Alma Road, Wandsworth",1385125380000
false,300050,,true,false,BikePoints_725,"Walworth Square, Walworth",1563352500000
false,300047,,true,false,BikePoints_726,"Alfreda Street, Battersea Park",1385128740000
false,300054,,true,false,BikePoints_727,"Chesilton Road, Fulham",1385132160000
false,300044,,true,false,BikePoints_728,"Putney Bridge Road, East Putney",1385466780000
false,300043,,true,false,BikePoints_729,"St. Peter's Terrace, Fulham",1385391300000
false,300082,,true,false,BikePoints_730,"Bridge Avenue, Hammersmith",1385132580000
false,300095,,true,false,BikePoints_731,"Michael Road, Walham Green",1385394720000
false,300083,,true,false,BikePoints_732,"Duke Street Hill, London Bridge",1385458020000
false,300093,,true,false,BikePoints_733,"Park Lane, Mayfair",1385460840000
false,300094,,true,false,BikePoints_734,"Plough Terrace, Clapham Junction",1385464500000
false,200120,,true,false,BikePoints_735,"Grant Road East, Clapham Junction",1385383080000
false,300088,,true,false,BikePoints_736,"Queensdale Road, Shepherd's Bush",1385472900000
false,300086,,true,false,BikePoints_737,"Fulham Broadway, Walham Green",1385554620000
false,300087,,true,false,BikePoints_738,"Imperial Road, Sands End",1385563380000
