temporary,installed,terminal_name,install_date,locked,removal_date,common_name,place_id
false,true,300092,1386159900000,false,,"Hertford Road, De Beauvoir Town",BikePoints_748
false,true,300081,1386172440000,false,,"Haggerston Road, Haggerston",BikePoints_749
false,true,300080,1386240360000,false,,"Culvert Road, Battersea",BikePoints_750
false,true,300074,1386250800000,false,,"Newton Street, Covent Garden",BikePoints_751
false,true,300079,1650364320000,false,,"London Street, Paddington",BikePoints_752
false,true,300067,1389003540000,false,,"Grenfell Road, Avondale",BikePoints_754
false,true,300058,1389008580000,false,,"The Vale, Chelsea",BikePoints_755
false,true,300073,1390223040000,false,,"Prince of Wales Drive, Battersea Park",BikePoints_756
false,true,300069,1389094260000,false,,"Harcourt Terrace, West Brompton",BikePoints_757
false,true,300057,1389178020000,false,,"Westbourne Park Road, Portobello",BikePoints_758
false,true,300072,1389627480000,false,,"Broadley Terrace, Marylebone",BikePoints_759
false,true,300068,1389781800000,false,,"Humbolt Road, Fulham",BikePoints_761
false,true,200202,1392039000000,false,,"Storey's Gate, Westminster",BikePoints_762
false,true,300027,1392043020000,false,,"Mile End Park Leisure Centre, Mile End",BikePoints_763
false,true,200185,1392633480000,false,,"St. John's Road, Clapham Junction",BikePoints_764
false,true,300064,1392986940000,false,,"Ranelagh Gardens, Fulham",BikePoints_765
false,true,200079,1392894840000,false,,"Ram Street, Wandsworth",BikePoints_766
false,true,200177,1393406280000,false,,"Santos Road, Wandsworth",BikePoints_767
false,true,300065,1393494060000,false,,"Clapham Common North Side, Clapham Common",BikePoints_768
false,true,300001,1393939560000,false,,"Sandilands Road, Walham Green",BikePoints_769
false,true,300097,1394099280000,false,,"Gwendwr Road, West Kensington",BikePoints_770
false,true,300007,1394018400000,false,,"Rifle Place, Avondale",BikePoints_771
false,true,300015,1396442100000,false,,"Binfield Road, Stockwell",BikePoints_772
false,true,300096,1396262520000,false,,"Tallis Street, Temple",BikePoints_773
false,true,300098,1396265880000,false,,"Hurlingham Park, Parsons Green",BikePoints_774
false,true,300101,1396270320000,false,,"Little Brook Green, Brook Green",BikePoints_775
false,true,300099,1396273320000,false,,"Abyssinia Close, Clapham Junction",BikePoints_776
false,true,300100,1406282940000,false,,"Limburg Road, Clapham Junction",BikePoints_777
false,true,200072,1435313700000,false,,"Houndsditch, Aldgate",BikePoints_779
false,true,300070,1439455200000,false,,"Imperial Wharf Station, Sands End",BikePoints_780
false,true,300032,1446485340000,false,,"Victoria & Albert Museum, South Kensington",BikePoints_781
false,true,300210,1446485820000,false,,"Halford Road, West Kensington",BikePoints_782
false,true,000994,1279026060000,false,,"Tanner Street, Bermondsey",BikePoints_85
false,true,003434,1279027140000,false,,"Sancroft Street, Vauxhall",BikePoints_86
false,true,003438,1279027680000,false,,"Devonshire Square, Liverpool Street",BikePoints_87
false,true,001006,1279028280000,false,,"Bayley Street , Bloomsbury",BikePoints_88
false,true,003439,1279029360000,false,,"Tavistock Place, Bloomsbury",BikePoints_89
false,true,001038,1279030020000,false,,"Harrington Square 1, Camden Town",BikePoints_90
false,true,001076,1279036740000,false,,"Walnut Tree Walk, Vauxhall",BikePoints_91
false,true,001082,1279037040000,false,,"Borough Road, Elephant & Castle",BikePoints_92
false,true,002586,1279037760000,false,,"Cloudesley Road, Angel",BikePoints_93
false,true,001070,1279038420000,false,,"Bricklayers Arms, Borough",BikePoints_94
false,true,001047,1279096980000,false,,"Falkirk Street, Hoxton",BikePoints_96
false,true,003447,1279097580000,false,,"Gloucester Road (North), Kensington",BikePoints_97
false,true,000972,1279099080000,false,,"Hampstead Road, Euston",BikePoints_98
false,true,001085,1279099680000,false,,"Old Quebec Street, Marylebone",BikePoints_99
false,true,001059,1279099860000,false,,"Albert Embankment, Vauxhall",BikePoints_100
false,true,000999,1279102680000,false,,"Queen Street 1, Bank",BikePoints_101
false,true,001045,1279102860000,false,,"Jewry Street, Aldgate",BikePoints_102
false,true,003441,1279103520000,false,,"Vicarage Gate, Kensington",BikePoints_103
false,true,000991,1279103760000,false,,"Crosswall, Tower",BikePoints_104
false,true,001041,1279105320000,false,,"Westbourne Grove, Bayswater",BikePoints_105
false,true,001042,1279106880000,false,,"Woodstock Street, Mayfair",BikePoints_106
false,true,001049,1279107480000,false,,"Finsbury Leisure Centre, St. Luke's",BikePoints_107
false,true,003429,1279107720000,false,,"Abbey Orchard Street, Westminster",BikePoints_108
false,true,001052,1279108320000,false,,"Soho Square , Soho",BikePoints_109
false,true,001055,1279108920000,false,,"Wellington Road, St. John's Wood",BikePoints_110
false,true,001037,1279109160000,false,,"Park Lane , Hyde Park",BikePoints_111
false,true,003435,1279116600000,false,,"Gloucester Road (Central), South Kensington",BikePoints_113
false,true,001050,1279119900000,false,,"Park Road (Baker Street), The Regent's Park",BikePoints_114
false,true,001062,1279120680000,false,,"Braham Street, Aldgate",BikePoints_115
false,true,000995,1279122360000,false,,"Little Argyll Street, West End",BikePoints_116
false,true,000998,1279124220000,false,,"Lollard Street, Vauxhall",BikePoints_117
false,true,003457,1279124520000,false,,"Rochester Row, Westminster",BikePoints_118
false,true,000964,1279124760000,false,,"Bath Street, St. Luke's",BikePoints_119
false,true,001044,1279187040000,false,,"The Guildhall, Guildhall",BikePoints_120
false,true,001086,1279189200000,false,,"Baker Street, Marylebone",BikePoints_121
false,true,001068,1279190040000,false,,"Norton Folgate, Liverpool Street",BikePoints_122
false,true,000992,1279191300000,false,,"St. John Street, Finsbury",BikePoints_123
