common_name,terminal_name,removal_date,locked,temporary,place_id,installed,install_date
"Columbia Road, Shoreditch",002701,,false,false,BikePoints_401,true,1299592500000
"Penfold Street, Marylebone",010625,,false,false,BikePoints_402,true,1299592860000
"George Place Mews, Marylebone",010630,,false,false,BikePoints_403,true,1299593640000
"Palace Gate, Kensington Gardens",001110,,false,false,BikePoints_404,true,1299669180000
"Gloucester Road Station, South Kensington",001107,,false,false,BikePoints_405,true,1299669300000
"Sun Street, Liverpool Street",001129,,false,false,BikePoints_408,true,
"Strata, Elephant & Castle",010624,,false,false,BikePoints_409,true,
"Edgware Road Station, Marylebone",001058,,false,false,BikePoints_410,true,
"Rotherhithe Roundabout, Rotherhithe",010629,,false,false,BikePoints_411,true,
"Cleaver Street, Kennington",010628,,false,false,BikePoints_412,true,1302006180000
"Chelsea Bridge, Pimlico",022160,,false,false,BikePoints_419,true,1308735300000
"Southwark Station 1, Southwark",022162,,false,false,BikePoints_420,true,1309258380000
"Southwark Station 2, Southwark",022163,,false,false,BikePoints_421,true,1309258440000
"Eaton Square (South), Belgravia",022164,,false,false,BikePoints_423,true,1309860240000
"Ebury Bridge, Pimlico",022159,,false,false,BikePoints_424,true,1324551120000
"Vincent Street, Pimlico",022161,,false,false,BikePoints_426,true,1310463720000
"Cheapside, Bank",022180,,false,false,BikePoints_427,true,1310725680000
"Exhibition Road, Knightsbridge",022179,,false,false,BikePoints_428,true,1318496100000
"South Parade, Chelsea",022182,,false,false,BikePoints_430,true,1324549980000
"Crinan Street, King's Cross",022183,,false,false,BikePoints_431,true,1323355020000
"Exhibition Road Museums 1, South Kensington",022158,,false,false,BikePoints_432,true,1319448720000
"Shoreditch Court, Haggerston",200121,,false,false,BikePoints_698,true,1384254300000
"Belford House, Haggerston",200057,,false,false,BikePoints_699,true,1384256040000
"Battersea Church Road, Battersea",200201,,false,false,BikePoints_700,true,1384343280000
"Vicarage Crescent, Battersea",200077,,false,false,BikePoints_701,true,1384345080000
"Durant Street, Bethnal Green",200213,,false,false,BikePoints_702,true,1384345860000
"St. Bride Street, Holborn",200094,,false,false,BikePoints_703,true,1384357800000
"Mexfield Road, East Putney",200063,,false,false,BikePoints_704,true,1384443480000
"Upper Richmond Road, Putney",300042,1539845700000,false,true,BikePoints_705,true,1384453020000
"Snowsfields, London Bridge",200193,,false,false,BikePoints_706,true,1384420920000
"Barons Court Station, West Kensington",200197,,false,false,BikePoints_707,true,1384435680000
"Disraeli Road, Putney",200217,,false,false,BikePoints_708,true,1384530180000
"Montserrat Road , Putney",200205,,false,false,BikePoints_709,true,1384510140000
"Albert Bridge Road, Battersea Park",300045,,false,false,BikePoints_710,true,1384520580000
"Everington Street, Fulham",300028,,false,false,BikePoints_711,true,1384791540000
"Mile End Stadium, Mile End",300056,,false,false,BikePoints_712,true,1384797120000
"Hawley Crescent, Camden Town",200122,,false,false,BikePoints_713,true,1384774620000
"Stewart's Road, Wandsworth Road",300055,,false,false,BikePoints_714,true,1384865400000
"Aylward Street, Stepney",300049,,false,false,BikePoints_715,true,1384868460000
"Stainsby Road , Poplar",300048,,false,false,BikePoints_716,true,1384873500000
"Dunston Road , Haggerston",300024,,false,false,BikePoints_717,true,1384952400000
"Ada Street, Hackney Central",300040,,false,false,BikePoints_718,true,1384962840000
"Victoria Park Road, Hackney Central",300011,,false,false,BikePoints_719,true,1384968480000
"Star Road, West Kensington",300038,,false,false,BikePoints_720,true,1385025840000
"Wendon Street, Old Ford",300039,,false,false,BikePoints_721,true,1385028480000
"Finnis Street, Bethnal Green",300041,,false,false,BikePoints_722,true,1385028600000
"Stephendale Road, Sands End",300053,,false,false,BikePoints_723,true,1385035380000
"Alma Road, Wandsworth",300046,,false,false,BikePoints_724,true,1385125380000
"Walworth Square, Walworth",300050,,false,false,BikePoints_725,true,1563352500000
"Alfreda Street, Battersea Park",300047,,false,false,BikePoints_726,true,1385128740000
"Chesilton Road, Fulham",300054,,false,false,BikePoints_727,true,1385132160000
"Putney Bridge Road, East Putney",300044,,false,false,BikePoints_728,true,1385466780000
"St. Peter's Terrace, Fulham",300043,,false,false,BikePoints_729,true,1385391300000
"Bridge Avenue, Hammersmith",300082,,false,false,BikePoints_730,true,1385132580000
"Michael Road, Walham Green",300095,,false,false,BikePoints_731,true,1385394720000
"Duke Street Hill, London Bridge",300083,,false,false,BikePoints_732,true,1385458020000
"Park Lane, Mayfair",300093,,false,false,BikePoints_733,true,1385460840000
"Plough Terrace, Clapham Junction",300094,,false,false,BikePoints_734,true,1385464500000
"Grant Road East, Clapham Junction",200120,,false,false,BikePoints_735,true,1385383080000
"Queensdale Road, Shepherd's Bush",300088,,false,false,BikePoints_736,true,1385472900000
"Fulham Broadway, Walham Green",300086,,false,false,BikePoints_737,true,1385554620000
"Imperial Road, Sands End",300087,,false,false,BikePoints_738,true,1385563380000
"Hortensia Road, West Brompton",300091,,false,false,BikePoints_739,true,1385631000000
"Sirdar Road, Avondale",300084,,false,false,BikePoints_740,true,1385635440000
"Freston Road, Avondale",300085,,false,false,BikePoints_741,true,1385640120000
"Blenheim Crescent, Ladbroke Grove",300090,,false,false,BikePoints_742,true,1385649540000
"Oxford Road, Putney",300078,,false,false,BikePoints_743,true,1385723700000
"Ingrave Street, Clapham Junction",300077,,false,false,BikePoints_744,true,1385729760000
"Upcerne Road, West Chelsea",300075,,false,false,BikePoints_745,true,1385740020000
"Lots Road, West Chelsea",300076,,false,false,BikePoints_746,true,1385985720000
"Ormonde Gate, Chelsea",300089,,false,false,BikePoints_747,true,1385997240000
"Hertford Road, De Beauvoir Town",300092,,false,false,BikePoints_748,true,1386159900000
"Haggerston Road, Haggerston",300081,,false,false,BikePoints_749,true,1386172440000
"Culvert Road, Battersea",300080,,false,false,BikePoints_750,true,1386240360000
"Newton Street, Covent Garden",300074,,false,false,BikePoints_751,true,1386250800000
"London Street, Paddington",300079,,false,false,BikePoints_752,true,1650364320000
"Grenfell Road, Avondale",300067,,false,false,BikePoints_754,true,1389003540000
"The Vale, Chelsea",300058,,false,false,BikePoints_755,true,1389008580000
"Prince of Wales Drive, Battersea Park",300073,,false,false,BikePoints_756,true,1390223040000
"Harcourt Terrace, West Brompton",300069,,false,false,BikePoints_757,true,1389094260000
"Westbourne Park Road, Portobello",300057,,false,false,BikePoints_758,true,1389178020000
"Broadley Terrace, Marylebone",300072,,false,false,BikePoints_759,true,1389627480000
