temporary,common_name,terminal_name,place_id,installed,install_date,locked,removal_date
false,"St. Mary & St. Michael Church, Stepney",200082,BikePoints_464,true,1326304980000,false,
false,"Pitfield Street North,Hoxton",200152,BikePoints_465,true,1333613280000,false,
false,"Whiston Road, Haggerston",200158,BikePoints_466,true,1326360000000,false,
false,"Southern Grove, Bow",200168,BikePoints_467,true,1326374040000,false,
false,"Cantrell Road, Bow",200150,BikePoints_468,true,1326375720000,false,
false,"Lindfield Street, Poplar",022178,BikePoints_469,true,1326381060000,false,
false,"Mostyn Grove, Bow",200174,BikePoints_470,true,1326790620000,false,
false,"Hewison Street, Old Ford",200006,BikePoints_471,true,1326790860000,false,
false,"Malmesbury Road, Bow",200019,BikePoints_472,true,1326791160000,false,
false,"Millharbour, Millwall",022167,BikePoints_473,true,1326816540000,false,
false,"Gascoyne Road, Victoria Park",200155,BikePoints_474,true,1326822960000,false,
false,"Lightermans Road, Millwall",200004,BikePoints_475,true,1326825480000,false,
false,"Stebondale Street, Cubitt Town",200009,BikePoints_476,true,1326962100000,false,
false,"Spindrift Avenue, Millwall",200018,BikePoints_477,true,1326963780000,false,
false,"Stepney Green Station, Stepney",200012,BikePoints_478,true,1326965580000,false,
false,"Pott Street, Bethnal Green",200156,BikePoints_479,true,1326966240000,false,
false,"Flamborough Street, Limehouse",200115,BikePoints_480,true,1326975420000,false,
false,"Saunders Ness Road, Cubitt Town",200022,BikePoints_481,true,1326996480000,false,
false,"Exhibition Road Museums 2, South Kensington",200052,BikePoints_482,true,1326996720000,false,
false,"Albert Gardens, Stepney",022166,BikePoints_483,true,1327088280000,false,
false,"Bromley High Street, Bow",022172,BikePoints_484,true,1327339740000,false,
false,"Old Ford Road, Bethnal Green",022173,BikePoints_485,true,1327255440000,false,
false,"Granby Street, Shoreditch",022174,BikePoints_486,true,1327338660000,false,
false,"Canton Street, Poplar",022175,BikePoints_487,true,1327936860000,false,
false,"Reardon Street, Wapping",022176,BikePoints_488,true,1327254960000,false,
false,"Pennington Street, Wapping",200090,BikePoints_490,true,,false,
false,"Queen Mary's, Mile End",200249,BikePoints_491,true,1327256220000,false,
false,"Maplin Street, Mile End",200230,BikePoints_492,true,1327256520000,false,
false,"South Quay East, Canary Wharf",200233,BikePoints_494,true,1327433220000,false,
false,"Bow Church Station, Bow",200252,BikePoints_495,true,1327340460000,false,
false,"Devons Road, Bow",200255,BikePoints_496,true,1327400820000,false,
false,"Merchant Street, Bow",200242,BikePoints_497,true,1327398420000,false,
false,"Bow Road Station, Bow",200251,BikePoints_498,true,1327398660000,false,
false,"Furze Green, Bow",200011,BikePoints_499,true,1327407960000,false,
false,"Ansell House, Stepney",200148,BikePoints_500,true,1327430040000,false,
false,"Cephas Street, Bethnal Green",200073,BikePoints_501,true,1327430220000,false,
false,"Bonner Gate, Victoria Park",200241,BikePoints_502,true,1563957840000,false,
false,"Cleveland Way, Stepney",200250,BikePoints_503,true,1327492920000,false,
false,"St. John's Park, Cubitt Town",200243,BikePoints_504,true,1327937820000,false,
false,"Ackroyd Drive, Bow",200038,BikePoints_505,true,1327937460000,false,
false,"Bell Lane, Liverpool Street",200036,BikePoints_506,true,1327938660000,false,
false,"Clarkson Street, Bethnal Green",200131,BikePoints_507,true,1327938420000,false,
false,"Fournier Street, Whitechapel",200157,BikePoints_508,true,1327938180000,false,
false,"Fore Street, Guildhall",200253,BikePoints_509,true,1327938120000,false,
false,"Westferry DLR, Limehouse",200238,BikePoints_510,true,,false,
false,"Sutton Street, Shadwell",200256,BikePoints_511,true,1327937940000,false,
false,"Pritchard's Road, Bethnal Green",200083,BikePoints_512,true,1328112600000,false,
false,"Watney Market, Stepney",200162,BikePoints_513,true,,false,
false,"Portman Square, Marylebone",200008,BikePoints_514,true,1328201520000,false,
