locked,temporary,installed,common_name,place_id,install_date,removal_date,terminal_name
false,false,true,"Southwark Station 2, Southwark",BikePoints_421,1309258440000,,022163
false,false,true,"Eaton Square (South), Belgravia",BikePoints_423,1309860240000,,022164
false,false,true,"Ebury Bridge, Pimlico",BikePoints_424,1324551120000,,022159
false,false,true,"Vincent Street, Pimlico",BikePoints_426,1310463720000,,022161
false,false,true,"Cheapside, Bank",BikePoints_427,1310725680000,,022180
false,false,true,"Exhibition Road, Knightsbridge",BikePoints_428,1318496100000,,022179
false,false,true,"South Parade, Chelsea",BikePoints_430,1324549980000,,022182
false,false,true,"Crinan Street, King's Cross",BikePoints_431,1323355020000,,022183
false,false,true,"Exhibition Road Museums 1, South Kensington",BikePoints_432,1319448720000,,022158
false,false,true,"Wren Street, Holborn",BikePoints_433,1323361560000,,022169
false,false,true,"Kennington Station, Kennington",BikePoints_435,1323346020000,,022170
false,false,true,"Shoreditch Court, Haggerston",BikePoints_698,1384254300000,,200121
false,false,true,"Belford House, Haggerston",BikePoints_699,1384256040000,,200057
false,false,true,"Battersea Church Road, Battersea",BikePoints_700,1384343280000,,200201
false,false,true,"Vicarage Crescent, Battersea",BikePoints_701,1384345080000,,200077
false,false,true,"Durant Street, Bethnal Green",BikePoints_702,1384345860000,,200213
false,false,true,"St. Bride Street, Holborn",BikePoints_703,1384357800000,,200094
false,false,true,"Mexfield Road, East Putney",BikePoints_704,1384443480000,,200063
false,true,true,"Upper Richmond Road, Putney",BikePoints_705,1384453020000,1539845700000,300042
false,false,true,"Snowsfields, London Bridge",BikePoints_706,1384420920000,,200193
false,false,true,"Barons Court Station, West Kensington",BikePoints_707,1384435680000,,200197
false,false,true,"Disraeli Road, Putney",BikePoints_708,1384530180000,,200217
false,false,true,"Montserrat Road , Putney",BikePoints_709,1384510140000,,200205
false,false,true,"Albert Bridge Road, Battersea Park",BikePoints_710,1384520580000,,300045
false,false,true,"Everington Street, Fulham",BikePoints_711,1384791540000,,300028
false,false,true,"Mile End Stadium, Mile End",BikePoints_712,1384797120000,,300056
false,false,true,"Hawley Crescent, Camden Town",BikePoints_713,1384774620000,,200122
false,false,true,"Stewart's Road, Wandsworth Road",BikePoints_714,1384865400000,,300055
false,false,true,"Aylward Street, Stepney",BikePoints_715,1384868460000,,300049
false,false,true,"Dunston Road , Haggerston",BikePoints_717,1384952400000,,300024
false,false,true,"Ada Street, Hackney Central",BikePoints_718,1384962840000,,300040
