terminal_name,installed,install_date,common_name,temporary,place_id,locked,removal_date
200189,true,1382866680000,"Phene Street, Chelsea",false,BikePoints_662,false,
200124,true,1382870040000,"Clarendon Road, Avondale",false,BikePoints_663,false,
300013,true,1382964300000,"Austin Road, Battersea Park",false,BikePoints_664,false,
200113,true,1382975700000,"Smugglers Way, Wandsworth",false,BikePoints_665,false,
200209,true,1383136140000,"Shepherd's Bush Road North, Shepherd's Bush",false,BikePoints_667,false,
300037,true,1383143160000,"Ravenscourt Park Station, Hammersmith",false,BikePoints_668,false,
300036,true,1383147660000,"Teversham Lane, Stockwell",false,BikePoints_669,false,
200169,true,1383212640000,"Ashley Crescent, Battersea",false,BikePoints_670,false,
300052,true,1383217920000,"Parsons Green Station, Parsons Green",false,BikePoints_671,false,
300051,true,1383319500000,"Hibbert Street, Battersea",false,BikePoints_673,false,
300035,true,,"Carnegie Street, King's Cross",false,BikePoints_674,false,
200126,true,1383322320000,"Usk Road, Clapham Junction",false,BikePoints_675,false,
200207,true,1383584400000,"Hartington Road, Stockwell",false,BikePoints_676,false,
200023,true,1383476160000,"Heath Road, Battersea",false,BikePoints_677,false,
200170,true,1383653580000,"Esmond Street, Putney",false,BikePoints_678,false,
200114,true,1383661200000,"Orbel Street, Battersea",false,BikePoints_679,false,
200210,true,1383657480000,"Westbridge Road, Battersea",false,BikePoints_680,false,
200043,true,1383733440000,"Bishop's Avenue, Fulham",false,BikePoints_681,false,
200059,true,1383738240000,"Crisp Road, Hammersmith",false,BikePoints_682,false,
200119,true,1383750420000,"Dorothy Road, Clapham Junction",false,BikePoints_683,false,
200188,true,1383823380000,"Neville Gill Close, Wandsworth",false,BikePoints_684,false,
200219,true,1383827400000,"Osiers Road, Wandsworth",false,BikePoints_685,false,
200097,true,1383835560000,"Beryl Road, Hammersmith",false,BikePoints_686,false,
200204,true,1383915240000,"Northfields, Wandsworth",false,BikePoints_688,false,
200106,true,1383918180000,"Spanish Road, Clapham Junction",false,BikePoints_689,false,
200199,true,1383924660000,"Stanley Grove, Battersea",false,BikePoints_690,false,
200184,true,1384763520000,"Erin Close, Walham Green",false,BikePoints_691,false,
200112,true,1384166220000,"Cadogan Close, Victoria Park",false,BikePoints_692,false,
300019,true,1384001160000,"Felsham Road, Putney",false,BikePoints_693,false,
300033,true,1384004640000,"Putney Rail Station, Putney",false,BikePoints_694,false,
300031,true,1384172820000,"Islington Green, Angel",false,BikePoints_695,false,
300018,true,1384180020000,"Charing Cross Hospital, Hammersmith",false,BikePoints_696,false,
200129,true,1384251120000,"Charlotte Terrace, Angel",false,BikePoints_697,false,
001023,true,1278947280000,"River Street , Clerkenwell",false,BikePoints_1,false,
001018,true,1278585780000,"Phillimore Gardens, Kensington",false,BikePoints_2,false,
001012,true,1278240360000,"Christopher Street, Liverpool Street",false,BikePoints_3,false,
001013,true,1278241080000,"St. Chad's Street, King's Cross",false,BikePoints_4,false,
003420,true,1278241440000,"Sedding Street, Sloane Square",false,BikePoints_5,false,
003424,true,1278241680000,"Broadcasting House, Marylebone",false,BikePoints_6,false,
003422,true,1278241800000,"Charlbert Street, St. John's Wood",false,BikePoints_7,false,
003423,true,1540984560000,"Maida Vale, Maida Vale",false,BikePoints_8,false,
001015,true,1278242340000,"New Globe Walk, Bankside",false,BikePoints_9,false,
001024,true,1278242460000,"Park Street, Bankside",false,BikePoints_10,false,
001022,true,1278340440000,"Brunswick Square, Bloomsbury",false,BikePoints_11,false,
000980,true,1278340620000,"Malet Street, Bloomsbury",false,BikePoints_12,false,
000970,true,1278340800000,"Scala Street, Fitzrovia",false,BikePoints_13,false,
001011,true,1278341040000,"Belgrove Street , King's Cross",false,BikePoints_14,false,
000988,true,1278341220000,"Great Russell Street, Bloomsbury",false,BikePoints_15,false,
001010,true,1278341400000,"Cartwright Gardens , Bloomsbury",false,BikePoints_16,false,
001008,true,1278423720000,"Hatton Wall, Holborn",false,BikePoints_17,false,
001007,true,1278426300000,"Drury Lane, Covent Garden",false,BikePoints_18,false,
001009,true,1278426720000,"Taviton Street, Bloomsbury",false,BikePoints_19,false,
