temporary,locked,removal_date,terminal_name,install_date,place_id,common_name,installed
false,false,,300007,1394018400000,BikePoints_771,"Rifle Place, Avondale",true
false,false,,300015,1396442100000,BikePoints_772,"Binfield Road, Stockwell",true
false,false,,300096,1396262520000,BikePoints_773,"Tallis Street, Temple",true
false,false,,300098,1396265880000,BikePoints_774,"Hurlingham Park, Parsons Green",true
false,false,,300101,1396270320000,BikePoints_775,"Little Brook Green, Brook Green",true
false,false,,300099,1396273320000,BikePoints_776,"Abyssinia Close, Clapham Junction",true
false,false,,300100,1406282940000,BikePoints_777,"Limburg Road, Clapham Junction",true
false,false,,200072,1435313700000,BikePoints_779,"Houndsditch, Aldgate",true
false,false,,300070,1439455200000,BikePoints_780,"Imperial Wharf Station, Sands End",true
false,false,,300032,1446485340000,BikePoints_781,"Victoria & Albert Museum, South Kensington",true
false,false,,300210,1446485820000,BikePoints_782,"Halford Road, West Kensington",true
false,false,,000994,1279026060000,BikePoints_85,"Tanner Street, Bermondsey",true
false,false,,003434,1279027140000,BikePoints_86,"Sancroft Street, Vauxhall",true
false,false,,003438,1279027680000,BikePoints_87,"Devonshire Square, Liverpool Street",true
false,false,,001006,1279028280000,BikePoints_88,"Bayley Street , Bloomsbury",true
false,false,,003439,1279029360000,BikePoints_89,"Tavistock Place, Bloomsbury",true
false,false,,001038,1279030020000,BikePoints_90,"Harrington Square 1, Camden Town",true
false,false,,001076,1279036740000,BikePoints_91,"Walnut Tree Walk, Vauxhall",true
false,false,,001082,1279037040000,BikePoints_92,"Borough Road, Elephant & Castle",true
false,false,,002586,1279037760000,BikePoints_93,"Cloudesley Road, Angel",true
false,false,,001070,1279038420000,BikePoints_94,"Bricklayers Arms, Borough",true
false,false,,001047,1279096980000,BikePoints_96,"Falkirk Street, Hoxton",true
false,false,,003447,1279097580000,BikePoints_97,"Gloucester Road (North), Kensington",true
false,false,,000972,1279099080000,BikePoints_98,"Hampstead Road, Euston",true
false,false,,001085,1279099680000,BikePoints_99,"Old Quebec Street, Marylebone",true
false,false,,001059,1279099860000,BikePoints_100,"Albert Embankment, Vauxhall",true
false,false,,000999,1279102680000,BikePoints_101,"Queen Street 1, Bank",true
false,false,,001045,1279102860000,BikePoints_102,"Jewry Street, Aldgate",true
false,false,,003441,1279103520000,BikePoints_103,"Vicarage Gate, Kensington",true
false,false,,000991,1279103760000,BikePoints_104,"Crosswall, Tower",true
false,false,,001041,1279105320000,BikePoints_105,"Westbourne Grove, Bayswater",true
false,false,,001042,1279106880000,BikePoints_106,"Woodstock Street, Mayfair",true
false,false,,001049,1279107480000,BikePoints_107,"Finsbury Leisure Centre, St. Luke's",true
false,false,,003429,1279107720000,BikePoints_108,"Abbey Orchard Street, Westminster",true
false,false,,001052,1279108320000,BikePoints_109,"Soho Square , Soho",true
