temporary,terminal_name,locked,common_name,install_date,place_id,installed,removal_date
false,200121,false,"Shoreditch Court, Haggerston",1384254300000,BikePoints_698,true,
false,200057,false,"Belford House, Haggerston",1384256040000,BikePoints_699,true,
false,200201,false,"Battersea Church Road, Battersea",1384343280000,BikePoints_700,true,
false,200077,false,"Vicarage Crescent, Battersea",1384345080000,BikePoints_701,true,
false,200213,false,"Durant Street, Bethnal Green",1384345860000,BikePoints_702,true,
false,200094,false,"St. Bride Street, Holborn",1384357800000,BikePoints_703,true,
false,200063,false,"Mexfield Road, East Putney",1384443480000,BikePoints_704,true,
true,300042,false,"Upper Richmond Road, Putney",1384453020000,BikePoints_705,true,1539845700000
false,200193,false,"Snowsfields, London Bridge",1384420920000,BikePoints_706,true,
false,200197,false,"Barons Court Station, West Kensington",1384435680000,BikePoints_707,true,
false,200217,false,"Disraeli Road, Putney",1384530180000,BikePoints_708,true,
false,200205,false,"Montserrat Road , Putney",1384510140000,BikePoints_709,true,
false,300045,false,"Albert Bridge Road, Battersea Park",1384520580000,BikePoints_710,true,
false,300028,false,"Everington Street, Fulham",1384791540000,BikePoints_711,true,
false,300056,false,"Mile End Stadium, Mile End",1384797120000,BikePoints_712,true,
false,200122,false,"Hawley Crescent, Camden Town",1384774620000,BikePoints_713,true,
false,300055,false,"Stewart's Road, Wandsworth Road",1384865400000,BikePoints_714,true,
false,300049,false,"Aylward Street, Stepney",1384868460000,BikePoints_715,true,
false,300024,false,"Dunston Road , Haggerston",1384952400000,BikePoints_717,true,
false,300040,false,"Ada Street, Hackney Central",1384962840000,BikePoints_718,true,
false,300011,false,"Victoria Park Road, Hackney Central",1384968480000,BikePoints_719,true,
false,300038,false,"Star Road, West Kensington",1385025840000,BikePoints_720,true,
false,300039,false,"Wendon Street, Old Ford",1385028480000,BikePoints_721,true,
false,300041,false,"Finnis Street, Bethnal Green",1385028600000,BikePoints_722,true,
false,300053,false,"Stephendale Road, Sands End",1385035380000,BikePoints_723,true,
false,300046,false,"Alma Road, Wandsworth",1385125380000,BikePoints_724,true,
false,300050,false,"Walworth Square, Walworth",1563352500000,BikePoints_725,true,
false,300047,false,"Alfreda Street, Battersea Park",1385128740000,BikePoints_726,true,
false,300054,false,"Chesilton Road, Fulham",1385132160000,BikePoints_727,true,
false,300044,false,"Putney Bridge Road, East Putney",1385466780000,BikePoints_728,true,
false,300043,false,"St. Peter's Terrace, Fulham",1385391300000,BikePoints_729,true,
false,300082,false,"Bridge Avenue, Hammersmith",1385132580000,BikePoints_730,true,
false,300095,false,"Michael Road, Walham Green",1385394720000,BikePoints_731,true,
false,300083,false,"Duke Street Hill, London Bridge",1385458020000,BikePoints_732,true,
false,300093,false,"Park Lane, Mayfair",1385460840000,BikePoints_733,true,
false,300094,false,"Plough Terrace, Clapham Junction",1385464500000,BikePoints_734,true,
false,200120,false,"Grant Road East, Clapham Junction",1385383080000,BikePoints_735,true,
false,300088,false,"Queensdale Road, Shepherd's Bush",1385472900000,BikePoints_736,true,
false,300086,false,"Fulham Broadway, Walham Green",1385554620000,BikePoints_737,true,
false,300087,false,"Imperial Road, Sands End",1385563380000,BikePoints_738,true,
false,300091,false,"Hortensia Road, West Brompton",1385631000000,BikePoints_739,true,
false,300084,false,"Sirdar Road, Avondale",1385635440000,BikePoints_740,true,
false,300085,false,"Freston Road, Avondale",1385640120000,BikePoints_741,true,
false,300090,false,"Blenheim Crescent, Ladbroke Grove",1385649540000,BikePoints_742,true,
false,300078,false,"Oxford Road, Putney",1385723700000,BikePoints_743,true,
false,300077,false,"Ingrave Street, Clapham Junction",1385729760000,BikePoints_744,true,
false,300075,false,"Upcerne Road, West Chelsea",1385740020000,BikePoints_745,true,
false,300076,false,"Lots Road, West Chelsea",1385985720000,BikePoints_746,true,
false,300089,false,"Ormonde Gate, Chelsea",1385997240000,BikePoints_747,true,
false,300092,false,"Hertford Road, De Beauvoir Town",1386159900000,BikePoints_748,true,
false,300081,false,"Haggerston Road, Haggerston",1386172440000,BikePoints_749,true,
false,300080,false,"Culvert Road, Battersea",1386240360000,BikePoints_750,true,
false,300074,false,"Newton Street, Covent Garden",1386250800000,BikePoints_751,true,
false,300079,false,"London Street, Paddington",1650364320000,BikePoints_752,true,
false,300067,false,"Grenfell Road, Avondale",1389003540000,BikePoints_754,true,
false,300058,false,"The Vale, Chelsea",1389008580000,BikePoints_755,true,
false,300073,false,"Prince of Wales Drive, Battersea Park",1390223040000,BikePoints_756,true,
false,300069,false,"Harcourt Terrace, West Brompton",1389094260000,BikePoints_757,true,
false,300057,false,"Westbourne Park Road, Portobello",1389178020000,BikePoints_758,true,
false,300072,false,"Broadley Terrace, Marylebone",1389627480000,BikePoints_759,true,
false,300068,false,"Humbolt Road, Fulham",1389781800000,BikePoints_761,true,
false,200202,false,"Storey's Gate, Westminster",1392039000000,BikePoints_762,true,
false,300027,false,"Mile End Park Leisure Centre, Mile End",1392043020000,BikePoints_763,true,
false,200185,false,"St. John's Road, Clapham Junction",1392633480000,BikePoints_764,true,
false,300064,false,"Ranelagh Gardens, Fulham",1392986940000,BikePoints_765,true,
false,200079,false,"Ram Street, Wandsworth",1392894840000,BikePoints_766,true,
false,200177,false,"Santos Road, Wandsworth",1393406280000,BikePoints_767,true,
false,300065,false,"Clapham Common North Side, Clapham Common",1393494060000,BikePoints_768,true,
false,300001,false,"Sandilands Road, Walham Green",1393939560000,BikePoints_769,true,
false,300097,false,"Gwendwr Road, West Kensington",1394099280000,BikePoints_770,true,
false,300007,false,"Rifle Place, Avondale",1394018400000,BikePoints_771,true,
false,300015,false,"Binfield Road, Stockwell",1396442100000,BikePoints_772,true,
false,300096,false,"Tallis Street, Temple",1396262520000,BikePoints_773,true,
