locked,common_name,install_date,temporary,place_id,terminal_name,removal_date,installed
false,"Edgware Road Station, Marylebone",,false,BikePoints_410,001058,,true
false,"Rotherhithe Roundabout, Rotherhithe",,false,BikePoints_411,010629,,true
false,"Cleaver Street, Kennington",1302006180000,false,BikePoints_412,010628,,true
false,"Chelsea Bridge, Pimlico",1308735300000,false,BikePoints_419,022160,,true
false,"Southwark Station 1, Southwark",1309258380000,false,BikePoints_420,022162,,true
false,"Southwark Station 2, Southwark",1309258440000,false,BikePoints_421,022163,,true
false,"Eaton Square (South), Belgravia",1309860240000,false,BikePoints_423,022164,,true
false,"Ebury Bridge, Pimlico",1324551120000,false,BikePoints_424,022159,,true
false,"Vincent Street, Pimlico",1310463720000,false,BikePoints_426,022161,,true
false,"Cheapside, Bank",1310725680000,false,BikePoints_427,022180,,true
false,"Exhibition Road, Knightsbridge",1318496100000,false,BikePoints_428,022179,,true
false,"South Parade, Chelsea",1324549980000,false,BikePoints_430,022182,,true
false,"Crinan Street, King's Cross",1323355020000,false,BikePoints_431,022183,,true
false,"Exhibition Road Museums 1, South Kensington",1319448720000,false,BikePoints_432,022158,,true
false,"Wren Street, Holborn",1323361560000,false,BikePoints_433,022169,,true
false,"Kennington Station, Kennington",1323346020000,false,BikePoints_435,022170,,true
false,"Shoreditch Court, Haggerston",1384254300000,false,BikePoints_698,200121,,true
false,"Belford House, Haggerston",1384256040000,false,BikePoints_699,200057,,true
false,"Battersea Church Road, Battersea",1384343280000,false,BikePoints_700,200201,,true
false,"Vicarage Crescent, Battersea",1384345080000,false,BikePoints_701,200077,,true
false,"Durant Street, Bethnal Green",1384345860000,false,BikePoints_702,200213,,true
false,"St. Bride Street, Holborn",1384357800000,false,BikePoints_703,200094,,true
false,"Mexfield Road, East Putney",1384443480000,false,BikePoints_704,200063,,true
false,"Upper Richmond Road, Putney",1384453020000,true,BikePoints_705,300042,1539845700000,true
false,"Snowsfields, London Bridge",1384420920000,false,BikePoints_706,200193,,true
false,"Barons Court Station, West Kensington",1384435680000,false,BikePoints_707,200197,,true
false,"Disraeli Road, Putney",1384530180000,false,BikePoints_708,200217,,true
false,"Montserrat Road , Putney",1384510140000,false,BikePoints_709,200205,,true
