temporary,terminal_name,common_name,locked,place_id,install_date,installed,removal_date
false,200256,"Sutton Street, Shadwell",false,BikePoints_511,1327937940000,true,
false,200083,"Pritchard's Road, Bethnal Green",false,BikePoints_512,1328112600000,true,
false,200162,"Watney Market, Stepney",false,BikePoints_513,,true,
false,200008,"Portman Square, Marylebone",false,BikePoints_514,1328201520000,true,
false,200080,"Russell Gardens, Olympia",false,BikePoints_515,,true,
false,200089,"Chrisp Street Market, Poplar",false,BikePoints_516,1328202420000,true,
false,200027,"Ford Road, Old Ford",false,BikePoints_517,1326790860000,true,
false,200041,"Antill Road, Mile End",false,BikePoints_518,,true,
false,200254,"Teviot Street, Poplar",false,BikePoints_519,,true,
false,300032,"Victoria & Albert Museum, South Kensington",false,BikePoints_781,1446485340000,true,
false,300210,"Halford Road, West Kensington",false,BikePoints_782,1446485820000,true,
false,300213,"Monier Road, Hackney Wick",false,BikePoints_783,1448529660000,true,
false,300200,"East Village, Queen Elizabeth Olympic Park",false,BikePoints_784,1452789240000,true,
false,300233,"Aquatic Centre, Queen Elizabeth Olympic Park",false,BikePoints_785,1451908440000,true,
false,300029,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",false,BikePoints_786,1451918160000,true,
false,300227,"Timber Lodge, Queen Elizabeth Olympic Park",false,BikePoints_787,1451900700000,true,
false,300226,"Copper Box Arena, Queen Elizabeth Olympic Park",false,BikePoints_788,1451906880000,true,
false,300021,"Podium, Queen Elizabeth Olympic Park",false,BikePoints_789,1452507000000,true,
false,300234,"Stratford Station, Stratford",false,BikePoints_790,1452687420000,true,
false,300214,"Blackfriars Road, Southwark",false,BikePoints_792,1454926380000,true,
false,300205,"Cromer Street, Bloomsbury",false,BikePoints_793,1459424760000,true,
false,300204,"Victoria Rise, Clapham Common",false,BikePoints_794,1456404240000,true,
false,300203,"Euston Square Gardens, Euston",false,BikePoints_795,1456744740000,true,
false,300201,"Coram Street, Bloomsbury",false,BikePoints_796,1456746420000,true,
false,300211,"Ossulston Street, Somers Town",false,BikePoints_797,1456839540000,true,
false,300212,"Birkenhead Street, King's Cross",false,BikePoints_798,1464787980000,true,
false,300202,"Kings Gate House, Westminster",false,BikePoints_799,1464876480000,true,
false,300248,"Sopwith Way, Battersea Park",false,BikePoints_800,1457107140000,true,
false,300208,"Lavington Street, Bankside",false,BikePoints_801,1458824640000,true,
false,300209,"Albert Square, Stockwell",false,BikePoints_802,1464865500000,true,
false,300238,"Southwark Street, Bankside",false,BikePoints_803,1464787860000,true,
false,300243,"Good's Way, King's Cross",false,BikePoints_804,1459410960000,true,
false,300244,"The Metropolitan, Portobello",false,BikePoints_805,1467626400000,true,
false,300241,"Handyside Street, King's Cross",false,BikePoints_806,1472723460000,true,
false,300236,"Bevington Road West, North Kensington",false,BikePoints_807,1466715600000,true,
false,300207,"Gauden Road, Clapham",false,BikePoints_808,1461753540000,true,
false,300240,"Lincoln's Inn Fields, Holborn",false,BikePoints_809,1467640800000,true,
false,300237,"Tate Modern, Bankside",false,BikePoints_810,1464943200000,true,
false,300228,"Westferry Circus, Canary Wharf",false,BikePoints_811,1469538960000,true,
false,300217,"Here East North, Queen Elizabeth Olympic Park",false,BikePoints_812,1469005200000,true,
false,300224,"New Spring Gardens Walk, Vauxhall",false,BikePoints_813,1467627120000,true,
false,300245,"Clapham Road, Lingham Street, Stockwell",false,BikePoints_814,1464870060000,true,
false,300231,"Lambeth Palace Road, Waterloo",false,BikePoints_815,1462357680000,true,
false,300219,"Here East South, Queen Elizabeth Olympic Park",false,BikePoints_816,1489065360000,true,
false,300232,"Riverlight South, Nine Elms",false,BikePoints_817,1464949140000,true,
false,300249,"Westminster Pier, Westminster",false,BikePoints_818,1563958740000,true,
false,300246,"Belvedere Road 2, South Bank",false,BikePoints_819,1476360120000,true,
false,300239,"Victory Place, Walworth",false,BikePoints_820,1481807940000,true,
false,300221,"Battersea Power Station, Battersea Park",false,BikePoints_821,1487335920000,true,
false,300242,"Allington Street, Victoria",false,BikePoints_826,1500554880000,true,
false,300247,"Cranmer Road, Stockwell",false,BikePoints_827,1517788800000,true,
false,300225,"Normandy Road, Stockwell",false,BikePoints_828,1517788800000,true,
false,300230,"Wynne Road, Stockwell",false,BikePoints_829,1517443200000,true,
false,300229,"Sidney Road, Stockwell",false,BikePoints_830,1517961600000,true,
false,300215,"St John's Crescent, Brixton",false,BikePoints_831,1517961600000,true,
false,200240,"Ferndale Road, Brixton",false,BikePoints_832,1517961600000,true,
false,300206,"Saltoun Road, Brixton",false,BikePoints_833,1517875200000,true,
false,300216,"Gas Holders, Battersea Park",false,BikePoints_834,1529449200000,true,
false,300220,"Farringdon Street, Holborn",false,BikePoints_835,,true,
false,300235,"York Way, Kings Cross",false,BikePoints_836,,true,
false,300222,"Fore Street Avenue, Guildhall",false,BikePoints_838,1539254700000,true,
false,200144,"Sea Containers, South Bank",false,BikePoints_839,1544611140000,true,
false,002679,"George Row, Bermondsey",false,BikePoints_840,1599752640000,true,
false,002667,"Tower Wharf, Bermondsey",false,BikePoints_841,,true,
