place_id,terminal_name,temporary,common_name,installed,install_date,removal_date,locked
BikePoints_12,000980,false,"Malet Street, Bloomsbury",true,1278340620000,,false
BikePoints_14,001011,false,"Belgrove Street , King's Cross",true,1278341040000,,false
BikePoints_16,001010,false,"Cartwright Gardens , Bloomsbury",true,1278341400000,,false
BikePoints_17,001008,false,"Hatton Wall, Holborn",true,1278423720000,,false
BikePoints_18,001007,false,"Drury Lane, Covent Garden",true,1278426300000,,false
BikePoints_19,001009,false,"Taviton Street, Bloomsbury",true,1278426720000,,false
BikePoints_20,000993,false,"Drummond Street , Euston",true,1544659200000,,false
BikePoints_21,003426,false,"Lansdowne Drive, Hackney Central",true,1278427740000,,false
BikePoints_22,003425,false,"Northington Street , Holborn",true,1278428880000,,false
BikePoints_24,000981,false,"British Museum, Bloomsbury",true,1278430140000,,false
BikePoints_26,001019,false,"Ampton Street , Clerkenwell",true,1278434160000,,false
BikePoints_27,001021,false,"Bouverie Street, Temple",true,1278500160000,,false
BikePoints_28,001025,false,"Bolsover Street, Fitzrovia",true,1278500460000,,false
BikePoints_29,001016,false,"Hereford Road, Bayswater",true,1278501180000,,false
BikePoints_30,001029,false,"Windsor Terrace, Hoxton",true,1278501420000,,false
BikePoints_31,003427,false,"Fanshaw Street, Hoxton",true,1278501600000,,false
BikePoints_32,001020,false,"Leonard Circus , Shoreditch",true,1278506700000,,false
BikePoints_33,003430,false,"Central House, Aldgate",true,1278506940000,,false
BikePoints_34,003428,false,"Pancras Road, King's Cross",true,1278507060000,,false
BikePoints_36,003446,false,"De Vere Gardens, Kensington",true,1278519900000,,false
BikePoints_37,003444,false,"Penywern Road, Earl's Court",true,1278520020000,,false
BikePoints_38,003442,false,"Abingdon Villas, Kensington",true,1278584880000,,false
BikePoints_39,003445,false,"Shoreditch High Street, Shoreditch",true,1278601740000,,false
BikePoints_41,001084,false,"Pindar Street, Liverpool Street",true,1278602280000,,false
BikePoints_43,001036,false,"Crawford Street, Marylebone",true,1278687720000,,false
BikePoints_44,001034,false,"Bruton Street, Mayfair",true,1278687900000,,false
BikePoints_45,001035,false,"Boston Place, Marylebone",true,1278691320000,,false
BikePoints_46,001031,false,"Nesham Street, Wapping",true,1278691800000,,false
BikePoints_47,001027,false,"Warwick Avenue Station, Maida Vale",true,1278749160000,,false
BikePoints_48,000971,false,"Godliman Street, St. Paul's",true,1278749460000,,false
BikePoints_49,003437,false,"Curzon Street, Mayfair",true,1278749940000,,false
BikePoints_50,001054,false,"East Road, Hoxton",true,1278750240000,,false
BikePoints_52,001026,false,"Roscoe Street, St. Luke's",true,1278750840000,,false
BikePoints_53,003431,false,"Grafton Street, Mayfair",true,1278752580000,,false
BikePoints_55,000984,false,"Finsbury Circus, Liverpool Street",true,1278766980000,,false
BikePoints_56,001033,false,"Paddington Street, Marylebone",true,1278767220000,,false
BikePoints_58,001032,false,"New Inn Yard, Shoreditch",true,1278767700000,,false
BikePoints_60,001030,false,"Lisson Grove, St. John's Wood",true,1278769140000,,false
BikePoints_64,001028,false,"William IV Street, Strand",true,1278774300000,,false
BikePoints_66,000982,false,"Holborn Circus, Holborn",true,1278845280000,,false
BikePoints_68,000975,false,"Theobald's Road , Holborn",true,1278857040000,,false
BikePoints_71,001074,false,"Newgate Street , St. Paul's",true,1278924900000,,false
BikePoints_72,003432,false,"Farringdon Lane, Clerkenwell",true,1276948860000,,false
BikePoints_73,001064,false,"Old Street Station, St. Luke's",true,1278941040000,,false
