locked,temporary,install_date,installed,removal_date,common_name,place_id,terminal_name
false,false,1326790620000,true,,"Mostyn Grove, Bow",BikePoints_470,200174
false,false,1326790860000,true,,"Hewison Street, Old Ford",BikePoints_471,200006
false,false,1326791160000,true,,"Malmesbury Road, Bow",BikePoints_472,200019
false,false,1326816540000,true,,"Millharbour, Millwall",BikePoints_473,022167
false,false,1326822960000,true,,"Gascoyne Road, Victoria Park",BikePoints_474,200155
false,false,1326825480000,true,,"Lightermans Road, Millwall",BikePoints_475,200004
false,false,1326962100000,true,,"Stebondale Street, Cubitt Town",BikePoints_476,200009
false,false,1326963780000,true,,"Spindrift Avenue, Millwall",BikePoints_477,200018
false,false,1326965580000,true,,"Stepney Green Station, Stepney",BikePoints_478,200012
false,false,1326966240000,true,,"Pott Street, Bethnal Green",BikePoints_479,200156
false,false,1326975420000,true,,"Flamborough Street, Limehouse",BikePoints_480,200115
false,false,1326996480000,true,,"Saunders Ness Road, Cubitt Town",BikePoints_481,200022
false,false,1326996720000,true,,"Exhibition Road Museums 2, South Kensington",BikePoints_482,200052
false,false,1327088280000,true,,"Albert Gardens, Stepney",BikePoints_483,022166
false,false,1327339740000,true,,"Bromley High Street, Bow",BikePoints_484,022172
false,false,1327255440000,true,,"Old Ford Road, Bethnal Green",BikePoints_485,022173
false,false,1327338660000,true,,"Granby Street, Shoreditch",BikePoints_486,022174
false,false,1327936860000,true,,"Canton Street, Poplar",BikePoints_487,022175
false,false,1327254960000,true,,"Reardon Street, Wapping",BikePoints_488,022176
false,false,,true,,"Pennington Street, Wapping",BikePoints_490,200090
false,false,1327256220000,true,,"Queen Mary's, Mile End",BikePoints_491,200249
false,false,1327256520000,true,,"Maplin Street, Mile End",BikePoints_492,200230
false,false,1327433220000,true,,"South Quay East, Canary Wharf",BikePoints_494,200233
false,false,1327340460000,true,,"Bow Church Station, Bow",BikePoints_495,200252
false,false,1327400820000,true,,"Devons Road, Bow",BikePoints_496,200255
false,false,1327398420000,true,,"Merchant Street, Bow",BikePoints_497,200242
false,false,1327398660000,true,,"Bow Road Station, Bow",BikePoints_498,200251
false,false,1327407960000,true,,"Furze Green, Bow",BikePoints_499,200011
false,false,1327430040000,true,,"Ansell House, Stepney",BikePoints_500,200148
false,false,1327430220000,true,,"Cephas Street, Bethnal Green",BikePoints_501,200073
false,false,1563957840000,true,,"Bonner Gate, Victoria Park",BikePoints_502,200241
false,false,1327492920000,true,,"Cleveland Way, Stepney",BikePoints_503,200250
false,false,1327937820000,true,,"St. John's Park, Cubitt Town",BikePoints_504,200243
false,false,1327937460000,true,,"Ackroyd Drive, Bow",BikePoints_505,200038
false,false,1327938660000,true,,"Bell Lane, Liverpool Street",BikePoints_506,200036
false,false,1327938420000,true,,"Clarkson Street, Bethnal Green",BikePoints_507,200131
false,false,1327938180000,true,,"Fournier Street, Whitechapel",BikePoints_508,200157
false,false,1327938120000,true,,"Fore Street, Guildhall",BikePoints_509,200253
false,false,,true,,"Westferry DLR, Limehouse",BikePoints_510,200238
false,false,1327937940000,true,,"Sutton Street, Shadwell",BikePoints_511,200256
false,false,1328112600000,true,,"Pritchard's Road, Bethnal Green",BikePoints_512,200083
false,false,,true,,"Watney Market, Stepney",BikePoints_513,200162
false,false,1328201520000,true,,"Portman Square, Marylebone",BikePoints_514,200008
false,false,,true,,"Russell Gardens, Olympia",BikePoints_515,200080
false,false,1328202420000,true,,"Chrisp Street Market, Poplar",BikePoints_516,200089
false,false,1326790860000,true,,"Ford Road, Old Ford",BikePoints_517,200027
false,false,,true,,"Antill Road, Mile End",BikePoints_518,200041
false,false,,true,,"Teviot Street, Poplar",BikePoints_519,200254
false,false,,true,,"Bancroft Road, Bethnal Green",BikePoints_520,200234
false,false,1446485340000,true,,"Victoria & Albert Museum, South Kensington",BikePoints_781,300032
false,false,1446485820000,true,,"Halford Road, West Kensington",BikePoints_782,300210
false,false,1448529660000,true,,"Monier Road, Hackney Wick",BikePoints_783,300213
false,false,1452789240000,true,,"East Village, Queen Elizabeth Olympic Park",BikePoints_784,300200
false,false,1451908440000,true,,"Aquatic Centre, Queen Elizabeth Olympic Park",BikePoints_785,300233
false,false,1451900700000,true,,"Timber Lodge, Queen Elizabeth Olympic Park",BikePoints_787,300227
false,false,1451906880000,true,,"Copper Box Arena, Queen Elizabeth Olympic Park",BikePoints_788,300226
false,false,1452507000000,true,,"Podium, Queen Elizabeth Olympic Park",BikePoints_789,300021
false,false,1452687420000,true,,"Stratford Station, Stratford",BikePoints_790,300234
false,false,1454926380000,true,,"Blackfriars Road, Southwark",BikePoints_792,300214
false,false,1459424760000,true,,"Cromer Street, Bloomsbury",BikePoints_793,300205
false,false,1456404240000,true,,"Victoria Rise, Clapham Common",BikePoints_794,300204
false,false,1456744740000,true,,"Euston Square Gardens, Euston",BikePoints_795,300203
false,false,1456746420000,true,,"Coram Street, Bloomsbury",BikePoints_796,300201
false,false,1464787980000,true,,"Birkenhead Street, King's Cross",BikePoints_798,300212
false,false,1464876480000,true,,"Kings Gate House, Westminster",BikePoints_799,300202
false,false,1457107140000,true,,"Sopwith Way, Battersea Park",BikePoints_800,300248
false,false,1458824640000,true,,"Lavington Street, Bankside",BikePoints_801,300208
false,false,1464865500000,true,,"Albert Square, Stockwell",BikePoints_802,300209
false,false,1464787860000,true,,"Southwark Street, Bankside",BikePoints_803,300238
false,false,1459410960000,true,,"Good's Way, King's Cross",BikePoints_804,300243
false,false,1467626400000,true,,"The Metropolitan, Portobello",BikePoints_805,300244
false,false,1472723460000,true,,"Handyside Street, King's Cross",BikePoints_806,300241
false,false,1466715600000,true,,"Bevington Road West, North Kensington",BikePoints_807,300236
false,false,1461753540000,true,,"Gauden Road, Clapham",BikePoints_808,300207
false,false,1467640800000,true,,"Lincoln's Inn Fields, Holborn",BikePoints_809,300240
false,false,1464943200000,true,,"Tate Modern, Bankside",BikePoints_810,300237
false,false,1469538960000,true,,"Westferry Circus, Canary Wharf",BikePoints_811,300228
false,false,1469005200000,true,,"Here East North, Queen Elizabeth Olympic Park",BikePoints_812,300217
false,false,1467627120000,true,,"New Spring Gardens Walk, Vauxhall",BikePoints_813,300224
false,false,1464870060000,true,,"Clapham Road, Lingham Street, Stockwell",BikePoints_814,300245
false,false,1462357680000,true,,"Lambeth Palace Road, Waterloo",BikePoints_815,300231
false,false,1489065360000,true,,"Here East South, Queen Elizabeth Olympic Park",BikePoints_816,300219
false,false,1464949140000,true,,"Riverlight South, Nine Elms",BikePoints_817,300232
false,false,1563958740000,true,,"Westminster Pier, Westminster",BikePoints_818,300249
false,false,1476360120000,true,,"Belvedere Road 2, South Bank",BikePoints_819,300246
false,false,1481807940000,true,,"Victory Place, Walworth",BikePoints_820,300239
false,false,1487335920000,true,,"Battersea Power Station, Battersea Park",BikePoints_821,300221
false,false,1500554880000,true,,"Allington Street, Victoria",BikePoints_826,300242
false,false,1517788800000,true,,"Cranmer Road, Stockwell",BikePoints_827,300247
false,false,1517788800000,true,,"Normandy Road, Stockwell",BikePoints_828,300225
false,false,1517443200000,true,,"Wynne Road, Stockwell",BikePoints_829,300230
false,false,1517961600000,true,,"Sidney Road, Stockwell",BikePoints_830,300229
false,false,1517961600000,true,,"St John's Crescent, Brixton",BikePoints_831,300215
false,false,1517961600000,true,,"Ferndale Road, Brixton",BikePoints_832,200240
false,false,1517875200000,true,,"Saltoun Road, Brixton",BikePoints_833,300206
false,false,1529449200000,true,,"Gas Holders, Battersea Park",BikePoints_834,300216
false,false,,true,,"Farringdon Street, Holborn",BikePoints_835,300220
false,false,,true,,"York Way, Kings Cross",BikePoints_836,300235
false,false,1539254700000,true,,"Fore Street Avenue, Guildhall",BikePoints_838,300222
false,false,1544611140000,true,,"Sea Containers, South Bank",BikePoints_839,200144
false,false,1599752640000,true,,"George Row, Bermondsey",BikePoints_840,002679
false,false,,true,,"Tower Wharf, Bermondsey",BikePoints_841,002667
false,false,1600856400000,true,,"Temple Gardens, Temple",BikePoints_842,300250
false,false,1608298140000,true,,"Canada Water Station, Rotherhithe",BikePoints_844,300252
false,false,1608303660000,true,,"Bermondsey Station, Bermondsey",BikePoints_845,300253
false,false,1278947280000,true,,"River Street , Clerkenwell",BikePoints_1,001023
false,false,1278585780000,true,,"Phillimore Gardens, Kensington",BikePoints_2,001018
false,false,1278240360000,true,,"Christopher Street, Liverpool Street",BikePoints_3,001012
false,false,1278241080000,true,,"St. Chad's Street, King's Cross",BikePoints_4,001013
