install_date,temporary,common_name,locked,place_id,removal_date,terminal_name,installed
1297347960000,false,"Upper Grosvenor Street, Mayfair",false,BikePoints_389,,010621,true
1297764360000,false,"Buxton Street 1, Shoreditch",false,BikePoints_390,,001223,true
1297956480000,false,"Clifford Street, Mayfair",false,BikePoints_391,1539846000000,002688,true
1297958700000,false,"Imperial College, Knightsbridge",false,BikePoints_392,,001220,true
1298545440000,false,"Snow Hill, Farringdon",false,BikePoints_393,,002699,true
,false,"Aberdeen Place, St. John's Wood",false,BikePoints_394,,002698,true
1298908800000,false,"Cadogan Gardens, Chelsea",false,BikePoints_395,,002695,true
1299075120000,false,"Shouldham Street, Marylebone",false,BikePoints_396,,002693,true
1299075900000,false,"Devonshire Terrace, Bayswater",false,BikePoints_397,,001227,true
1299076440000,false,"Holland Park, Kensington",false,BikePoints_398,,010631,true
1299582900000,false,"Brick Lane Market, Shoreditch",false,BikePoints_399,,002687,true
1299583260000,false,"George Street, Marylebone",false,BikePoints_400,,001225,true
1299592500000,false,"Columbia Road, Shoreditch",false,BikePoints_401,,002701,true
1299592860000,false,"Penfold Street, Marylebone",false,BikePoints_402,,010625,true
1299593640000,false,"George Place Mews, Marylebone",false,BikePoints_403,,010630,true
1299669180000,false,"Palace Gate, Kensington Gardens",false,BikePoints_404,,001110,true
1299669300000,false,"Gloucester Road Station, South Kensington",false,BikePoints_405,,001107,true
,false,"Sun Street, Liverpool Street",false,BikePoints_408,,001129,true
,false,"Strata, Elephant & Castle",false,BikePoints_409,,010624,true
,false,"Edgware Road Station, Marylebone",false,BikePoints_410,,001058,true
,false,"Rotherhithe Roundabout, Rotherhithe",false,BikePoints_411,,010629,true
1302006180000,false,"Cleaver Street, Kennington",false,BikePoints_412,,010628,true
1308735300000,false,"Chelsea Bridge, Pimlico",false,BikePoints_419,,022160,true
1309258380000,false,"Southwark Station 1, Southwark",false,BikePoints_420,,022162,true
1309258440000,false,"Southwark Station 2, Southwark",false,BikePoints_421,,022163,true
1309860240000,false,"Eaton Square (South), Belgravia",false,BikePoints_423,,022164,true
1324551120000,false,"Ebury Bridge, Pimlico",false,BikePoints_424,,022159,true
1310463720000,false,"Vincent Street, Pimlico",false,BikePoints_426,,022161,true
1310725680000,false,"Cheapside, Bank",false,BikePoints_427,,022180,true
1318496100000,false,"Exhibition Road, Knightsbridge",false,BikePoints_428,,022179,true
1324549980000,false,"South Parade, Chelsea",false,BikePoints_430,,022182,true
1323355020000,false,"Crinan Street, King's Cross",false,BikePoints_431,,022183,true
1319448720000,false,"Exhibition Road Museums 1, South Kensington",false,BikePoints_432,,022158,true
1323361560000,false,"Wren Street, Holborn",false,BikePoints_433,,022169,true
1384254300000,false,"Shoreditch Court, Haggerston",false,BikePoints_698,,200121,true
1384256040000,false,"Belford House, Haggerston",false,BikePoints_699,,200057,true
1384343280000,false,"Battersea Church Road, Battersea",false,BikePoints_700,,200201,true
1384345080000,false,"Vicarage Crescent, Battersea",false,BikePoints_701,,200077,true
1384345860000,false,"Durant Street, Bethnal Green",false,BikePoints_702,,200213,true
1384357800000,false,"St. Bride Street, Holborn",false,BikePoints_703,,200094,true
1384443480000,false,"Mexfield Road, East Putney",false,BikePoints_704,,200063,true
1384453020000,true,"Upper Richmond Road, Putney",false,BikePoints_705,1539845700000,300042,true
1384420920000,false,"Snowsfields, London Bridge",false,BikePoints_706,,200193,true
1384435680000,false,"Barons Court Station, West Kensington",false,BikePoints_707,,200197,true
1384530180000,false,"Disraeli Road, Putney",false,BikePoints_708,,200217,true
1384510140000,false,"Montserrat Road , Putney",false,BikePoints_709,,200205,true
1384520580000,false,"Albert Bridge Road, Battersea Park",false,BikePoints_710,,300045,true
1384791540000,false,"Everington Street, Fulham",false,BikePoints_711,,300028,true
1384797120000,false,"Mile End Stadium, Mile End",false,BikePoints_712,,300056,true
1384865400000,false,"Stewart's Road, Wandsworth Road",false,BikePoints_714,,300055,true
1384868460000,false,"Aylward Street, Stepney",false,BikePoints_715,,300049,true
1384952400000,false,"Dunston Road , Haggerston",false,BikePoints_717,,300024,true
1384962840000,false,"Ada Street, Hackney Central",false,BikePoints_718,,300040,true
1384968480000,false,"Victoria Park Road, Hackney Central",false,BikePoints_719,,300011,true
1385025840000,false,"Star Road, West Kensington",false,BikePoints_720,,300038,true
1385028480000,false,"Wendon Street, Old Ford",false,BikePoints_721,,300039,true
1385028600000,false,"Finnis Street, Bethnal Green",false,BikePoints_722,,300041,true
1385035380000,false,"Stephendale Road, Sands End",false,BikePoints_723,,300053,true
1385125380000,false,"Alma Road, Wandsworth",false,BikePoints_724,,300046,true
1563352500000,false,"Walworth Square, Walworth",false,BikePoints_725,,300050,true
1385128740000,false,"Alfreda Street, Battersea Park",false,BikePoints_726,,300047,true
1385132160000,false,"Chesilton Road, Fulham",false,BikePoints_727,,300054,true
1385466780000,false,"Putney Bridge Road, East Putney",false,BikePoints_728,,300044,true
1385391300000,false,"St. Peter's Terrace, Fulham",false,BikePoints_729,,300043,true
1385132580000,false,"Bridge Avenue, Hammersmith",false,BikePoints_730,,300082,true
1385394720000,false,"Michael Road, Walham Green",false,BikePoints_731,,300095,true
1385458020000,false,"Duke Street Hill, London Bridge",false,BikePoints_732,,300083,true
1385460840000,false,"Park Lane, Mayfair",false,BikePoints_733,,300093,true
1385464500000,false,"Plough Terrace, Clapham Junction",false,BikePoints_734,,300094,true
1385383080000,false,"Grant Road East, Clapham Junction",false,BikePoints_735,,200120,true
1385472900000,false,"Queensdale Road, Shepherd's Bush",false,BikePoints_736,,300088,true
1385554620000,false,"Fulham Broadway, Walham Green",false,BikePoints_737,,300086,true
1385563380000,false,"Imperial Road, Sands End",false,BikePoints_738,,300087,true
1385631000000,false,"Hortensia Road, West Brompton",false,BikePoints_739,,300091,true
1385635440000,false,"Sirdar Road, Avondale",false,BikePoints_740,,300084,true
1385640120000,false,"Freston Road, Avondale",false,BikePoints_741,,300085,true
1385649540000,false,"Blenheim Crescent, Ladbroke Grove",false,BikePoints_742,,300090,true
1385723700000,false,"Oxford Road, Putney",false,BikePoints_743,,300078,true
1385729760000,false,"Ingrave Street, Clapham Junction",false,BikePoints_744,,300077,true
1385740020000,false,"Upcerne Road, West Chelsea",false,BikePoints_745,,300075,true
1385985720000,false,"Lots Road, West Chelsea",false,BikePoints_746,,300076,true
1385997240000,false,"Ormonde Gate, Chelsea",false,BikePoints_747,,300089,true
1386159900000,false,"Hertford Road, De Beauvoir Town",false,BikePoints_748,,300092,true
1386172440000,false,"Haggerston Road, Haggerston",false,BikePoints_749,,300081,true
1386240360000,false,"Culvert Road, Battersea",false,BikePoints_750,,300080,true
1386250800000,false,"Newton Street, Covent Garden",false,BikePoints_751,,300074,true
1650364320000,false,"London Street, Paddington",false,BikePoints_752,,300079,true
1389003540000,false,"Grenfell Road, Avondale",false,BikePoints_754,,300067,true
1389008580000,false,"The Vale, Chelsea",false,BikePoints_755,,300058,true
1390223040000,false,"Prince of Wales Drive, Battersea Park",false,BikePoints_756,,300073,true
1389094260000,false,"Harcourt Terrace, West Brompton",false,BikePoints_757,,300069,true
1389178020000,false,"Westbourne Park Road, Portobello",false,BikePoints_758,,300057,true
1389627480000,false,"Broadley Terrace, Marylebone",false,BikePoints_759,,300072,true
1389781800000,false,"Humbolt Road, Fulham",false,BikePoints_761,,300068,true
1392039000000,false,"Storey's Gate, Westminster",false,BikePoints_762,,200202,true
1392043020000,false,"Mile End Park Leisure Centre, Mile End",false,BikePoints_763,,300027,true
1392633480000,false,"St. John's Road, Clapham Junction",false,BikePoints_764,,200185,true
1392986940000,false,"Ranelagh Gardens, Fulham",false,BikePoints_765,,300064,true
1392894840000,false,"Ram Street, Wandsworth",false,BikePoints_766,,200079,true
1393406280000,false,"Santos Road, Wandsworth",false,BikePoints_767,,200177,true
1393494060000,false,"Clapham Common North Side, Clapham Common",false,BikePoints_768,,300065,true
1393939560000,false,"Sandilands Road, Walham Green",false,BikePoints_769,,300001,true
1394099280000,false,"Gwendwr Road, West Kensington",false,BikePoints_770,,300097,true
1394018400000,false,"Rifle Place, Avondale",false,BikePoints_771,,300007,true
1396442100000,false,"Binfield Road, Stockwell",false,BikePoints_772,,300015,true
1396262520000,false,"Tallis Street, Temple",false,BikePoints_773,,300096,true
