installed,temporary,locked,common_name,install_date,removal_date,place_id,terminal_name
true,false,false,"Saunders Ness Road, Cubitt Town",1326996480000,,BikePoints_481,200022
true,false,false,"Exhibition Road Museums 2, South Kensington",1326996720000,,BikePoints_482,200052
true,false,false,"Albert Gardens, Stepney",1327088280000,,BikePoints_483,022166
true,false,false,"Bromley High Street, Bow",1327339740000,,BikePoints_484,022172
true,false,false,"Old Ford Road, Bethnal Green",1327255440000,,BikePoints_485,022173
true,false,false,"Granby Street, Shoreditch",1327338660000,,BikePoints_486,022174
true,false,false,"Canton Street, Poplar",1327936860000,,BikePoints_487,022175
true,false,false,"Reardon Street, Wapping",1327254960000,,BikePoints_488,022176
true,false,false,"Pennington Street, Wapping",,,BikePoints_490,200090
true,false,false,"Queen Mary's, Mile End",1327256220000,,BikePoints_491,200249
true,false,false,"Maplin Street, Mile End",1327256520000,,BikePoints_492,200230
true,false,false,"South Quay East, Canary Wharf",1327433220000,,BikePoints_494,200233
true,false,false,"Bow Church Station, Bow",1327340460000,,BikePoints_495,200252
true,false,false,"Devons Road, Bow",1327400820000,,BikePoints_496,200255
true,false,false,"Merchant Street, Bow",1327398420000,,BikePoints_497,200242
true,false,false,"Bow Road Station, Bow",1327398660000,,BikePoints_498,200251
true,false,false,"Furze Green, Bow",1327407960000,,BikePoints_499,200011
true,false,false,"Ansell House, Stepney",1327430040000,,BikePoints_500,200148
true,false,false,"Cephas Street, Bethnal Green",1327430220000,,BikePoints_501,200073
true,false,false,"Bonner Gate, Victoria Park",1563957840000,,BikePoints_502,200241
true,false,false,"Cleveland Way, Stepney",1327492920000,,BikePoints_503,200250
true,false,false,"St. John's Park, Cubitt Town",1327937820000,,BikePoints_504,200243
true,false,false,"Ackroyd Drive, Bow",1327937460000,,BikePoints_505,200038
true,false,false,"Bell Lane, Liverpool Street",1327938660000,,BikePoints_506,200036
true,false,false,"Clarkson Street, Bethnal Green",1327938420000,,BikePoints_507,200131
true,false,false,"Fournier Street, Whitechapel",1327938180000,,BikePoints_508,200157
true,false,false,"Fore Street, Guildhall",1327938120000,,BikePoints_509,200253
true,false,false,"Westferry DLR, Limehouse",,,BikePoints_510,200238
true,false,false,"Sutton Street, Shadwell",1327937940000,,BikePoints_511,200256
true,false,false,"Pritchard's Road, Bethnal Green",1328112600000,,BikePoints_512,200083
true,false,false,"Watney Market, Stepney",,,BikePoints_513,200162
true,false,false,"Portman Square, Marylebone",1328201520000,,BikePoints_514,200008
true,false,false,"Russell Gardens, Olympia",,,BikePoints_515,200080
true,false,false,"Chrisp Street Market, Poplar",1328202420000,,BikePoints_516,200089
true,false,false,"Ford Road, Old Ford",1326790860000,,BikePoints_517,200027
true,false,false,"Antill Road, Mile End",,,BikePoints_518,200041
true,false,false,"Teviot Street, Poplar",,,BikePoints_519,200254
true,false,false,"Bancroft Road, Bethnal Green",,,BikePoints_520,200234
true,false,false,"Victoria & Albert Museum, South Kensington",1446485340000,,BikePoints_781,300032
true,false,false,"Halford Road, West Kensington",1446485820000,,BikePoints_782,300210
true,false,false,"Monier Road, Hackney Wick",1448529660000,,BikePoints_783,300213
true,false,false,"East Village, Queen Elizabeth Olympic Park",1452789240000,,BikePoints_784,300200
true,false,false,"Aquatic Centre, Queen Elizabeth Olympic Park",1451908440000,,BikePoints_785,300233
true,false,false,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",1451918160000,,BikePoints_786,300029
true,false,false,"Timber Lodge, Queen Elizabeth Olympic Park",1451900700000,,BikePoints_787,300227
true,false,false,"Copper Box Arena, Queen Elizabeth Olympic Park",1451906880000,,BikePoints_788,300226
true,false,false,"Podium, Queen Elizabeth Olympic Park",1452507000000,,BikePoints_789,300021
true,false,false,"Stratford Station, Stratford",1452687420000,,BikePoints_790,300234
true,false,false,"Blackfriars Road, Southwark",1454926380000,,BikePoints_792,300214
true,false,false,"Cromer Street, Bloomsbury",1459424760000,,BikePoints_793,300205
