common_name,place_id,locked,temporary,terminal_name,install_date,installed,removal_date
"Granby Street, Shoreditch",BikePoints_486,false,false,022174,1327338660000,true,
"Canton Street, Poplar",BikePoints_487,false,false,022175,1327936860000,true,
"Reardon Street, Wapping",BikePoints_488,false,false,022176,1327254960000,true,
"Queen Mary's, Mile End",BikePoints_491,false,false,200249,1327256220000,true,
"Maplin Street, Mile End",BikePoints_492,false,false,200230,1327256520000,true,
"South Quay East, Canary Wharf",BikePoints_494,false,false,200233,1327433220000,true,
"Bow Church Station, Bow",BikePoints_495,false,false,200252,1327340460000,true,
"Devons Road, Bow",BikePoints_496,false,false,200255,1327400820000,true,
"Merchant Street, Bow",BikePoints_497,false,false,200242,1327398420000,true,
"Bow Road Station, Bow",BikePoints_498,false,false,200251,1327398660000,true,
"Furze Green, Bow",BikePoints_499,false,false,200011,1327407960000,true,
"Ansell House, Stepney",BikePoints_500,false,false,200148,1327430040000,true,
"Cephas Street, Bethnal Green",BikePoints_501,false,false,200073,1327430220000,true,
"Bonner Gate, Victoria Park",BikePoints_502,false,false,200241,1563957840000,true,
"Cleveland Way, Stepney",BikePoints_503,false,false,200250,1327492920000,true,
"St. John's Park, Cubitt Town",BikePoints_504,false,false,200243,1327937820000,true,
"Ackroyd Drive, Bow",BikePoints_505,false,false,200038,1327937460000,true,
"Bell Lane, Liverpool Street",BikePoints_506,false,false,200036,1327938660000,true,
"Clarkson Street, Bethnal Green",BikePoints_507,false,false,200131,1327938420000,true,
"Fournier Street, Whitechapel",BikePoints_508,false,false,200157,1327938180000,true,
"Fore Street, Guildhall",BikePoints_509,false,false,200253,1327938120000,true,
"Westferry DLR, Limehouse",BikePoints_510,false,false,200238,,true,
"Sutton Street, Shadwell",BikePoints_511,false,false,200256,1327937940000,true,
"Pritchard's Road, Bethnal Green",BikePoints_512,false,false,200083,1328112600000,true,
"Watney Market, Stepney",BikePoints_513,false,false,200162,,true,
"Portman Square, Marylebone",BikePoints_514,false,false,200008,1328201520000,true,
"Russell Gardens, Olympia",BikePoints_515,false,false,200080,,true,
"Chrisp Street Market, Poplar",BikePoints_516,false,false,200089,1328202420000,true,
"Ford Road, Old Ford",BikePoints_517,false,false,200027,1326790860000,true,
"Antill Road, Mile End",BikePoints_518,false,false,200041,,true,
"Teviot Street, Poplar",BikePoints_519,false,false,200254,,true,
