terminal_name,installed,common_name,place_id,install_date,removal_date,temporary,locked
200052,true,"Exhibition Road Museums 2, South Kensington",BikePoints_482,1326996720000,,false,false
022166,true,"Albert Gardens, Stepney",BikePoints_483,1327088280000,,false,false
022172,true,"Bromley High Street, Bow",BikePoints_484,1327339740000,,false,false
022173,true,"Old Ford Road, Bethnal Green",BikePoints_485,1327255440000,,false,false
022174,true,"Granby Street, Shoreditch",BikePoints_486,1327338660000,,false,false
022175,true,"Canton Street, Poplar",BikePoints_487,1327936860000,,false,false
022176,true,"Reardon Street, Wapping",BikePoints_488,1327254960000,,false,false
200090,true,"Pennington Street, Wapping",BikePoints_490,,,false,false
200249,true,"Queen Mary's, Mile End",BikePoints_491,1327256220000,,false,false
200230,true,"Maplin Street, Mile End",BikePoints_492,1327256520000,,false,false
200233,true,"South Quay East, Canary Wharf",BikePoints_494,1327433220000,,false,false
200252,true,"Bow Church Station, Bow",BikePoints_495,1327340460000,,false,false
200255,true,"Devons Road, Bow",BikePoints_496,1327400820000,,false,false
200242,true,"Merchant Street, Bow",BikePoints_497,1327398420000,,false,false
200251,true,"Bow Road Station, Bow",BikePoints_498,1327398660000,,false,false
200011,true,"Furze Green, Bow",BikePoints_499,1327407960000,,false,false
200148,true,"Ansell House, Stepney",BikePoints_500,1327430040000,,false,false
200073,true,"Cephas Street, Bethnal Green",BikePoints_501,1327430220000,,false,false
200241,true,"Bonner Gate, Victoria Park",BikePoints_502,1563957840000,,false,false
200250,true,"Cleveland Way, Stepney",BikePoints_503,1327492920000,,false,false
200243,true,"St. John's Park, Cubitt Town",BikePoints_504,1327937820000,,false,false
200038,true,"Ackroyd Drive, Bow",BikePoints_505,1327937460000,,false,false
200036,true,"Bell Lane, Liverpool Street",BikePoints_506,1327938660000,,false,false
200131,true,"Clarkson Street, Bethnal Green",BikePoints_507,1327938420000,,false,false
200157,true,"Fournier Street, Whitechapel",BikePoints_508,1327938180000,,false,false
200253,true,"Fore Street, Guildhall",BikePoints_509,1327938120000,,false,false
200238,true,"Westferry DLR, Limehouse",BikePoints_510,,,false,false
200256,true,"Sutton Street, Shadwell",BikePoints_511,1327937940000,,false,false
200083,true,"Pritchard's Road, Bethnal Green",BikePoints_512,1328112600000,,false,false
200162,true,"Watney Market, Stepney",BikePoints_513,,,false,false
200008,true,"Portman Square, Marylebone",BikePoints_514,1328201520000,,false,false
200080,true,"Russell Gardens, Olympia",BikePoints_515,,,false,false
200089,true,"Chrisp Street Market, Poplar",BikePoints_516,1328202420000,,false,false
200027,true,"Ford Road, Old Ford",BikePoints_517,1326790860000,,false,false
200041,true,"Antill Road, Mile End",BikePoints_518,,,false,false
200254,true,"Teviot Street, Poplar",BikePoints_519,,,false,false
200234,true,"Bancroft Road, Bethnal Green",BikePoints_520,,,false,false
300032,true,"Victoria & Albert Museum, South Kensington",BikePoints_781,1446485340000,,false,false
300210,true,"Halford Road, West Kensington",BikePoints_782,1446485820000,,false,false
300213,true,"Monier Road, Hackney Wick",BikePoints_783,1448529660000,,false,false
300200,true,"East Village, Queen Elizabeth Olympic Park",BikePoints_784,1452789240000,,false,false
300233,true,"Aquatic Centre, Queen Elizabeth Olympic Park",BikePoints_785,1451908440000,,false,false
300227,true,"Timber Lodge, Queen Elizabeth Olympic Park",BikePoints_787,1451900700000,,false,false
300226,true,"Copper Box Arena, Queen Elizabeth Olympic Park",BikePoints_788,1451906880000,,false,false
300021,true,"Podium, Queen Elizabeth Olympic Park",BikePoints_789,1452507000000,,false,false
300234,true,"Stratford Station, Stratford",BikePoints_790,1452687420000,,false,false
300214,true,"Blackfriars Road, Southwark",BikePoints_792,1454926380000,,false,false
300205,true,"Cromer Street, Bloomsbury",BikePoints_793,1459424760000,,false,false
300204,true,"Victoria Rise, Clapham Common",BikePoints_794,1456404240000,,false,false
300203,true,"Euston Square Gardens, Euston",BikePoints_795,1456744740000,,false,false
300201,true,"Coram Street, Bloomsbury",BikePoints_796,1456746420000,,false,false
300212,true,"Birkenhead Street, King's Cross",BikePoints_798,1464787980000,,false,false
300202,true,"Kings Gate House, Westminster",BikePoints_799,1464876480000,,false,false
300248,true,"Sopwith Way, Battersea Park",BikePoints_800,1457107140000,,false,false
300208,true,"Lavington Street, Bankside",BikePoints_801,1458824640000,,false,false
300209,true,"Albert Square, Stockwell",BikePoints_802,1464865500000,,false,false
300238,true,"Southwark Street, Bankside",BikePoints_803,1464787860000,,false,false
300243,true,"Good's Way, King's Cross",BikePoints_804,1459410960000,,false,false
300244,true,"The Metropolitan, Portobello",BikePoints_805,1467626400000,,false,false
300241,true,"Handyside Street, King's Cross",BikePoints_806,1472723460000,,false,false
300236,true,"Bevington Road West, North Kensington",BikePoints_807,1466715600000,,false,false
300207,true,"Gauden Road, Clapham",BikePoints_808,1461753540000,,false,false
300240,true,"Lincoln's Inn Fields, Holborn",BikePoints_809,1467640800000,,false,false
300237,true,"Tate Modern, Bankside",BikePoints_810,1464943200000,,false,false
300228,true,"Westferry Circus, Canary Wharf",BikePoints_811,1469538960000,,false,false
300217,true,"Here East North, Queen Elizabeth Olympic Park",BikePoints_812,1469005200000,,false,false
300224,true,"New Spring Gardens Walk, Vauxhall",BikePoints_813,1467627120000,,false,false
300245,true,"Clapham Road, Lingham Street, Stockwell",BikePoints_814,1464870060000,,false,false
300231,true,"Lambeth Palace Road, Waterloo",BikePoints_815,1462357680000,,false,false
300219,true,"Here East South, Queen Elizabeth Olympic Park",BikePoints_816,1489065360000,,false,false
300232,true,"Riverlight South, Nine Elms",BikePoints_817,1464949140000,,false,false
300249,true,"Westminster Pier, Westminster",BikePoints_818,1563958740000,,false,false
300246,true,"Belvedere Road 2, South Bank",BikePoints_819,1476360120000,,false,false
300239,true,"Victory Place, Walworth",BikePoints_820,1481807940000,,false,false
300221,true,"Battersea Power Station, Battersea Park",BikePoints_821,1487335920000,,false,false
300242,true,"Allington Street, Victoria",BikePoints_826,1500554880000,,false,false
300247,true,"Cranmer Road, Stockwell",BikePoints_827,1517788800000,,false,false
