place_id,temporary,installed,removal_date,terminal_name,common_name,install_date,locked
BikePoints_467,false,true,,200168,"Southern Grove, Bow",1326374040000,false
BikePoints_468,false,true,,200150,"Cantrell Road, Bow",1326375720000,false
BikePoints_469,false,true,,022178,"Lindfield Street, Poplar",1326381060000,false
BikePoints_470,false,true,,200174,"Mostyn Grove, Bow",1326790620000,false
BikePoints_471,false,true,,200006,"Hewison Street, Old Ford",1326790860000,false
BikePoints_472,false,true,,200019,"Malmesbury Road, Bow",1326791160000,false
BikePoints_473,false,true,,022167,"Millharbour, Millwall",1326816540000,false
BikePoints_474,false,true,,200155,"Gascoyne Road, Victoria Park",1326822960000,false
BikePoints_475,false,true,,200004,"Lightermans Road, Millwall",1326825480000,false
BikePoints_476,false,true,,200009,"Stebondale Street, Cubitt Town",1326962100000,false
BikePoints_477,false,true,,200018,"Spindrift Avenue, Millwall",1326963780000,false
BikePoints_478,false,true,,200012,"Stepney Green Station, Stepney",1326965580000,false
BikePoints_479,false,true,,200156,"Pott Street, Bethnal Green",1326966240000,false
BikePoints_480,false,true,,200115,"Flamborough Street, Limehouse",1326975420000,false
BikePoints_481,false,true,,200022,"Saunders Ness Road, Cubitt Town",1326996480000,false
BikePoints_482,false,true,,200052,"Exhibition Road Museums 2, South Kensington",1326996720000,false
BikePoints_483,false,true,,022166,"Albert Gardens, Stepney",1327088280000,false
BikePoints_484,false,true,,022172,"Bromley High Street, Bow",1327339740000,false
BikePoints_485,false,true,,022173,"Old Ford Road, Bethnal Green",1327255440000,false
BikePoints_486,false,true,,022174,"Granby Street, Shoreditch",1327338660000,false
BikePoints_487,false,true,,022175,"Canton Street, Poplar",1327936860000,false
BikePoints_488,false,true,,022176,"Reardon Street, Wapping",1327254960000,false
BikePoints_490,false,true,,200090,"Pennington Street, Wapping",,false
BikePoints_491,false,true,,200249,"Queen Mary's, Mile End",1327256220000,false
BikePoints_492,false,true,,200230,"Maplin Street, Mile End",1327256520000,false
BikePoints_494,false,true,,200233,"South Quay East, Canary Wharf",1327433220000,false
BikePoints_495,false,true,,200252,"Bow Church Station, Bow",1327340460000,false
BikePoints_496,false,true,,200255,"Devons Road, Bow",1327400820000,false
BikePoints_497,false,true,,200242,"Merchant Street, Bow",1327398420000,false
BikePoints_498,false,true,,200251,"Bow Road Station, Bow",1327398660000,false
BikePoints_499,false,true,,200011,"Furze Green, Bow",1327407960000,false
BikePoints_500,false,true,,200148,"Ansell House, Stepney",1327430040000,false
BikePoints_501,false,true,,200073,"Cephas Street, Bethnal Green",1327430220000,false
BikePoints_502,false,true,,200241,"Bonner Gate, Victoria Park",1563957840000,false
BikePoints_503,false,true,,200250,"Cleveland Way, Stepney",1327492920000,false
BikePoints_504,false,true,,200243,"St. John's Park, Cubitt Town",1327937820000,false
BikePoints_505,false,true,,200038,"Ackroyd Drive, Bow",1327937460000,false
BikePoints_506,false,true,,200036,"Bell Lane, Liverpool Street",1327938660000,false
BikePoints_507,false,true,,200131,"Clarkson Street, Bethnal Green",1327938420000,false
BikePoints_508,false,true,,200157,"Fournier Street, Whitechapel",1327938180000,false
BikePoints_509,false,true,,200253,"Fore Street, Guildhall",1327938120000,false
BikePoints_510,false,true,,200238,"Westferry DLR, Limehouse",,false
BikePoints_511,false,true,,200256,"Sutton Street, Shadwell",1327937940000,false
BikePoints_512,false,true,,200083,"Pritchard's Road, Bethnal Green",1328112600000,false
BikePoints_513,false,true,,200162,"Watney Market, Stepney",,false
BikePoints_514,false,true,,200008,"Portman Square, Marylebone",1328201520000,false
BikePoints_515,false,true,,200080,"Russell Gardens, Olympia",,false
BikePoints_516,false,true,,200089,"Chrisp Street Market, Poplar",1328202420000,false
BikePoints_517,false,true,,200027,"Ford Road, Old Ford",1326790860000,false
BikePoints_518,false,true,,200041,"Antill Road, Mile End",,false
BikePoints_519,false,true,,200254,"Teviot Street, Poplar",,false
BikePoints_520,false,true,,200234,"Bancroft Road, Bethnal Green",,false
BikePoints_521,false,true,,200030,"Driffield Road, Old Ford",,false
BikePoints_782,false,true,,300210,"Halford Road, West Kensington",1446485820000,false
BikePoints_783,false,true,,300213,"Monier Road, Hackney Wick",1448529660000,false
BikePoints_784,false,true,,300200,"East Village, Queen Elizabeth Olympic Park",1452789240000,false
BikePoints_785,false,true,,300233,"Aquatic Centre, Queen Elizabeth Olympic Park",1451908440000,false
BikePoints_786,false,true,,300029,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",1451918160000,false
BikePoints_787,false,true,,300227,"Timber Lodge, Queen Elizabeth Olympic Park",1451900700000,false
BikePoints_788,false,true,,300226,"Copper Box Arena, Queen Elizabeth Olympic Park",1451906880000,false
BikePoints_789,false,true,,300021,"Podium, Queen Elizabeth Olympic Park",1452507000000,false
BikePoints_790,false,true,,300234,"Stratford Station, Stratford",1452687420000,false
BikePoints_792,false,true,,300214,"Blackfriars Road, Southwark",1454926380000,false
BikePoints_793,false,true,,300205,"Cromer Street, Bloomsbury",1459424760000,false
BikePoints_794,false,true,,300204,"Victoria Rise, Clapham Common",1456404240000,false
BikePoints_795,false,true,,300203,"Euston Square Gardens, Euston",1456744740000,false
BikePoints_796,false,true,,300201,"Coram Street, Bloomsbury",1456746420000,false
BikePoints_797,false,true,,300211,"Ossulston Street, Somers Town",1456839540000,false
BikePoints_798,false,true,,300212,"Birkenhead Street, King's Cross",1464787980000,false
BikePoints_799,false,true,,300202,"Kings Gate House, Westminster",1464876480000,false
BikePoints_800,false,true,,300248,"Sopwith Way, Battersea Park",1457107140000,false
BikePoints_801,false,true,,300208,"Lavington Street, Bankside",1458824640000,false
BikePoints_802,false,true,,300209,"Albert Square, Stockwell",1464865500000,false
BikePoints_803,false,true,,300238,"Southwark Street, Bankside",1464787860000,false
BikePoints_804,false,true,,300243,"Good's Way, King's Cross",1459410960000,false
BikePoints_805,false,true,,300244,"The Metropolitan, Portobello",1467626400000,false
BikePoints_806,false,true,,300241,"Handyside Street, King's Cross",1472723460000,false
BikePoints_807,false,true,,300236,"Bevington Road West, North Kensington",1466715600000,false
BikePoints_808,false,true,,300207,"Gauden Road, Clapham",1461753540000,false
BikePoints_809,false,true,,300240,"Lincoln's Inn Fields, Holborn",1467640800000,false
BikePoints_810,false,true,,300237,"Tate Modern, Bankside",1464943200000,false
BikePoints_811,false,true,,300228,"Westferry Circus, Canary Wharf",1469538960000,false
BikePoints_812,false,true,,300217,"Here East North, Queen Elizabeth Olympic Park",1469005200000,false
BikePoints_813,false,true,,300224,"New Spring Gardens Walk, Vauxhall",1467627120000,false
BikePoints_814,false,true,,300245,"Clapham Road, Lingham Street, Stockwell",1464870060000,false
BikePoints_815,false,true,,300231,"Lambeth Palace Road, Waterloo",1462357680000,false
BikePoints_816,false,true,,300219,"Here East South, Queen Elizabeth Olympic Park",1489065360000,false
BikePoints_817,false,true,,300232,"Riverlight South, Nine Elms",1464949140000,false
BikePoints_818,false,true,,300249,"Westminster Pier, Westminster",1563958740000,false
BikePoints_819,false,true,,300246,"Belvedere Road 2, South Bank",1476360120000,false
BikePoints_820,false,true,,300239,"Victory Place, Walworth",1481807940000,false
BikePoints_821,false,true,,300221,"Battersea Power Station, Battersea Park",1487335920000,false
BikePoints_826,false,true,,300242,"Allington Street, Victoria",1500554880000,false
BikePoints_827,false,true,,300247,"Cranmer Road, Stockwell",1517788800000,false
BikePoints_828,false,true,,300225,"Normandy Road, Stockwell",1517788800000,false
BikePoints_829,false,true,,300230,"Wynne Road, Stockwell",1517443200000,false
BikePoints_830,false,true,,300229,"Sidney Road, Stockwell",1517961600000,false
BikePoints_831,false,true,,300215,"St John's Crescent, Brixton",1517961600000,false
BikePoints_832,false,true,,200240,"Ferndale Road, Brixton",1517961600000,false
BikePoints_833,false,true,,300206,"Saltoun Road, Brixton",1517875200000,false
BikePoints_834,false,true,,300216,"Gas Holders, Battersea Park",1529449200000,false
BikePoints_835,false,true,,300220,"Farringdon Street, Holborn",,false
BikePoints_836,false,true,,300235,"York Way, Kings Cross",,false
BikePoints_838,false,true,,300222,"Fore Street Avenue, Guildhall",1539254700000,false
BikePoints_839,false,true,,200144,"Sea Containers, South Bank",1544611140000,false
BikePoints_840,false,true,,002679,"George Row, Bermondsey",1599752640000,false
BikePoints_841,false,true,,002667,"Tower Wharf, Bermondsey",,false
BikePoints_844,false,true,,300252,"Canada Water Station, Rotherhithe",1608298140000,false
BikePoints_845,false,true,,300253,"Bermondsey Station, Bermondsey",1608303660000,false
BikePoints_1,false,true,,001023,"River Street , Clerkenwell",1278947280000,false
BikePoints_2,false,true,,001018,"Phillimore Gardens, Kensington",1278585780000,false
BikePoints_3,false,true,,001012,"Christopher Street, Liverpool Street",1278240360000,false
BikePoints_4,false,true,,001013,"St. Chad's Street, King's Cross",1278241080000,false
BikePoints_5,false,true,,003420,"Sedding Street, Sloane Square",1278241440000,false
BikePoints_6,false,true,,003424,"Broadcasting House, Marylebone",1278241680000,false
BikePoints_7,false,true,,003422,"Charlbert Street, St. John's Wood",1278241800000,false
BikePoints_8,false,true,,003423,"Maida Vale, Maida Vale",1540984560000,false
BikePoints_9,false,true,,001015,"New Globe Walk, Bankside",1278242340000,false
BikePoints_10,false,true,,001024,"Park Street, Bankside",1278242460000,false
BikePoints_11,false,true,,001022,"Brunswick Square, Bloomsbury",1278340440000,false
BikePoints_12,false,true,,000980,"Malet Street, Bloomsbury",1278340620000,false
BikePoints_13,false,true,,000970,"Scala Street, Fitzrovia",1278340800000,false
BikePoints_14,false,true,,001011,"Belgrove Street , King's Cross",1278341040000,false
BikePoints_15,false,true,,000988,"Great Russell Street, Bloomsbury",1278341220000,false
BikePoints_16,false,true,,001010,"Cartwright Gardens , Bloomsbury",1278341400000,false
BikePoints_17,false,true,,001008,"Hatton Wall, Holborn",1278423720000,false
BikePoints_18,false,true,,001007,"Drury Lane, Covent Garden",1278426300000,false
BikePoints_19,false,true,,001009,"Taviton Street, Bloomsbury",1278426720000,false
BikePoints_20,false,true,,000993,"Drummond Street , Euston",1544659200000,false
BikePoints_21,false,true,,003426,"Lansdowne Drive, Hackney Central",1278427740000,false
BikePoints_22,false,true,,003425,"Northington Street , Holborn",1278428880000,false
BikePoints_23,false,true,,003421,"Red Lion Square, Holborn",1278429300000,false
BikePoints_24,false,true,,000981,"British Museum, Bloomsbury",1278430140000,false
BikePoints_25,false,true,,001004,"Doric Way , Somers Town",1278433200000,false
