place_id,temporary,installed,locked,removal_date,common_name,install_date,terminal_name
BikePoints_485,false,true,false,,"Old Ford Road, Bethnal Green",1327255440000,022173
BikePoints_486,false,true,false,,"Granby Street, Shoreditch",1327338660000,022174
BikePoints_487,false,true,false,,"Canton Street, Poplar",1327936860000,022175
BikePoints_488,false,true,false,,"Reardon Street, Wapping",1327254960000,022176
BikePoints_490,false,true,false,,"Pennington Street, Wapping",,200090
BikePoints_491,false,true,false,,"Queen Mary's, Mile End",1327256220000,200249
BikePoints_492,false,true,false,,"Maplin Street, Mile End",1327256520000,200230
BikePoints_494,false,true,false,,"South Quay East, Canary Wharf",1327433220000,200233
BikePoints_495,false,true,false,,"Bow Church Station, Bow",1327340460000,200252
BikePoints_496,false,true,false,,"Devons Road, Bow",1327400820000,200255
BikePoints_497,false,true,false,,"Merchant Street, Bow",1327398420000,200242
BikePoints_498,false,true,false,,"Bow Road Station, Bow",1327398660000,200251
BikePoints_499,false,true,false,,"Furze Green, Bow",1327407960000,200011
BikePoints_500,false,true,false,,"Ansell House, Stepney",1327430040000,200148
BikePoints_501,false,true,false,,"Cephas Street, Bethnal Green",1327430220000,200073
BikePoints_502,false,true,false,,"Bonner Gate, Victoria Park",1563957840000,200241
BikePoints_503,false,true,false,,"Cleveland Way, Stepney",1327492920000,200250
BikePoints_504,false,true,false,,"St. John's Park, Cubitt Town",1327937820000,200243
BikePoints_505,false,true,false,,"Ackroyd Drive, Bow",1327937460000,200038
BikePoints_506,false,true,false,,"Bell Lane, Liverpool Street",1327938660000,200036
BikePoints_507,false,true,false,,"Clarkson Street, Bethnal Green",1327938420000,200131
BikePoints_508,false,true,false,,"Fournier Street, Whitechapel",1327938180000,200157
BikePoints_509,false,true,false,,"Fore Street, Guildhall",1327938120000,200253
BikePoints_510,false,true,false,,"Westferry DLR, Limehouse",,200238
BikePoints_511,false,true,false,,"Sutton Street, Shadwell",1327937940000,200256
BikePoints_512,false,true,false,,"Pritchard's Road, Bethnal Green",1328112600000,200083
BikePoints_513,false,true,false,,"Watney Market, Stepney",,200162
BikePoints_514,false,true,false,,"Portman Square, Marylebone",1328201520000,200008
BikePoints_515,false,true,false,,"Russell Gardens, Olympia",,200080
BikePoints_516,false,true,false,,"Chrisp Street Market, Poplar",1328202420000,200089
BikePoints_517,false,true,false,,"Ford Road, Old Ford",1326790860000,200027
BikePoints_518,false,true,false,,"Antill Road, Mile End",,200041
BikePoints_519,false,true,false,,"Teviot Street, Poplar",,200254
BikePoints_781,false,true,false,,"Victoria & Albert Museum, South Kensington",1446485340000,300032
BikePoints_782,false,true,false,,"Halford Road, West Kensington",1446485820000,300210
BikePoints_783,false,true,false,,"Monier Road, Hackney Wick",1448529660000,300213
BikePoints_784,false,true,false,,"East Village, Queen Elizabeth Olympic Park",1452789240000,300200
