place_id,removal_date,locked,installed,install_date,temporary,terminal_name,common_name
BikePoints_478,,false,true,1326965580000,false,200012,"Stepney Green Station, Stepney"
BikePoints_479,,false,true,1326966240000,false,200156,"Pott Street, Bethnal Green"
BikePoints_480,,false,true,1326975420000,false,200115,"Flamborough Street, Limehouse"
BikePoints_481,,false,true,1326996480000,false,200022,"Saunders Ness Road, Cubitt Town"
BikePoints_482,,false,true,1326996720000,false,200052,"Exhibition Road Museums 2, South Kensington"
BikePoints_483,,false,true,1327088280000,false,022166,"Albert Gardens, Stepney"
BikePoints_484,,false,true,1327339740000,false,022172,"Bromley High Street, Bow"
BikePoints_485,,false,true,1327255440000,false,022173,"Old Ford Road, Bethnal Green"
BikePoints_486,,false,true,1327338660000,false,022174,"Granby Street, Shoreditch"
BikePoints_487,,false,true,1327936860000,false,022175,"Canton Street, Poplar"
BikePoints_488,,false,true,1327254960000,false,022176,"Reardon Street, Wapping"
BikePoints_489,,false,true,1327087920000,false,022177,"Christian Street, Whitechapel"
BikePoints_490,,false,true,,false,200090,"Pennington Street, Wapping"
BikePoints_491,,false,true,1327256220000,false,200249,"Queen Mary's, Mile End"
BikePoints_492,,false,true,1327256520000,false,200230,"Maplin Street, Mile End"
BikePoints_494,,false,true,1327433220000,false,200233,"South Quay East, Canary Wharf"
BikePoints_495,,false,true,1327340460000,false,200252,"Bow Church Station, Bow"
BikePoints_496,,false,true,1327400820000,false,200255,"Devons Road, Bow"
BikePoints_497,,false,true,1327398420000,false,200242,"Merchant Street, Bow"
BikePoints_498,,false,true,1327398660000,false,200251,"Bow Road Station, Bow"
BikePoints_499,,false,true,1327407960000,false,200011,"Furze Green, Bow"
BikePoints_500,,false,true,1327430040000,false,200148,"Ansell House, Stepney"
BikePoints_501,,false,true,1327430220000,false,200073,"Cephas Street, Bethnal Green"
BikePoints_502,,false,true,1563957840000,false,200241,"Bonner Gate, Victoria Park"
BikePoints_503,,false,true,1327492920000,false,200250,"Cleveland Way, Stepney"
BikePoints_504,,false,true,1327937820000,false,200243,"St. John's Park, Cubitt Town"
BikePoints_505,,false,true,1327937460000,false,200038,"Ackroyd Drive, Bow"
BikePoints_506,,false,true,1327938660000,false,200036,"Bell Lane, Liverpool Street"
BikePoints_507,,false,true,1327938420000,false,200131,"Clarkson Street, Bethnal Green"
BikePoints_508,,false,true,1327938180000,false,200157,"Fournier Street, Whitechapel"
BikePoints_509,,false,true,1327938120000,false,200253,"Fore Street, Guildhall"
BikePoints_510,,false,true,,false,200238,"Westferry DLR, Limehouse"
BikePoints_511,,false,true,1327937940000,false,200256,"Sutton Street, Shadwell"
BikePoints_512,,false,true,1328112600000,false,200083,"Pritchard's Road, Bethnal Green"
BikePoints_513,,false,true,,false,200162,"Watney Market, Stepney"
BikePoints_514,,false,true,1328201520000,false,200008,"Portman Square, Marylebone"
BikePoints_515,,false,true,,false,200080,"Russell Gardens, Olympia"
BikePoints_516,,false,true,1328202420000,false,200089,"Chrisp Street Market, Poplar"
BikePoints_517,,false,true,1326790860000,false,200027,"Ford Road, Old Ford"
BikePoints_518,,false,true,,false,200041,"Antill Road, Mile End"
BikePoints_519,,false,true,,false,200254,"Teviot Street, Poplar"
BikePoints_781,,false,true,1446485340000,false,300032,"Victoria & Albert Museum, South Kensington"
BikePoints_782,,false,true,1446485820000,false,300210,"Halford Road, West Kensington"
BikePoints_783,,false,true,1448529660000,false,300213,"Monier Road, Hackney Wick"
BikePoints_784,,false,true,1452789240000,false,300200,"East Village, Queen Elizabeth Olympic Park"
BikePoints_785,,false,true,1451908440000,false,300233,"Aquatic Centre, Queen Elizabeth Olympic Park"
BikePoints_786,,false,true,1451918160000,false,300029,"Lee Valley VeloPark, Queen Elizabeth Olympic Park"
BikePoints_787,,false,true,1451900700000,false,300227,"Timber Lodge, Queen Elizabeth Olympic Park"
BikePoints_788,,false,true,1451906880000,false,300226,"Copper Box Arena, Queen Elizabeth Olympic Park"
BikePoints_789,,false,true,1452507000000,false,300021,"Podium, Queen Elizabeth Olympic Park"
BikePoints_790,,false,true,1452687420000,false,300234,"Stratford Station, Stratford"
BikePoints_792,,false,true,1454926380000,false,300214,"Blackfriars Road, Southwark"
