temporary,installed,place_id,terminal_name,common_name,install_date,removal_date,locked
false,true,BikePoints_494,200233,"South Quay East, Canary Wharf",1327433220000,,false
false,true,BikePoints_495,200252,"Bow Church Station, Bow",1327340460000,,false
false,true,BikePoints_496,200255,"Devons Road, Bow",1327400820000,,false
false,true,BikePoints_497,200242,"Merchant Street, Bow",1327398420000,,false
false,true,BikePoints_498,200251,"Bow Road Station, Bow",1327398660000,,false
false,true,BikePoints_499,200011,"Furze Green, Bow",1327407960000,,false
false,true,BikePoints_500,200148,"Ansell House, Stepney",1327430040000,,false
false,true,BikePoints_501,200073,"Cephas Street, Bethnal Green",1327430220000,,false
false,true,BikePoints_502,200241,"Bonner Gate, Victoria Park",1563957840000,,false
false,true,BikePoints_503,200250,"Cleveland Way, Stepney",1327492920000,,false
false,true,BikePoints_504,200243,"St. John's Park, Cubitt Town",1327937820000,,false
false,true,BikePoints_505,200038,"Ackroyd Drive, Bow",1327937460000,,false
false,true,BikePoints_506,200036,"Bell Lane, Liverpool Street",1327938660000,,false
false,true,BikePoints_507,200131,"Clarkson Street, Bethnal Green",1327938420000,,false
false,true,BikePoints_508,200157,"Fournier Street, Whitechapel",1327938180000,,false
false,true,BikePoints_509,200253,"Fore Street, Guildhall",1327938120000,,false
false,true,BikePoints_510,200238,"Westferry DLR, Limehouse",,,false
false,true,BikePoints_511,200256,"Sutton Street, Shadwell",1327937940000,,false
false,true,BikePoints_512,200083,"Pritchard's Road, Bethnal Green",1328112600000,,false
false,true,BikePoints_513,200162,"Watney Market, Stepney",,,false
false,true,BikePoints_514,200008,"Portman Square, Marylebone",1328201520000,,false
false,true,BikePoints_515,200080,"Russell Gardens, Olympia",,,false
false,true,BikePoints_516,200089,"Chrisp Street Market, Poplar",1328202420000,,false
false,true,BikePoints_517,200027,"Ford Road, Old Ford",1326790860000,,false
false,true,BikePoints_779,200072,"Houndsditch, Aldgate",1435313700000,,false
false,true,BikePoints_780,300070,"Imperial Wharf Station, Sands End",1439455200000,,false
false,true,BikePoints_781,300032,"Victoria & Albert Museum, South Kensington",1446485340000,,false
false,true,BikePoints_782,300210,"Halford Road, West Kensington",1446485820000,,false
false,true,BikePoints_783,300213,"Monier Road, Hackney Wick",1448529660000,,false
false,true,BikePoints_784,300200,"East Village, Queen Elizabeth Olympic Park",1452789240000,,false
false,true,BikePoints_785,300233,"Aquatic Centre, Queen Elizabeth Olympic Park",1451908440000,,false
false,true,BikePoints_787,300227,"Timber Lodge, Queen Elizabeth Olympic Park",1451900700000,,false
false,true,BikePoints_788,300226,"Copper Box Arena, Queen Elizabeth Olympic Park",1451906880000,,false
false,true,BikePoints_789,300021,"Podium, Queen Elizabeth Olympic Park",1452507000000,,false
false,true,BikePoints_790,300234,"Stratford Station, Stratford",1452687420000,,false
false,true,BikePoints_792,300214,"Blackfriars Road, Southwark",1454926380000,,false
false,true,BikePoints_793,300205,"Cromer Street, Bloomsbury",1459424760000,,false
false,true,BikePoints_794,300204,"Victoria Rise, Clapham Common",1456404240000,,false
false,true,BikePoints_795,300203,"Euston Square Gardens, Euston",1456744740000,,false
false,true,BikePoints_796,300201,"Coram Street, Bloomsbury",1456746420000,,false
false,true,BikePoints_797,300211,"Ossulston Street, Somers Town",1456839540000,,false
false,true,BikePoints_798,300212,"Birkenhead Street, King's Cross",1464787980000,,false
false,true,BikePoints_799,300202,"Kings Gate House, Westminster",1464876480000,,false
false,true,BikePoints_800,300248,"Sopwith Way, Battersea Park",1457107140000,,false
false,true,BikePoints_801,300208,"Lavington Street, Bankside",1458824640000,,false
false,true,BikePoints_802,300209,"Albert Square, Stockwell",1464865500000,,false
false,true,BikePoints_803,300238,"Southwark Street, Bankside",1464787860000,,false
false,true,BikePoints_804,300243,"Good's Way, King's Cross",1459410960000,,false
false,true,BikePoints_805,300244,"The Metropolitan, Portobello",1467626400000,,false
false,true,BikePoints_806,300241,"Handyside Street, King's Cross",1472723460000,,false
false,true,BikePoints_807,300236,"Bevington Road West, North Kensington",1466715600000,,false
