common_name,locked,removal_date,install_date,place_id,temporary,terminal_name,installed
"Red Lion Square, Holborn",false,,1278429300000,BikePoints_23,false,003421,true
"British Museum, Bloomsbury",false,,1278430140000,BikePoints_24,false,000981,true
"Doric Way , Somers Town",false,,1278433200000,BikePoints_25,false,001004,true
"Ampton Street , Clerkenwell",false,,1278434160000,BikePoints_26,false,001019,true
"Bouverie Street, Temple",false,,1278500160000,BikePoints_27,false,001021,true
"Bolsover Street, Fitzrovia",false,,1278500460000,BikePoints_28,false,001025,true
"Hereford Road, Bayswater",false,,1278501180000,BikePoints_29,false,001016,true
"Windsor Terrace, Hoxton",false,,1278501420000,BikePoints_30,false,001029,true
"Fanshaw Street, Hoxton",false,,1278501600000,BikePoints_31,false,003427,true
"Leonard Circus , Shoreditch",false,,1278506700000,BikePoints_32,false,001020,true
"Central House, Aldgate",false,,1278506940000,BikePoints_33,false,003430,true
"Pancras Road, King's Cross",false,,1278507060000,BikePoints_34,false,003428,true
"De Vere Gardens, Kensington",false,,1278519900000,BikePoints_36,false,003446,true
"Penywern Road, Earl's Court",false,,1278520020000,BikePoints_37,false,003444,true
"Abingdon Villas, Kensington",false,,1278584880000,BikePoints_38,false,003442,true
"Shoreditch High Street, Shoreditch",false,,1278601740000,BikePoints_39,false,003445,true
"Commercial Street, Shoreditch",false,,1278601980000,BikePoints_40,false,001083,true
"Pindar Street, Liverpool Street",false,,1278602280000,BikePoints_41,false,001084,true
"Wenlock Road , Hoxton",false,,1278602700000,BikePoints_42,false,000979,true
"Crawford Street, Marylebone",false,,1278687720000,BikePoints_43,false,001036,true
"Bruton Street, Mayfair",false,,1278687900000,BikePoints_44,false,001034,true
"Boston Place, Marylebone",false,,1278691320000,BikePoints_45,false,001035,true
"Nesham Street, Wapping",false,,1278691800000,BikePoints_46,false,001031,true
"Warwick Avenue Station, Maida Vale",false,,1278749160000,BikePoints_47,false,001027,true
"Godliman Street, St. Paul's",false,,1278749460000,BikePoints_48,false,000971,true
"Curzon Street, Mayfair",false,,1278749940000,BikePoints_49,false,003437,true
"East Road, Hoxton",false,,1278750240000,BikePoints_50,false,001054,true
"Finsbury Library , Finsbury",false,,1278750540000,BikePoints_51,false,000986,true
"Roscoe Street, St. Luke's",false,,1278750840000,BikePoints_52,false,001026,true
"Grafton Street, Mayfair",false,,1278752580000,BikePoints_53,false,003431,true
"Golden Lane, Barbican",false,,1278766740000,BikePoints_54,false,000967,true
"Finsbury Circus, Liverpool Street",false,,1278766980000,BikePoints_55,false,000984,true
"Paddington Street, Marylebone",false,,1278767220000,BikePoints_56,false,001033,true
"Guilford Street , Bloomsbury",false,,1278767460000,BikePoints_57,false,000974,true
"New Inn Yard, Shoreditch",false,,1278767700000,BikePoints_58,false,001032,true
"Lisson Grove, St. John's Wood",false,,1278769140000,BikePoints_60,false,001030,true
"Great Dover Street, The Borough",false,,1278773820000,BikePoints_61,false,001017,true
"Cotton Garden Estate, Kennington",false,,1278773940000,BikePoints_62,false,000990,true
"Murray Grove , Hoxton",false,,1278774120000,BikePoints_63,false,000989,true
"William IV Street, Strand",false,,1278774300000,BikePoints_64,false,001028,true
"Holborn Circus, Holborn",false,,1278845280000,BikePoints_66,false,000982,true
"Hatton Garden, Holborn",false,,1278847440000,BikePoints_67,false,000985,true
"Theobald's Road , Holborn",false,,1278857040000,BikePoints_68,false,000975,true
"Euston Road, Euston",false,,1278861540000,BikePoints_69,false,000983,true
"Calshot Street , King's Cross",false,,1278863340000,BikePoints_70,false,001066,true
"Newgate Street , St. Paul's",false,,1278924900000,BikePoints_71,false,001074,true
"Farringdon Lane, Clerkenwell",false,,1276948860000,BikePoints_72,false,003432,true
"Old Street Station, St. Luke's",false,,1278941040000,BikePoints_73,false,001064,true
"Vauxhall Cross, Vauxhall",false,,1278941160000,BikePoints_74,false,001000,true
"Torrens Street, Angel",false,,1278945180000,BikePoints_75,false,001060,true
"Longford Street, The Regent's Park",false,,1278946560000,BikePoints_76,false,000976,true
"Russell Square Station, Bloomsbury",false,,1278946860000,BikePoints_77,false,000978,true
"Sadlers Sports Centre, Finsbury",false,,1278948480000,BikePoints_78,false,003433,true
"Arundel Street, Temple",false,,1509018360000,BikePoints_79,false,003455,true
"Webber Street , Southwark",false,,1278952440000,BikePoints_80,false,003448,true
"Great Titchfield Street, Fitzrovia",false,,1279012980000,BikePoints_81,false,003450,true
"Chancery Lane, Holborn",false,,1279015680000,BikePoints_82,false,003453,true
"Panton Street, West End",false,,1279015800000,BikePoints_83,false,003452,true
"Breams Buildings, Holborn",false,,1279020240000,BikePoints_84,false,003449,true
"Bank of England Museum, Bank",false,,1280248620000,BikePoints_340,false,001201,true
"Craven Street, Strand",false,,1280222160000,BikePoints_341,false,001160,true
"London Zoo Car Park, The Regent's Park",false,,1280224260000,BikePoints_343,false,001188,true
"Goswell Road (City Uni), Finsbury",false,,1280226120000,BikePoints_344,false,001222,true
"Flood Street, Chelsea",false,,1280229720000,BikePoints_345,false,001218,true
"Lower Marsh, Waterloo",false,,1283762460000,BikePoints_347,false,001219,true
"Grosvenor Square, Mayfair",false,,1284540540000,BikePoints_348,false,010627,true
"St. George Street, Mayfair",false,,1284543120000,BikePoints_349,false,001221,true
"Queen's Gate, Kensington Gardens",false,,1285756260000,BikePoints_350,false,001231,true
"Macclesfield Rd, St Lukes",false,,1286790480000,BikePoints_351,false,001226,true
"Vauxhall Street, Vauxhall",false,,1286796360000,BikePoints_352,false,001224,true
"Greycoat Street , Westminster",false,,1287652080000,BikePoints_353,false,010623,true
"Northumberland Avenue, Strand",false,,,BikePoints_354,false,001097,true
"Clapham Common Station, Clapham Common",false,,1287752460000,BikePoints_355,false,002694,true
"South Kensington Station, South Kensington",false,,1288009080000,BikePoints_356,false,002685,true
"Howland Street, Fitzrovia",false,,1288092420000,BikePoints_357,false,002691,true
"High Holborn , Covent Garden",false,,1290079860000,BikePoints_358,false,001229,true
"Butler Place, Westminster",false,,1288950960000,BikePoints_359,false,002662,true
"Howick Place, Westminster",false,,1288958160000,BikePoints_360,false,002666,true
"Waterloo Station 2, Waterloo",false,,1291902600000,BikePoints_361,false,002692,true
"Royal College Street, Camden Town",false,,1290080220000,BikePoints_362,false,002686,true
"Lord's, St. John's Wood",false,,1289911800000,BikePoints_363,false,002665,true
"Store Street, Bloomsbury",false,,1290080640000,BikePoints_364,false,003507,true
"City Road, Angel",false,,1290603600000,BikePoints_365,false,002690,true
"Harrowby Street, Marylebone",false,,,BikePoints_367,false,002680,true
"Harriet Street, Knightsbridge",false,,1291201680000,BikePoints_368,false,002681,true
"Paddington Green, Paddington",false,,1291647300000,BikePoints_370,false,002670,true
"King Edward Walk, Waterloo",false,,1291712820000,BikePoints_371,false,002639,true
"Sardinia Street, Holborn",false,,1291713000000,BikePoints_372,false,002649,true
"Prince Consort Road, Knightsbridge",false,,1295428320000,BikePoints_373,false,003499,true
"Waterloo Station 1, Waterloo",false,,1291725720000,BikePoints_374,false,002696,true
"Kensington Town Hall, Kensington",false,,1291805820000,BikePoints_375,false,010632,true
"Millbank Tower, Pimlico",false,,1294660980000,BikePoints_376,false,002683,true
"Waterloo Bridge, South Bank",false,,1295265420000,BikePoints_377,false,002648,true
"Natural History Museum, South Kensington",false,,1296121500000,BikePoints_378,false,002677,true
"Turquoise Island, Notting Hill",false,,1296121680000,BikePoints_379,false,002682,true
"Stanhope Gate, Mayfair",false,,1296125400000,BikePoints_380,false,003506,true
"Charlotte Street, Fitzrovia",false,,1296203760000,BikePoints_381,false,002669,true
"Farm Street, Mayfair",false,,1297159320000,BikePoints_382,false,002678,true
"Frith Street, Soho",false,,1296649200000,BikePoints_383,false,002660,true
"Marloes Road, Kensington",false,,1296731880000,BikePoints_384,false,003505,true
"Moor Street, Soho",false,,1296732540000,BikePoints_386,false,003504,true
"Fire Brigade Pier, Vauxhall",false,,1297077540000,BikePoints_387,false,002703,true
"Southampton Street, Strand",false,,1297182180000,BikePoints_388,false,001228,true
"Upper Grosvenor Street, Mayfair",false,,1297347960000,BikePoints_389,false,010621,true
"Buxton Street 1, Shoreditch",false,,1297764360000,BikePoints_390,false,001223,true
"Clifford Street, Mayfair",false,1539846000000,1297956480000,BikePoints_391,false,002688,true
"Imperial College, Knightsbridge",false,,1297958700000,BikePoints_392,false,001220,true
"Snow Hill, Farringdon",false,,1298545440000,BikePoints_393,false,002699,true
"Aberdeen Place, St. John's Wood",false,,,BikePoints_394,false,002698,true
"Cadogan Gardens, Chelsea",false,,1298908800000,BikePoints_395,false,002695,true
"Shouldham Street, Marylebone",false,,1299075120000,BikePoints_396,false,002693,true
"Devonshire Terrace, Bayswater",false,,1299075900000,BikePoints_397,false,001227,true
"Holland Park, Kensington",false,,1299076440000,BikePoints_398,false,010631,true
"Brick Lane Market, Shoreditch",false,,1299582900000,BikePoints_399,false,002687,true
"George Street, Marylebone",false,,1299583260000,BikePoints_400,false,001225,true
"Columbia Road, Shoreditch",false,,1299592500000,BikePoints_401,false,002701,true
"Penfold Street, Marylebone",false,,1299592860000,BikePoints_402,false,010625,true
"George Place Mews, Marylebone",false,,1299593640000,BikePoints_403,false,010630,true
"Palace Gate, Kensington Gardens",false,,1299669180000,BikePoints_404,false,001110,true
"Gloucester Road Station, South Kensington",false,,1299669300000,BikePoints_405,false,001107,true
"Sun Street, Liverpool Street",false,,,BikePoints_408,false,001129,true
"Strata, Elephant & Castle",false,,,BikePoints_409,false,010624,true
"Edgware Road Station, Marylebone",false,,,BikePoints_410,false,001058,true
"Rotherhithe Roundabout, Rotherhithe",false,,,BikePoints_411,false,010629,true
"Cleaver Street, Kennington",false,,1302006180000,BikePoints_412,false,010628,true
"Chelsea Bridge, Pimlico",false,,1308735300000,BikePoints_419,false,022160,true
"Southwark Station 1, Southwark",false,,1309258380000,BikePoints_420,false,022162,true
"Southwark Station 2, Southwark",false,,1309258440000,BikePoints_421,false,022163,true
"Eaton Square (South), Belgravia",false,,1309860240000,BikePoints_423,false,022164,true
"Ebury Bridge, Pimlico",false,,1324551120000,BikePoints_424,false,022159,true
"Vincent Street, Pimlico",false,,1310463720000,BikePoints_426,false,022161,true
"Cheapside, Bank",false,,1310725680000,BikePoints_427,false,022180,true
"Exhibition Road, Knightsbridge",false,,1318496100000,BikePoints_428,false,022179,true
"South Parade, Chelsea",false,,1324549980000,BikePoints_430,false,022182,true
"Crinan Street, King's Cross",false,,1323355020000,BikePoints_431,false,022183,true
"Exhibition Road Museums 1, South Kensington",false,,1319448720000,BikePoints_432,false,022158,true
"Wren Street, Holborn",false,,1323361560000,BikePoints_433,false,022169,true
"Kennington Station, Kennington",false,,1323346020000,BikePoints_435,false,022170,true
"Shoreditch Court, Haggerston",false,,1384254300000,BikePoints_698,false,200121,true
"Belford House, Haggerston",false,,1384256040000,BikePoints_699,false,200057,true
"Battersea Church Road, Battersea",false,,1384343280000,BikePoints_700,false,200201,true
"Vicarage Crescent, Battersea",false,,1384345080000,BikePoints_701,false,200077,true
"Durant Street, Bethnal Green",false,,1384345860000,BikePoints_702,false,200213,true
"St. Bride Street, Holborn",false,,1384357800000,BikePoints_703,false,200094,true
