common_name,removal_date,terminal_name,installed,place_id,temporary,locked,install_date
"Queen Street 1, Bank",,000999,true,BikePoints_101,false,false,1279102680000
"Jewry Street, Aldgate",,001045,true,BikePoints_102,false,false,1279102860000
"Vicarage Gate, Kensington",,003441,true,BikePoints_103,false,false,1279103520000
"Crosswall, Tower",,000991,true,BikePoints_104,false,false,1279103760000
"Westbourne Grove, Bayswater",,001041,true,BikePoints_105,false,false,1279105320000
"Woodstock Street, Mayfair",,001042,true,BikePoints_106,false,false,1279106880000
"Finsbury Leisure Centre, St. Luke's",,001049,true,BikePoints_107,false,false,1279107480000
"Abbey Orchard Street, Westminster",,003429,true,BikePoints_108,false,false,1279107720000
"Soho Square , Soho",,001052,true,BikePoints_109,false,false,1279108320000
"Wellington Road, St. John's Wood",,001055,true,BikePoints_110,false,false,1279108920000
"Park Lane , Hyde Park",,001037,true,BikePoints_111,false,false,1279109160000
"Gloucester Road (Central), South Kensington",,003435,true,BikePoints_113,false,false,1279116600000
"Park Road (Baker Street), The Regent's Park",,001050,true,BikePoints_114,false,false,1279119900000
"Braham Street, Aldgate",,001062,true,BikePoints_115,false,false,1279120680000
"Little Argyll Street, West End",,000995,true,BikePoints_116,false,false,1279122360000
"Lollard Street, Vauxhall",,000998,true,BikePoints_117,false,false,1279124220000
"Rochester Row, Westminster",,003457,true,BikePoints_118,false,false,1279124520000
"Bath Street, St. Luke's",,000964,true,BikePoints_119,false,false,1279124760000
"The Guildhall, Guildhall",,001044,true,BikePoints_120,false,false,1279187040000
"Baker Street, Marylebone",,001086,true,BikePoints_121,false,false,1279189200000
"Norton Folgate, Liverpool Street",,001068,true,BikePoints_122,false,false,1279190040000
"St. John Street, Finsbury",,000992,true,BikePoints_123,false,false,1279191300000
"Eaton Square, Belgravia",,001069,true,BikePoints_124,false,false,1279191540000
"Borough High Street, The Borough",,000996,true,BikePoints_125,false,false,1279192200000
"Museum of London, Barbican",,001043,true,BikePoints_126,false,false,1279193340000
"Wood Street, Guildhall",,001063,true,BikePoints_127,false,false,1279193520000
"Emperor's Gate, South Kensington",,001116,true,BikePoints_128,false,false,1279194060000
"Golden Square, Soho",,003451,true,BikePoints_129,false,false,1279198500000
"Tower Gardens , Tower",,001071,true,BikePoints_130,false,false,1279198800000
"Eversholt Street , Camden Town",,001005,true,BikePoints_131,false,false,1279199280000
"Bethnal Green Road, Shoreditch",,000973,true,BikePoints_132,false,false,1279199520000
"Derry Street, Kensington",,003436,true,BikePoints_133,false,false,1279200240000
"Wapping High Street, Wapping",,001039,true,BikePoints_134,false,false,1279200900000
"Clerkenwell Green, Clerkenwell",,001053,true,BikePoints_135,false,false,1279201080000
"Queen Victoria Street, St. Paul's",,001048,true,BikePoints_136,false,false,1279201200000
"Green Street, Mayfair",,003464,true,BikePoints_138,false,false,1279205220000
"Lambeth Road, Vauxhall",,001078,true,BikePoints_139,false,false,1279205460000
"Finsbury Square , Moorgate",,001056,true,BikePoints_140,false,false,1279205580000
"Chapel Place, Marylebone",,001003,true,BikePoints_141,false,false,1279210980000
"West Cromwell Road, Earl's Court",,001001,true,BikePoints_142,false,false,1279211220000
"Pont Street, Knightsbridge",,001114,true,BikePoints_143,false,false,1279211400000
"Kennington Cross, Kennington",,001093,true,BikePoints_144,false,false,1279211580000
"Ilchester Place, Kensington",,001115,true,BikePoints_145,false,false,1279212180000
"Vauxhall Bridge , Pimlico",,001046,true,BikePoints_146,false,false,1279212360000
"Tachbrook Street, Victoria",,000965,true,BikePoints_148,false,false,
"Kennington Road Post Office, Oval",,001073,true,BikePoints_149,false,false,1279215360000
"Holy Trinity Brompton, Knightsbridge",,001002,true,BikePoints_150,false,false,1279215540000
"Chepstow Villas, Notting Hill",,001120,true,BikePoints_151,false,false,1279215720000
"Hampton Street, Walworth",,001118,true,BikePoints_152,false,false,1279215900000
"Bayswater Road, Hyde Park",,001096,true,BikePoints_153,false,false,1279216080000
"Waterloo Station 3, Waterloo",,001072,true,BikePoints_154,false,false,
"Lexham Gardens, Kensington",,001121,true,BikePoints_155,false,false,1279272660000
"New Kent Road, The Borough",,000966,true,BikePoints_156,false,false,1279273080000
"Wright's Lane, Kensington",,001094,true,BikePoints_157,false,false,1279273200000
"Trebovir Road, Earl's Court",,001113,true,BikePoints_158,false,false,1279273320000
"Waterloo Place, St. James's",,003458,true,BikePoints_160,false,false,1279274280000
"Guildhouse Street, Victoria",,003478,true,BikePoints_161,false,false,1279286940000
"Southampton Place, Holborn",,001123,true,BikePoints_162,false,false,1279287120000
