common_name,locked,place_id,install_date,removal_date,terminal_name,temporary,installed
"Putney Bridge Road, East Putney",false,BikePoints_728,1385466780000,,300044,false,true
"St. Peter's Terrace, Fulham",false,BikePoints_729,1385391300000,,300043,false,true
"Bridge Avenue, Hammersmith",false,BikePoints_730,1385132580000,,300082,false,true
"Michael Road, Walham Green",false,BikePoints_731,1385394720000,,300095,false,true
"Duke Street Hill, London Bridge",false,BikePoints_732,1385458020000,,300083,false,true
"Park Lane, Mayfair",false,BikePoints_733,1385460840000,,300093,false,true
"Plough Terrace, Clapham Junction",false,BikePoints_734,1385464500000,,300094,false,true
"Grant Road East, Clapham Junction",false,BikePoints_735,1385383080000,,200120,false,true
"Queensdale Road, Shepherd's Bush",false,BikePoints_736,1385472900000,,300088,false,true
"Fulham Broadway, Walham Green",false,BikePoints_737,1385554620000,,300086,false,true
"Imperial Road, Sands End",false,BikePoints_738,1385563380000,,300087,false,true
"Hortensia Road, West Brompton",false,BikePoints_739,1385631000000,,300091,false,true
"Sirdar Road, Avondale",false,BikePoints_740,1385635440000,,300084,false,true
"Freston Road, Avondale",false,BikePoints_741,1385640120000,,300085,false,true
"Blenheim Crescent, Ladbroke Grove",false,BikePoints_742,1385649540000,,300090,false,true
"Oxford Road, Putney",false,BikePoints_743,1385723700000,,300078,false,true
"Ingrave Street, Clapham Junction",false,BikePoints_744,1385729760000,,300077,false,true
"Upcerne Road, West Chelsea",false,BikePoints_745,1385740020000,,300075,false,true
"Lots Road, West Chelsea",false,BikePoints_746,1385985720000,,300076,false,true
"Ormonde Gate, Chelsea",false,BikePoints_747,1385997240000,,300089,false,true
"Hertford Road, De Beauvoir Town",false,BikePoints_748,1386159900000,,300092,false,true
"Haggerston Road, Haggerston",false,BikePoints_749,1386172440000,,300081,false,true
"Culvert Road, Battersea",false,BikePoints_750,1386240360000,,300080,false,true
"Newton Street, Covent Garden",false,BikePoints_751,1386250800000,,300074,false,true
"London Street, Paddington",false,BikePoints_752,1650364320000,,300079,false,true
"Grenfell Road, Avondale",false,BikePoints_754,1389003540000,,300067,false,true
"The Vale, Chelsea",false,BikePoints_755,1389008580000,,300058,false,true
"Prince of Wales Drive, Battersea Park",false,BikePoints_756,1390223040000,,300073,false,true
"Harcourt Terrace, West Brompton",false,BikePoints_757,1389094260000,,300069,false,true
"Westbourne Park Road, Portobello",false,BikePoints_758,1389178020000,,300057,false,true
"Broadley Terrace, Marylebone",false,BikePoints_759,1389627480000,,300072,false,true
"Humbolt Road, Fulham",false,BikePoints_761,1389781800000,,300068,false,true
"Storey's Gate, Westminster",false,BikePoints_762,1392039000000,,200202,false,true
"Mile End Park Leisure Centre, Mile End",false,BikePoints_763,1392043020000,,300027,false,true
"St. John's Road, Clapham Junction",false,BikePoints_764,1392633480000,,200185,false,true
"Ranelagh Gardens, Fulham",false,BikePoints_765,1392986940000,,300064,false,true
"Ram Street, Wandsworth",false,BikePoints_766,1392894840000,,200079,false,true
"Santos Road, Wandsworth",false,BikePoints_767,1393406280000,,200177,false,true
"Clapham Common North Side, Clapham Common",false,BikePoints_768,1393494060000,,300065,false,true
"Sandilands Road, Walham Green",false,BikePoints_769,1393939560000,,300001,false,true
"Gwendwr Road, West Kensington",false,BikePoints_770,1394099280000,,300097,false,true
"Rifle Place, Avondale",false,BikePoints_771,1394018400000,,300007,false,true
"Binfield Road, Stockwell",false,BikePoints_772,1396442100000,,300015,false,true
"Tallis Street, Temple",false,BikePoints_773,1396262520000,,300096,false,true
"Hurlingham Park, Parsons Green",false,BikePoints_774,1396265880000,,300098,false,true
"Little Brook Green, Brook Green",false,BikePoints_775,1396270320000,,300101,false,true
"Abyssinia Close, Clapham Junction",false,BikePoints_776,1396273320000,,300099,false,true
"Limburg Road, Clapham Junction",false,BikePoints_777,1406282940000,,300100,false,true
"Houndsditch, Aldgate",false,BikePoints_779,1435313700000,,200072,false,true
"Imperial Wharf Station, Sands End",false,BikePoints_780,1439455200000,,300070,false,true
"Tanner Street, Bermondsey",false,BikePoints_85,1279026060000,,000994,false,true
"Sancroft Street, Vauxhall",false,BikePoints_86,1279027140000,,003434,false,true
"Devonshire Square, Liverpool Street",false,BikePoints_87,1279027680000,,003438,false,true
"Bayley Street , Bloomsbury",false,BikePoints_88,1279028280000,,001006,false,true
"Tavistock Place, Bloomsbury",false,BikePoints_89,1279029360000,,003439,false,true
"Harrington Square 1, Camden Town",false,BikePoints_90,1279030020000,,001038,false,true
"Walnut Tree Walk, Vauxhall",false,BikePoints_91,1279036740000,,001076,false,true
"Borough Road, Elephant & Castle",false,BikePoints_92,1279037040000,,001082,false,true
"Cloudesley Road, Angel",false,BikePoints_93,1279037760000,,002586,false,true
"Bricklayers Arms, Borough",false,BikePoints_94,1279038420000,,001070,false,true
"Aldersgate Street, Barbican",false,BikePoints_95,1279096560000,,001065,false,true
"Falkirk Street, Hoxton",false,BikePoints_96,1279096980000,,001047,false,true
"Gloucester Road (North), Kensington",false,BikePoints_97,1279097580000,,003447,false,true
"Hampstead Road, Euston",false,BikePoints_98,1279099080000,,000972,false,true
"Old Quebec Street, Marylebone",false,BikePoints_99,1279099680000,,001085,false,true
"Albert Embankment, Vauxhall",false,BikePoints_100,1279099860000,,001059,false,true
"Queen Street 1, Bank",false,BikePoints_101,1279102680000,,000999,false,true
"Jewry Street, Aldgate",false,BikePoints_102,1279102860000,,001045,false,true
"Vicarage Gate, Kensington",false,BikePoints_103,1279103520000,,003441,false,true
"Crosswall, Tower",false,BikePoints_104,1279103760000,,000991,false,true
"Westbourne Grove, Bayswater",false,BikePoints_105,1279105320000,,001041,false,true
"Woodstock Street, Mayfair",false,BikePoints_106,1279106880000,,001042,false,true
"Finsbury Leisure Centre, St. Luke's",false,BikePoints_107,1279107480000,,001049,false,true
"Abbey Orchard Street, Westminster",false,BikePoints_108,1279107720000,,003429,false,true
"Soho Square , Soho",false,BikePoints_109,1279108320000,,001052,false,true
"Wellington Road, St. John's Wood",false,BikePoints_110,1279108920000,,001055,false,true
"Park Lane , Hyde Park",false,BikePoints_111,1279109160000,,001037,false,true
"Gloucester Road (Central), South Kensington",false,BikePoints_113,1279116600000,,003435,false,true
"Park Road (Baker Street), The Regent's Park",false,BikePoints_114,1279119900000,,001050,false,true
"Braham Street, Aldgate",false,BikePoints_115,1279120680000,,001062,false,true
"Little Argyll Street, West End",false,BikePoints_116,1279122360000,,000995,false,true
"Lollard Street, Vauxhall",false,BikePoints_117,1279124220000,,000998,false,true
"Rochester Row, Westminster",false,BikePoints_118,1279124520000,,003457,false,true
"Bath Street, St. Luke's",false,BikePoints_119,1279124760000,,000964,false,true
"The Guildhall, Guildhall",false,BikePoints_120,1279187040000,,001044,false,true
"Baker Street, Marylebone",false,BikePoints_121,1279189200000,,001086,false,true
"Norton Folgate, Liverpool Street",false,BikePoints_122,1279190040000,,001068,false,true
"St. John Street, Finsbury",false,BikePoints_123,1279191300000,,000992,false,true
"Eaton Square, Belgravia",false,BikePoints_124,1279191540000,,001069,false,true
"Borough High Street, The Borough",false,BikePoints_125,1279192200000,,000996,false,true
"Museum of London, Barbican",false,BikePoints_126,1279193340000,,001043,false,true
"Wood Street, Guildhall",false,BikePoints_127,1279193520000,,001063,false,true
"Emperor's Gate, South Kensington",false,BikePoints_128,1279194060000,,001116,false,true
"Golden Square, Soho",false,BikePoints_129,1279198500000,,003451,false,true
"Tower Gardens , Tower",false,BikePoints_130,1279198800000,,001071,false,true
"Eversholt Street , Camden Town",false,BikePoints_131,1279199280000,,001005,false,true
"Bethnal Green Road, Shoreditch",false,BikePoints_132,1279199520000,,000973,false,true
"Derry Street, Kensington",false,BikePoints_133,1279200240000,,003436,false,true
"Wapping High Street, Wapping",false,BikePoints_134,1279200900000,,001039,false,true
"Clerkenwell Green, Clerkenwell",false,BikePoints_135,1279201080000,,001053,false,true
"Queen Victoria Street, St. Paul's",false,BikePoints_136,1279201200000,,001048,false,true
"Green Street, Mayfair",false,BikePoints_138,1279205220000,,003464,false,true
"Lambeth Road, Vauxhall",false,BikePoints_139,1279205460000,,001078,false,true
"Finsbury Square , Moorgate",false,BikePoints_140,1279205580000,,001056,false,true
"Chapel Place, Marylebone",false,BikePoints_141,1279210980000,,001003,false,true
"West Cromwell Road, Earl's Court",false,BikePoints_142,1279211220000,,001001,false,true
"Pont Street, Knightsbridge",false,BikePoints_143,1279211400000,,001114,false,true
"Kennington Cross, Kennington",false,BikePoints_144,1279211580000,,001093,false,true
"Ilchester Place, Kensington",false,BikePoints_145,1279212180000,,001115,false,true
"Vauxhall Bridge , Pimlico",false,BikePoints_146,1279212360000,,001046,false,true
"Tachbrook Street, Victoria",false,BikePoints_148,,,000965,false,true
"Kennington Road Post Office, Oval",false,BikePoints_149,1279215360000,,001073,false,true
"Holy Trinity Brompton, Knightsbridge",false,BikePoints_150,1279215540000,,001002,false,true
"Hampton Street, Walworth",false,BikePoints_152,1279215900000,,001118,false,true
"Bayswater Road, Hyde Park",false,BikePoints_153,1279216080000,,001096,false,true
"Waterloo Station 3, Waterloo",false,BikePoints_154,,,001072,false,true
"Lexham Gardens, Kensington",false,BikePoints_155,1279272660000,,001121,false,true
"New Kent Road, The Borough",false,BikePoints_156,1279273080000,,000966,false,true
"Wright's Lane, Kensington",false,BikePoints_157,1279273200000,,001094,false,true
"Trebovir Road, Earl's Court",false,BikePoints_158,1279273320000,,001113,false,true
"Waterloo Place, St. James's",false,BikePoints_160,1279274280000,,003458,false,true
"Guildhouse Street, Victoria",false,BikePoints_161,1279286940000,,003478,false,true
"Southampton Place, Holborn",false,BikePoints_162,1279287120000,,001123,false,true
"Sloane Avenue, Knightsbridge",false,BikePoints_163,1279287300000,,003461,false,true
"Cleveland Gardens, Bayswater",false,BikePoints_164,1279287600000,,001178,false,true
"Orsett Terrace, Bayswater",false,BikePoints_165,1279287960000,,002585,false,true
"Seville Street, Knightsbridge",false,BikePoints_166,1279288140000,,001177,false,true
"Eccleston Place, Victoria",false,BikePoints_167,,,003465,false,true
"Argyll Road, Kensington",false,BikePoints_168,1279289400000,,003463,false,true
"Wren Street, Holborn",false,BikePoints_433,1323361560000,,022169,false,true
"Kennington Station, Kennington",false,BikePoints_435,1323346020000,,022170,false,true
"Red Lion Street, Holborn",false,BikePoints_436,1323350220000,,022171,false,true
"Vauxhall Walk, Vauxhall",false,BikePoints_437,1325746380000,,200056,false,true
"Killick Street, King's Cross",false,BikePoints_439,1325705460000,,200053,false,true
"Kennington Oval, Oval",false,BikePoints_440,1325708160000,,200032,false,true
"Sail Street, Vauxhall",false,BikePoints_441,1325711220000,,200039,false,true
"Walmer Road, Avondale",false,BikePoints_442,1325940420000,,200035,false,true
"Philpot Street, Whitechapel",false,BikePoints_443,1325941800000,,200033,false,true
"Bethnal Green Garden, Bethnal Green",false,BikePoints_444,1325944680000,,200047,false,true
"Cheshire Street, Bethnal Green",false,BikePoints_445,1325945820000,,200003,false,true
"York Hall, Bethnal Green",false,BikePoints_446,1325948880000,,200042,false,true
"Jubilee Crescent, Cubitt Town",false,BikePoints_447,1325949000000,,200054,false,true
"Fisherman's Walk West, Canary Wharf",false,BikePoints_448,1325952660000,,022165,false,true
"Shadwell Station, Shadwell",false,BikePoints_449,1325952900000,,200020,false,true
"Jubilee Street, Stepney",false,BikePoints_450,1326105240000,,200002,false,true
