place_id,common_name,terminal_name,installed,removal_date,install_date,temporary,locked
BikePoints_712,"Mile End Stadium, Mile End",300056,true,,1384797120000,false,false
BikePoints_713,"Hawley Crescent, Camden Town",200122,true,,1384774620000,false,false
BikePoints_714,"Stewart's Road, Wandsworth Road",300055,true,,1384865400000,false,false
BikePoints_715,"Aylward Street, Stepney",300049,true,,1384868460000,false,false
BikePoints_717,"Dunston Road , Haggerston",300024,true,,1384952400000,false,false
BikePoints_718,"Ada Street, Hackney Central",300040,true,,1384962840000,false,false
BikePoints_719,"Victoria Park Road, Hackney Central",300011,true,,1384968480000,false,false
BikePoints_720,"Star Road, West Kensington",300038,true,,1385025840000,false,false
BikePoints_721,"Wendon Street, Old Ford",300039,true,,1385028480000,false,false
BikePoints_722,"Finnis Street, Bethnal Green",300041,true,,1385028600000,false,false
BikePoints_723,"Stephendale Road, Sands End",300053,true,,1385035380000,false,false
BikePoints_724,"Alma Road, Wandsworth",300046,true,,1385125380000,false,false
BikePoints_725,"Walworth Square, Walworth",300050,true,,1563352500000,false,false
BikePoints_726,"Alfreda Street, Battersea Park",300047,true,,1385128740000,false,false
BikePoints_727,"Chesilton Road, Fulham",300054,true,,1385132160000,false,false
BikePoints_728,"Putney Bridge Road, East Putney",300044,true,,1385466780000,false,false
BikePoints_729,"St. Peter's Terrace, Fulham",300043,true,,1385391300000,false,false
BikePoints_730,"Bridge Avenue, Hammersmith",300082,true,,1385132580000,false,false
BikePoints_731,"Michael Road, Walham Green",300095,true,,1385394720000,false,false
BikePoints_732,"Duke Street Hill, London Bridge",300083,true,,1385458020000,false,false
BikePoints_733,"Park Lane, Mayfair",300093,true,,1385460840000,false,false
BikePoints_734,"Plough Terrace, Clapham Junction",300094,true,,1385464500000,false,false
BikePoints_735,"Grant Road East, Clapham Junction",200120,true,,1385383080000,false,false
BikePoints_736,"Queensdale Road, Shepherd's Bush",300088,true,,1385472900000,false,false
BikePoints_737,"Fulham Broadway, Walham Green",300086,true,,1385554620000,false,false
BikePoints_738,"Imperial Road, Sands End",300087,true,,1385563380000,false,false
BikePoints_739,"Hortensia Road, West Brompton",300091,true,,1385631000000,false,false
BikePoints_740,"Sirdar Road, Avondale",300084,true,,1385635440000,false,false
BikePoints_741,"Freston Road, Avondale",300085,true,,1385640120000,false,false
BikePoints_742,"Blenheim Crescent, Ladbroke Grove",300090,true,,1385649540000,false,false
BikePoints_743,"Oxford Road, Putney",300078,true,,1385723700000,false,false
