removal_date,installed,locked,place_id,common_name,terminal_name,install_date,temporary
,true,false,BikePoints_377,"Waterloo Bridge, South Bank",002648,1295265420000,false
,true,false,BikePoints_378,"Natural History Museum, South Kensington",002677,1296121500000,false
,true,false,BikePoints_379,"Turquoise Island, Notting Hill",002682,1296121680000,false
,true,false,BikePoints_380,"Stanhope Gate, Mayfair",003506,1296125400000,false
,true,false,BikePoints_381,"Charlotte Street, Fitzrovia",002669,1296203760000,false
,true,false,BikePoints_382,"Farm Street, Mayfair",002678,1297159320000,false
,true,false,BikePoints_383,"Frith Street, Soho",002660,1296649200000,false
,true,false,BikePoints_384,"Marloes Road, Kensington",003505,1296731880000,false
,true,false,BikePoints_386,"Moor Street, Soho",003504,1296732540000,false
,true,false,BikePoints_387,"Fire Brigade Pier, Vauxhall",002703,1297077540000,false
,true,false,BikePoints_388,"Southampton Street, Strand",001228,1297182180000,false
,true,false,BikePoints_389,"Upper Grosvenor Street, Mayfair",010621,1297347960000,false
,true,false,BikePoints_390,"Buxton Street 1, Shoreditch",001223,1297764360000,false
1539846000000,true,false,BikePoints_391,"Clifford Street, Mayfair",002688,1297956480000,false
,true,false,BikePoints_392,"Imperial College, Knightsbridge",001220,1297958700000,false
,true,false,BikePoints_393,"Snow Hill, Farringdon",002699,1298545440000,false
,true,false,BikePoints_394,"Aberdeen Place, St. John's Wood",002698,,false
,true,false,BikePoints_395,"Cadogan Gardens, Chelsea",002695,1298908800000,false
,true,false,BikePoints_396,"Shouldham Street, Marylebone",002693,1299075120000,false
,true,false,BikePoints_397,"Devonshire Terrace, Bayswater",001227,1299075900000,false
,true,false,BikePoints_398,"Holland Park, Kensington",010631,1299076440000,false
,true,false,BikePoints_399,"Brick Lane Market, Shoreditch",002687,1299582900000,false
,true,false,BikePoints_400,"George Street, Marylebone",001225,1299583260000,false
,true,false,BikePoints_401,"Columbia Road, Shoreditch",002701,1299592500000,false
,true,false,BikePoints_402,"Penfold Street, Marylebone",010625,1299592860000,false
,true,false,BikePoints_403,"George Place Mews, Marylebone",010630,1299593640000,false
,true,false,BikePoints_404,"Palace Gate, Kensington Gardens",001110,1299669180000,false
,true,false,BikePoints_405,"Gloucester Road Station, South Kensington",001107,1299669300000,false
,true,false,BikePoints_408,"Sun Street, Liverpool Street",001129,,false
,true,false,BikePoints_409,"Strata, Elephant & Castle",010624,,false
,true,false,BikePoints_410,"Edgware Road Station, Marylebone",001058,,false
,true,false,BikePoints_411,"Rotherhithe Roundabout, Rotherhithe",010629,,false
,true,false,BikePoints_412,"Cleaver Street, Kennington",010628,1302006180000,false
,true,false,BikePoints_419,"Chelsea Bridge, Pimlico",022160,1308735300000,false
,true,false,BikePoints_420,"Southwark Station 1, Southwark",022162,1309258380000,false
,true,false,BikePoints_421,"Southwark Station 2, Southwark",022163,1309258440000,false
,true,false,BikePoints_423,"Eaton Square (South), Belgravia",022164,1309860240000,false
,true,false,BikePoints_424,"Ebury Bridge, Pimlico",022159,1324551120000,false
,true,false,BikePoints_426,"Vincent Street, Pimlico",022161,1310463720000,false
,true,false,BikePoints_427,"Cheapside, Bank",022180,1310725680000,false
,true,false,BikePoints_428,"Exhibition Road, Knightsbridge",022179,1318496100000,false
,true,false,BikePoints_430,"South Parade, Chelsea",022182,1324549980000,false
,true,false,BikePoints_431,"Crinan Street, King's Cross",022183,1323355020000,false
,true,false,BikePoints_432,"Exhibition Road Museums 1, South Kensington",022158,1319448720000,false
,true,false,BikePoints_433,"Wren Street, Holborn",022169,1323361560000,false
,true,false,BikePoints_698,"Shoreditch Court, Haggerston",200121,1384254300000,false
,true,false,BikePoints_699,"Belford House, Haggerston",200057,1384256040000,false
,true,false,BikePoints_700,"Battersea Church Road, Battersea",200201,1384343280000,false
,true,false,BikePoints_701,"Vicarage Crescent, Battersea",200077,1384345080000,false
