terminal_name,place_id,install_date,removal_date,temporary,installed,locked,common_name
002695,BikePoints_395,1298908800000,,false,true,false,"Cadogan Gardens, Chelsea"
002693,BikePoints_396,1299075120000,,false,true,false,"Shouldham Street, Marylebone"
001227,BikePoints_397,1299075900000,,false,true,false,"Devonshire Terrace, Bayswater"
010631,BikePoints_398,1299076440000,,false,true,false,"Holland Park, Kensington"
002687,BikePoints_399,1299582900000,,false,true,false,"Brick Lane Market, Shoreditch"
001225,BikePoints_400,1299583260000,,false,true,false,"George Street, Marylebone"
002701,BikePoints_401,1299592500000,,false,true,false,"Columbia Road, Shoreditch"
010625,BikePoints_402,1299592860000,,false,true,false,"Penfold Street, Marylebone"
010630,BikePoints_403,1299593640000,,false,true,false,"George Place Mews, Marylebone"
001110,BikePoints_404,1299669180000,,false,true,false,"Palace Gate, Kensington Gardens"
001107,BikePoints_405,1299669300000,,false,true,false,"Gloucester Road Station, South Kensington"
001129,BikePoints_408,,,false,true,false,"Sun Street, Liverpool Street"
010624,BikePoints_409,,,false,true,false,"Strata, Elephant & Castle"
001058,BikePoints_410,,,false,true,false,"Edgware Road Station, Marylebone"
010629,BikePoints_411,,,false,true,false,"Rotherhithe Roundabout, Rotherhithe"
010628,BikePoints_412,1302006180000,,false,true,false,"Cleaver Street, Kennington"
022160,BikePoints_419,1308735300000,,false,true,false,"Chelsea Bridge, Pimlico"
022162,BikePoints_420,1309258380000,,false,true,false,"Southwark Station 1, Southwark"
022163,BikePoints_421,1309258440000,,false,true,false,"Southwark Station 2, Southwark"
022164,BikePoints_423,1309860240000,,false,true,false,"Eaton Square (South), Belgravia"
022159,BikePoints_424,1324551120000,,false,true,false,"Ebury Bridge, Pimlico"
022161,BikePoints_426,1310463720000,,false,true,false,"Vincent Street, Pimlico"
022180,BikePoints_427,1310725680000,,false,true,false,"Cheapside, Bank"
022179,BikePoints_428,1318496100000,,false,true,false,"Exhibition Road, Knightsbridge"
022182,BikePoints_430,1324549980000,,false,true,false,"South Parade, Chelsea"
022183,BikePoints_431,1323355020000,,false,true,false,"Crinan Street, King's Cross"
022158,BikePoints_432,1319448720000,,false,true,false,"Exhibition Road Museums 1, South Kensington"
022169,BikePoints_433,1323361560000,,false,true,false,"Wren Street, Holborn"
200121,BikePoints_698,1384254300000,,false,true,false,"Shoreditch Court, Haggerston"
200057,BikePoints_699,1384256040000,,false,true,false,"Belford House, Haggerston"
200201,BikePoints_700,1384343280000,,false,true,false,"Battersea Church Road, Battersea"
200077,BikePoints_701,1384345080000,,false,true,false,"Vicarage Crescent, Battersea"
200213,BikePoints_702,1384345860000,,false,true,false,"Durant Street, Bethnal Green"
200094,BikePoints_703,1384357800000,,false,true,false,"St. Bride Street, Holborn"
200063,BikePoints_704,1384443480000,,false,true,false,"Mexfield Road, East Putney"
