place_id,installed,install_date,locked,terminal_name,temporary,removal_date,common_name
BikePoints_501,true,1327430220000,false,200073,false,,"Cephas Street, Bethnal Green"
BikePoints_502,true,1563957840000,false,200241,false,,"Bonner Gate, Victoria Park"
BikePoints_503,true,1327492920000,false,200250,false,,"Cleveland Way, Stepney"
BikePoints_504,true,1327937820000,false,200243,false,,"St. John's Park, Cubitt Town"
BikePoints_505,true,1327937460000,false,200038,false,,"Ackroyd Drive, Bow"
BikePoints_506,true,1327938660000,false,200036,false,,"Bell Lane, Liverpool Street"
BikePoints_507,true,1327938420000,false,200131,false,,"Clarkson Street, Bethnal Green"
BikePoints_508,true,1327938180000,false,200157,false,,"Fournier Street, Whitechapel"
BikePoints_509,true,1327938120000,false,200253,false,,"Fore Street, Guildhall"
BikePoints_510,true,,false,200238,false,,"Westferry DLR, Limehouse"
BikePoints_511,true,1327937940000,false,200256,false,,"Sutton Street, Shadwell"
BikePoints_512,true,1328112600000,false,200083,false,,"Pritchard's Road, Bethnal Green"
BikePoints_513,true,,false,200162,false,,"Watney Market, Stepney"
BikePoints_514,true,1328201520000,false,200008,false,,"Portman Square, Marylebone"
BikePoints_515,true,,false,200080,false,,"Russell Gardens, Olympia"
BikePoints_516,true,1328202420000,false,200089,false,,"Chrisp Street Market, Poplar"
BikePoints_517,true,1326790860000,false,200027,false,,"Ford Road, Old Ford"
BikePoints_518,true,,false,200041,false,,"Antill Road, Mile End"
BikePoints_519,true,,false,200254,false,,"Teviot Street, Poplar"
BikePoints_781,true,1446485340000,false,300032,false,,"Victoria & Albert Museum, South Kensington"
BikePoints_782,true,1446485820000,false,300210,false,,"Halford Road, West Kensington"
BikePoints_783,true,1448529660000,false,300213,false,,"Monier Road, Hackney Wick"
BikePoints_784,true,1452789240000,false,300200,false,,"East Village, Queen Elizabeth Olympic Park"
BikePoints_785,true,1451908440000,false,300233,false,,"Aquatic Centre, Queen Elizabeth Olympic Park"
BikePoints_786,true,1451918160000,false,300029,false,,"Lee Valley VeloPark, Queen Elizabeth Olympic Park"
BikePoints_787,true,1451900700000,false,300227,false,,"Timber Lodge, Queen Elizabeth Olympic Park"
BikePoints_788,true,1451906880000,false,300226,false,,"Copper Box Arena, Queen Elizabeth Olympic Park"
BikePoints_789,true,1452507000000,false,300021,false,,"Podium, Queen Elizabeth Olympic Park"
BikePoints_790,true,1452687420000,false,300234,false,,"Stratford Station, Stratford"
BikePoints_792,true,1454926380000,false,300214,false,,"Blackfriars Road, Southwark"
BikePoints_793,true,1459424760000,false,300205,false,,"Cromer Street, Bloomsbury"
BikePoints_794,true,1456404240000,false,300204,false,,"Victoria Rise, Clapham Common"
BikePoints_795,true,1456744740000,false,300203,false,,"Euston Square Gardens, Euston"
BikePoints_796,true,1456746420000,false,300201,false,,"Coram Street, Bloomsbury"
BikePoints_797,true,1456839540000,false,300211,false,,"Ossulston Street, Somers Town"
BikePoints_798,true,1464787980000,false,300212,false,,"Birkenhead Street, King's Cross"
BikePoints_799,true,1464876480000,false,300202,false,,"Kings Gate House, Westminster"
BikePoints_800,true,1457107140000,false,300248,false,,"Sopwith Way, Battersea Park"
BikePoints_801,true,1458824640000,false,300208,false,,"Lavington Street, Bankside"
BikePoints_802,true,1464865500000,false,300209,false,,"Albert Square, Stockwell"
BikePoints_803,true,1464787860000,false,300238,false,,"Southwark Street, Bankside"
BikePoints_804,true,1459410960000,false,300243,false,,"Good's Way, King's Cross"
BikePoints_805,true,1467626400000,false,300244,false,,"The Metropolitan, Portobello"
BikePoints_806,true,1472723460000,false,300241,false,,"Handyside Street, King's Cross"
BikePoints_807,true,1466715600000,false,300236,false,,"Bevington Road West, North Kensington"
BikePoints_808,true,1461753540000,false,300207,false,,"Gauden Road, Clapham"
BikePoints_809,true,1467640800000,false,300240,false,,"Lincoln's Inn Fields, Holborn"
BikePoints_810,true,1464943200000,false,300237,false,,"Tate Modern, Bankside"
BikePoints_811,true,1469538960000,false,300228,false,,"Westferry Circus, Canary Wharf"
BikePoints_812,true,1469005200000,false,300217,false,,"Here East North, Queen Elizabeth Olympic Park"
BikePoints_813,true,1467627120000,false,300224,false,,"New Spring Gardens Walk, Vauxhall"
BikePoints_814,true,1464870060000,false,300245,false,,"Clapham Road, Lingham Street, Stockwell"
BikePoints_815,true,1462357680000,false,300231,false,,"Lambeth Palace Road, Waterloo"
BikePoints_816,true,1489065360000,false,300219,false,,"Here East South, Queen Elizabeth Olympic Park"
BikePoints_817,true,1464949140000,false,300232,false,,"Riverlight South, Nine Elms"
BikePoints_818,true,1563958740000,false,300249,false,,"Westminster Pier, Westminster"
BikePoints_819,true,1476360120000,false,300246,false,,"Belvedere Road 2, South Bank"
BikePoints_820,true,1481807940000,false,300239,false,,"Victory Place, Walworth"
BikePoints_821,true,1487335920000,false,300221,false,,"Battersea Power Station, Battersea Park"
BikePoints_826,true,1500554880000,false,300242,false,,"Allington Street, Victoria"
BikePoints_827,true,1517788800000,false,300247,false,,"Cranmer Road, Stockwell"
BikePoints_828,true,1517788800000,false,300225,false,,"Normandy Road, Stockwell"
BikePoints_829,true,1517443200000,false,300230,false,,"Wynne Road, Stockwell"
BikePoints_830,true,1517961600000,false,300229,false,,"Sidney Road, Stockwell"
BikePoints_831,true,1517961600000,false,300215,false,,"St John's Crescent, Brixton"
BikePoints_832,true,1517961600000,false,200240,false,,"Ferndale Road, Brixton"
BikePoints_833,true,1517875200000,false,300206,false,,"Saltoun Road, Brixton"
BikePoints_834,true,1529449200000,false,300216,false,,"Gas Holders, Battersea Park"
BikePoints_835,true,,false,300220,false,,"Farringdon Street, Holborn"
BikePoints_836,true,,false,300235,false,,"York Way, Kings Cross"
BikePoints_838,true,1539254700000,false,300222,false,,"Fore Street Avenue, Guildhall"
BikePoints_839,true,1544611140000,false,200144,false,,"Sea Containers, South Bank"
BikePoints_840,true,1599752640000,false,002679,false,,"George Row, Bermondsey"
BikePoints_841,true,,false,002667,false,,"Tower Wharf, Bermondsey"
