locked,place_id,installed,common_name,install_date,terminal_name,removal_date,temporary
false,BikePoints_473,true,"Millharbour, Millwall",1326816540000,022167,,false
false,BikePoints_474,true,"Gascoyne Road, Victoria Park",1326822960000,200155,,false
false,BikePoints_475,true,"Lightermans Road, Millwall",1326825480000,200004,,false
false,BikePoints_476,true,"Stebondale Street, Cubitt Town",1326962100000,200009,,false
false,BikePoints_477,true,"Spindrift Avenue, Millwall",1326963780000,200018,,false
false,BikePoints_478,true,"Stepney Green Station, Stepney",1326965580000,200012,,false
false,BikePoints_479,true,"Pott Street, Bethnal Green",1326966240000,200156,,false
false,BikePoints_480,true,"Flamborough Street, Limehouse",1326975420000,200115,,false
false,BikePoints_481,true,"Saunders Ness Road, Cubitt Town",1326996480000,200022,,false
false,BikePoints_482,true,"Exhibition Road Museums 2, South Kensington",1326996720000,200052,,false
false,BikePoints_483,true,"Albert Gardens, Stepney",1327088280000,022166,,false
false,BikePoints_484,true,"Bromley High Street, Bow",1327339740000,022172,,false
false,BikePoints_485,true,"Old Ford Road, Bethnal Green",1327255440000,022173,,false
false,BikePoints_486,true,"Granby Street, Shoreditch",1327338660000,022174,,false
false,BikePoints_487,true,"Canton Street, Poplar",1327936860000,022175,,false
false,BikePoints_488,true,"Reardon Street, Wapping",1327254960000,022176,,false
false,BikePoints_490,true,"Pennington Street, Wapping",,200090,,false
false,BikePoints_491,true,"Queen Mary's, Mile End",1327256220000,200249,,false
false,BikePoints_492,true,"Maplin Street, Mile End",1327256520000,200230,,false
false,BikePoints_494,true,"South Quay East, Canary Wharf",1327433220000,200233,,false
false,BikePoints_495,true,"Bow Church Station, Bow",1327340460000,200252,,false
false,BikePoints_496,true,"Devons Road, Bow",1327400820000,200255,,false
false,BikePoints_497,true,"Merchant Street, Bow",1327398420000,200242,,false
false,BikePoints_498,true,"Bow Road Station, Bow",1327398660000,200251,,false
false,BikePoints_499,true,"Furze Green, Bow",1327407960000,200011,,false
false,BikePoints_500,true,"Ansell House, Stepney",1327430040000,200148,,false
false,BikePoints_501,true,"Cephas Street, Bethnal Green",1327430220000,200073,,false
false,BikePoints_502,true,"Bonner Gate, Victoria Park",1563957840000,200241,,false
false,BikePoints_503,true,"Cleveland Way, Stepney",1327492920000,200250,,false
false,BikePoints_504,true,"St. John's Park, Cubitt Town",1327937820000,200243,,false
false,BikePoints_505,true,"Ackroyd Drive, Bow",1327937460000,200038,,false
false,BikePoints_506,true,"Bell Lane, Liverpool Street",1327938660000,200036,,false
false,BikePoints_507,true,"Clarkson Street, Bethnal Green",1327938420000,200131,,false
false,BikePoints_508,true,"Fournier Street, Whitechapel",1327938180000,200157,,false
false,BikePoints_509,true,"Fore Street, Guildhall",1327938120000,200253,,false
false,BikePoints_510,true,"Westferry DLR, Limehouse",,200238,,false
false,BikePoints_511,true,"Sutton Street, Shadwell",1327937940000,200256,,false
false,BikePoints_512,true,"Pritchard's Road, Bethnal Green",1328112600000,200083,,false
false,BikePoints_513,true,"Watney Market, Stepney",,200162,,false
false,BikePoints_514,true,"Portman Square, Marylebone",1328201520000,200008,,false
false,BikePoints_515,true,"Russell Gardens, Olympia",,200080,,false
false,BikePoints_516,true,"Chrisp Street Market, Poplar",1328202420000,200089,,false
false,BikePoints_517,true,"Ford Road, Old Ford",1326790860000,200027,,false
false,BikePoints_779,true,"Houndsditch, Aldgate",1435313700000,200072,,false
false,BikePoints_780,true,"Imperial Wharf Station, Sands End",1439455200000,300070,,false
false,BikePoints_781,true,"Victoria & Albert Museum, South Kensington",1446485340000,300032,,false
false,BikePoints_782,true,"Halford Road, West Kensington",1446485820000,300210,,false
false,BikePoints_783,true,"Monier Road, Hackney Wick",1448529660000,300213,,false
false,BikePoints_784,true,"East Village, Queen Elizabeth Olympic Park",1452789240000,300200,,false
false,BikePoints_785,true,"Aquatic Centre, Queen Elizabeth Olympic Park",1451908440000,300233,,false
false,BikePoints_787,true,"Timber Lodge, Queen Elizabeth Olympic Park",1451900700000,300227,,false
false,BikePoints_788,true,"Copper Box Arena, Queen Elizabeth Olympic Park",1451906880000,300226,,false
false,BikePoints_789,true,"Podium, Queen Elizabeth Olympic Park",1452507000000,300021,,false
false,BikePoints_790,true,"Stratford Station, Stratford",1452687420000,300234,,false
false,BikePoints_792,true,"Blackfriars Road, Southwark",1454926380000,300214,,false
false,BikePoints_793,true,"Cromer Street, Bloomsbury",1459424760000,300205,,false
false,BikePoints_794,true,"Victoria Rise, Clapham Common",1456404240000,300204,,false
false,BikePoints_795,true,"Euston Square Gardens, Euston",1456744740000,300203,,false
false,BikePoints_796,true,"Coram Street, Bloomsbury",1456746420000,300201,,false
false,BikePoints_797,true,"Ossulston Street, Somers Town",1456839540000,300211,,false
false,BikePoints_798,true,"Birkenhead Street, King's Cross",1464787980000,300212,,false
false,BikePoints_799,true,"Kings Gate House, Westminster",1464876480000,300202,,false
false,BikePoints_800,true,"Sopwith Way, Battersea Park",1457107140000,300248,,false
false,BikePoints_801,true,"Lavington Street, Bankside",1458824640000,300208,,false
false,BikePoints_802,true,"Albert Square, Stockwell",1464865500000,300209,,false
false,BikePoints_803,true,"Southwark Street, Bankside",1464787860000,300238,,false
false,BikePoints_804,true,"Good's Way, King's Cross",1459410960000,300243,,false
false,BikePoints_805,true,"The Metropolitan, Portobello",1467626400000,300244,,false
false,BikePoints_806,true,"Handyside Street, King's Cross",1472723460000,300241,,false
false,BikePoints_807,true,"Bevington Road West, North Kensington",1466715600000,300236,,false
false,BikePoints_808,true,"Gauden Road, Clapham",1461753540000,300207,,false
false,BikePoints_809,true,"Lincoln's Inn Fields, Holborn",1467640800000,300240,,false
false,BikePoints_810,true,"Tate Modern, Bankside",1464943200000,300237,,false
false,BikePoints_811,true,"Westferry Circus, Canary Wharf",1469538960000,300228,,false
false,BikePoints_812,true,"Here East North, Queen Elizabeth Olympic Park",1469005200000,300217,,false
false,BikePoints_813,true,"New Spring Gardens Walk, Vauxhall",1467627120000,300224,,false
false,BikePoints_814,true,"Clapham Road, Lingham Street, Stockwell",1464870060000,300245,,false
false,BikePoints_815,true,"Lambeth Palace Road, Waterloo",1462357680000,300231,,false
false,BikePoints_816,true,"Here East South, Queen Elizabeth Olympic Park",1489065360000,300219,,false
false,BikePoints_817,true,"Riverlight South, Nine Elms",1464949140000,300232,,false
false,BikePoints_818,true,"Westminster Pier, Westminster",1563958740000,300249,,false
false,BikePoints_819,true,"Belvedere Road 2, South Bank",1476360120000,300246,,false
false,BikePoints_820,true,"Victory Place, Walworth",1481807940000,300239,,false
false,BikePoints_821,true,"Battersea Power Station, Battersea Park",1487335920000,300221,,false
false,BikePoints_826,true,"Allington Street, Victoria",1500554880000,300242,,false
false,BikePoints_827,true,"Cranmer Road, Stockwell",1517788800000,300247,,false
false,BikePoints_828,true,"Normandy Road, Stockwell",1517788800000,300225,,false
false,BikePoints_829,true,"Wynne Road, Stockwell",1517443200000,300230,,false
false,BikePoints_830,true,"Sidney Road, Stockwell",1517961600000,300229,,false
false,BikePoints_831,true,"St John's Crescent, Brixton",1517961600000,300215,,false
false,BikePoints_832,true,"Ferndale Road, Brixton",1517961600000,200240,,false
false,BikePoints_833,true,"Saltoun Road, Brixton",1517875200000,300206,,false
false,BikePoints_834,true,"Gas Holders, Battersea Park",1529449200000,300216,,false
false,BikePoints_835,true,"Farringdon Street, Holborn",,300220,,false
false,BikePoints_836,true,"York Way, Kings Cross",,300235,,false
false,BikePoints_838,true,"Fore Street Avenue, Guildhall",1539254700000,300222,,false
false,BikePoints_839,true,"Sea Containers, South Bank",1544611140000,200144,,false
false,BikePoints_840,true,"George Row, Bermondsey",1599752640000,002679,,false
false,BikePoints_841,true,"Tower Wharf, Bermondsey",,002667,,false
false,BikePoints_842,true,"Temple Gardens, Temple",1600856400000,300250,,false
false,BikePoints_844,true,"Canada Water Station, Rotherhithe",1608298140000,300252,,false
false,BikePoints_845,true,"Bermondsey Station, Bermondsey",1608303660000,300253,,false
false,BikePoints_1,true,"River Street , Clerkenwell",1278947280000,001023,,false
false,BikePoints_2,true,"Phillimore Gardens, Kensington",1278585780000,001018,,false
false,BikePoints_3,true,"Christopher Street, Liverpool Street",1278240360000,001012,,false
false,BikePoints_4,true,"St. Chad's Street, King's Cross",1278241080000,001013,,false
false,BikePoints_5,true,"Sedding Street, Sloane Square",1278241440000,003420,,false
false,BikePoints_6,true,"Broadcasting House, Marylebone",1278241680000,003424,,false
false,BikePoints_7,true,"Charlbert Street, St. John's Wood",1278241800000,003422,,false
false,BikePoints_8,true,"Maida Vale, Maida Vale",1540984560000,003423,,false
false,BikePoints_9,true,"New Globe Walk, Bankside",1278242340000,001015,,false
false,BikePoints_10,true,"Park Street, Bankside",1278242460000,001024,,false
false,BikePoints_11,true,"Brunswick Square, Bloomsbury",1278340440000,001022,,false
false,BikePoints_12,true,"Malet Street, Bloomsbury",1278340620000,000980,,false
false,BikePoints_13,true,"Scala Street, Fitzrovia",1278340800000,000970,,false
false,BikePoints_14,true,"Belgrove Street , King's Cross",1278341040000,001011,,false
