terminal_name,place_id,installed,install_date,removal_date,common_name,temporary,locked
300088,BikePoints_736,true,1385472900000,,"Queensdale Road, Shepherd's Bush",false,false
300086,BikePoints_737,true,1385554620000,,"Fulham Broadway, Walham Green",false,false
300087,BikePoints_738,true,1385563380000,,"Imperial Road, Sands End",false,false
300091,BikePoints_739,true,1385631000000,,"Hortensia Road, West Brompton",false,false
300084,BikePoints_740,true,1385635440000,,"Sirdar Road, Avondale",false,false
300085,BikePoints_741,true,1385640120000,,"Freston Road, Avondale",false,false
300090,BikePoints_742,true,1385649540000,,"Blenheim Crescent, Ladbroke Grove",false,false
300078,BikePoints_743,true,1385723700000,,"Oxford Road, Putney",false,false
300077,BikePoints_744,true,1385729760000,,"Ingrave Street, Clapham Junction",false,false
300075,BikePoints_745,true,1385740020000,,"Upcerne Road, West Chelsea",false,false
300076,BikePoints_746,true,1385985720000,,"Lots Road, West Chelsea",false,false
300089,BikePoints_747,true,1385997240000,,"Ormonde Gate, Chelsea",false,false
300092,BikePoints_748,true,1386159900000,,"Hertford Road, De Beauvoir Town",false,false
300081,BikePoints_749,true,1386172440000,,"Haggerston Road, Haggerston",false,false
300080,BikePoints_750,true,1386240360000,,"Culvert Road, Battersea",false,false
300074,BikePoints_751,true,1386250800000,,"Newton Street, Covent Garden",false,false
300079,BikePoints_752,true,1650364320000,,"London Street, Paddington",false,false
300067,BikePoints_754,true,1389003540000,,"Grenfell Road, Avondale",false,false
300058,BikePoints_755,true,1389008580000,,"The Vale, Chelsea",false,false
300073,BikePoints_756,true,1390223040000,,"Prince of Wales Drive, Battersea Park",false,false
300069,BikePoints_757,true,1389094260000,,"Harcourt Terrace, West Brompton",false,false
300057,BikePoints_758,true,1389178020000,,"Westbourne Park Road, Portobello",false,false
300072,BikePoints_759,true,1389627480000,,"Broadley Terrace, Marylebone",false,false
300068,BikePoints_761,true,1389781800000,,"Humbolt Road, Fulham",false,false
200202,BikePoints_762,true,1392039000000,,"Storey's Gate, Westminster",false,false
300027,BikePoints_763,true,1392043020000,,"Mile End Park Leisure Centre, Mile End",false,false
200185,BikePoints_764,true,1392633480000,,"St. John's Road, Clapham Junction",false,false
300064,BikePoints_765,true,1392986940000,,"Ranelagh Gardens, Fulham",false,false
200079,BikePoints_766,true,1392894840000,,"Ram Street, Wandsworth",false,false
200177,BikePoints_767,true,1393406280000,,"Santos Road, Wandsworth",false,false
300065,BikePoints_768,true,1393494060000,,"Clapham Common North Side, Clapham Common",false,false
300001,BikePoints_769,true,1393939560000,,"Sandilands Road, Walham Green",false,false
300097,BikePoints_770,true,1394099280000,,"Gwendwr Road, West Kensington",false,false
300007,BikePoints_771,true,1394018400000,,"Rifle Place, Avondale",false,false
300015,BikePoints_772,true,1396442100000,,"Binfield Road, Stockwell",false,false
300096,BikePoints_773,true,1396262520000,,"Tallis Street, Temple",false,false
300098,BikePoints_774,true,1396265880000,,"Hurlingham Park, Parsons Green",false,false
300101,BikePoints_775,true,1396270320000,,"Little Brook Green, Brook Green",false,false
300099,BikePoints_776,true,1396273320000,,"Abyssinia Close, Clapham Junction",false,false
300100,BikePoints_777,true,1406282940000,,"Limburg Road, Clapham Junction",false,false
200072,BikePoints_779,true,1435313700000,,"Houndsditch, Aldgate",false,false
300070,BikePoints_780,true,1439455200000,,"Imperial Wharf Station, Sands End",false,false
000994,BikePoints_85,true,1279026060000,,"Tanner Street, Bermondsey",false,false
003434,BikePoints_86,true,1279027140000,,"Sancroft Street, Vauxhall",false,false
003438,BikePoints_87,true,1279027680000,,"Devonshire Square, Liverpool Street",false,false
001006,BikePoints_88,true,1279028280000,,"Bayley Street , Bloomsbury",false,false
003439,BikePoints_89,true,1279029360000,,"Tavistock Place, Bloomsbury",false,false
001038,BikePoints_90,true,1279030020000,,"Harrington Square 1, Camden Town",false,false
001076,BikePoints_91,true,1279036740000,,"Walnut Tree Walk, Vauxhall",false,false
001082,BikePoints_92,true,1279037040000,,"Borough Road, Elephant & Castle",false,false
002586,BikePoints_93,true,1279037760000,,"Cloudesley Road, Angel",false,false
001070,BikePoints_94,true,1279038420000,,"Bricklayers Arms, Borough",false,false
001065,BikePoints_95,true,1279096560000,,"Aldersgate Street, Barbican",false,false
001047,BikePoints_96,true,1279096980000,,"Falkirk Street, Hoxton",false,false
003447,BikePoints_97,true,1279097580000,,"Gloucester Road (North), Kensington",false,false
000972,BikePoints_98,true,1279099080000,,"Hampstead Road, Euston",false,false
001085,BikePoints_99,true,1279099680000,,"Old Quebec Street, Marylebone",false,false
001059,BikePoints_100,true,1279099860000,,"Albert Embankment, Vauxhall",false,false
000999,BikePoints_101,true,1279102680000,,"Queen Street 1, Bank",false,false
001045,BikePoints_102,true,1279102860000,,"Jewry Street, Aldgate",false,false
003441,BikePoints_103,true,1279103520000,,"Vicarage Gate, Kensington",false,false
000991,BikePoints_104,true,1279103760000,,"Crosswall, Tower",false,false
001041,BikePoints_105,true,1279105320000,,"Westbourne Grove, Bayswater",false,false
001042,BikePoints_106,true,1279106880000,,"Woodstock Street, Mayfair",false,false
001049,BikePoints_107,true,1279107480000,,"Finsbury Leisure Centre, St. Luke's",false,false
003429,BikePoints_108,true,1279107720000,,"Abbey Orchard Street, Westminster",false,false
001052,BikePoints_109,true,1279108320000,,"Soho Square , Soho",false,false
001055,BikePoints_110,true,1279108920000,,"Wellington Road, St. John's Wood",false,false
001037,BikePoints_111,true,1279109160000,,"Park Lane , Hyde Park",false,false
003435,BikePoints_113,true,1279116600000,,"Gloucester Road (Central), South Kensington",false,false
001050,BikePoints_114,true,1279119900000,,"Park Road (Baker Street), The Regent's Park",false,false
001062,BikePoints_115,true,1279120680000,,"Braham Street, Aldgate",false,false
000995,BikePoints_116,true,1279122360000,,"Little Argyll Street, West End",false,false
000998,BikePoints_117,true,1279124220000,,"Lollard Street, Vauxhall",false,false
003457,BikePoints_118,true,1279124520000,,"Rochester Row, Westminster",false,false
000964,BikePoints_119,true,1279124760000,,"Bath Street, St. Luke's",false,false
001044,BikePoints_120,true,1279187040000,,"The Guildhall, Guildhall",false,false
001086,BikePoints_121,true,1279189200000,,"Baker Street, Marylebone",false,false
001068,BikePoints_122,true,1279190040000,,"Norton Folgate, Liverpool Street",false,false
000992,BikePoints_123,true,1279191300000,,"St. John Street, Finsbury",false,false
001069,BikePoints_124,true,1279191540000,,"Eaton Square, Belgravia",false,false
000996,BikePoints_125,true,1279192200000,,"Borough High Street, The Borough",false,false
001043,BikePoints_126,true,1279193340000,,"Museum of London, Barbican",false,false
001063,BikePoints_127,true,1279193520000,,"Wood Street, Guildhall",false,false
001116,BikePoints_128,true,1279194060000,,"Emperor's Gate, South Kensington",false,false
003451,BikePoints_129,true,1279198500000,,"Golden Square, Soho",false,false
001071,BikePoints_130,true,1279198800000,,"Tower Gardens , Tower",false,false
001005,BikePoints_131,true,1279199280000,,"Eversholt Street , Camden Town",false,false
000973,BikePoints_132,true,1279199520000,,"Bethnal Green Road, Shoreditch",false,false
003436,BikePoints_133,true,1279200240000,,"Derry Street, Kensington",false,false
001039,BikePoints_134,true,1279200900000,,"Wapping High Street, Wapping",false,false
001053,BikePoints_135,true,1279201080000,,"Clerkenwell Green, Clerkenwell",false,false
001048,BikePoints_136,true,1279201200000,,"Queen Victoria Street, St. Paul's",false,false
003464,BikePoints_138,true,1279205220000,,"Green Street, Mayfair",false,false
001078,BikePoints_139,true,1279205460000,,"Lambeth Road, Vauxhall",false,false
001056,BikePoints_140,true,1279205580000,,"Finsbury Square , Moorgate",false,false
001003,BikePoints_141,true,1279210980000,,"Chapel Place, Marylebone",false,false
001001,BikePoints_142,true,1279211220000,,"West Cromwell Road, Earl's Court",false,false
001114,BikePoints_143,true,1279211400000,,"Pont Street, Knightsbridge",false,false
001093,BikePoints_144,true,1279211580000,,"Kennington Cross, Kennington",false,false
001115,BikePoints_145,true,1279212180000,,"Ilchester Place, Kensington",false,false
001046,BikePoints_146,true,1279212360000,,"Vauxhall Bridge , Pimlico",false,false
000965,BikePoints_148,true,,,"Tachbrook Street, Victoria",false,false
