removal_date,common_name,locked,installed,terminal_name,install_date,temporary,place_id
,"Frith Street, Soho",false,true,002660,1296649200000,false,BikePoints_383
,"Marloes Road, Kensington",false,true,003505,1296731880000,false,BikePoints_384
,"Moor Street, Soho",false,true,003504,1296732540000,false,BikePoints_386
,"Fire Brigade Pier, Vauxhall",false,true,002703,1297077540000,false,BikePoints_387
,"Southampton Street, Strand",false,true,001228,1297182180000,false,BikePoints_388
,"Upper Grosvenor Street, Mayfair",false,true,010621,1297347960000,false,BikePoints_389
,"Buxton Street 1, Shoreditch",false,true,001223,1297764360000,false,BikePoints_390
1539846000000,"Clifford Street, Mayfair",false,true,002688,1297956480000,false,BikePoints_391
,"Imperial College, Knightsbridge",false,true,001220,1297958700000,false,BikePoints_392
,"Snow Hill, Farringdon",false,true,002699,1298545440000,false,BikePoints_393
,"Aberdeen Place, St. John's Wood",false,true,002698,,false,BikePoints_394
,"Cadogan Gardens, Chelsea",false,true,002695,1298908800000,false,BikePoints_395
,"Shouldham Street, Marylebone",false,true,002693,1299075120000,false,BikePoints_396
,"Devonshire Terrace, Bayswater",false,true,001227,1299075900000,false,BikePoints_397
,"Holland Park, Kensington",false,true,010631,1299076440000,false,BikePoints_398
,"Brick Lane Market, Shoreditch",false,true,002687,1299582900000,false,BikePoints_399
,"George Street, Marylebone",false,true,001225,1299583260000,false,BikePoints_400
,"Columbia Road, Shoreditch",false,true,002701,1299592500000,false,BikePoints_401
,"Penfold Street, Marylebone",false,true,010625,1299592860000,false,BikePoints_402
,"George Place Mews, Marylebone",false,true,010630,1299593640000,false,BikePoints_403
,"Palace Gate, Kensington Gardens",false,true,001110,1299669180000,false,BikePoints_404
,"Gloucester Road Station, South Kensington",false,true,001107,1299669300000,false,BikePoints_405
,"Sun Street, Liverpool Street",false,true,001129,,false,BikePoints_408
,"Strata, Elephant & Castle",false,true,010624,,false,BikePoints_409
,"Edgware Road Station, Marylebone",false,true,001058,,false,BikePoints_410
,"Rotherhithe Roundabout, Rotherhithe",false,true,010629,,false,BikePoints_411
,"Cleaver Street, Kennington",false,true,010628,1302006180000,false,BikePoints_412
,"Chelsea Bridge, Pimlico",false,true,022160,1308735300000,false,BikePoints_419
,"Southwark Station 1, Southwark",false,true,022162,1309258380000,false,BikePoints_420
