install_date,installed,terminal_name,locked,removal_date,temporary,place_id,common_name
1276948860000,true,003432,false,,false,BikePoints_72,"Farringdon Lane, Clerkenwell"
1278948480000,true,003433,false,,false,BikePoints_78,"Sadlers Sports Centre, Finsbury"
1278952440000,true,003448,false,,false,BikePoints_80,"Webber Street , Southwark"
1279012980000,true,003450,false,,false,BikePoints_81,"Great Titchfield Street, Fitzrovia"
1279015680000,true,003453,false,,false,BikePoints_82,"Chancery Lane, Holborn"
1279015800000,true,003452,false,,false,BikePoints_83,"Panton Street, West End"
1279020240000,true,003449,false,,false,BikePoints_84,"Breams Buildings, Holborn"
1279027140000,true,003434,false,,false,BikePoints_86,"Sancroft Street, Vauxhall"
1279027680000,true,003438,false,,false,BikePoints_87,"Devonshire Square, Liverpool Street"
1279029360000,true,003439,false,,false,BikePoints_89,"Tavistock Place, Bloomsbury"
1279097580000,true,003447,false,,false,BikePoints_97,"Gloucester Road (North), Kensington"
1279103520000,true,003441,false,,false,BikePoints_103,"Vicarage Gate, Kensington"
1279116600000,true,003435,false,,false,BikePoints_113,"Gloucester Road (Central), South Kensington"
1279198500000,true,003451,false,,false,BikePoints_129,"Golden Square, Soho"
1279200240000,true,003436,false,,false,BikePoints_133,"Derry Street, Kensington"
1309258380000,true,022162,false,,false,BikePoints_420,"Southwark Station 1, Southwark"
1309258440000,true,022163,false,,false,BikePoints_421,"Southwark Station 2, Southwark"
1309860240000,true,022164,false,,false,BikePoints_423,"Eaton Square (South), Belgravia"
1324551120000,true,022159,false,,false,BikePoints_424,"Ebury Bridge, Pimlico"
1310463720000,true,022161,false,,false,BikePoints_426,"Vincent Street, Pimlico"
1324549980000,true,022182,false,,false,BikePoints_430,"South Parade, Chelsea"
1323355020000,true,022183,false,,false,BikePoints_431,"Crinan Street, King's Cross"
1319448720000,true,022158,false,,false,BikePoints_432,"Exhibition Road Museums 1, South Kensington"
1323361560000,true,022169,false,,false,BikePoints_433,"Wren Street, Holborn"
1323346020000,true,022170,false,,false,BikePoints_435,"Kennington Station, Kennington"
1325945820000,true,200003,false,,false,BikePoints_445,"Cheshire Street, Bethnal Green"
1325952660000,true,022165,false,,false,BikePoints_448,"Fisherman's Walk West, Canary Wharf"
1326105240000,true,200002,false,,false,BikePoints_450,"Jubilee Street, Stepney"
1326197580000,true,200118,false,,false,BikePoints_456,"Parkway, Camden Town"
1326284820000,true,200123,false,,false,BikePoints_460,"Burdett Road, Mile End"
1326294600000,true,200105,false,,false,BikePoints_462,"Bonny Street, Camden Town"
,true,200093,false,,false,BikePoints_463,"Thurtle Road, Haggerston"
1326304980000,true,200082,false,,false,BikePoints_464,"St. Mary & St. Michael Church, Stepney"
1326381060000,true,022178,false,,false,BikePoints_469,"Lindfield Street, Poplar"
1326790860000,true,200006,false,,false,BikePoints_471,"Hewison Street, Old Ford"
1326816540000,true,022167,false,,false,BikePoints_473,"Millharbour, Millwall"
1326825480000,true,200004,false,,false,BikePoints_475,"Lightermans Road, Millwall"
1326975420000,true,200115,false,,false,BikePoints_480,"Flamborough Street, Limehouse"
1327088280000,true,022166,false,,false,BikePoints_483,"Albert Gardens, Stepney"
1327339740000,true,022172,false,,false,BikePoints_484,"Bromley High Street, Bow"
1327255440000,true,022173,false,,false,BikePoints_485,"Old Ford Road, Bethnal Green"
1327338660000,true,022174,false,,false,BikePoints_486,"Granby Street, Shoreditch"
1327936860000,true,022175,false,,false,BikePoints_487,"Canton Street, Poplar"
1327254960000,true,022176,false,,false,BikePoints_488,"Reardon Street, Wapping"
,true,200090,false,,false,BikePoints_490,"Pennington Street, Wapping"
1327430220000,true,200073,false,,false,BikePoints_501,"Cephas Street, Bethnal Green"
1327938420000,true,200131,false,,false,BikePoints_507,"Clarkson Street, Bethnal Green"
1328112600000,true,200083,false,,false,BikePoints_512,"Pritchard's Road, Bethnal Green"
1328201520000,true,200008,false,,false,BikePoints_514,"Portman Square, Marylebone"
,true,200080,false,,false,BikePoints_515,"Russell Gardens, Olympia"
1328202420000,true,200089,false,,false,BikePoints_516,"Chrisp Street Market, Poplar"
1328777880000,true,200088,false,,false,BikePoints_528,"Clarges Street, Mayfair"
,true,200134,false,,false,BikePoints_540,"Albany Street, The Regent's Park"
,true,200070,false,,false,BikePoints_545,"Arlington Road, Camden Town"
,true,200127,false,,false,BikePoints_547,"East India DLR, Blackwall"
,true,200076,false,,false,BikePoints_548,"Westminster Bridge Road, Elephant & Castle"
,true,200132,false,,false,BikePoints_549,"Gaywood  Street, Elephant & Castle"
,true,200102,false,,false,BikePoints_550,"Harford Street, Mile End"
,true,200078,false,,false,BikePoints_554,"Aberfeldy Street, Poplar"
,true,200111,false,,false,BikePoints_559,"Abbotsbury Road, Holland Park"
1330503420000,true,200074,false,,false,BikePoints_562,"Bury Place, Holborn"
,true,200135,false,,false,BikePoints_565,"Selby Street, Whitechapel"
,true,200110,false,,false,BikePoints_568,"Bishop's Bridge Road West, Bayswater"
1330773180000,true,200099,false,,false,BikePoints_570,"Upper Bank Street, Canary Wharf"
1331796060000,true,200001,false,,false,BikePoints_573,"Limerston Street, West Chelsea"
,true,200109,false,,false,BikePoints_576,"Alpha Grove, Millwall"
1392208500000,true,200084,false,,false,BikePoints_580,"Doddington Grove, Kennington"
1331883540000,true,200005,false,,false,BikePoints_581,"New Cavendish Street, Marylebone"
,true,200086,false,,false,BikePoints_584,"Ilchester Gardens, Bayswater"
1331797200000,true,200092,false,,false,BikePoints_586,"Mudchute DLR, Cubitt Town"
1332406320000,true,200101,false,,false,BikePoints_587,"Monument Street, Monument"
1330937820000,true,200071,false,,false,BikePoints_588,"Hoxton Street, Hoxton"
,true,200108,false,,false,BikePoints_592,"Bishop's Bridge Road East, Bayswater"
,true,200133,false,,false,BikePoints_600,"South Lambeth Road, Vauxhall"
,true,200125,false,,false,BikePoints_607,"Putney Bridge Station, Fulham"
1380795000000,true,200025,false,,false,BikePoints_614,"London Fields, Hackney Central"
1380288900000,true,200029,false,,false,BikePoints_615,"Finlay Street, Fulham"
1381931400000,true,200007,false,,false,BikePoints_627,"Holden Street, Battersea"
1381414980000,true,200062,false,,false,BikePoints_628,"William Morris Way, Sands End"
1382614560000,true,200040,false,,false,BikePoints_656,"Broomhouse Lane, Parsons Green"
1383738240000,true,200059,false,,false,BikePoints_682,"Crisp Road, Hammersmith"
1383750420000,true,200119,false,,false,BikePoints_683,"Dorothy Road, Clapham Junction"
1383918180000,true,200106,false,,false,BikePoints_689,"Spanish Road, Clapham Junction"
1384251120000,true,200129,false,,false,BikePoints_697,"Charlotte Terrace, Angel"
1384256040000,true,200057,false,,false,BikePoints_699,"Belford House, Haggerston"
1384345080000,true,200077,false,,false,BikePoints_701,"Vicarage Crescent, Battersea"
1384357800000,true,200094,false,,false,BikePoints_703,"St. Bride Street, Holborn"
1384774620000,true,200122,false,,false,BikePoints_713,"Hawley Crescent, Camden Town"
1435313700000,true,200072,false,,false,BikePoints_779,"Houndsditch, Aldgate"
1279529160000,true,003454,false,,false,BikePoints_209,"Denyer Street, Knightsbridge"
1279536840000,true,003487,false,,false,BikePoints_212,"Campden Hill Road, Notting Hill"
1279641000000,true,003440,false,,false,BikePoints_250,"Royal Avenue 1, Chelsea"
1377258960000,true,200069,false,,false,BikePoints_296,"Knaresborough Place, Earl's Court"
1284540540000,true,010627,false,,false,BikePoints_348,"Grosvenor Square, Mayfair"
