locked,install_date,terminal_name,common_name,temporary,place_id,installed,removal_date
false,1384420920000,200193,"Snowsfields, London Bridge",false,BikePoints_706,true,
false,1384435680000,200197,"Barons Court Station, West Kensington",false,BikePoints_707,true,
false,1384530180000,200217,"Disraeli Road, Putney",false,BikePoints_708,true,
false,1384510140000,200205,"Montserrat Road , Putney",false,BikePoints_709,true,
false,1384520580000,300045,"Albert Bridge Road, Battersea Park",false,BikePoints_710,true,
false,1384791540000,300028,"Everington Street, Fulham",false,BikePoints_711,true,
false,1384797120000,300056,"Mile End Stadium, Mile End",false,BikePoints_712,true,
false,1384774620000,200122,"Hawley Crescent, Camden Town",false,BikePoints_713,true,
false,1384865400000,300055,"Stewart's Road, Wandsworth Road",false,BikePoints_714,true,
false,1384868460000,300049,"Aylward Street, Stepney",false,BikePoints_715,true,
false,1384952400000,300024,"Dunston Road , Haggerston",false,BikePoints_717,true,
false,1384962840000,300040,"Ada Street, Hackney Central",false,BikePoints_718,true,
false,1384968480000,300011,"Victoria Park Road, Hackney Central",false,BikePoints_719,true,
false,1385025840000,300038,"Star Road, West Kensington",false,BikePoints_720,true,
false,1385028480000,300039,"Wendon Street, Old Ford",false,BikePoints_721,true,
false,1385028600000,300041,"Finnis Street, Bethnal Green",false,BikePoints_722,true,
false,1385035380000,300053,"Stephendale Road, Sands End",false,BikePoints_723,true,
false,1385125380000,300046,"Alma Road, Wandsworth",false,BikePoints_724,true,
false,1563352500000,300050,"Walworth Square, Walworth",false,BikePoints_725,true,
false,1385128740000,300047,"Alfreda Street, Battersea Park",false,BikePoints_726,true,
false,1385132160000,300054,"Chesilton Road, Fulham",false,BikePoints_727,true,
false,1385466780000,300044,"Putney Bridge Road, East Putney",false,BikePoints_728,true,
false,1385391300000,300043,"St. Peter's Terrace, Fulham",false,BikePoints_729,true,
false,1385132580000,300082,"Bridge Avenue, Hammersmith",false,BikePoints_730,true,
false,1385394720000,300095,"Michael Road, Walham Green",false,BikePoints_731,true,
false,1385458020000,300083,"Duke Street Hill, London Bridge",false,BikePoints_732,true,
false,1385460840000,300093,"Park Lane, Mayfair",false,BikePoints_733,true,
false,1385464500000,300094,"Plough Terrace, Clapham Junction",false,BikePoints_734,true,
false,1385383080000,200120,"Grant Road East, Clapham Junction",false,BikePoints_735,true,
false,1385472900000,300088,"Queensdale Road, Shepherd's Bush",false,BikePoints_736,true,
false,1385554620000,300086,"Fulham Broadway, Walham Green",false,BikePoints_737,true,
false,1385563380000,300087,"Imperial Road, Sands End",false,BikePoints_738,true,
false,1385631000000,300091,"Hortensia Road, West Brompton",false,BikePoints_739,true,
false,1385635440000,300084,"Sirdar Road, Avondale",false,BikePoints_740,true,
false,1385640120000,300085,"Freston Road, Avondale",false,BikePoints_741,true,
false,1385649540000,300090,"Blenheim Crescent, Ladbroke Grove",false,BikePoints_742,true,
false,1385723700000,300078,"Oxford Road, Putney",false,BikePoints_743,true,
false,1385729760000,300077,"Ingrave Street, Clapham Junction",false,BikePoints_744,true,
false,1385740020000,300075,"Upcerne Road, West Chelsea",false,BikePoints_745,true,
false,1385985720000,300076,"Lots Road, West Chelsea",false,BikePoints_746,true,
false,1385997240000,300089,"Ormonde Gate, Chelsea",false,BikePoints_747,true,
false,1386159900000,300092,"Hertford Road, De Beauvoir Town",false,BikePoints_748,true,
false,1386172440000,300081,"Haggerston Road, Haggerston",false,BikePoints_749,true,
false,1386240360000,300080,"Culvert Road, Battersea",false,BikePoints_750,true,
false,1386250800000,300074,"Newton Street, Covent Garden",false,BikePoints_751,true,
false,1650364320000,300079,"London Street, Paddington",false,BikePoints_752,true,
false,1389003540000,300067,"Grenfell Road, Avondale",false,BikePoints_754,true,
false,1389008580000,300058,"The Vale, Chelsea",false,BikePoints_755,true,
false,1390223040000,300073,"Prince of Wales Drive, Battersea Park",false,BikePoints_756,true,
false,1389094260000,300069,"Harcourt Terrace, West Brompton",false,BikePoints_757,true,
false,1389178020000,300057,"Westbourne Park Road, Portobello",false,BikePoints_758,true,
false,1389627480000,300072,"Broadley Terrace, Marylebone",false,BikePoints_759,true,
false,1389781800000,300068,"Humbolt Road, Fulham",false,BikePoints_761,true,
false,1392039000000,200202,"Storey's Gate, Westminster",false,BikePoints_762,true,
false,1392043020000,300027,"Mile End Park Leisure Centre, Mile End",false,BikePoints_763,true,
false,1392633480000,200185,"St. John's Road, Clapham Junction",false,BikePoints_764,true,
false,1392986940000,300064,"Ranelagh Gardens, Fulham",false,BikePoints_765,true,
false,1392894840000,200079,"Ram Street, Wandsworth",false,BikePoints_766,true,
false,1393406280000,200177,"Santos Road, Wandsworth",false,BikePoints_767,true,
false,1393494060000,300065,"Clapham Common North Side, Clapham Common",false,BikePoints_768,true,
false,1393939560000,300001,"Sandilands Road, Walham Green",false,BikePoints_769,true,
false,1394099280000,300097,"Gwendwr Road, West Kensington",false,BikePoints_770,true,
false,1394018400000,300007,"Rifle Place, Avondale",false,BikePoints_771,true,
false,1396442100000,300015,"Binfield Road, Stockwell",false,BikePoints_772,true,
false,1396262520000,300096,"Tallis Street, Temple",false,BikePoints_773,true,
false,1396265880000,300098,"Hurlingham Park, Parsons Green",false,BikePoints_774,true,
false,1396270320000,300101,"Little Brook Green, Brook Green",false,BikePoints_775,true,
false,1396273320000,300099,"Abyssinia Close, Clapham Junction",false,BikePoints_776,true,
false,1406282940000,300100,"Limburg Road, Clapham Junction",false,BikePoints_777,true,
false,1435313700000,200072,"Houndsditch, Aldgate",false,BikePoints_779,true,
false,1439455200000,300070,"Imperial Wharf Station, Sands End",false,BikePoints_780,true,
false,1446485340000,300032,"Victoria & Albert Museum, South Kensington",false,BikePoints_781,true,
false,1279026060000,000994,"Tanner Street, Bermondsey",false,BikePoints_85,true,
false,1279027140000,003434,"Sancroft Street, Vauxhall",false,BikePoints_86,true,
false,1279027680000,003438,"Devonshire Square, Liverpool Street",false,BikePoints_87,true,
false,1279028280000,001006,"Bayley Street , Bloomsbury",false,BikePoints_88,true,
false,1279029360000,003439,"Tavistock Place, Bloomsbury",false,BikePoints_89,true,
false,1279030020000,001038,"Harrington Square 1, Camden Town",false,BikePoints_90,true,
false,1279036740000,001076,"Walnut Tree Walk, Vauxhall",false,BikePoints_91,true,
false,1279037040000,001082,"Borough Road, Elephant & Castle",false,BikePoints_92,true,
false,1279037760000,002586,"Cloudesley Road, Angel",false,BikePoints_93,true,
false,1279038420000,001070,"Bricklayers Arms, Borough",false,BikePoints_94,true,
false,1279096560000,001065,"Aldersgate Street, Barbican",false,BikePoints_95,true,
false,1279096980000,001047,"Falkirk Street, Hoxton",false,BikePoints_96,true,
false,1279097580000,003447,"Gloucester Road (North), Kensington",false,BikePoints_97,true,
false,1279099080000,000972,"Hampstead Road, Euston",false,BikePoints_98,true,
false,1279099680000,001085,"Old Quebec Street, Marylebone",false,BikePoints_99,true,
false,1279099860000,001059,"Albert Embankment, Vauxhall",false,BikePoints_100,true,
false,1279102680000,000999,"Queen Street 1, Bank",false,BikePoints_101,true,
false,1279102860000,001045,"Jewry Street, Aldgate",false,BikePoints_102,true,
false,1279103520000,003441,"Vicarage Gate, Kensington",false,BikePoints_103,true,
false,1279103760000,000991,"Crosswall, Tower",false,BikePoints_104,true,
