installed,terminal_name,removal_date,common_name,locked,place_id,temporary,install_date
true,300086,,"Fulham Broadway, Walham Green",false,BikePoints_737,false,1385554620000
true,300087,,"Imperial Road, Sands End",false,BikePoints_738,false,1385563380000
true,300091,,"Hortensia Road, West Brompton",false,BikePoints_739,false,1385631000000
true,300084,,"Sirdar Road, Avondale",false,BikePoints_740,false,1385635440000
true,300085,,"Freston Road, Avondale",false,BikePoints_741,false,1385640120000
true,300090,,"Blenheim Crescent, Ladbroke Grove",false,BikePoints_742,false,1385649540000
true,300078,,"Oxford Road, Putney",false,BikePoints_743,false,1385723700000
true,300077,,"Ingrave Street, Clapham Junction",false,BikePoints_744,false,1385729760000
true,300075,,"Upcerne Road, West Chelsea",false,BikePoints_745,false,1385740020000
true,300076,,"Lots Road, West Chelsea",false,BikePoints_746,false,1385985720000
true,300089,,"Ormonde Gate, Chelsea",false,BikePoints_747,false,1385997240000
true,300092,,"Hertford Road, De Beauvoir Town",false,BikePoints_748,false,1386159900000
true,300081,,"Haggerston Road, Haggerston",false,BikePoints_749,false,1386172440000
true,300080,,"Culvert Road, Battersea",false,BikePoints_750,false,1386240360000
true,300074,,"Newton Street, Covent Garden",false,BikePoints_751,false,1386250800000
true,300079,,"London Street, Paddington",false,BikePoints_752,false,1650364320000
true,300067,,"Grenfell Road, Avondale",false,BikePoints_754,false,1389003540000
true,300058,,"The Vale, Chelsea",false,BikePoints_755,false,1389008580000
true,300073,,"Prince of Wales Drive, Battersea Park",false,BikePoints_756,false,1390223040000
true,300069,,"Harcourt Terrace, West Brompton",false,BikePoints_757,false,1389094260000
true,300057,,"Westbourne Park Road, Portobello",false,BikePoints_758,false,1389178020000
true,300072,,"Broadley Terrace, Marylebone",false,BikePoints_759,false,1389627480000
true,300068,,"Humbolt Road, Fulham",false,BikePoints_761,false,1389781800000
true,200202,,"Storey's Gate, Westminster",false,BikePoints_762,false,1392039000000
true,300027,,"Mile End Park Leisure Centre, Mile End",false,BikePoints_763,false,1392043020000
true,200185,,"St. John's Road, Clapham Junction",false,BikePoints_764,false,1392633480000
true,300064,,"Ranelagh Gardens, Fulham",false,BikePoints_765,false,1392986940000
true,200079,,"Ram Street, Wandsworth",false,BikePoints_766,false,1392894840000
true,200177,,"Santos Road, Wandsworth",false,BikePoints_767,false,1393406280000
true,300065,,"Clapham Common North Side, Clapham Common",false,BikePoints_768,false,1393494060000
true,300001,,"Sandilands Road, Walham Green",false,BikePoints_769,false,1393939560000
true,300097,,"Gwendwr Road, West Kensington",false,BikePoints_770,false,1394099280000
true,300007,,"Rifle Place, Avondale",false,BikePoints_771,false,1394018400000
true,300015,,"Binfield Road, Stockwell",false,BikePoints_772,false,1396442100000
true,300096,,"Tallis Street, Temple",false,BikePoints_773,false,1396262520000
true,300098,,"Hurlingham Park, Parsons Green",false,BikePoints_774,false,1396265880000
