installed,temporary,terminal_name,removal_date,place_id,locked,install_date,common_name
true,false,200168,,BikePoints_467,false,1326374040000,"Southern Grove, Bow"
true,false,200150,,BikePoints_468,false,1326375720000,"Cantrell Road, Bow"
true,false,022178,,BikePoints_469,false,1326381060000,"Lindfield Street, Poplar"
true,false,200174,,BikePoints_470,false,1326790620000,"Mostyn Grove, Bow"
true,false,200006,,BikePoints_471,false,1326790860000,"Hewison Street, Old Ford"
true,false,200019,,BikePoints_472,false,1326791160000,"Malmesbury Road, Bow"
true,false,022167,,BikePoints_473,false,1326816540000,"Millharbour, Millwall"
true,false,200155,,BikePoints_474,false,1326822960000,"Gascoyne Road, Victoria Park"
true,false,200004,,BikePoints_475,false,1326825480000,"Lightermans Road, Millwall"
true,false,200009,,BikePoints_476,false,1326962100000,"Stebondale Street, Cubitt Town"
true,false,200018,,BikePoints_477,false,1326963780000,"Spindrift Avenue, Millwall"
true,false,200012,,BikePoints_478,false,1326965580000,"Stepney Green Station, Stepney"
true,false,200156,,BikePoints_479,false,1326966240000,"Pott Street, Bethnal Green"
true,false,200115,,BikePoints_480,false,1326975420000,"Flamborough Street, Limehouse"
true,false,200022,,BikePoints_481,false,1326996480000,"Saunders Ness Road, Cubitt Town"
true,false,200052,,BikePoints_482,false,1326996720000,"Exhibition Road Museums 2, South Kensington"
true,false,022166,,BikePoints_483,false,1327088280000,"Albert Gardens, Stepney"
true,false,022172,,BikePoints_484,false,1327339740000,"Bromley High Street, Bow"
true,false,022173,,BikePoints_485,false,1327255440000,"Old Ford Road, Bethnal Green"
true,false,022174,,BikePoints_486,false,1327338660000,"Granby Street, Shoreditch"
true,false,022175,,BikePoints_487,false,1327936860000,"Canton Street, Poplar"
true,false,022176,,BikePoints_488,false,1327254960000,"Reardon Street, Wapping"
true,false,200090,,BikePoints_490,false,,"Pennington Street, Wapping"
true,false,200249,,BikePoints_491,false,1327256220000,"Queen Mary's, Mile End"
true,false,200230,,BikePoints_492,false,1327256520000,"Maplin Street, Mile End"
true,false,200233,,BikePoints_494,false,1327433220000,"South Quay East, Canary Wharf"
true,false,200252,,BikePoints_495,false,1327340460000,"Bow Church Station, Bow"
true,false,200255,,BikePoints_496,false,1327400820000,"Devons Road, Bow"
true,false,200242,,BikePoints_497,false,1327398420000,"Merchant Street, Bow"
true,false,200251,,BikePoints_498,false,1327398660000,"Bow Road Station, Bow"
true,false,200011,,BikePoints_499,false,1327407960000,"Furze Green, Bow"
true,false,200148,,BikePoints_500,false,1327430040000,"Ansell House, Stepney"
true,false,200073,,BikePoints_501,false,1327430220000,"Cephas Street, Bethnal Green"
true,false,200241,,BikePoints_502,false,1563957840000,"Bonner Gate, Victoria Park"
true,false,200250,,BikePoints_503,false,1327492920000,"Cleveland Way, Stepney"
true,false,200243,,BikePoints_504,false,1327937820000,"St. John's Park, Cubitt Town"
true,false,200038,,BikePoints_505,false,1327937460000,"Ackroyd Drive, Bow"
true,false,200036,,BikePoints_506,false,1327938660000,"Bell Lane, Liverpool Street"
