common_name,removal_date,temporary,terminal_name,place_id,installed,locked,install_date
"Handyside Street, King's Cross",,false,300241,BikePoints_806,true,false,1472723460000
"Bevington Road West, North Kensington",,false,300236,BikePoints_807,true,false,1466715600000
"Gauden Road, Clapham",,false,300207,BikePoints_808,true,false,1461753540000
"Lincoln's Inn Fields, Holborn",,false,300240,BikePoints_809,true,false,1467640800000
"Tate Modern, Bankside",,false,300237,BikePoints_810,true,false,1464943200000
"Westferry Circus, Canary Wharf",,false,300228,BikePoints_811,true,false,1469538960000
"Here East North, Queen Elizabeth Olympic Park",,false,300217,BikePoints_812,true,false,1469005200000
"New Spring Gardens Walk, Vauxhall",,false,300224,BikePoints_813,true,false,1467627120000
"Clapham Road, Lingham Street, Stockwell",,false,300245,BikePoints_814,true,false,1464870060000
"Lambeth Palace Road, Waterloo",,false,300231,BikePoints_815,true,false,1462357680000
"Here East South, Queen Elizabeth Olympic Park",,false,300219,BikePoints_816,true,false,1489065360000
"Riverlight South, Nine Elms",,false,300232,BikePoints_817,true,false,1464949140000
"Westminster Pier, Westminster",,false,300249,BikePoints_818,true,false,1563958740000
"Belvedere Road 2, South Bank",,false,300246,BikePoints_819,true,false,1476360120000
"Victory Place, Walworth",,false,300239,BikePoints_820,true,false,1481807940000
"Battersea Power Station, Battersea Park",,false,300221,BikePoints_821,true,false,1487335920000
"Allington Street, Victoria",,false,300242,BikePoints_826,true,false,1500554880000
"Cranmer Road, Stockwell",,false,300247,BikePoints_827,true,false,1517788800000
"Normandy Road, Stockwell",,false,300225,BikePoints_828,true,false,1517788800000
"Wynne Road, Stockwell",,false,300230,BikePoints_829,true,false,1517443200000
"Sidney Road, Stockwell",,false,300229,BikePoints_830,true,false,1517961600000
"St John's Crescent, Brixton",,false,300215,BikePoints_831,true,false,1517961600000
"Ferndale Road, Brixton",,false,200240,BikePoints_832,true,false,1517961600000
"Saltoun Road, Brixton",,false,300206,BikePoints_833,true,false,1517875200000
"Gas Holders, Battersea Park",,false,300216,BikePoints_834,true,false,1529449200000
"Farringdon Street, Holborn",,false,300220,BikePoints_835,true,false,
"York Way, Kings Cross",,false,300235,BikePoints_836,true,false,
"Fore Street Avenue, Guildhall",,false,300222,BikePoints_838,true,false,1539254700000
"Sea Containers, South Bank",,false,200144,BikePoints_839,true,false,1544611140000
"George Row, Bermondsey",,false,002679,BikePoints_840,true,false,1599752640000
"Tower Wharf, Bermondsey",,false,002667,BikePoints_841,true,false,
"Canada Water Station, Rotherhithe",,false,300252,BikePoints_844,true,false,1608298140000
"Bermondsey Station, Bermondsey",,false,300253,BikePoints_845,true,false,1608303660000
"River Street , Clerkenwell",,false,001023,BikePoints_1,true,false,1278947280000
"Phillimore Gardens, Kensington",,false,001018,BikePoints_2,true,false,1278585780000
"Christopher Street, Liverpool Street",,false,001012,BikePoints_3,true,false,1278240360000
"St. Chad's Street, King's Cross",,false,001013,BikePoints_4,true,false,1278241080000
"Sedding Street, Sloane Square",,false,003420,BikePoints_5,true,false,1278241440000
"Broadcasting House, Marylebone",,false,003424,BikePoints_6,true,false,1278241680000
"Charlbert Street, St. John's Wood",,false,003422,BikePoints_7,true,false,1278241800000
"Maida Vale, Maida Vale",,false,003423,BikePoints_8,true,false,1540984560000
"New Globe Walk, Bankside",,false,001015,BikePoints_9,true,false,1278242340000
"Park Street, Bankside",,false,001024,BikePoints_10,true,false,1278242460000
"Brunswick Square, Bloomsbury",,false,001022,BikePoints_11,true,false,1278340440000
"Malet Street, Bloomsbury",,false,000980,BikePoints_12,true,false,1278340620000
"Scala Street, Fitzrovia",,false,000970,BikePoints_13,true,false,1278340800000
"Belgrove Street , King's Cross",,false,001011,BikePoints_14,true,false,1278341040000
"Great Russell Street, Bloomsbury",,false,000988,BikePoints_15,true,false,1278341220000
"Cartwright Gardens , Bloomsbury",,false,001010,BikePoints_16,true,false,1278341400000
"Hatton Wall, Holborn",,false,001008,BikePoints_17,true,false,1278423720000
"Drury Lane, Covent Garden",,false,001007,BikePoints_18,true,false,1278426300000
"Taviton Street, Bloomsbury",,false,001009,BikePoints_19,true,false,1278426720000
"Drummond Street , Euston",,false,000993,BikePoints_20,true,false,1544659200000
"Lansdowne Drive, Hackney Central",,false,003426,BikePoints_21,true,false,1278427740000
"Northington Street , Holborn",,false,003425,BikePoints_22,true,false,1278428880000
"Red Lion Square, Holborn",,false,003421,BikePoints_23,true,false,1278429300000
"British Museum, Bloomsbury",,false,000981,BikePoints_24,true,false,1278430140000
"Doric Way , Somers Town",,false,001004,BikePoints_25,true,false,1278433200000
"Ampton Street , Clerkenwell",,false,001019,BikePoints_26,true,false,1278434160000
"Bouverie Street, Temple",,false,001021,BikePoints_27,true,false,1278500160000
"Bolsover Street, Fitzrovia",,false,001025,BikePoints_28,true,false,1278500460000
"Hereford Road, Bayswater",,false,001016,BikePoints_29,true,false,1278501180000
"Windsor Terrace, Hoxton",,false,001029,BikePoints_30,true,false,1278501420000
"Fanshaw Street, Hoxton",,false,003427,BikePoints_31,true,false,1278501600000
"Leonard Circus , Shoreditch",,false,001020,BikePoints_32,true,false,1278506700000
"Central House, Aldgate",,false,003430,BikePoints_33,true,false,1278506940000
"Pancras Road, King's Cross",,false,003428,BikePoints_34,true,false,1278507060000
"De Vere Gardens, Kensington",,false,003446,BikePoints_36,true,false,1278519900000
"Penywern Road, Earl's Court",,false,003444,BikePoints_37,true,false,1278520020000
"Abingdon Villas, Kensington",,false,003442,BikePoints_38,true,false,1278584880000
"Shoreditch High Street, Shoreditch",,false,003445,BikePoints_39,true,false,1278601740000
"Commercial Street, Shoreditch",,false,001083,BikePoints_40,true,false,1278601980000
"Pindar Street, Liverpool Street",,false,001084,BikePoints_41,true,false,1278602280000
"Wenlock Road , Hoxton",,false,000979,BikePoints_42,true,false,1278602700000
"Crawford Street, Marylebone",,false,001036,BikePoints_43,true,false,1278687720000
"Bruton Street, Mayfair",,false,001034,BikePoints_44,true,false,1278687900000
"Boston Place, Marylebone",,false,001035,BikePoints_45,true,false,1278691320000
"Nesham Street, Wapping",,false,001031,BikePoints_46,true,false,1278691800000
"Warwick Avenue Station, Maida Vale",,false,001027,BikePoints_47,true,false,1278749160000
"Godliman Street, St. Paul's",,false,000971,BikePoints_48,true,false,1278749460000
"Curzon Street, Mayfair",,false,003437,BikePoints_49,true,false,1278749940000
"East Road, Hoxton",,false,001054,BikePoints_50,true,false,1278750240000
