temporary,place_id,install_date,removal_date,common_name,terminal_name,installed,locked
false,BikePoints_348,1284540540000,,"Grosvenor Square, Mayfair",010627,true,false
false,BikePoints_349,1284543120000,,"St. George Street, Mayfair",001221,true,false
false,BikePoints_350,1285756260000,,"Queen's Gate, Kensington Gardens",001231,true,false
false,BikePoints_351,1286790480000,,"Macclesfield Rd, St Lukes",001226,true,false
false,BikePoints_352,1286796360000,,"Vauxhall Street, Vauxhall",001224,true,false
false,BikePoints_353,1287652080000,,"Greycoat Street , Westminster",010623,true,false
false,BikePoints_354,,,"Northumberland Avenue, Strand",001097,true,false
false,BikePoints_355,1287752460000,,"Clapham Common Station, Clapham Common",002694,true,false
false,BikePoints_356,1288009080000,,"South Kensington Station, South Kensington",002685,true,false
false,BikePoints_357,1288092420000,,"Howland Street, Fitzrovia",002691,true,false
false,BikePoints_358,1290079860000,,"High Holborn , Covent Garden",001229,true,false
false,BikePoints_359,1288950960000,,"Butler Place, Westminster",002662,true,false
false,BikePoints_360,1288958160000,,"Howick Place, Westminster",002666,true,false
false,BikePoints_361,1291902600000,,"Waterloo Station 2, Waterloo",002692,true,false
false,BikePoints_362,1290080220000,,"Royal College Street, Camden Town",002686,true,false
false,BikePoints_363,1289911800000,,"Lord's, St. John's Wood",002665,true,false
false,BikePoints_364,1290080640000,,"Store Street, Bloomsbury",003507,true,false
false,BikePoints_365,1290603600000,,"City Road, Angel",002690,true,false
false,BikePoints_367,,,"Harrowby Street, Marylebone",002680,true,false
false,BikePoints_368,1291201680000,,"Harriet Street, Knightsbridge",002681,true,false
false,BikePoints_370,1291647300000,,"Paddington Green, Paddington",002670,true,false
false,BikePoints_371,1291712820000,,"King Edward Walk, Waterloo",002639,true,false
false,BikePoints_372,1291713000000,,"Sardinia Street, Holborn",002649,true,false
false,BikePoints_373,1295428320000,,"Prince Consort Road, Knightsbridge",003499,true,false
false,BikePoints_374,1291725720000,,"Waterloo Station 1, Waterloo",002696,true,false
