place_id,common_name,install_date,installed,locked,removal_date,terminal_name,temporary
BikePoints_424,"Ebury Bridge, Pimlico",1324551120000,true,false,,022159,false
BikePoints_426,"Vincent Street, Pimlico",1310463720000,true,false,,022161,false
BikePoints_427,"Cheapside, Bank",1310725680000,true,false,,022180,false
BikePoints_428,"Exhibition Road, Knightsbridge",1318496100000,true,false,,022179,false
BikePoints_430,"South Parade, Chelsea",1324549980000,true,false,,022182,false
BikePoints_431,"Crinan Street, King's Cross",1323355020000,true,false,,022183,false
BikePoints_432,"Exhibition Road Museums 1, South Kensington",1319448720000,true,false,,022158,false
BikePoints_433,"Wren Street, Holborn",1323361560000,true,false,,022169,false
BikePoints_435,"Kennington Station, Kennington",1323346020000,true,false,,022170,false
BikePoints_698,"Shoreditch Court, Haggerston",1384254300000,true,false,,200121,false
BikePoints_699,"Belford House, Haggerston",1384256040000,true,false,,200057,false
BikePoints_700,"Battersea Church Road, Battersea",1384343280000,true,false,,200201,false
BikePoints_701,"Vicarage Crescent, Battersea",1384345080000,true,false,,200077,false
BikePoints_702,"Durant Street, Bethnal Green",1384345860000,true,false,,200213,false
BikePoints_703,"St. Bride Street, Holborn",1384357800000,true,false,,200094,false
BikePoints_704,"Mexfield Road, East Putney",1384443480000,true,false,,200063,false
BikePoints_705,"Upper Richmond Road, Putney",1384453020000,true,false,1539845700000,300042,true
BikePoints_706,"Snowsfields, London Bridge",1384420920000,true,false,,200193,false
BikePoints_707,"Barons Court Station, West Kensington",1384435680000,true,false,,200197,false
BikePoints_708,"Disraeli Road, Putney",1384530180000,true,false,,200217,false
BikePoints_709,"Montserrat Road , Putney",1384510140000,true,false,,200205,false
BikePoints_710,"Albert Bridge Road, Battersea Park",1384520580000,true,false,,300045,false
BikePoints_711,"Everington Street, Fulham",1384791540000,true,false,,300028,false
BikePoints_712,"Mile End Stadium, Mile End",1384797120000,true,false,,300056,false
BikePoints_713,"Hawley Crescent, Camden Town",1384774620000,true,false,,200122,false
BikePoints_714,"Stewart's Road, Wandsworth Road",1384865400000,true,false,,300055,false
BikePoints_715,"Aylward Street, Stepney",1384868460000,true,false,,300049,false
BikePoints_717,"Dunston Road , Haggerston",1384952400000,true,false,,300024,false
BikePoints_718,"Ada Street, Hackney Central",1384962840000,true,false,,300040,false
BikePoints_719,"Victoria Park Road, Hackney Central",1384968480000,true,false,,300011,false
BikePoints_720,"Star Road, West Kensington",1385025840000,true,false,,300038,false
BikePoints_721,"Wendon Street, Old Ford",1385028480000,true,false,,300039,false
BikePoints_722,"Finnis Street, Bethnal Green",1385028600000,true,false,,300041,false
BikePoints_723,"Stephendale Road, Sands End",1385035380000,true,false,,300053,false
BikePoints_724,"Alma Road, Wandsworth",1385125380000,true,false,,300046,false
BikePoints_725,"Walworth Square, Walworth",1563352500000,true,false,,300050,false
BikePoints_726,"Alfreda Street, Battersea Park",1385128740000,true,false,,300047,false
BikePoints_727,"Chesilton Road, Fulham",1385132160000,true,false,,300054,false
BikePoints_728,"Putney Bridge Road, East Putney",1385466780000,true,false,,300044,false
BikePoints_729,"St. Peter's Terrace, Fulham",1385391300000,true,false,,300043,false
BikePoints_730,"Bridge Avenue, Hammersmith",1385132580000,true,false,,300082,false
BikePoints_731,"Michael Road, Walham Green",1385394720000,true,false,,300095,false
BikePoints_732,"Duke Street Hill, London Bridge",1385458020000,true,false,,300083,false
BikePoints_733,"Park Lane, Mayfair",1385460840000,true,false,,300093,false
BikePoints_734,"Plough Terrace, Clapham Junction",1385464500000,true,false,,300094,false
BikePoints_735,"Grant Road East, Clapham Junction",1385383080000,true,false,,200120,false
BikePoints_736,"Queensdale Road, Shepherd's Bush",1385472900000,true,false,,300088,false
BikePoints_737,"Fulham Broadway, Walham Green",1385554620000,true,false,,300086,false
BikePoints_738,"Imperial Road, Sands End",1385563380000,true,false,,300087,false
BikePoints_739,"Hortensia Road, West Brompton",1385631000000,true,false,,300091,false
BikePoints_740,"Sirdar Road, Avondale",1385635440000,true,false,,300084,false
BikePoints_741,"Freston Road, Avondale",1385640120000,true,false,,300085,false
BikePoints_742,"Blenheim Crescent, Ladbroke Grove",1385649540000,true,false,,300090,false
BikePoints_743,"Oxford Road, Putney",1385723700000,true,false,,300078,false
BikePoints_744,"Ingrave Street, Clapham Junction",1385729760000,true,false,,300077,false
BikePoints_745,"Upcerne Road, West Chelsea",1385740020000,true,false,,300075,false
BikePoints_746,"Lots Road, West Chelsea",1385985720000,true,false,,300076,false
BikePoints_747,"Ormonde Gate, Chelsea",1385997240000,true,false,,300089,false
BikePoints_748,"Hertford Road, De Beauvoir Town",1386159900000,true,false,,300092,false
BikePoints_749,"Haggerston Road, Haggerston",1386172440000,true,false,,300081,false
BikePoints_750,"Culvert Road, Battersea",1386240360000,true,false,,300080,false
BikePoints_751,"Newton Street, Covent Garden",1386250800000,true,false,,300074,false
BikePoints_752,"London Street, Paddington",1650364320000,true,false,,300079,false
BikePoints_754,"Grenfell Road, Avondale",1389003540000,true,false,,300067,false
BikePoints_755,"The Vale, Chelsea",1389008580000,true,false,,300058,false
BikePoints_756,"Prince of Wales Drive, Battersea Park",1390223040000,true,false,,300073,false
BikePoints_757,"Harcourt Terrace, West Brompton",1389094260000,true,false,,300069,false
BikePoints_758,"Westbourne Park Road, Portobello",1389178020000,true,false,,300057,false
BikePoints_759,"Broadley Terrace, Marylebone",1389627480000,true,false,,300072,false
BikePoints_761,"Humbolt Road, Fulham",1389781800000,true,false,,300068,false
BikePoints_762,"Storey's Gate, Westminster",1392039000000,true,false,,200202,false
BikePoints_763,"Mile End Park Leisure Centre, Mile End",1392043020000,true,false,,300027,false
BikePoints_764,"St. John's Road, Clapham Junction",1392633480000,true,false,,200185,false
BikePoints_765,"Ranelagh Gardens, Fulham",1392986940000,true,false,,300064,false
BikePoints_766,"Ram Street, Wandsworth",1392894840000,true,false,,200079,false
BikePoints_767,"Santos Road, Wandsworth",1393406280000,true,false,,200177,false
BikePoints_768,"Clapham Common North Side, Clapham Common",1393494060000,true,false,,300065,false
BikePoints_769,"Sandilands Road, Walham Green",1393939560000,true,false,,300001,false
BikePoints_770,"Gwendwr Road, West Kensington",1394099280000,true,false,,300097,false
BikePoints_771,"Rifle Place, Avondale",1394018400000,true,false,,300007,false
BikePoints_772,"Binfield Road, Stockwell",1396442100000,true,false,,300015,false
BikePoints_773,"Tallis Street, Temple",1396262520000,true,false,,300096,false
BikePoints_774,"Hurlingham Park, Parsons Green",1396265880000,true,false,,300098,false
BikePoints_775,"Little Brook Green, Brook Green",1396270320000,true,false,,300101,false
BikePoints_776,"Abyssinia Close, Clapham Junction",1396273320000,true,false,,300099,false
BikePoints_777,"Limburg Road, Clapham Junction",1406282940000,true,false,,300100,false
BikePoints_779,"Houndsditch, Aldgate",1435313700000,true,false,,200072,false
BikePoints_780,"Imperial Wharf Station, Sands End",1439455200000,true,false,,300070,false
BikePoints_781,"Victoria & Albert Museum, South Kensington",1446485340000,true,false,,300032,false
BikePoints_85,"Tanner Street, Bermondsey",1279026060000,true,false,,000994,false
BikePoints_86,"Sancroft Street, Vauxhall",1279027140000,true,false,,003434,false
BikePoints_87,"Devonshire Square, Liverpool Street",1279027680000,true,false,,003438,false
BikePoints_88,"Bayley Street , Bloomsbury",1279028280000,true,false,,001006,false
BikePoints_89,"Tavistock Place, Bloomsbury",1279029360000,true,false,,003439,false
BikePoints_90,"Harrington Square 1, Camden Town",1279030020000,true,false,,001038,false
BikePoints_91,"Walnut Tree Walk, Vauxhall",1279036740000,true,false,,001076,false
BikePoints_92,"Borough Road, Elephant & Castle",1279037040000,true,false,,001082,false
BikePoints_93,"Cloudesley Road, Angel",1279037760000,true,false,,002586,false
BikePoints_94,"Bricklayers Arms, Borough",1279038420000,true,false,,001070,false
BikePoints_95,"Aldersgate Street, Barbican",1279096560000,true,false,,001065,false
BikePoints_96,"Falkirk Street, Hoxton",1279096980000,true,false,,001047,false
BikePoints_97,"Gloucester Road (North), Kensington",1279097580000,true,false,,003447,false
BikePoints_98,"Hampstead Road, Euston",1279099080000,true,false,,000972,false
BikePoints_99,"Old Quebec Street, Marylebone",1279099680000,true,false,,001085,false
BikePoints_100,"Albert Embankment, Vauxhall",1279099860000,true,false,,001059,false
BikePoints_101,"Queen Street 1, Bank",1279102680000,true,false,,000999,false
BikePoints_102,"Jewry Street, Aldgate",1279102860000,true,false,,001045,false
BikePoints_103,"Vicarage Gate, Kensington",1279103520000,true,false,,003441,false
BikePoints_104,"Crosswall, Tower",1279103760000,true,false,,000991,false
BikePoints_105,"Westbourne Grove, Bayswater",1279105320000,true,false,,001041,false
BikePoints_106,"Woodstock Street, Mayfair",1279106880000,true,false,,001042,false
BikePoints_107,"Finsbury Leisure Centre, St. Luke's",1279107480000,true,false,,001049,false
BikePoints_108,"Abbey Orchard Street, Westminster",1279107720000,true,false,,003429,false
BikePoints_109,"Soho Square , Soho",1279108320000,true,false,,001052,false
BikePoints_110,"Wellington Road, St. John's Wood",1279108920000,true,false,,001055,false
BikePoints_111,"Park Lane , Hyde Park",1279109160000,true,false,,001037,false
BikePoints_113,"Gloucester Road (Central), South Kensington",1279116600000,true,false,,003435,false
BikePoints_114,"Park Road (Baker Street), The Regent's Park",1279119900000,true,false,,001050,false
BikePoints_115,"Braham Street, Aldgate",1279120680000,true,false,,001062,false
BikePoints_116,"Little Argyll Street, West End",1279122360000,true,false,,000995,false
BikePoints_117,"Lollard Street, Vauxhall",1279124220000,true,false,,000998,false
BikePoints_118,"Rochester Row, Westminster",1279124520000,true,false,,003457,false
BikePoints_119,"Bath Street, St. Luke's",1279124760000,true,false,,000964,false
BikePoints_120,"The Guildhall, Guildhall",1279187040000,true,false,,001044,false
BikePoints_121,"Baker Street, Marylebone",1279189200000,true,false,,001086,false
BikePoints_122,"Norton Folgate, Liverpool Street",1279190040000,true,false,,001068,false
BikePoints_123,"St. John Street, Finsbury",1279191300000,true,false,,000992,false
BikePoints_124,"Eaton Square, Belgravia",1279191540000,true,false,,001069,false
BikePoints_125,"Borough High Street, The Borough",1279192200000,true,false,,000996,false
BikePoints_126,"Museum of London, Barbican",1279193340000,true,false,,001043,false
BikePoints_127,"Wood Street, Guildhall",1279193520000,true,false,,001063,false
BikePoints_128,"Emperor's Gate, South Kensington",1279194060000,true,false,,001116,false
BikePoints_129,"Golden Square, Soho",1279198500000,true,false,,003451,false
BikePoints_130,"Tower Gardens , Tower",1279198800000,true,false,,001071,false
BikePoints_131,"Eversholt Street , Camden Town",1279199280000,true,false,,001005,false
BikePoints_132,"Bethnal Green Road, Shoreditch",1279199520000,true,false,,000973,false
BikePoints_133,"Derry Street, Kensington",1279200240000,true,false,,003436,false
BikePoints_134,"Wapping High Street, Wapping",1279200900000,true,false,,001039,false
BikePoints_135,"Clerkenwell Green, Clerkenwell",1279201080000,true,false,,001053,false
BikePoints_136,"Queen Victoria Street, St. Paul's",1279201200000,true,false,,001048,false
BikePoints_138,"Green Street, Mayfair",1279205220000,true,false,,003464,false
BikePoints_139,"Lambeth Road, Vauxhall",1279205460000,true,false,,001078,false
BikePoints_140,"Finsbury Square , Moorgate",1279205580000,true,false,,001056,false
BikePoints_141,"Chapel Place, Marylebone",1279210980000,true,false,,001003,false
BikePoints_142,"West Cromwell Road, Earl's Court",1279211220000,true,false,,001001,false
BikePoints_143,"Pont Street, Knightsbridge",1279211400000,true,false,,001114,false
BikePoints_144,"Kennington Cross, Kennington",1279211580000,true,false,,001093,false
BikePoints_145,"Ilchester Place, Kensington",1279212180000,true,false,,001115,false
BikePoints_146,"Vauxhall Bridge , Pimlico",1279212360000,true,false,,001046,false
BikePoints_148,"Tachbrook Street, Victoria",,true,false,,000965,false
BikePoints_149,"Kennington Road Post Office, Oval",1279215360000,true,false,,001073,false
BikePoints_150,"Holy Trinity Brompton, Knightsbridge",1279215540000,true,false,,001002,false
BikePoints_151,"Chepstow Villas, Notting Hill",1279215720000,true,false,,001120,false
BikePoints_152,"Hampton Street, Walworth",1279215900000,true,false,,001118,false
BikePoints_153,"Bayswater Road, Hyde Park",1279216080000,true,false,,001096,false
BikePoints_154,"Waterloo Station 3, Waterloo",,true,false,,001072,false
BikePoints_155,"Lexham Gardens, Kensington",1279272660000,true,false,,001121,false
BikePoints_156,"New Kent Road, The Borough",1279273080000,true,false,,000966,false
BikePoints_157,"Wright's Lane, Kensington",1279273200000,true,false,,001094,false
BikePoints_158,"Trebovir Road, Earl's Court",1279273320000,true,false,,001113,false
BikePoints_160,"Waterloo Place, St. James's",1279274280000,true,false,,003458,false
BikePoints_161,"Guildhouse Street, Victoria",1279286940000,true,false,,003478,false
BikePoints_162,"Southampton Place, Holborn",1279287120000,true,false,,001123,false
BikePoints_163,"Sloane Avenue, Knightsbridge",1279287300000,true,false,,003461,false
BikePoints_164,"Cleveland Gardens, Bayswater",1279287600000,true,false,,001178,false
BikePoints_165,"Orsett Terrace, Bayswater",1279287960000,true,false,,002585,false
BikePoints_166,"Seville Street, Knightsbridge",1279288140000,true,false,,001177,false
BikePoints_167,"Eccleston Place, Victoria",,true,false,,003465,false
BikePoints_168,"Argyll Road, Kensington",1279289400000,true,false,,003463,false
BikePoints_436,"Red Lion Street, Holborn",1323350220000,true,false,,022171,false
BikePoints_437,"Vauxhall Walk, Vauxhall",1325746380000,true,false,,200056,false
BikePoints_439,"Killick Street, King's Cross",1325705460000,true,false,,200053,false
BikePoints_440,"Kennington Oval, Oval",1325708160000,true,false,,200032,false
BikePoints_441,"Sail Street, Vauxhall",1325711220000,true,false,,200039,false
BikePoints_442,"Walmer Road, Avondale",1325940420000,true,false,,200035,false
BikePoints_443,"Philpot Street, Whitechapel",1325941800000,true,false,,200033,false
BikePoints_444,"Bethnal Green Garden, Bethnal Green",1325944680000,true,false,,200047,false
BikePoints_445,"Cheshire Street, Bethnal Green",1325945820000,true,false,,200003,false
BikePoints_446,"York Hall, Bethnal Green",1325948880000,true,false,,200042,false
BikePoints_447,"Jubilee Crescent, Cubitt Town",1325949000000,true,false,,200054,false
BikePoints_448,"Fisherman's Walk West, Canary Wharf",1325952660000,true,false,,022165,false
BikePoints_449,"Shadwell Station, Shadwell",1325952900000,true,false,,200020,false
BikePoints_450,"Jubilee Street, Stepney",1326105240000,true,false,,200002,false
BikePoints_451,"Hermitage Court, Wapping",1325501400000,true,false,,200021,false
BikePoints_452,"St. Katharine's Way, Tower",1326109140000,true,false,,200049,false
BikePoints_453,"Garnet Street, Shadwell",1326111060000,true,false,,200045,false
BikePoints_454,"Napier Avenue, Millwall",1326115380000,true,false,,200046,false
BikePoints_455,"East Ferry Road, Cubitt Town",1326117780000,true,false,,200031,false
BikePoints_456,"Parkway, Camden Town",1326197580000,true,false,,200118,false
BikePoints_457,"Castlehaven Road, Camden Town",1326203280000,true,false,,200016,false
BikePoints_458,"Wapping Lane, Wapping",1326294780000,true,false,,200034,false
BikePoints_459,"Gunmakers Lane, Old Ford",,true,false,,200014,false
BikePoints_460,"Burdett Road, Mile End",1326284820000,true,false,,200123,false
BikePoints_461,"Aston Street, Stepney",1326293640000,true,false,,200013,true
BikePoints_462,"Bonny Street, Camden Town",1326294600000,true,false,,200105,false
BikePoints_463,"Thurtle Road, Haggerston",,true,false,,200093,false
BikePoints_464,"St. Mary & St. Michael Church, Stepney",1326304980000,true,false,,200082,false
BikePoints_465,"Pitfield Street North,Hoxton",1333613280000,true,false,,200152,false
BikePoints_466,"Whiston Road, Haggerston",1326360000000,true,false,,200158,false
BikePoints_467,"Southern Grove, Bow",1326374040000,true,false,,200168,false
BikePoints_468,"Cantrell Road, Bow",1326375720000,true,false,,200150,false
BikePoints_469,"Lindfield Street, Poplar",1326381060000,true,false,,022178,false
BikePoints_470,"Mostyn Grove, Bow",1326790620000,true,false,,200174,false
BikePoints_471,"Hewison Street, Old Ford",1326790860000,true,false,,200006,false
BikePoints_472,"Malmesbury Road, Bow",1326791160000,true,false,,200019,false
