install_date,place_id,installed,common_name,locked,temporary,terminal_name,removal_date
1298545440000,BikePoints_393,true,"Snow Hill, Farringdon",false,false,002699,
,BikePoints_394,true,"Aberdeen Place, St. John's Wood",false,false,002698,
1298908800000,BikePoints_395,true,"Cadogan Gardens, Chelsea",false,false,002695,
1299075120000,BikePoints_396,true,"Shouldham Street, Marylebone",false,false,002693,
1299075900000,BikePoints_397,true,"Devonshire Terrace, Bayswater",false,false,001227,
1299076440000,BikePoints_398,true,"Holland Park, Kensington",false,false,010631,
1299582900000,BikePoints_399,true,"Brick Lane Market, Shoreditch",false,false,002687,
1299583260000,BikePoints_400,true,"George Street, Marylebone",false,false,001225,
1299592500000,BikePoints_401,true,"Columbia Road, Shoreditch",false,false,002701,
1299592860000,BikePoints_402,true,"Penfold Street, Marylebone",false,false,010625,
1299593640000,BikePoints_403,true,"George Place Mews, Marylebone",false,false,010630,
1299669180000,BikePoints_404,true,"Palace Gate, Kensington Gardens",false,false,001110,
1299669300000,BikePoints_405,true,"Gloucester Road Station, South Kensington",false,false,001107,
,BikePoints_408,true,"Sun Street, Liverpool Street",false,false,001129,
,BikePoints_409,true,"Strata, Elephant & Castle",false,false,010624,
,BikePoints_410,true,"Edgware Road Station, Marylebone",false,false,001058,
,BikePoints_411,true,"Rotherhithe Roundabout, Rotherhithe",false,false,010629,
1302006180000,BikePoints_412,true,"Cleaver Street, Kennington",false,false,010628,
1308735300000,BikePoints_419,true,"Chelsea Bridge, Pimlico",false,false,022160,
1309258380000,BikePoints_420,true,"Southwark Station 1, Southwark",false,false,022162,
1309258440000,BikePoints_421,true,"Southwark Station 2, Southwark",false,false,022163,
1309860240000,BikePoints_423,true,"Eaton Square (South), Belgravia",false,false,022164,
1324551120000,BikePoints_424,true,"Ebury Bridge, Pimlico",false,false,022159,
1310463720000,BikePoints_426,true,"Vincent Street, Pimlico",false,false,022161,
1310725680000,BikePoints_427,true,"Cheapside, Bank",false,false,022180,
1318496100000,BikePoints_428,true,"Exhibition Road, Knightsbridge",false,false,022179,
1324549980000,BikePoints_430,true,"South Parade, Chelsea",false,false,022182,
1323355020000,BikePoints_431,true,"Crinan Street, King's Cross",false,false,022183,
1384251120000,BikePoints_697,true,"Charlotte Terrace, Angel",false,false,200129,
1384254300000,BikePoints_698,true,"Shoreditch Court, Haggerston",false,false,200121,
1384256040000,BikePoints_699,true,"Belford House, Haggerston",false,false,200057,
1384343280000,BikePoints_700,true,"Battersea Church Road, Battersea",false,false,200201,
1384345080000,BikePoints_701,true,"Vicarage Crescent, Battersea",false,false,200077,
1384345860000,BikePoints_702,true,"Durant Street, Bethnal Green",false,false,200213,
1384357800000,BikePoints_703,true,"St. Bride Street, Holborn",false,false,200094,
1384443480000,BikePoints_704,true,"Mexfield Road, East Putney",false,false,200063,
1384453020000,BikePoints_705,true,"Upper Richmond Road, Putney",false,true,300042,1539845700000
1384420920000,BikePoints_706,true,"Snowsfields, London Bridge",false,false,200193,
1384435680000,BikePoints_707,true,"Barons Court Station, West Kensington",false,false,200197,
1384530180000,BikePoints_708,true,"Disraeli Road, Putney",false,false,200217,
1384510140000,BikePoints_709,true,"Montserrat Road , Putney",false,false,200205,
1384520580000,BikePoints_710,true,"Albert Bridge Road, Battersea Park",false,false,300045,
1384791540000,BikePoints_711,true,"Everington Street, Fulham",false,false,300028,
1384797120000,BikePoints_712,true,"Mile End Stadium, Mile End",false,false,300056,
1384865400000,BikePoints_714,true,"Stewart's Road, Wandsworth Road",false,false,300055,
1384868460000,BikePoints_715,true,"Aylward Street, Stepney",false,false,300049,
1384952400000,BikePoints_717,true,"Dunston Road , Haggerston",false,false,300024,
