removal_date,temporary,install_date,locked,place_id,common_name,installed,terminal_name
,false,1464870060000,false,BikePoints_814,"Clapham Road, Lingham Street, Stockwell",true,300245
,false,1462357680000,false,BikePoints_815,"Lambeth Palace Road, Waterloo",true,300231
,false,1489065360000,false,BikePoints_816,"Here East South, Queen Elizabeth Olympic Park",true,300219
,false,1464949140000,false,BikePoints_817,"Riverlight South, Nine Elms",true,300232
,false,1563958740000,false,BikePoints_818,"Westminster Pier, Westminster",true,300249
,false,1476360120000,false,BikePoints_819,"Belvedere Road 2, South Bank",true,300246
,false,1481807940000,false,BikePoints_820,"Victory Place, Walworth",true,300239
,false,1487335920000,false,BikePoints_821,"Battersea Power Station, Battersea Park",true,300221
,false,1500554880000,false,BikePoints_826,"Allington Street, Victoria",true,300242
,false,1517788800000,false,BikePoints_827,"Cranmer Road, Stockwell",true,300247
,false,1517788800000,false,BikePoints_828,"Normandy Road, Stockwell",true,300225
,false,1517443200000,false,BikePoints_829,"Wynne Road, Stockwell",true,300230
,false,1517961600000,false,BikePoints_830,"Sidney Road, Stockwell",true,300229
,false,1517961600000,false,BikePoints_831,"St John's Crescent, Brixton",true,300215
,false,1517961600000,false,BikePoints_832,"Ferndale Road, Brixton",true,200240
,false,1517875200000,false,BikePoints_833,"Saltoun Road, Brixton",true,300206
,false,1529449200000,false,BikePoints_834,"Gas Holders, Battersea Park",true,300216
,false,,false,BikePoints_835,"Farringdon Street, Holborn",true,300220
,false,,false,BikePoints_836,"York Way, Kings Cross",true,300235
,false,1539254700000,false,BikePoints_838,"Fore Street Avenue, Guildhall",true,300222
,false,1544611140000,false,BikePoints_839,"Sea Containers, South Bank",true,200144
,false,1599752640000,false,BikePoints_840,"George Row, Bermondsey",true,002679
,false,,false,BikePoints_841,"Tower Wharf, Bermondsey",true,002667
,false,1600856400000,false,BikePoints_842,"Temple Gardens, Temple",true,300250
,false,1608298140000,false,BikePoints_844,"Canada Water Station, Rotherhithe",true,300252
,false,1608303660000,false,BikePoints_845,"Bermondsey Station, Bermondsey",true,300253
,false,1278947280000,false,BikePoints_1,"River Street , Clerkenwell",true,001023
,false,1278585780000,false,BikePoints_2,"Phillimore Gardens, Kensington",true,001018
,false,1278240360000,false,BikePoints_3,"Christopher Street, Liverpool Street",true,001012
,false,1278241080000,false,BikePoints_4,"St. Chad's Street, King's Cross",true,001013
,false,1278241440000,false,BikePoints_5,"Sedding Street, Sloane Square",true,003420
,false,1278241680000,false,BikePoints_6,"Broadcasting House, Marylebone",true,003424
,false,1278241800000,false,BikePoints_7,"Charlbert Street, St. John's Wood",true,003422
,false,1540984560000,false,BikePoints_8,"Maida Vale, Maida Vale",true,003423
,false,1278242340000,false,BikePoints_9,"New Globe Walk, Bankside",true,001015
,false,1278242460000,false,BikePoints_10,"Park Street, Bankside",true,001024
,false,1278340440000,false,BikePoints_11,"Brunswick Square, Bloomsbury",true,001022
,false,1278340620000,false,BikePoints_12,"Malet Street, Bloomsbury",true,000980
,false,1278340800000,false,BikePoints_13,"Scala Street, Fitzrovia",true,000970
,false,1278341040000,false,BikePoints_14,"Belgrove Street , King's Cross",true,001011
,false,1278341220000,false,BikePoints_15,"Great Russell Street, Bloomsbury",true,000988
,false,1278341400000,false,BikePoints_16,"Cartwright Gardens , Bloomsbury",true,001010
,false,1278423720000,false,BikePoints_17,"Hatton Wall, Holborn",true,001008
,false,1278426300000,false,BikePoints_18,"Drury Lane, Covent Garden",true,001007
,false,1278426720000,false,BikePoints_19,"Taviton Street, Bloomsbury",true,001009
,false,1544659200000,false,BikePoints_20,"Drummond Street , Euston",true,000993
,false,1278427740000,false,BikePoints_21,"Lansdowne Drive, Hackney Central",true,003426
,false,1278428880000,false,BikePoints_22,"Northington Street , Holborn",true,003425
,false,1278429300000,false,BikePoints_23,"Red Lion Square, Holborn",true,003421
,false,1278430140000,false,BikePoints_24,"British Museum, Bloomsbury",true,000981
,false,1278433200000,false,BikePoints_25,"Doric Way , Somers Town",true,001004
,false,1278434160000,false,BikePoints_26,"Ampton Street , Clerkenwell",true,001019
,false,1278500160000,false,BikePoints_27,"Bouverie Street, Temple",true,001021
,false,1278500460000,false,BikePoints_28,"Bolsover Street, Fitzrovia",true,001025
