place_id,removal_date,locked,common_name,terminal_name,install_date,temporary,installed
BikePoints_428,,false,"Exhibition Road, Knightsbridge",022179,1318496100000,false,true
BikePoints_430,,false,"South Parade, Chelsea",022182,1324549980000,false,true
BikePoints_431,,false,"Crinan Street, King's Cross",022183,1323355020000,false,true
BikePoints_697,,false,"Charlotte Terrace, Angel",200129,1384251120000,false,true
BikePoints_698,,false,"Shoreditch Court, Haggerston",200121,1384254300000,false,true
BikePoints_699,,false,"Belford House, Haggerston",200057,1384256040000,false,true
BikePoints_700,,false,"Battersea Church Road, Battersea",200201,1384343280000,false,true
BikePoints_701,,false,"Vicarage Crescent, Battersea",200077,1384345080000,false,true
BikePoints_702,,false,"Durant Street, Bethnal Green",200213,1384345860000,false,true
BikePoints_703,,false,"St. Bride Street, Holborn",200094,1384357800000,false,true
BikePoints_704,,false,"Mexfield Road, East Putney",200063,1384443480000,false,true
BikePoints_705,1539845700000,false,"Upper Richmond Road, Putney",300042,1384453020000,true,true
BikePoints_706,,false,"Snowsfields, London Bridge",200193,1384420920000,false,true
BikePoints_707,,false,"Barons Court Station, West Kensington",200197,1384435680000,false,true
BikePoints_708,,false,"Disraeli Road, Putney",200217,1384530180000,false,true
BikePoints_709,,false,"Montserrat Road , Putney",200205,1384510140000,false,true
BikePoints_710,,false,"Albert Bridge Road, Battersea Park",300045,1384520580000,false,true
BikePoints_711,,false,"Everington Street, Fulham",300028,1384791540000,false,true
BikePoints_712,,false,"Mile End Stadium, Mile End",300056,1384797120000,false,true
BikePoints_714,,false,"Stewart's Road, Wandsworth Road",300055,1384865400000,false,true
BikePoints_715,,false,"Aylward Street, Stepney",300049,1384868460000,false,true
BikePoints_717,,false,"Dunston Road , Haggerston",300024,1384952400000,false,true
BikePoints_718,,false,"Ada Street, Hackney Central",300040,1384962840000,false,true
BikePoints_719,,false,"Victoria Park Road, Hackney Central",300011,1384968480000,false,true
BikePoints_720,,false,"Star Road, West Kensington",300038,1385025840000,false,true
BikePoints_721,,false,"Wendon Street, Old Ford",300039,1385028480000,false,true
BikePoints_722,,false,"Finnis Street, Bethnal Green",300041,1385028600000,false,true
BikePoints_723,,false,"Stephendale Road, Sands End",300053,1385035380000,false,true
BikePoints_724,,false,"Alma Road, Wandsworth",300046,1385125380000,false,true
BikePoints_725,,false,"Walworth Square, Walworth",300050,1563352500000,false,true
BikePoints_726,,false,"Alfreda Street, Battersea Park",300047,1385128740000,false,true
BikePoints_727,,false,"Chesilton Road, Fulham",300054,1385132160000,false,true
BikePoints_728,,false,"Putney Bridge Road, East Putney",300044,1385466780000,false,true
BikePoints_729,,false,"St. Peter's Terrace, Fulham",300043,1385391300000,false,true
BikePoints_730,,false,"Bridge Avenue, Hammersmith",300082,1385132580000,false,true
BikePoints_731,,false,"Michael Road, Walham Green",300095,1385394720000,false,true
BikePoints_732,,false,"Duke Street Hill, London Bridge",300083,1385458020000,false,true
BikePoints_733,,false,"Park Lane, Mayfair",300093,1385460840000,false,true
BikePoints_734,,false,"Plough Terrace, Clapham Junction",300094,1385464500000,false,true
