terminal_name,place_id,install_date,removal_date,installed,temporary,common_name,locked
022175,BikePoints_487,1327936860000,,true,false,"Canton Street, Poplar",false
022176,BikePoints_488,1327254960000,,true,false,"Reardon Street, Wapping",false
200090,BikePoints_490,,,true,false,"Pennington Street, Wapping",false
200249,BikePoints_491,1327256220000,,true,false,"Queen Mary's, Mile End",false
200230,BikePoints_492,1327256520000,,true,false,"Maplin Street, Mile End",false
200233,BikePoints_494,1327433220000,,true,false,"South Quay East, Canary Wharf",false
200252,BikePoints_495,1327340460000,,true,false,"Bow Church Station, Bow",false
200255,BikePoints_496,1327400820000,,true,false,"Devons Road, Bow",false
200242,BikePoints_497,1327398420000,,true,false,"Merchant Street, Bow",false
200251,BikePoints_498,1327398660000,,true,false,"Bow Road Station, Bow",false
200011,BikePoints_499,1327407960000,,true,false,"Furze Green, Bow",false
200148,BikePoints_500,1327430040000,,true,false,"Ansell House, Stepney",false
200073,BikePoints_501,1327430220000,,true,false,"Cephas Street, Bethnal Green",false
200241,BikePoints_502,1563957840000,,true,false,"Bonner Gate, Victoria Park",false
200250,BikePoints_503,1327492920000,,true,false,"Cleveland Way, Stepney",false
200243,BikePoints_504,1327937820000,,true,false,"St. John's Park, Cubitt Town",false
200038,BikePoints_505,1327937460000,,true,false,"Ackroyd Drive, Bow",false
200036,BikePoints_506,1327938660000,,true,false,"Bell Lane, Liverpool Street",false
200131,BikePoints_507,1327938420000,,true,false,"Clarkson Street, Bethnal Green",false
200157,BikePoints_508,1327938180000,,true,false,"Fournier Street, Whitechapel",false
200253,BikePoints_509,1327938120000,,true,false,"Fore Street, Guildhall",false
200238,BikePoints_510,,,true,false,"Westferry DLR, Limehouse",false
200256,BikePoints_511,1327937940000,,true,false,"Sutton Street, Shadwell",false
200083,BikePoints_512,1328112600000,,true,false,"Pritchard's Road, Bethnal Green",false
200162,BikePoints_513,,,true,false,"Watney Market, Stepney",false
200008,BikePoints_514,1328201520000,,true,false,"Portman Square, Marylebone",false
200080,BikePoints_515,,,true,false,"Russell Gardens, Olympia",false
200089,BikePoints_516,1328202420000,,true,false,"Chrisp Street Market, Poplar",false
200027,BikePoints_517,1326790860000,,true,false,"Ford Road, Old Ford",false
200041,BikePoints_518,,,true,false,"Antill Road, Mile End",false
200254,BikePoints_519,,,true,false,"Teviot Street, Poplar",false
200234,BikePoints_520,,,true,false,"Bancroft Road, Bethnal Green",false
300032,BikePoints_781,1446485340000,,true,false,"Victoria & Albert Museum, South Kensington",false
300210,BikePoints_782,1446485820000,,true,false,"Halford Road, West Kensington",false
300213,BikePoints_783,1448529660000,,true,false,"Monier Road, Hackney Wick",false
300200,BikePoints_784,1452789240000,,true,false,"East Village, Queen Elizabeth Olympic Park",false
300233,BikePoints_785,1451908440000,,true,false,"Aquatic Centre, Queen Elizabeth Olympic Park",false
300227,BikePoints_787,1451900700000,,true,false,"Timber Lodge, Queen Elizabeth Olympic Park",false
300226,BikePoints_788,1451906880000,,true,false,"Copper Box Arena, Queen Elizabeth Olympic Park",false
300021,BikePoints_789,1452507000000,,true,false,"Podium, Queen Elizabeth Olympic Park",false
300234,BikePoints_790,1452687420000,,true,false,"Stratford Station, Stratford",false
300214,BikePoints_792,1454926380000,,true,false,"Blackfriars Road, Southwark",false
300205,BikePoints_793,1459424760000,,true,false,"Cromer Street, Bloomsbury",false
300204,BikePoints_794,1456404240000,,true,false,"Victoria Rise, Clapham Common",false
300203,BikePoints_795,1456744740000,,true,false,"Euston Square Gardens, Euston",false
300201,BikePoints_796,1456746420000,,true,false,"Coram Street, Bloomsbury",false
300212,BikePoints_798,1464787980000,,true,false,"Birkenhead Street, King's Cross",false
300202,BikePoints_799,1464876480000,,true,false,"Kings Gate House, Westminster",false
300248,BikePoints_800,1457107140000,,true,false,"Sopwith Way, Battersea Park",false
300208,BikePoints_801,1458824640000,,true,false,"Lavington Street, Bankside",false
300209,BikePoints_802,1464865500000,,true,false,"Albert Square, Stockwell",false
300238,BikePoints_803,1464787860000,,true,false,"Southwark Street, Bankside",false
300243,BikePoints_804,1459410960000,,true,false,"Good's Way, King's Cross",false
300244,BikePoints_805,1467626400000,,true,false,"The Metropolitan, Portobello",false
300241,BikePoints_806,1472723460000,,true,false,"Handyside Street, King's Cross",false
300236,BikePoints_807,1466715600000,,true,false,"Bevington Road West, North Kensington",false
300207,BikePoints_808,1461753540000,,true,false,"Gauden Road, Clapham",false
300240,BikePoints_809,1467640800000,,true,false,"Lincoln's Inn Fields, Holborn",false
300237,BikePoints_810,1464943200000,,true,false,"Tate Modern, Bankside",false
300228,BikePoints_811,1469538960000,,true,false,"Westferry Circus, Canary Wharf",false
300217,BikePoints_812,1469005200000,,true,false,"Here East North, Queen Elizabeth Olympic Park",false
300224,BikePoints_813,1467627120000,,true,false,"New Spring Gardens Walk, Vauxhall",false
300245,BikePoints_814,1464870060000,,true,false,"Clapham Road, Lingham Street, Stockwell",false
300231,BikePoints_815,1462357680000,,true,false,"Lambeth Palace Road, Waterloo",false
300219,BikePoints_816,1489065360000,,true,false,"Here East South, Queen Elizabeth Olympic Park",false
300232,BikePoints_817,1464949140000,,true,false,"Riverlight South, Nine Elms",false
300249,BikePoints_818,1563958740000,,true,false,"Westminster Pier, Westminster",false
300246,BikePoints_819,1476360120000,,true,false,"Belvedere Road 2, South Bank",false
300239,BikePoints_820,1481807940000,,true,false,"Victory Place, Walworth",false
300221,BikePoints_821,1487335920000,,true,false,"Battersea Power Station, Battersea Park",false
300242,BikePoints_826,1500554880000,,true,false,"Allington Street, Victoria",false
300247,BikePoints_827,1517788800000,,true,false,"Cranmer Road, Stockwell",false
300225,BikePoints_828,1517788800000,,true,false,"Normandy Road, Stockwell",false
300230,BikePoints_829,1517443200000,,true,false,"Wynne Road, Stockwell",false
300229,BikePoints_830,1517961600000,,true,false,"Sidney Road, Stockwell",false
300215,BikePoints_831,1517961600000,,true,false,"St John's Crescent, Brixton",false
200240,BikePoints_832,1517961600000,,true,false,"Ferndale Road, Brixton",false
300206,BikePoints_833,1517875200000,,true,false,"Saltoun Road, Brixton",false
300216,BikePoints_834,1529449200000,,true,false,"Gas Holders, Battersea Park",false
300220,BikePoints_835,,,true,false,"Farringdon Street, Holborn",false
300235,BikePoints_836,,,true,false,"York Way, Kings Cross",false
300222,BikePoints_838,1539254700000,,true,false,"Fore Street Avenue, Guildhall",false
200144,BikePoints_839,1544611140000,,true,false,"Sea Containers, South Bank",false
002679,BikePoints_840,1599752640000,,true,false,"George Row, Bermondsey",false
002667,BikePoints_841,,,true,false,"Tower Wharf, Bermondsey",false
300250,BikePoints_842,1600856400000,,true,false,"Temple Gardens, Temple",false
300252,BikePoints_844,1608298140000,,true,false,"Canada Water Station, Rotherhithe",false
300253,BikePoints_845,1608303660000,,true,false,"Bermondsey Station, Bermondsey",false
001023,BikePoints_1,1278947280000,,true,false,"River Street , Clerkenwell",false
001018,BikePoints_2,1278585780000,,true,false,"Phillimore Gardens, Kensington",false
001012,BikePoints_3,1278240360000,,true,false,"Christopher Street, Liverpool Street",false
001013,BikePoints_4,1278241080000,,true,false,"St. Chad's Street, King's Cross",false
003420,BikePoints_5,1278241440000,,true,false,"Sedding Street, Sloane Square",false
003424,BikePoints_6,1278241680000,,true,false,"Broadcasting House, Marylebone",false
003422,BikePoints_7,1278241800000,,true,false,"Charlbert Street, St. John's Wood",false
003423,BikePoints_8,1540984560000,,true,false,"Maida Vale, Maida Vale",false
001015,BikePoints_9,1278242340000,,true,false,"New Globe Walk, Bankside",false
001024,BikePoints_10,1278242460000,,true,false,"Park Street, Bankside",false
001022,BikePoints_11,1278340440000,,true,false,"Brunswick Square, Bloomsbury",false
000980,BikePoints_12,1278340620000,,true,false,"Malet Street, Bloomsbury",false
000970,BikePoints_13,1278340800000,,true,false,"Scala Street, Fitzrovia",false
001011,BikePoints_14,1278341040000,,true,false,"Belgrove Street , King's Cross",false
000988,BikePoints_15,1278341220000,,true,false,"Great Russell Street, Bloomsbury",false
001010,BikePoints_16,1278341400000,,true,false,"Cartwright Gardens , Bloomsbury",false
001008,BikePoints_17,1278423720000,,true,false,"Hatton Wall, Holborn",false
001007,BikePoints_18,1278426300000,,true,false,"Drury Lane, Covent Garden",false
001009,BikePoints_19,1278426720000,,true,false,"Taviton Street, Bloomsbury",false
000993,BikePoints_20,1544659200000,,true,false,"Drummond Street , Euston",false
003426,BikePoints_21,1278427740000,,true,false,"Lansdowne Drive, Hackney Central",false
003425,BikePoints_22,1278428880000,,true,false,"Northington Street , Holborn",false
003421,BikePoints_23,1278429300000,,true,false,"Red Lion Square, Holborn",false
000981,BikePoints_24,1278430140000,,true,false,"British Museum, Bloomsbury",false
001004,BikePoints_25,1278433200000,,true,false,"Doric Way , Somers Town",false
001019,BikePoints_26,1278434160000,,true,false,"Ampton Street , Clerkenwell",false
001021,BikePoints_27,1278500160000,,true,false,"Bouverie Street, Temple",false
001025,BikePoints_28,1278500460000,,true,false,"Bolsover Street, Fitzrovia",false
001016,BikePoints_29,1278501180000,,true,false,"Hereford Road, Bayswater",false
001029,BikePoints_30,1278501420000,,true,false,"Windsor Terrace, Hoxton",false
003427,BikePoints_31,1278501600000,,true,false,"Fanshaw Street, Hoxton",false
001020,BikePoints_32,1278506700000,,true,false,"Leonard Circus , Shoreditch",false
003430,BikePoints_33,1278506940000,,true,false,"Central House, Aldgate",false
003428,BikePoints_34,1278507060000,,true,false,"Pancras Road, King's Cross",false
003446,BikePoints_36,1278519900000,,true,false,"De Vere Gardens, Kensington",false
003444,BikePoints_37,1278520020000,,true,false,"Penywern Road, Earl's Court",false
003442,BikePoints_38,1278584880000,,true,false,"Abingdon Villas, Kensington",false
003445,BikePoints_39,1278601740000,,true,false,"Shoreditch High Street, Shoreditch",false
001083,BikePoints_40,1278601980000,,true,false,"Commercial Street, Shoreditch",false
001084,BikePoints_41,1278602280000,,true,false,"Pindar Street, Liverpool Street",false
000979,BikePoints_42,1278602700000,,true,false,"Wenlock Road , Hoxton",false
001036,BikePoints_43,1278687720000,,true,false,"Crawford Street, Marylebone",false
001034,BikePoints_44,1278687900000,,true,false,"Bruton Street, Mayfair",false
001035,BikePoints_45,1278691320000,,true,false,"Boston Place, Marylebone",false
001031,BikePoints_46,1278691800000,,true,false,"Nesham Street, Wapping",false
001027,BikePoints_47,1278749160000,,true,false,"Warwick Avenue Station, Maida Vale",false
000971,BikePoints_48,1278749460000,,true,false,"Godliman Street, St. Paul's",false
003437,BikePoints_49,1278749940000,,true,false,"Curzon Street, Mayfair",false
001054,BikePoints_50,1278750240000,,true,false,"East Road, Hoxton",false
000986,BikePoints_51,1278750540000,,true,false,"Finsbury Library , Finsbury",false
001026,BikePoints_52,1278750840000,,true,false,"Roscoe Street, St. Luke's",false
003431,BikePoints_53,1278752580000,,true,false,"Grafton Street, Mayfair",false
000967,BikePoints_54,1278766740000,,true,false,"Golden Lane, Barbican",false
000984,BikePoints_55,1278766980000,,true,false,"Finsbury Circus, Liverpool Street",false
000974,BikePoints_57,1278767460000,,true,false,"Guilford Street , Bloomsbury",false
001032,BikePoints_58,1278767700000,,true,false,"New Inn Yard, Shoreditch",false
001030,BikePoints_60,1278769140000,,true,false,"Lisson Grove, St. John's Wood",false
001017,BikePoints_61,1278773820000,,true,false,"Great Dover Street, The Borough",false
000990,BikePoints_62,1278773940000,,true,false,"Cotton Garden Estate, Kennington",false
000989,BikePoints_63,1278774120000,,true,false,"Murray Grove , Hoxton",false
001028,BikePoints_64,1278774300000,,true,false,"William IV Street, Strand",false
000969,BikePoints_65,1278840660000,,true,false,"Gower Place , Euston",false
000982,BikePoints_66,1278845280000,,true,false,"Holborn Circus, Holborn",false
000985,BikePoints_67,1278847440000,,true,false,"Hatton Garden, Holborn",false
000975,BikePoints_68,1278857040000,,true,false,"Theobald's Road , Holborn",false
000983,BikePoints_69,1278861540000,,true,false,"Euston Road, Euston",false
001066,BikePoints_70,1278863340000,,true,false,"Calshot Street , King's Cross",false
001074,BikePoints_71,1278924900000,,true,false,"Newgate Street , St. Paul's",false
003432,BikePoints_72,1276948860000,,true,false,"Farringdon Lane, Clerkenwell",false
001064,BikePoints_73,1278941040000,,true,false,"Old Street Station, St. Luke's",false
001000,BikePoints_74,1278941160000,,true,false,"Vauxhall Cross, Vauxhall",false
001060,BikePoints_75,1278945180000,,true,false,"Torrens Street, Angel",false
000976,BikePoints_76,1278946560000,,true,false,"Longford Street, The Regent's Park",false
000978,BikePoints_77,1278946860000,,true,false,"Russell Square Station, Bloomsbury",false
003433,BikePoints_78,1278948480000,,true,false,"Sadlers Sports Centre, Finsbury",false
003455,BikePoints_79,1509018360000,,true,false,"Arundel Street, Temple",false
003448,BikePoints_80,1278952440000,,true,false,"Webber Street , Southwark",false
003450,BikePoints_81,1279012980000,,true,false,"Great Titchfield Street, Fitzrovia",false
003453,BikePoints_82,1279015680000,,true,false,"Chancery Lane, Holborn",false
003452,BikePoints_83,1279015800000,,true,false,"Panton Street, West End",false
003449,BikePoints_84,1279020240000,,true,false,"Breams Buildings, Holborn",false
000994,BikePoints_85,1279026060000,,true,false,"Tanner Street, Bermondsey",false
002589,BikePoints_337,1280153100000,,true,false,"Pembridge Villas, Notting Hill",false
001202,BikePoints_338,1280158740000,,true,false,"Wellington Street , Strand",false
001127,BikePoints_339,1280160600000,,true,false,"Risinghill Street, Angel",false
001201,BikePoints_340,1280248620000,,true,false,"Bank of England Museum, Bank",false
001160,BikePoints_341,1280222160000,,true,false,"Craven Street, Strand",false
001188,BikePoints_343,1280224260000,,true,false,"London Zoo Car Park, The Regent's Park",false
001222,BikePoints_344,1280226120000,,true,false,"Goswell Road (City Uni), Finsbury",false
001218,BikePoints_345,1280229720000,,true,false,"Flood Street, Chelsea",false
001219,BikePoints_347,1283762460000,,true,false,"Lower Marsh, Waterloo",false
010627,BikePoints_348,1284540540000,,true,false,"Grosvenor Square, Mayfair",false
001221,BikePoints_349,1284543120000,,true,false,"St. George Street, Mayfair",false
001231,BikePoints_350,1285756260000,,true,false,"Queen's Gate, Kensington Gardens",false
001226,BikePoints_351,1286790480000,,true,false,"Macclesfield Rd, St Lukes",false
001224,BikePoints_352,1286796360000,,true,false,"Vauxhall Street, Vauxhall",false
010623,BikePoints_353,1287652080000,,true,false,"Greycoat Street , Westminster",false
001097,BikePoints_354,,,true,false,"Northumberland Avenue, Strand",false
002694,BikePoints_355,1287752460000,,true,false,"Clapham Common Station, Clapham Common",false
002685,BikePoints_356,1288009080000,,true,false,"South Kensington Station, South Kensington",false
002691,BikePoints_357,1288092420000,,true,false,"Howland Street, Fitzrovia",false
001229,BikePoints_358,1290079860000,,true,false,"High Holborn , Covent Garden",false
002662,BikePoints_359,1288950960000,,true,false,"Butler Place, Westminster",false
002666,BikePoints_360,1288958160000,,true,false,"Howick Place, Westminster",false
002692,BikePoints_361,1291902600000,,true,false,"Waterloo Station 2, Waterloo",false
002686,BikePoints_362,1290080220000,,true,false,"Royal College Street, Camden Town",false
002665,BikePoints_363,1289911800000,,true,false,"Lord's, St. John's Wood",false
003507,BikePoints_364,1290080640000,,true,false,"Store Street, Bloomsbury",false
002690,BikePoints_365,1290603600000,,true,false,"City Road, Angel",false
002680,BikePoints_367,,,true,false,"Harrowby Street, Marylebone",false
002681,BikePoints_368,1291201680000,,true,false,"Harriet Street, Knightsbridge",false
002670,BikePoints_370,1291647300000,,true,false,"Paddington Green, Paddington",false
002639,BikePoints_371,1291712820000,,true,false,"King Edward Walk, Waterloo",false
002649,BikePoints_372,1291713000000,,true,false,"Sardinia Street, Holborn",false
003499,BikePoints_373,1295428320000,,true,false,"Prince Consort Road, Knightsbridge",false
002696,BikePoints_374,1291725720000,,true,false,"Waterloo Station 1, Waterloo",false
010632,BikePoints_375,1291805820000,,true,false,"Kensington Town Hall, Kensington",false
002683,BikePoints_376,1294660980000,,true,false,"Millbank Tower, Pimlico",false
002648,BikePoints_377,1295265420000,,true,false,"Waterloo Bridge, South Bank",false
002677,BikePoints_378,1296121500000,,true,false,"Natural History Museum, South Kensington",false
002682,BikePoints_379,1296121680000,,true,false,"Turquoise Island, Notting Hill",false
003506,BikePoints_380,1296125400000,,true,false,"Stanhope Gate, Mayfair",false
002669,BikePoints_381,1296203760000,,true,false,"Charlotte Street, Fitzrovia",false
002678,BikePoints_382,1297159320000,,true,false,"Farm Street, Mayfair",false
002660,BikePoints_383,1296649200000,,true,false,"Frith Street, Soho",false
003505,BikePoints_384,1296731880000,,true,false,"Marloes Road, Kensington",false
003504,BikePoints_386,1296732540000,,true,false,"Moor Street, Soho",false
002703,BikePoints_387,1297077540000,,true,false,"Fire Brigade Pier, Vauxhall",false
001228,BikePoints_388,1297182180000,,true,false,"Southampton Street, Strand",false
010621,BikePoints_389,1297347960000,,true,false,"Upper Grosvenor Street, Mayfair",false
001223,BikePoints_390,1297764360000,,true,false,"Buxton Street 1, Shoreditch",false
002688,BikePoints_391,1297956480000,1539846000000,true,false,"Clifford Street, Mayfair",false
001220,BikePoints_392,1297958700000,,true,false,"Imperial College, Knightsbridge",false
002699,BikePoints_393,1298545440000,,true,false,"Snow Hill, Farringdon",false
002698,BikePoints_394,,,true,false,"Aberdeen Place, St. John's Wood",false
002695,BikePoints_395,1298908800000,,true,false,"Cadogan Gardens, Chelsea",false
002693,BikePoints_396,1299075120000,,true,false,"Shouldham Street, Marylebone",false
001227,BikePoints_397,1299075900000,,true,false,"Devonshire Terrace, Bayswater",false
