place_id,terminal_name,locked,temporary,removal_date,common_name,installed,install_date
BikePoints_708,200217,false,false,,"Disraeli Road, Putney",true,1384530180000
BikePoints_709,200205,false,false,,"Montserrat Road , Putney",true,1384510140000
BikePoints_710,300045,false,false,,"Albert Bridge Road, Battersea Park",true,1384520580000
BikePoints_711,300028,false,false,,"Everington Street, Fulham",true,1384791540000
BikePoints_712,300056,false,false,,"Mile End Stadium, Mile End",true,1384797120000
BikePoints_713,200122,false,false,,"Hawley Crescent, Camden Town",true,1384774620000
BikePoints_714,300055,false,false,,"Stewart's Road, Wandsworth Road",true,1384865400000
BikePoints_715,300049,false,false,,"Aylward Street, Stepney",true,1384868460000
BikePoints_716,300048,false,false,,"Stainsby Road , Poplar",true,1384873500000
BikePoints_717,300024,false,false,,"Dunston Road , Haggerston",true,1384952400000
BikePoints_718,300040,false,false,,"Ada Street, Hackney Central",true,1384962840000
BikePoints_719,300011,false,false,,"Victoria Park Road, Hackney Central",true,1384968480000
BikePoints_720,300038,false,false,,"Star Road, West Kensington",true,1385025840000
BikePoints_721,300039,false,false,,"Wendon Street, Old Ford",true,1385028480000
BikePoints_722,300041,false,false,,"Finnis Street, Bethnal Green",true,1385028600000
BikePoints_723,300053,false,false,,"Stephendale Road, Sands End",true,1385035380000
BikePoints_724,300046,false,false,,"Alma Road, Wandsworth",true,1385125380000
BikePoints_725,300050,false,false,,"Walworth Square, Walworth",true,1563352500000
BikePoints_726,300047,false,false,,"Alfreda Street, Battersea Park",true,1385128740000
BikePoints_727,300054,false,false,,"Chesilton Road, Fulham",true,1385132160000
BikePoints_728,300044,false,false,,"Putney Bridge Road, East Putney",true,1385466780000
BikePoints_729,300043,false,false,,"St. Peter's Terrace, Fulham",true,1385391300000
BikePoints_730,300082,false,false,,"Bridge Avenue, Hammersmith",true,1385132580000
BikePoints_731,300095,false,false,,"Michael Road, Walham Green",true,1385394720000
BikePoints_732,300083,false,false,,"Duke Street Hill, London Bridge",true,1385458020000
BikePoints_733,300093,false,false,,"Park Lane, Mayfair",true,1385460840000
BikePoints_734,300094,false,false,,"Plough Terrace, Clapham Junction",true,1385464500000
BikePoints_735,200120,false,false,,"Grant Road East, Clapham Junction",true,1385383080000
BikePoints_736,300088,false,false,,"Queensdale Road, Shepherd's Bush",true,1385472900000
BikePoints_737,300086,false,false,,"Fulham Broadway, Walham Green",true,1385554620000
BikePoints_738,300087,false,false,,"Imperial Road, Sands End",true,1385563380000
BikePoints_739,300091,false,false,,"Hortensia Road, West Brompton",true,1385631000000
BikePoints_740,300084,false,false,,"Sirdar Road, Avondale",true,1385635440000
BikePoints_741,300085,false,false,,"Freston Road, Avondale",true,1385640120000
BikePoints_742,300090,false,false,,"Blenheim Crescent, Ladbroke Grove",true,1385649540000
BikePoints_743,300078,false,false,,"Oxford Road, Putney",true,1385723700000
BikePoints_744,300077,false,false,,"Ingrave Street, Clapham Junction",true,1385729760000
BikePoints_745,300075,false,false,,"Upcerne Road, West Chelsea",true,1385740020000
BikePoints_746,300076,false,false,,"Lots Road, West Chelsea",true,1385985720000
BikePoints_747,300089,false,false,,"Ormonde Gate, Chelsea",true,1385997240000
BikePoints_748,300092,false,false,,"Hertford Road, De Beauvoir Town",true,1386159900000
BikePoints_749,300081,false,false,,"Haggerston Road, Haggerston",true,1386172440000
BikePoints_750,300080,false,false,,"Culvert Road, Battersea",true,1386240360000
BikePoints_751,300074,false,false,,"Newton Street, Covent Garden",true,1386250800000
BikePoints_752,300079,false,false,,"London Street, Paddington",true,1650364320000
BikePoints_754,300067,false,false,,"Grenfell Road, Avondale",true,1389003540000
BikePoints_755,300058,false,false,,"The Vale, Chelsea",true,1389008580000
BikePoints_756,300073,false,false,,"Prince of Wales Drive, Battersea Park",true,1390223040000
BikePoints_757,300069,false,false,,"Harcourt Terrace, West Brompton",true,1389094260000
BikePoints_758,300057,false,false,,"Westbourne Park Road, Portobello",true,1389178020000
BikePoints_759,300072,false,false,,"Broadley Terrace, Marylebone",true,1389627480000
BikePoints_761,300068,false,false,,"Humbolt Road, Fulham",true,1389781800000
BikePoints_762,200202,false,false,,"Storey's Gate, Westminster",true,1392039000000
BikePoints_763,300027,false,false,,"Mile End Park Leisure Centre, Mile End",true,1392043020000
BikePoints_764,200185,false,false,,"St. John's Road, Clapham Junction",true,1392633480000
BikePoints_765,300064,false,false,,"Ranelagh Gardens, Fulham",true,1392986940000
BikePoints_766,200079,false,false,,"Ram Street, Wandsworth",true,1392894840000
BikePoints_767,200177,false,false,,"Santos Road, Wandsworth",true,1393406280000
BikePoints_768,300065,false,false,,"Clapham Common North Side, Clapham Common",true,1393494060000
BikePoints_769,300001,false,false,,"Sandilands Road, Walham Green",true,1393939560000
BikePoints_770,300097,false,false,,"Gwendwr Road, West Kensington",true,1394099280000
BikePoints_771,300007,false,false,,"Rifle Place, Avondale",true,1394018400000
BikePoints_772,300015,false,false,,"Binfield Road, Stockwell",true,1396442100000
BikePoints_773,300096,false,false,,"Tallis Street, Temple",true,1396262520000
BikePoints_774,300098,false,false,,"Hurlingham Park, Parsons Green",true,1396265880000
BikePoints_775,300101,false,false,,"Little Brook Green, Brook Green",true,1396270320000
BikePoints_776,300099,false,false,,"Abyssinia Close, Clapham Junction",true,1396273320000
BikePoints_777,300100,false,false,,"Limburg Road, Clapham Junction",true,1406282940000
BikePoints_779,200072,false,false,,"Houndsditch, Aldgate",true,1435313700000
BikePoints_780,300070,false,false,,"Imperial Wharf Station, Sands End",true,1439455200000
BikePoints_85,000994,false,false,,"Tanner Street, Bermondsey",true,1279026060000
BikePoints_86,003434,false,false,,"Sancroft Street, Vauxhall",true,1279027140000
BikePoints_87,003438,false,false,,"Devonshire Square, Liverpool Street",true,1279027680000
BikePoints_88,001006,false,false,,"Bayley Street , Bloomsbury",true,1279028280000
BikePoints_89,003439,false,false,,"Tavistock Place, Bloomsbury",true,1279029360000
BikePoints_90,001038,false,false,,"Harrington Square 1, Camden Town",true,1279030020000
BikePoints_91,001076,false,false,,"Walnut Tree Walk, Vauxhall",true,1279036740000
BikePoints_92,001082,false,false,,"Borough Road, Elephant & Castle",true,1279037040000
BikePoints_93,002586,false,false,,"Cloudesley Road, Angel",true,1279037760000
BikePoints_94,001070,false,false,,"Bricklayers Arms, Borough",true,1279038420000
BikePoints_95,001065,false,false,,"Aldersgate Street, Barbican",true,1279096560000
BikePoints_96,001047,false,false,,"Falkirk Street, Hoxton",true,1279096980000
BikePoints_97,003447,false,false,,"Gloucester Road (North), Kensington",true,1279097580000
BikePoints_98,000972,false,false,,"Hampstead Road, Euston",true,1279099080000
BikePoints_99,001085,false,false,,"Old Quebec Street, Marylebone",true,1279099680000
BikePoints_100,001059,false,false,,"Albert Embankment, Vauxhall",true,1279099860000
BikePoints_101,000999,false,false,,"Queen Street 1, Bank",true,1279102680000
BikePoints_102,001045,false,false,,"Jewry Street, Aldgate",true,1279102860000
BikePoints_103,003441,false,false,,"Vicarage Gate, Kensington",true,1279103520000
BikePoints_104,000991,false,false,,"Crosswall, Tower",true,1279103760000
BikePoints_105,001041,false,false,,"Westbourne Grove, Bayswater",true,1279105320000
BikePoints_106,001042,false,false,,"Woodstock Street, Mayfair",true,1279106880000
BikePoints_107,001049,false,false,,"Finsbury Leisure Centre, St. Luke's",true,1279107480000
BikePoints_108,003429,false,false,,"Abbey Orchard Street, Westminster",true,1279107720000
BikePoints_109,001052,false,false,,"Soho Square , Soho",true,1279108320000
BikePoints_110,001055,false,false,,"Wellington Road, St. John's Wood",true,1279108920000
BikePoints_111,001037,false,false,,"Park Lane , Hyde Park",true,1279109160000
BikePoints_112,001061,false,false,,"Stonecutter Street, Holborn",true,1279115460000
BikePoints_113,003435,false,false,,"Gloucester Road (Central), South Kensington",true,1279116600000
BikePoints_114,001050,false,false,,"Park Road (Baker Street), The Regent's Park",true,1279119900000
BikePoints_115,001062,false,false,,"Braham Street, Aldgate",true,1279120680000
BikePoints_116,000995,false,false,,"Little Argyll Street, West End",true,1279122360000
BikePoints_117,000998,false,false,,"Lollard Street, Vauxhall",true,1279124220000
BikePoints_118,003457,false,false,,"Rochester Row, Westminster",true,1279124520000
BikePoints_119,000964,false,false,,"Bath Street, St. Luke's",true,1279124760000
BikePoints_120,001044,false,false,,"The Guildhall, Guildhall",true,1279187040000
BikePoints_121,001086,false,false,,"Baker Street, Marylebone",true,1279189200000
BikePoints_122,001068,false,false,,"Norton Folgate, Liverpool Street",true,1279190040000
BikePoints_123,000992,false,false,,"St. John Street, Finsbury",true,1279191300000
BikePoints_124,001069,false,false,,"Eaton Square, Belgravia",true,1279191540000
BikePoints_125,000996,false,false,,"Borough High Street, The Borough",true,1279192200000
BikePoints_126,001043,false,false,,"Museum of London, Barbican",true,1279193340000
BikePoints_127,001063,false,false,,"Wood Street, Guildhall",true,1279193520000
BikePoints_128,001116,false,false,,"Emperor's Gate, South Kensington",true,1279194060000
BikePoints_129,003451,false,false,,"Golden Square, Soho",true,1279198500000
BikePoints_130,001071,false,false,,"Tower Gardens , Tower",true,1279198800000
BikePoints_131,001005,false,false,,"Eversholt Street , Camden Town",true,1279199280000
BikePoints_132,000973,false,false,,"Bethnal Green Road, Shoreditch",true,1279199520000
BikePoints_133,003436,false,false,,"Derry Street, Kensington",true,1279200240000
BikePoints_134,001039,false,false,,"Wapping High Street, Wapping",true,1279200900000
BikePoints_135,001053,false,false,,"Clerkenwell Green, Clerkenwell",true,1279201080000
BikePoints_136,001048,false,false,,"Queen Victoria Street, St. Paul's",true,1279201200000
BikePoints_138,003464,false,false,,"Green Street, Mayfair",true,1279205220000
BikePoints_139,001078,false,false,,"Lambeth Road, Vauxhall",true,1279205460000
BikePoints_140,001056,false,false,,"Finsbury Square , Moorgate",true,1279205580000
BikePoints_141,001003,false,false,,"Chapel Place, Marylebone",true,1279210980000
BikePoints_142,001001,false,false,,"West Cromwell Road, Earl's Court",true,1279211220000
BikePoints_143,001114,false,false,,"Pont Street, Knightsbridge",true,1279211400000
BikePoints_144,001093,false,false,,"Kennington Cross, Kennington",true,1279211580000
BikePoints_145,001115,false,false,,"Ilchester Place, Kensington",true,1279212180000
BikePoints_146,001046,false,false,,"Vauxhall Bridge , Pimlico",true,1279212360000
BikePoints_148,000965,false,false,,"Tachbrook Street, Victoria",true,
BikePoints_149,001073,false,false,,"Kennington Road Post Office, Oval",true,1279215360000
BikePoints_150,001002,false,false,,"Holy Trinity Brompton, Knightsbridge",true,1279215540000
BikePoints_152,001118,false,false,,"Hampton Street, Walworth",true,1279215900000
BikePoints_153,001096,false,false,,"Bayswater Road, Hyde Park",true,1279216080000
BikePoints_154,001072,false,false,,"Waterloo Station 3, Waterloo",true,
BikePoints_155,001121,false,false,,"Lexham Gardens, Kensington",true,1279272660000
BikePoints_156,000966,false,false,,"New Kent Road, The Borough",true,1279273080000
BikePoints_157,001094,false,false,,"Wright's Lane, Kensington",true,1279273200000
BikePoints_158,001113,false,false,,"Trebovir Road, Earl's Court",true,1279273320000
BikePoints_160,003458,false,false,,"Waterloo Place, St. James's",true,1279274280000
BikePoints_161,003478,false,false,,"Guildhouse Street, Victoria",true,1279286940000
BikePoints_162,001123,false,false,,"Southampton Place, Holborn",true,1279287120000
BikePoints_163,003461,false,false,,"Sloane Avenue, Knightsbridge",true,1279287300000
BikePoints_164,001178,false,false,,"Cleveland Gardens, Bayswater",true,1279287600000
BikePoints_165,002585,false,false,,"Orsett Terrace, Bayswater",true,1279287960000
BikePoints_166,001177,false,false,,"Seville Street, Knightsbridge",true,1279288140000
BikePoints_167,003465,false,false,,"Eccleston Place, Victoria",true,
BikePoints_168,003463,false,false,,"Argyll Road, Kensington",true,1279289400000
BikePoints_433,022169,false,false,,"Wren Street, Holborn",true,1323361560000
BikePoints_435,022170,false,false,,"Kennington Station, Kennington",true,1323346020000
BikePoints_436,022171,false,false,,"Red Lion Street, Holborn",true,1323350220000
BikePoints_437,200056,false,false,,"Vauxhall Walk, Vauxhall",true,1325746380000
BikePoints_439,200053,false,false,,"Killick Street, King's Cross",true,1325705460000
BikePoints_440,200032,false,false,,"Kennington Oval, Oval",true,1325708160000
BikePoints_441,200039,false,false,,"Sail Street, Vauxhall",true,1325711220000
BikePoints_442,200035,false,false,,"Walmer Road, Avondale",true,1325940420000
BikePoints_443,200033,false,false,,"Philpot Street, Whitechapel",true,1325941800000
BikePoints_444,200047,false,false,,"Bethnal Green Garden, Bethnal Green",true,1325944680000
BikePoints_445,200003,false,false,,"Cheshire Street, Bethnal Green",true,1325945820000
BikePoints_446,200042,false,false,,"York Hall, Bethnal Green",true,1325948880000
BikePoints_447,200054,false,false,,"Jubilee Crescent, Cubitt Town",true,1325949000000
BikePoints_448,022165,false,false,,"Fisherman's Walk West, Canary Wharf",true,1325952660000
BikePoints_449,200020,false,false,,"Shadwell Station, Shadwell",true,1325952900000
BikePoints_450,200002,false,false,,"Jubilee Street, Stepney",true,1326105240000
BikePoints_451,200021,false,false,,"Hermitage Court, Wapping",true,1325501400000
BikePoints_452,200049,false,false,,"St. Katharine's Way, Tower",true,1326109140000
BikePoints_453,200045,false,false,,"Garnet Street, Shadwell",true,1326111060000
BikePoints_454,200046,false,false,,"Napier Avenue, Millwall",true,1326115380000
BikePoints_455,200031,false,false,,"East Ferry Road, Cubitt Town",true,1326117780000
BikePoints_456,200118,false,false,,"Parkway, Camden Town",true,1326197580000
BikePoints_457,200016,false,false,,"Castlehaven Road, Camden Town",true,1326203280000
BikePoints_458,200034,false,false,,"Wapping Lane, Wapping",true,1326294780000
BikePoints_459,200014,false,false,,"Gunmakers Lane, Old Ford",true,
BikePoints_460,200123,false,false,,"Burdett Road, Mile End",true,1326284820000
BikePoints_461,200013,false,true,,"Aston Street, Stepney",true,1326293640000
BikePoints_462,200105,false,false,,"Bonny Street, Camden Town",true,1326294600000
BikePoints_463,200093,false,false,,"Thurtle Road, Haggerston",true,
BikePoints_464,200082,false,false,,"St. Mary & St. Michael Church, Stepney",true,1326304980000
BikePoints_465,200152,false,false,,"Pitfield Street North,Hoxton",true,1333613280000
BikePoints_466,200158,false,false,,"Whiston Road, Haggerston",true,1326360000000
BikePoints_467,200168,false,false,,"Southern Grove, Bow",true,1326374040000
BikePoints_468,200150,false,false,,"Cantrell Road, Bow",true,1326375720000
BikePoints_469,022178,false,false,,"Lindfield Street, Poplar",true,1326381060000
