terminal_name,common_name,locked,removal_date,temporary,installed,place_id,install_date
003499,"Prince Consort Road, Knightsbridge",false,,false,true,BikePoints_373,1295428320000
002696,"Waterloo Station 1, Waterloo",false,,false,true,BikePoints_374,1291725720000
010632,"Kensington Town Hall, Kensington",false,,false,true,BikePoints_375,1291805820000
002683,"Millbank Tower, Pimlico",false,,false,true,BikePoints_376,1294660980000
002648,"Waterloo Bridge, South Bank",false,,false,true,BikePoints_377,1295265420000
002677,"Natural History Museum, South Kensington",false,,false,true,BikePoints_378,1296121500000
002682,"Turquoise Island, Notting Hill",false,,false,true,BikePoints_379,1296121680000
003506,"Stanhope Gate, Mayfair",false,,false,true,BikePoints_380,1296125400000
002669,"Charlotte Street, Fitzrovia",false,,false,true,BikePoints_381,1296203760000
002678,"Farm Street, Mayfair",false,,false,true,BikePoints_382,1297159320000
002660,"Frith Street, Soho",false,,false,true,BikePoints_383,1296649200000
003505,"Marloes Road, Kensington",false,,false,true,BikePoints_384,1296731880000
003504,"Moor Street, Soho",false,,false,true,BikePoints_386,1296732540000
002703,"Fire Brigade Pier, Vauxhall",false,,false,true,BikePoints_387,1297077540000
001228,"Southampton Street, Strand",false,,false,true,BikePoints_388,1297182180000
010621,"Upper Grosvenor Street, Mayfair",false,,false,true,BikePoints_389,1297347960000
001223,"Buxton Street 1, Shoreditch",false,,false,true,BikePoints_390,1297764360000
002688,"Clifford Street, Mayfair",false,1539846000000,false,true,BikePoints_391,1297956480000
001220,"Imperial College, Knightsbridge",false,,false,true,BikePoints_392,1297958700000
002699,"Snow Hill, Farringdon",false,,false,true,BikePoints_393,1298545440000
002698,"Aberdeen Place, St. John's Wood",false,,false,true,BikePoints_394,
002695,"Cadogan Gardens, Chelsea",false,,false,true,BikePoints_395,1298908800000
002693,"Shouldham Street, Marylebone",false,,false,true,BikePoints_396,1299075120000
001227,"Devonshire Terrace, Bayswater",false,,false,true,BikePoints_397,1299075900000
010631,"Holland Park, Kensington",false,,false,true,BikePoints_398,1299076440000
002687,"Brick Lane Market, Shoreditch",false,,false,true,BikePoints_399,1299582900000
001225,"George Street, Marylebone",false,,false,true,BikePoints_400,1299583260000
002701,"Columbia Road, Shoreditch",false,,false,true,BikePoints_401,1299592500000
010625,"Penfold Street, Marylebone",false,,false,true,BikePoints_402,1299592860000
010630,"George Place Mews, Marylebone",false,,false,true,BikePoints_403,1299593640000
001110,"Palace Gate, Kensington Gardens",false,,false,true,BikePoints_404,1299669180000
001107,"Gloucester Road Station, South Kensington",false,,false,true,BikePoints_405,1299669300000
001129,"Sun Street, Liverpool Street",false,,false,true,BikePoints_408,
010624,"Strata, Elephant & Castle",false,,false,true,BikePoints_409,
001058,"Edgware Road Station, Marylebone",false,,false,true,BikePoints_410,
010629,"Rotherhithe Roundabout, Rotherhithe",false,,false,true,BikePoints_411,
010628,"Cleaver Street, Kennington",false,,false,true,BikePoints_412,1302006180000
022160,"Chelsea Bridge, Pimlico",false,,false,true,BikePoints_419,1308735300000
022162,"Southwark Station 1, Southwark",false,,false,true,BikePoints_420,1309258380000
022163,"Southwark Station 2, Southwark",false,,false,true,BikePoints_421,1309258440000
022164,"Eaton Square (South), Belgravia",false,,false,true,BikePoints_423,1309860240000
022159,"Ebury Bridge, Pimlico",false,,false,true,BikePoints_424,1324551120000
022161,"Vincent Street, Pimlico",false,,false,true,BikePoints_426,1310463720000
022180,"Cheapside, Bank",false,,false,true,BikePoints_427,1310725680000
022179,"Exhibition Road, Knightsbridge",false,,false,true,BikePoints_428,1318496100000
022182,"South Parade, Chelsea",false,,false,true,BikePoints_430,1324549980000
022183,"Crinan Street, King's Cross",false,,false,true,BikePoints_431,1323355020000
022158,"Exhibition Road Museums 1, South Kensington",false,,false,true,BikePoints_432,1319448720000
200121,"Shoreditch Court, Haggerston",false,,false,true,BikePoints_698,1384254300000
200057,"Belford House, Haggerston",false,,false,true,BikePoints_699,1384256040000
200201,"Battersea Church Road, Battersea",false,,false,true,BikePoints_700,1384343280000
200077,"Vicarage Crescent, Battersea",false,,false,true,BikePoints_701,1384345080000
200213,"Durant Street, Bethnal Green",false,,false,true,BikePoints_702,1384345860000
200094,"St. Bride Street, Holborn",false,,false,true,BikePoints_703,1384357800000
200063,"Mexfield Road, East Putney",false,,false,true,BikePoints_704,1384443480000
300042,"Upper Richmond Road, Putney",false,1539845700000,true,true,BikePoints_705,1384453020000
200193,"Snowsfields, London Bridge",false,,false,true,BikePoints_706,1384420920000
200197,"Barons Court Station, West Kensington",false,,false,true,BikePoints_707,1384435680000
200217,"Disraeli Road, Putney",false,,false,true,BikePoints_708,1384530180000
200205,"Montserrat Road , Putney",false,,false,true,BikePoints_709,1384510140000
300045,"Albert Bridge Road, Battersea Park",false,,false,true,BikePoints_710,1384520580000
300028,"Everington Street, Fulham",false,,false,true,BikePoints_711,1384791540000
300056,"Mile End Stadium, Mile End",false,,false,true,BikePoints_712,1384797120000
200122,"Hawley Crescent, Camden Town",false,,false,true,BikePoints_713,1384774620000
300055,"Stewart's Road, Wandsworth Road",false,,false,true,BikePoints_714,1384865400000
300049,"Aylward Street, Stepney",false,,false,true,BikePoints_715,1384868460000
300048,"Stainsby Road , Poplar",false,,false,true,BikePoints_716,1384873500000
300024,"Dunston Road , Haggerston",false,,false,true,BikePoints_717,1384952400000
300040,"Ada Street, Hackney Central",false,,false,true,BikePoints_718,1384962840000
300011,"Victoria Park Road, Hackney Central",false,,false,true,BikePoints_719,1384968480000
300038,"Star Road, West Kensington",false,,false,true,BikePoints_720,1385025840000
300039,"Wendon Street, Old Ford",false,,false,true,BikePoints_721,1385028480000
300041,"Finnis Street, Bethnal Green",false,,false,true,BikePoints_722,1385028600000
300053,"Stephendale Road, Sands End",false,,false,true,BikePoints_723,1385035380000
300046,"Alma Road, Wandsworth",false,,false,true,BikePoints_724,1385125380000
300050,"Walworth Square, Walworth",false,,false,true,BikePoints_725,1563352500000
300047,"Alfreda Street, Battersea Park",false,,false,true,BikePoints_726,1385128740000
300054,"Chesilton Road, Fulham",false,,false,true,BikePoints_727,1385132160000
300044,"Putney Bridge Road, East Putney",false,,false,true,BikePoints_728,1385466780000
300043,"St. Peter's Terrace, Fulham",false,,false,true,BikePoints_729,1385391300000
300082,"Bridge Avenue, Hammersmith",false,,false,true,BikePoints_730,1385132580000
300095,"Michael Road, Walham Green",false,,false,true,BikePoints_731,1385394720000
300083,"Duke Street Hill, London Bridge",false,,false,true,BikePoints_732,1385458020000
300093,"Park Lane, Mayfair",false,,false,true,BikePoints_733,1385460840000
300094,"Plough Terrace, Clapham Junction",false,,false,true,BikePoints_734,1385464500000
200120,"Grant Road East, Clapham Junction",false,,false,true,BikePoints_735,1385383080000
300088,"Queensdale Road, Shepherd's Bush",false,,false,true,BikePoints_736,1385472900000
300086,"Fulham Broadway, Walham Green",false,,false,true,BikePoints_737,1385554620000
300087,"Imperial Road, Sands End",false,,false,true,BikePoints_738,1385563380000
300091,"Hortensia Road, West Brompton",false,,false,true,BikePoints_739,1385631000000
300084,"Sirdar Road, Avondale",false,,false,true,BikePoints_740,1385635440000
300085,"Freston Road, Avondale",false,,false,true,BikePoints_741,1385640120000
300090,"Blenheim Crescent, Ladbroke Grove",false,,false,true,BikePoints_742,1385649540000
300078,"Oxford Road, Putney",false,,false,true,BikePoints_743,1385723700000
300077,"Ingrave Street, Clapham Junction",false,,false,true,BikePoints_744,1385729760000
300075,"Upcerne Road, West Chelsea",false,,false,true,BikePoints_745,1385740020000
300076,"Lots Road, West Chelsea",false,,false,true,BikePoints_746,1385985720000
300089,"Ormonde Gate, Chelsea",false,,false,true,BikePoints_747,1385997240000
300092,"Hertford Road, De Beauvoir Town",false,,false,true,BikePoints_748,1386159900000
300081,"Haggerston Road, Haggerston",false,,false,true,BikePoints_749,1386172440000
300080,"Culvert Road, Battersea",false,,false,true,BikePoints_750,1386240360000
300074,"Newton Street, Covent Garden",false,,false,true,BikePoints_751,1386250800000
300079,"London Street, Paddington",false,,false,true,BikePoints_752,1650364320000
300067,"Grenfell Road, Avondale",false,,false,true,BikePoints_754,1389003540000
300058,"The Vale, Chelsea",false,,false,true,BikePoints_755,1389008580000
300073,"Prince of Wales Drive, Battersea Park",false,,false,true,BikePoints_756,1390223040000
300069,"Harcourt Terrace, West Brompton",false,,false,true,BikePoints_757,1389094260000
300057,"Westbourne Park Road, Portobello",false,,false,true,BikePoints_758,1389178020000
300072,"Broadley Terrace, Marylebone",false,,false,true,BikePoints_759,1389627480000
300068,"Humbolt Road, Fulham",false,,false,true,BikePoints_761,1389781800000
200202,"Storey's Gate, Westminster",false,,false,true,BikePoints_762,1392039000000
300027,"Mile End Park Leisure Centre, Mile End",false,,false,true,BikePoints_763,1392043020000
200185,"St. John's Road, Clapham Junction",false,,false,true,BikePoints_764,1392633480000
300064,"Ranelagh Gardens, Fulham",false,,false,true,BikePoints_765,1392986940000
200079,"Ram Street, Wandsworth",false,,false,true,BikePoints_766,1392894840000
200177,"Santos Road, Wandsworth",false,,false,true,BikePoints_767,1393406280000
300065,"Clapham Common North Side, Clapham Common",false,,false,true,BikePoints_768,1393494060000
300001,"Sandilands Road, Walham Green",false,,false,true,BikePoints_769,1393939560000
300097,"Gwendwr Road, West Kensington",false,,false,true,BikePoints_770,1394099280000
300007,"Rifle Place, Avondale",false,,false,true,BikePoints_771,1394018400000
300015,"Binfield Road, Stockwell",false,,false,true,BikePoints_772,1396442100000
300096,"Tallis Street, Temple",false,,false,true,BikePoints_773,1396262520000
300098,"Hurlingham Park, Parsons Green",false,,false,true,BikePoints_774,1396265880000
300101,"Little Brook Green, Brook Green",false,,false,true,BikePoints_775,1396270320000
300099,"Abyssinia Close, Clapham Junction",false,,false,true,BikePoints_776,1396273320000
300100,"Limburg Road, Clapham Junction",false,,false,true,BikePoints_777,1406282940000
200072,"Houndsditch, Aldgate",false,,false,true,BikePoints_779,1435313700000
300070,"Imperial Wharf Station, Sands End",false,,false,true,BikePoints_780,1439455200000
000994,"Tanner Street, Bermondsey",false,,false,true,BikePoints_85,1279026060000
003434,"Sancroft Street, Vauxhall",false,,false,true,BikePoints_86,1279027140000
003438,"Devonshire Square, Liverpool Street",false,,false,true,BikePoints_87,1279027680000
001006,"Bayley Street , Bloomsbury",false,,false,true,BikePoints_88,1279028280000
003439,"Tavistock Place, Bloomsbury",false,,false,true,BikePoints_89,1279029360000
001038,"Harrington Square 1, Camden Town",false,,false,true,BikePoints_90,1279030020000
001076,"Walnut Tree Walk, Vauxhall",false,,false,true,BikePoints_91,1279036740000
001082,"Borough Road, Elephant & Castle",false,,false,true,BikePoints_92,1279037040000
002586,"Cloudesley Road, Angel",false,,false,true,BikePoints_93,1279037760000
001070,"Bricklayers Arms, Borough",false,,false,true,BikePoints_94,1279038420000
001065,"Aldersgate Street, Barbican",false,,false,true,BikePoints_95,1279096560000
001047,"Falkirk Street, Hoxton",false,,false,true,BikePoints_96,1279096980000
003447,"Gloucester Road (North), Kensington",false,,false,true,BikePoints_97,1279097580000
000972,"Hampstead Road, Euston",false,,false,true,BikePoints_98,1279099080000
001085,"Old Quebec Street, Marylebone",false,,false,true,BikePoints_99,1279099680000
001059,"Albert Embankment, Vauxhall",false,,false,true,BikePoints_100,1279099860000
000999,"Queen Street 1, Bank",false,,false,true,BikePoints_101,1279102680000
