locked,terminal_name,removal_date,installed,common_name,place_id,temporary,install_date
false,001041,,true,"Westbourne Grove, Bayswater",BikePoints_105,false,1279105320000
false,001042,,true,"Woodstock Street, Mayfair",BikePoints_106,false,1279106880000
false,001049,,true,"Finsbury Leisure Centre, St. Luke's",BikePoints_107,false,1279107480000
false,003429,,true,"Abbey Orchard Street, Westminster",BikePoints_108,false,1279107720000
false,001052,,true,"Soho Square , Soho",BikePoints_109,false,1279108320000
false,001055,,true,"Wellington Road, St. John's Wood",BikePoints_110,false,1279108920000
false,001037,,true,"Park Lane , Hyde Park",BikePoints_111,false,1279109160000
false,003435,,true,"Gloucester Road (Central), South Kensington",BikePoints_113,false,1279116600000
false,001050,,true,"Park Road (Baker Street), The Regent's Park",BikePoints_114,false,1279119900000
false,001062,,true,"Braham Street, Aldgate",BikePoints_115,false,1279120680000
false,000995,,true,"Little Argyll Street, West End",BikePoints_116,false,1279122360000
false,000998,,true,"Lollard Street, Vauxhall",BikePoints_117,false,1279124220000
false,003457,,true,"Rochester Row, Westminster",BikePoints_118,false,1279124520000
false,000964,,true,"Bath Street, St. Luke's",BikePoints_119,false,1279124760000
false,001044,,true,"The Guildhall, Guildhall",BikePoints_120,false,1279187040000
false,001086,,true,"Baker Street, Marylebone",BikePoints_121,false,1279189200000
false,001068,,true,"Norton Folgate, Liverpool Street",BikePoints_122,false,1279190040000
false,000992,,true,"St. John Street, Finsbury",BikePoints_123,false,1279191300000
false,001069,,true,"Eaton Square, Belgravia",BikePoints_124,false,1279191540000
false,000996,,true,"Borough High Street, The Borough",BikePoints_125,false,1279192200000
false,001043,,true,"Museum of London, Barbican",BikePoints_126,false,1279193340000
false,001063,,true,"Wood Street, Guildhall",BikePoints_127,false,1279193520000
false,001116,,true,"Emperor's Gate, South Kensington",BikePoints_128,false,1279194060000
false,003451,,true,"Golden Square, Soho",BikePoints_129,false,1279198500000
false,001071,,true,"Tower Gardens , Tower",BikePoints_130,false,1279198800000
false,001005,,true,"Eversholt Street , Camden Town",BikePoints_131,false,1279199280000
false,000973,,true,"Bethnal Green Road, Shoreditch",BikePoints_132,false,1279199520000
false,003436,,true,"Derry Street, Kensington",BikePoints_133,false,1279200240000
false,001039,,true,"Wapping High Street, Wapping",BikePoints_134,false,1279200900000
false,001053,,true,"Clerkenwell Green, Clerkenwell",BikePoints_135,false,1279201080000
false,001048,,true,"Queen Victoria Street, St. Paul's",BikePoints_136,false,1279201200000
false,003464,,true,"Green Street, Mayfair",BikePoints_138,false,1279205220000
false,001078,,true,"Lambeth Road, Vauxhall",BikePoints_139,false,1279205460000
false,001056,,true,"Finsbury Square , Moorgate",BikePoints_140,false,1279205580000
false,001003,,true,"Chapel Place, Marylebone",BikePoints_141,false,1279210980000
false,001001,,true,"West Cromwell Road, Earl's Court",BikePoints_142,false,1279211220000
false,001114,,true,"Pont Street, Knightsbridge",BikePoints_143,false,1279211400000
false,001093,,true,"Kennington Cross, Kennington",BikePoints_144,false,1279211580000
false,001115,,true,"Ilchester Place, Kensington",BikePoints_145,false,1279212180000
false,001046,,true,"Vauxhall Bridge , Pimlico",BikePoints_146,false,1279212360000
false,000965,,true,"Tachbrook Street, Victoria",BikePoints_148,false,
false,001073,,true,"Kennington Road Post Office, Oval",BikePoints_149,false,1279215360000
false,001002,,true,"Holy Trinity Brompton, Knightsbridge",BikePoints_150,false,1279215540000
false,001120,,true,"Chepstow Villas, Notting Hill",BikePoints_151,false,1279215720000
false,001118,,true,"Hampton Street, Walworth",BikePoints_152,false,1279215900000
false,001096,,true,"Bayswater Road, Hyde Park",BikePoints_153,false,1279216080000
false,001072,,true,"Waterloo Station 3, Waterloo",BikePoints_154,false,
false,001121,,true,"Lexham Gardens, Kensington",BikePoints_155,false,1279272660000
false,000966,,true,"New Kent Road, The Borough",BikePoints_156,false,1279273080000
false,001094,,true,"Wright's Lane, Kensington",BikePoints_157,false,1279273200000
false,001113,,true,"Trebovir Road, Earl's Court",BikePoints_158,false,1279273320000
false,003458,,true,"Waterloo Place, St. James's",BikePoints_160,false,1279274280000
false,003478,,true,"Guildhouse Street, Victoria",BikePoints_161,false,1279286940000
false,001123,,true,"Southampton Place, Holborn",BikePoints_162,false,1279287120000
false,003461,,true,"Sloane Avenue, Knightsbridge",BikePoints_163,false,1279287300000
false,001178,,true,"Cleveland Gardens, Bayswater",BikePoints_164,false,1279287600000
false,002585,,true,"Orsett Terrace, Bayswater",BikePoints_165,false,1279287960000
false,001177,,true,"Seville Street, Knightsbridge",BikePoints_166,false,1279288140000
false,003465,,true,"Eccleston Place, Victoria",BikePoints_167,false,
false,003463,,true,"Argyll Road, Kensington",BikePoints_168,false,1279289400000
false,022158,,true,"Exhibition Road Museums 1, South Kensington",BikePoints_432,false,1319448720000
false,022169,,true,"Wren Street, Holborn",BikePoints_433,false,1323361560000
false,022170,,true,"Kennington Station, Kennington",BikePoints_435,false,1323346020000
false,022171,,true,"Red Lion Street, Holborn",BikePoints_436,false,1323350220000
false,200056,,true,"Vauxhall Walk, Vauxhall",BikePoints_437,false,1325746380000
false,200053,,true,"Killick Street, King's Cross",BikePoints_439,false,1325705460000
false,200032,,true,"Kennington Oval, Oval",BikePoints_440,false,1325708160000
false,200039,,true,"Sail Street, Vauxhall",BikePoints_441,false,1325711220000
false,200035,,true,"Walmer Road, Avondale",BikePoints_442,false,1325940420000
false,200033,,true,"Philpot Street, Whitechapel",BikePoints_443,false,1325941800000
false,200047,,true,"Bethnal Green Garden, Bethnal Green",BikePoints_444,false,1325944680000
false,200003,,true,"Cheshire Street, Bethnal Green",BikePoints_445,false,1325945820000
false,200042,,true,"York Hall, Bethnal Green",BikePoints_446,false,1325948880000
false,200054,,true,"Jubilee Crescent, Cubitt Town",BikePoints_447,false,1325949000000
false,022165,,true,"Fisherman's Walk West, Canary Wharf",BikePoints_448,false,1325952660000
false,200020,,true,"Shadwell Station, Shadwell",BikePoints_449,false,1325952900000
false,200002,,true,"Jubilee Street, Stepney",BikePoints_450,false,1326105240000
false,200021,,true,"Hermitage Court, Wapping",BikePoints_451,false,1325501400000
false,200049,,true,"St. Katharine's Way, Tower",BikePoints_452,false,1326109140000
false,200045,,true,"Garnet Street, Shadwell",BikePoints_453,false,1326111060000
false,200046,,true,"Napier Avenue, Millwall",BikePoints_454,false,1326115380000
false,200031,,true,"East Ferry Road, Cubitt Town",BikePoints_455,false,1326117780000
false,200118,,true,"Parkway, Camden Town",BikePoints_456,false,1326197580000
false,200016,,true,"Castlehaven Road, Camden Town",BikePoints_457,false,1326203280000
false,200034,,true,"Wapping Lane, Wapping",BikePoints_458,false,1326294780000
false,200014,,true,"Gunmakers Lane, Old Ford",BikePoints_459,false,
false,200123,,true,"Burdett Road, Mile End",BikePoints_460,false,1326284820000
false,200013,,true,"Aston Street, Stepney",BikePoints_461,true,1326293640000
false,200105,,true,"Bonny Street, Camden Town",BikePoints_462,false,1326294600000
false,200093,,true,"Thurtle Road, Haggerston",BikePoints_463,false,
false,200082,,true,"St. Mary & St. Michael Church, Stepney",BikePoints_464,false,1326304980000
false,200152,,true,"Pitfield Street North,Hoxton",BikePoints_465,false,1333613280000
false,200158,,true,"Whiston Road, Haggerston",BikePoints_466,false,1326360000000
false,200168,,true,"Southern Grove, Bow",BikePoints_467,false,1326374040000
false,200150,,true,"Cantrell Road, Bow",BikePoints_468,false,1326375720000
false,022178,,true,"Lindfield Street, Poplar",BikePoints_469,false,1326381060000
